,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Dan Forsman,52,1.75,40,7.0
1,2,2,Thomas Levet,54,1.72,29,5.0
2,3,3,José María Olazábal,55,1.54,39,6.0
3,4,4,Gavin Coles,70,1.41,64,9.0
4,5,5,Kent Jones,99,1.33,75,10.0
5,6,6,Phil Mickelson,81,1.32,38,5.0
6,T7,T7,Shaun Micheel,81,1.3,54,7.0
7,T7,T7,Lee Westwood,50,1.3,23,3.0
8,9,9,Steve Stricker,62,1.25,48,6.0
9,10,10,Freddie Jacobson,72,1.22,41,5.0
10,11,11,Kevin Stadler,96,1.19,67,8.0
11,T12,T12,Ian Poulter,62,1.18,34,4.0
12,T12,T12,Charlie Wi,67,1.18,51,6.0
13,14,14,Dudley Hart,84,1.15,52,6.0
14,15,15,Hunter Mahan,103,1.14,70,8.0
15,16,16,D.A. Points,94,1.13,62,7.0
16,T17,T17,Arjun Atwal,65,1.11,54,6.0
17,T17,T17,Joey Snyder III,102,1.11,90,10.0
18,19,19,Geoff Ogilvy,97,1.09,55,6.0
19,20,20,Arron Oberholser,65,1.08,37,4.0
20,T21,T21,Robert Gamez,91,1.06,66,7.0
21,T21,T21,Tim Herron,100,1.06,85,9.0
22,T21,T21,Joey Sindelar,104,1.06,85,9.0
23,24,24,Charles Warren,89,1.01,69,7.0
24,25,25,Olin Browne,99,0.99,71,7.0
25,26,26,Mathias Grönberg,60,0.98,41,4.0
26,27,27,Hunter Haas,83,0.97,72,7.0
27,T28,T28,Chris Anderson,66,0.95,42,4.0
28,T28,T28,Jesper Parnevik,84,0.95,42,4.0
29,T30,T30,Briny Baird,98,0.94,85,8.0
30,T30,T30,Brian Davis,75,0.94,53,5.0
31,T32,T32,Jonathan Byrd,103,0.93,75,7.0
32,T32,T32,Matt Kuchar,60,0.93,43,4.0
33,T34,T34,Rod Pampling,89,0.91,55,5.0
34,T34,T34,Duffy Waldorf,86,0.91,66,6.0
35,T36,T36,Lee Janzen,75,0.89,45,4.0
36,T36,T36,J.L. Lewis,98,0.89,56,5.0
37,T36,T36,Darron Stiles,78,0.89,56,5.0
38,T39,T39,Todd Hamilton,94,0.88,68,6.0
39,T39,T39,Jay Williamson,53,0.88,34,3.0
40,T41,T41,Stewart Cink,98,0.87,46,4.0
41,T41,T41,Scott Gutschewski,86,0.87,69,6.0
42,43,43,Mark Wilson,74,0.86,58,5.0
43,44,44,Scott Hend,75,0.85,47,4.0
44,45,45,Jeff Brehaut,71,0.84,83,7.0
45,T46,T46,Kevin Na,88,0.83,72,6.0
46,T46,T46,Kenny Perry,82,0.83,36,3.0
47,48,48,Jeff Sluman,94,0.82,85,7.0
48,T49,T49,Ben Crane,78,0.81,62,5.0
49,T49,T49,Mark Hensby,70,0.81,37,3.0
50,T51,T51,Steve Lowery,100,0.8,75,6.0
51,T51,T51,Bo Van Pelt,112,0.8,88,7.0
52,T53,T53,Tim Petrovic,97,0.79,63,5.0
53,T53,T53,Heath Slocum,103,0.79,76,6.0
54,T55,T55,Tom Byrum,83,0.78,64,5.0
55,T55,T55,J.J. Henry,102,0.78,90,7.0
56,T55,T55,Phillip Price,77,0.78,51,4.0
57,T58,T58,Michael Allen,90,0.77,65,5.0
58,T58,T58,Rob Rashell,65,0.77,52,4.0
59,60,60,Woody Austin,100,0.75,80,6.0
60,T61,T61,Bart Bryant,91,0.74,81,6.0
61,T61,T61,Marco Dawson,82,0.74,68,5.0
62,T61,T61,Brian Gay,101,0.74,81,6.0
63,T61,T61,Hideto Tanihara,50,0.74,27,2.0
64,T65,T65,Steve Allan,102,0.73,82,6.0
65,T65,T65,Jason Allred,75,0.73,55,4.0
66,T65,T65,Glen Day,80,0.73,55,4.0
67,T68,T68,Brian Bateman,98,0.71,70,5.0
68,T68,T68,Steve Flesch,90,0.71,70,5.0
69,T68,T68,Davis Love III,80,0.71,56,4.0
70,T68,T68,Ted Purdy,122,0.71,85,6.0
71,T72,T72,Steve Jones,56,0.7,43,3.0
72,T72,T72,Skip Kendall,80,0.7,57,4.0
73,T72,T72,Sean O'Hair,103,0.7,71,5.0
74,T72,T72,Vijay Singh,111,0.7,71,5.0
75,76,76,John Huston,90,0.69,58,4.0
76,T77,T77,Craig Barlow,81,0.68,59,4.0
77,T77,T77,Fred Couples,72,0.68,44,3.0
78,T77,T77,Michael Long,72,0.68,44,3.0
79,T77,T77,Scott McCarron,78,0.68,59,4.0
80,T77,T77,Brenden Pappas,51,0.68,44,3.0
81,82,82,Dean Wilson,86,0.67,75,5.0
82,T83,T83,Daniel Chopra,108,0.66,76,5.0
83,T83,T83,Bob Tway,87,0.66,61,4.0
84,T85,T85,Glen Hnatiuk,59,0.65,46,3.0
85,T85,T85,Brendan Jones,81,0.65,62,4.0
86,T85,T85,Mark O'Meara,66,0.65,46,3.0
87,T85,T85,Pat Perez,89,0.65,46,3.0
88,T85,T85,Tom Pernice Jr.,111,0.65,62,4.0
89,T85,T85,Adam Scott,72,0.65,46,3.0
90,T91,T91,Brandt Jobe,96,0.64,78,5.0
91,T91,T91,Dennis Paulson,63,0.64,47,3.0
92,T93,T93,Stephen Ames,82,0.63,48,3.0
93,T93,T93,Brad Faxon,75,0.63,48,3.0
94,T93,T93,Ryuji Imada,78,0.63,48,3.0
95,T96,T96,Brett Quigley,96,0.62,65,4.0
96,T96,T96,D.J. Trahan,81,0.62,65,4.0
97,T98,T98,Bob Heintz,67,0.61,33,2.0
98,T98,T98,Justin Leonard,78,0.61,49,3.0
99,T98,T98,Frank Lickliter II,100,0.61,66,4.0
100,101,101,Scott Verplank,87,0.6,50,3.0
101,T102,T102,Tim Clark,92,0.59,51,3.0
102,T102,T102,Jeff Maggert,79,0.59,51,3.0
103,T102,T102,Kirk Triplett,55,0.59,51,3.0
104,T105,T105,Jerry Kelly,101,0.58,69,4.0
105,T105,T105,Stephen Leaney,89,0.58,69,4.0
106,T105,T105,Joe Ogilvie,103,0.58,52,3.0
107,T108,T108,Steve Elkington,67,0.57,53,3.0
108,T108,T108,Rocco Mediate,73,0.57,53,3.0
109,T108,T108,Greg Owen,84,0.57,53,3.0
110,T108,T108,Roland Thatcher,75,0.57,53,3.0
111,T112,T112,Rich Beem,66,0.56,36,2.0
112,T112,T112,Charles Howell III,95,0.56,54,3.0
113,T112,T112,Chris Riley,67,0.56,36,2.0
114,115,115,Aaron Baddeley,84,0.55,55,3.0
115,T116,T116,Cameron Beckman,96,0.54,56,3.0
116,T116,T116,Chris Smith,93,0.54,92,5.0
117,T118,T118,Zach Johnson,96,0.53,75,4.0
118,T118,T118,Billy Mayfair,114,0.53,95,5.0
119,120,120,Todd Fischer,99,0.52,58,3.0
120,T121,T121,Lucas Glover,88,0.51,59,3.0
121,T121,T121,Paul Gow,78,0.51,59,3.0
122,T121,T121,Len Mattiace,86,0.51,59,3.0
123,124,124,John Elliott,58,0.5,40,2.0
124,T125,T125,John Senden,101,0.49,82,4.0
125,T125,T125,Mike Weir,71,0.49,41,2.0
126,T127,T127,Mark Calcavecchia,92,0.48,62,3.0
127,T127,T127,Tom Gillis,77,0.48,63,3.0
128,T127,T127,Brett Wetterich,76,0.48,42,2.0
129,T130,T130,John Daly,78,0.47,43,2.0
130,T130,T130,Robert Damron,89,0.47,64,3.0
131,T132,T132,Franklin Langham,91,0.46,65,3.0
132,T132,T132,Omar Uresti,84,0.46,65,3.0
133,T134,T134,Paul Claxton,79,0.45,67,3.0
134,T134,T134,Brent Geiberger,61,0.45,67,3.0
135,T134,T134,David Hearn,68,0.45,67,3.0
136,T137,T137,Robert Allenby,95,0.44,68,3.0
137,T137,T137,Luke Donald,67,0.44,45,2.0
138,T137,T137,Hidemichi Tanaka,106,0.44,68,3.0
139,T140,T140,Stuart Appleby,84,0.43,46,2.0
140,T140,T140,Paul Azinger,66,0.43,46,2.0
141,T140,T140,Chris DiMarco,83,0.43,46,2.0
142,T140,T140,Padraig Harrington,50,0.43,46,2.0
143,T140,T140,Shigeki Maruyama,99,0.43,70,3.0
144,T145,T145,Peter Lonard,85,0.42,71,3.0
145,T145,T145,Ryan Palmer,101,0.42,48,2.0
146,147,147,Patrick Sheehan,114,0.41,74,3.0
147,148,148,Corey Pavin,77,0.4,50,2.0
148,T149,T149,Tommy Armour III,103,0.39,76,3.0
149,T149,T149,Sergio Garcia,73,0.39,51,2.0
150,T151,T151,Mark Brooks,72,0.38,52,2.0
151,T151,T151,Chad Campbell,95,0.38,78,3.0
152,T151,T151,K.J. Choi,78,0.38,52,2.0
153,T151,T151,James Driscoll,73,0.38,53,2.0
154,T151,T151,Andrew Magee,82,0.38,52,2.0
155,T151,T151,Carl Pettersson,109,0.38,78,3.0
156,T151,T151,Justin Rose,99,0.38,79,3.0
157,T151,T151,Kevin Sutherland,89,0.38,52,2.0
158,T159,T159,D.J. Brigman,76,0.36,56,2.0
159,T159,T159,Joe Durant,81,0.36,55,2.0
160,T159,T159,Bob Estes,92,0.36,55,2.0
161,T159,T159,Harrison Frazar,105,0.36,83,3.0
162,T159,T159,Craig Perks,67,0.36,56,2.0
163,T159,T159,John Rollins,97,0.36,83,3.0
164,165,165,Mario Tiziani,67,0.35,57,2.0
165,T166,T166,Alex Cejka,84,0.34,58,2.0
166,T166,T166,José Coceres,56,0.34,58,2.0
167,T166,T166,Tag Ridings,93,0.34,59,2.0
168,169,169,Carlos Franco,78,0.33,60,2.0
169,170,170,Matt Gogel,78,0.32,62,2.0
170,171,171,Tom Lehman,69,0.31,32,1.0
171,T172,T172,Jason Bohn,91,0.3,67,2.0
172,T172,T172,Nick Watney,91,0.3,67,2.0
173,T174,T174,Jim Furyk,94,0.29,69,2.0
174,T174,T174,Richard Johnson,50,0.29,35,1.0
175,T174,T174,Tiger Woods,76,0.29,34,1.0
176,177,177,Vaughn Taylor,99,0.27,74,2.0
177,T178,T178,Fred Funk,102,0.26,76,2.0
178,T178,T178,Bradley Hughes,52,0.26,38,1.0
179,180,180,Jeff Hart,63,0.25,40,1.0
180,T181,T181,Bill Glasson,54,0.24,41,1.0
181,T181,T181,Bernhard Langer,67,0.24,42,1.0
