,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Brian Gay,101,90.02,1643,1479
1,2,2,Luke Donald,67,89.93,725,652
2,3,3,Olin Browne,99,89.89,1483,1333
3,4,4,Ben Crane,78,89.58,1161,1040
4,T5,T5,Brent Geiberger,61,89.33,928,829
5,T5,T5,Tiger Woods,76,89.33,993,887
6,7,7,José María Olazábal,55,89.21,732,653
7,8,8,Nick Watney,91,89.18,1423,1269
8,9,9,Tag Ridings,93,89.14,1501,1338
9,10,10,J.P. Hayes,63,89.06,969,863
10,11,11,Patrick Sheehan,114,89.03,1723,1534
11,12,12,Steve Stricker,62,88.98,1053,937
12,13,13,Tjaart van der Walt,56,88.95,977,869
13,14,14,Bob Tway,87,88.88,1160,1031
14,15,15,Arjun Atwal,65,88.83,1083,962
15,16,16,Corey Pavin,77,88.8,1098,975
16,T17,T17,Stephen Ames,82,88.77,1095,972
17,T17,T17,Stewart Cink,98,88.77,1273,1130
18,19,19,Shigeki Maruyama,99,88.75,1547,1373
19,T20,T20,Retief Goosen,71,88.69,796,706
20,T20,T20,Mark O'Meara,66,88.69,928,823
21,T20,T20,Kirk Triplett,55,88.69,787,698
22,T23,T23,Aaron Baddeley,84,88.67,1350,1197
23,T23,T23,Duffy Waldorf,86,88.67,1297,1150
24,25,25,Michael Allen,90,88.61,1405,1245
25,26,26,Jim Furyk,94,88.6,1281,1135
26,27,27,Tim Herron,100,88.53,1378,1220
27,T28,T28,Richard Johnson,50,88.52,819,725
28,T28,T28,Darron Stiles,78,88.52,1246,1103
29,30,30,J.J. Henry,102,88.46,1603,1418
30,31,31,David Toms,87,88.45,1126,996
31,32,32,Kevin Sutherland,89,88.41,1355,1198
32,33,33,Tom Byrum,83,88.33,1380,1219
33,T34,T34,Mark Calcavecchia,92,88.29,1401,1237
34,T34,T34,Dudley Hart,84,88.29,1289,1138
35,36,36,Justin Leonard,78,88.23,994,877
36,37,37,Len Mattiace,86,88.21,1349,1190
37,T38,T38,Matt Gogel,78,88.19,1202,1060
38,T38,T38,Jesper Parnevik,84,88.19,1219,1075
39,40,40,Gavin Coles,70,88.15,1139,1004
40,41,41,John Senden,101,88.11,1673,1474
41,42,42,Zach Johnson,96,88.1,1513,1333
42,T43,T43,Fred Funk,102,88.09,1511,1331
43,T43,T43,Jeff Sluman,94,88.09,1553,1368
44,45,45,Matt Kuchar,60,88.05,1004,884
45,46,46,Bart Bryant,91,88.04,1388,1222
46,47,47,Jerry Kelly,101,88.03,1395,1228
47,T48,T48,Steve Elkington,67,88.02,1002,882
48,T48,T48,Vijay Singh,111,88.02,1594,1403
49,50,50,K.J. Choi,78,87.96,980,862
50,51,51,Sean O'Hair,103,87.95,1552,1365
51,T52,T52,Rod Pampling,89,87.94,1260,1108
52,T52,T52,Bo Van Pelt,112,87.94,1683,1480
53,T54,T54,Jeff Maggert,79,87.91,1100,967
54,T54,T54,Loren Roberts,54,87.91,852,749
55,T54,T54,Joey Snyder III,102,87.91,1679,1476
56,57,57,Bernhard Langer,67,87.9,835,734
57,58,58,Hunter Mahan,103,87.88,1683,1479
58,T59,T59,Scott Gutschewski,86,87.8,1295,1137
59,T59,T59,Brenden Pappas,51,87.8,869,763
60,61,61,Tom Pernice Jr.,111,87.78,1620,1422
61,62,62,Brad Faxon,75,87.76,1021,896
62,63,63,Scott McCarron,78,87.75,1102,967
63,64,64,Stuart Appleby,84,87.73,1157,1015
64,T65,T65,Chris DiMarco,83,87.72,1083,950
65,T65,T65,Carl Pettersson,109,87.72,1727,1515
66,67,67,Bob Heintz,67,87.71,1123,985
67,68,68,Stephen Leaney,89,87.7,1390,1219
68,T69,T69,Ben Curtis,65,87.69,918,805
69,T69,T69,Tom Lehman,69,87.69,926,812
70,71,71,Jason Bohn,91,87.68,1493,1309
71,72,72,Matt Davidson,53,87.66,924,810
72,73,73,Bob Estes,92,87.64,1448,1269
73,74,74,Dean Wilson,86,87.62,1438,1260
74,75,75,Davis Love III,80,87.57,1022,895
75,76,76,Todd Fischer,99,87.55,1615,1414
76,T77,T77,Brandt Jobe,96,87.54,1485,1300
77,T77,T77,Franklin Langham,91,87.54,1396,1222
78,T79,T79,Shaun Micheel,81,87.53,1171,1025
79,T79,T79,Larry Mize,54,87.53,826,723
80,81,81,Rory Sabbatini,81,87.51,1089,953
81,T82,T82,Jeff Brehaut,71,87.47,1173,1026
82,T82,T82,Robert Gamez,91,87.47,1468,1284
83,84,84,Arron Oberholser,65,87.43,939,821
84,85,85,Peter Lonard,85,87.42,1224,1070
85,T86,T86,Carlos Franco,78,87.39,1237,1081
86,T86,T86,Hank Kuehne,84,87.39,1356,1185
87,T86,T86,Adam Scott,72,87.39,952,832
88,T89,T89,Hunter Haas,83,87.38,1315,1149
89,T89,T89,Greg Owen,84,87.38,1315,1149
90,91,91,Charles Howell III,95,87.34,1303,1138
91,T92,T92,Lucas Glover,88,87.33,1444,1261
92,T92,T92,Ian Poulter,62,87.33,663,579
93,94,94,Scott Verplank,87,87.3,1213,1059
94,95,95,Skip Kendall,80,87.29,1306,1140
95,96,96,Phillip Price,77,87.28,1140,995
96,T97,T97,Mark Brooks,72,87.24,1176,1026
97,T97,T97,Daniel Chopra,108,87.24,1685,1470
98,T99,T99,Briny Baird,98,87.22,1636,1427
99,T99,T99,Ryan Palmer,101,87.22,1455,1269
100,101,101,James Driscoll,73,87.2,1141,995
101,102,102,Pat Perez,89,87.18,1349,1176
