,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Chris Anderson,66,10.65,216,23
1,2,2,Dan Forsman,52,10.05,219,22
2,3,3,Tim Herron,100,9.74,308,30
3,4,4,Gavin Coles,70,9.45,275,26
4,5,5,Freddie Jacobson,72,9.09,220,20
5,6,6,Bob Heintz,67,9.01,233,21
6,7,7,Bernhard Langer,67,8.8,216,19
7,8,8,Charlie Wi,67,8.58,233,20
8,9,9,Joe Ogilvie,103,8.27,278,23
9,10,10,Scott McCarron,78,8.21,280,23
10,11,11,Tom Gillis,77,8.11,296,24
11,12,12,Hunter Haas,83,8.04,311,25
12,13,13,Bob Tway,87,7.84,306,24
13,T14,T14,Tim Clark,92,7.76,232,18
14,T14,T14,Rob Rashell,65,7.76,232,18
15,T16,T16,Kent Jones,99,7.75,413,32
16,T16,T16,Phillip Price,77,7.75,258,20
17,18,18,Jay Williamson,53,7.58,198,15
18,19,19,Arjun Atwal,65,7.57,251,19
19,20,20,Stuart Appleby,84,7.55,265,20
20,21,21,Tom Pernice Jr.,111,7.5,360,27
21,22,22,David Toms,87,7.48,254,19
22,23,23,Steve Lowery,100,7.47,348,26
23,24,24,Stephen Ames,82,7.45,255,19
24,25,25,Briny Baird,98,7.43,417,31
25,26,26,Thomas Levet,54,7.38,149,11
26,27,27,J.L. Lewis,98,7.34,354,26
27,28,28,Jesper Parnevik,84,7.27,289,21
28,29,29,Richard Johnson,50,7.25,207,15
29,30,30,Steve Elkington,67,7.24,290,21
30,31,31,Kevin Stadler,96,7.22,360,26
31,32,32,Lee Westwood,50,7.19,153,11
32,33,33,Phil Mickelson,81,7.18,209,15
33,34,34,Justin Rose,99,7.14,378,27
34,T35,T35,Jeff Brehaut,71,7.12,309,22
35,T35,T35,Ryan Palmer,101,7.12,323,23
36,T37,T37,Brenden Pappas,51,7.11,225,16
37,T37,T37,Bo Van Pelt,112,7.11,450,32
38,39,39,Danny Briggs,70,7.04,270,19
39,40,40,Lee Janzen,75,6.96,273,19
40,41,41,Brian Bateman,98,6.93,375,26
41,42,42,Charles Warren,89,6.84,380,26
42,43,43,Joey Snyder III,102,6.83,439,30
43,44,44,Harrison Frazar,105,6.78,413,28
44,45,45,Michael Long,72,6.76,296,20
45,46,46,Hunter Mahan,103,6.75,385,26
46,T47,T47,Paul Claxton,79,6.73,297,20
47,T47,T47,Glen Hnatiuk,59,6.73,223,15
48,49,49,Charles Howell III,95,6.67,330,22
49,50,50,Rory Sabbatini,81,6.64,256,17
50,51,51,Patrick Sheehan,114,6.63,407,27
51,52,52,Rod Pampling,89,6.6,303,20
52,53,53,Len Mattiace,86,6.59,364,24
53,54,54,Matt Gogel,78,6.58,304,20
54,55,55,Shaun Micheel,81,6.54,321,21
55,56,56,Arron Oberholser,65,6.49,231,15
56,57,57,Chad Campbell,95,6.47,371,24
57,T58,T58,Brad Faxon,75,6.44,233,15
58,T58,T58,Geoff Ogilvy,97,6.44,295,19
59,T58,T58,Dennis Paulson,63,6.44,264,17
60,61,61,Mike Weir,71,6.42,187,12
61,T62,T62,Todd Hamilton,94,6.38,298,19
62,T62,T62,David Hearn,68,6.38,282,18
63,64,64,Sean O'Hair,103,6.36,409,26
64,65,65,D.J. Trahan,81,6.35,315,20
65,66,66,Peter Lonard,85,6.34,284,18
66,67,67,J.P. Hayes,63,6.31,206,13
67,68,68,Matt Kuchar,60,6.3,238,15
68,69,69,Woody Austin,100,6.23,369,23
69,T70,T70,Dudley Hart,84,6.21,306,19
70,T70,T70,Kevin Na,88,6.21,306,19
71,72,72,Robert Gamez,91,6.19,307,19
72,73,73,K.J. Choi,78,6.17,227,14
73,74,74,Craig Barlow,81,6.16,276,17
74,75,75,Mark Wilson,74,6.13,261,16
75,76,76,Jerry Kelly,101,6.1,328,20
76,T77,T77,Bart Bryant,91,6.07,379,23
77,T77,T77,Mark O'Meara,66,6.07,214,13
78,79,79,Heath Slocum,103,6.06,396,24
79,80,80,D.A. Points,94,6.05,347,21
80,81,81,Padraig Harrington,50,6.04,182,11
81,T82,T82,John Huston,90,6.01,316,19
82,T82,T82,Mario Tiziani,67,6.01,283,17
83,T84,T84,James Driscoll,73,5.96,302,18
84,T84,T84,Steve Stricker,62,5.96,235,14
85,86,86,Darron Stiles,78,5.88,272,16
86,87,87,Alex Cejka,84,5.86,256,15
87,T88,T88,Michael Allen,90,5.85,325,19
88,T88,T88,Marco Dawson,82,5.85,325,19
89,T90,T90,Davis Love III,80,5.84,257,15
90,T90,T90,Jeff Maggert,79,5.84,257,15
91,T92,T92,Rich Beem,66,5.82,189,11
92,T92,T92,Stewart Cink,98,5.82,275,16
93,T92,T92,Steve Flesch,90,5.82,275,16
94,T92,T92,Zach Johnson,96,5.82,361,21
95,T92,T92,Skip Kendall,80,5.82,292,17
96,T92,T92,Rocco Mediate,73,5.82,275,16
97,98,98,Steve Allan,102,5.8,414,24
98,99,99,Brett Quigley,96,5.79,380,22
99,100,100,Cameron Beckman,96,5.78,346,20
100,101,101,Brian Gay,101,5.77,381,22
101,T102,T102,Brian Davis,75,5.73,262,15
102,T102,T102,Ryuji Imada,78,5.73,262,15
103,T102,T102,Adam Scott,72,5.73,227,13
104,105,105,Nick Watney,91,5.72,367,21
105,106,106,Robert Damron,89,5.7,316,18
106,107,107,Kenny Perry,82,5.68,264,15
107,108,108,Frank Lickliter II,100,5.66,389,22
108,109,109,Hank Kuehne,84,5.64,319,18
109,110,110,Greg Owen,84,5.63,302,17
