,11-25_Final_Round_Performance_RANK THIS WEEK,11-25_Final_Round_Performance_RANK LAST WEEK,11-25_Final_Round_Performance_PLAYER NAME,11-25_Final_Round_Performance_EVENTS,11-25_Final_Round_Performance_% TIMES IMPROVED,11-25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Robert Allenby,31,100.0,3.0
1,T1,T1,Rich Beem,26,100.0,1.0
2,T1,T1,Jeff Brehaut,23,100.0,2.0
3,T1,T1,D.J. Brigman,26,100.0,1.0
4,T1,T1,Mark Brooks,28,100.0,1.0
5,T1,T1,K.J. Choi,24,100.0,2.0
6,T1,T1,Robert Damron,28,100.0,2.0
7,T1,T1,Glen Day,27,100.0,2.0
8,T1,T1,Tom Gillis,28,100.0,2.0
9,T1,T1,Paul Gow,27,100.0,1.0
10,T1,T1,Padraig Harrington,15,100.0,2.0
11,T1,T1,Bob Heintz,24,100.0,1.0
12,T1,T1,Bernhard Langer,19,100.0,2.0
13,T1,T1,Thomas Levet,20,100.0,1.0
14,T1,T1,Will MacKenzie,25,100.0,2.0
15,T1,T1,Dennis Paulson,24,100.0,1.0
16,T1,T1,Tim Petrovic,32,100.0,1.0
17,T1,T1,D.A. Points,33,100.0,2.0
18,T1,T1,Tag Ridings,31,100.0,1.0
19,T1,T1,Kevin Stadler,33,100.0,2.0
20,T1,T1,Omar Uresti,27,100.0,1.0
21,T1,T1,Charles Warren,31,100.0,2.0
22,T1,T1,Jay Williamson,16,100.0,2.0
23,T1,T1,Mark Wilson,25,100.0,1.0
24,T1,T1,Tiger Woods,21,100.0,2.0
25,T26,T26,Billy Andrade,26,83.3,5.0
26,T26,T26,Charles Howell III,29,83.3,5.0
27,T28,T28,Jonathan Byrd,31,80.0,4.0
28,T28,T28,Fred Couples,22,80.0,4.0
29,T28,T28,Greg Owen,24,80.0,4.0
30,T28,T28,Corey Pavin,23,80.0,4.0
31,T28,T28,Tom Pernice Jr.,32,80.0,4.0
32,T33,T33,Dudley Hart,29,75.0,6.0
33,T33,T33,Vijay Singh,30,75.0,6.0
34,T33,T33,Joey Snyder III,31,75.0,3.0
35,36,36,Ben Crane,21,71.4,5.0
36,T37,T37,Stephen Ames,24,66.7,2.0
37,T37,T37,Aaron Baddeley,27,66.7,2.0
38,T37,T37,Craig Barlow,26,66.7,2.0
39,T37,T37,Brian Davis,23,66.7,2.0
40,T37,T37,Joe Durant,25,66.7,2.0
41,T37,T37,Brad Faxon,23,66.7,2.0
42,T37,T37,Retief Goosen,18,66.7,2.0
43,T37,T37,Todd Hamilton,31,66.7,2.0
44,T37,T37,Richard Johnson,16,66.7,2.0
45,T37,T37,Geoff Ogilvy,26,66.7,2.0
46,T37,T37,Patrick Sheehan,35,66.7,2.0
47,T37,T37,David Toms,25,66.7,4.0
48,49,49,Stephen Leaney,29,62.5,5.0
49,T50,T50,Scott Gutschewski,27,60.0,3.0
50,T50,T50,Hunter Mahan,34,60.0,3.0
51,T50,T50,Sean O'Hair,29,60.0,3.0
52,T50,T50,Arron Oberholser,21,60.0,3.0
53,T50,T50,Joe Ogilvie,30,60.0,3.0
54,T50,T50,Rod Pampling,26,60.0,3.0
55,T50,T50,Vaughn Taylor,32,60.0,3.0
56,57,57,Chad Campbell,27,57.1,4.0
57,T58,T58,Steve Allan,32,50.0,2.0
58,T58,T58,Doug Barron,24,50.0,1.0
59,T58,T58,Cameron Beckman,31,50.0,1.0
60,T58,T58,Bart Bryant,26,50.0,3.0
61,T58,T58,Stewart Cink,26,50.0,5.0
62,T58,T58,Tim Clark,26,50.0,2.0
63,T58,T58,Marco Dawson,23,50.0,2.0
64,T58,T58,Chris DiMarco,24,50.0,2.0
65,T58,T58,Bob Estes,25,50.0,1.0
66,T58,T58,Fred Funk,30,50.0,2.0
67,T58,T58,Robert Gamez,28,50.0,1.0
68,T58,T58,Sergio Garcia,20,50.0,3.0
69,T58,T58,Lucas Glover,28,50.0,2.0
70,T58,T58,Jay Haas,16,50.0,1.0
71,T58,T58,Hunter Haas,28,50.0,2.0
72,T58,T58,Scott Hend,28,50.0,2.0
73,T58,T58,Mark Hensby,21,50.0,2.0
74,T58,T58,Tim Herron,28,50.0,2.0
75,T58,T58,Brandt Jobe,27,50.0,3.0
76,T58,T58,Matt Kuchar,21,50.0,3.0
77,T58,T58,Hank Kuehne,30,50.0,1.0
78,T58,T58,Tom Lehman,20,50.0,1.0
79,T58,T58,Davis Love III,24,50.0,3.0
80,T58,T58,Andrew Magee,29,50.0,2.0
81,T58,T58,Shigeki Maruyama,29,50.0,1.0
82,T58,T58,Scott McCarron,24,50.0,2.0
83,T58,T58,Rocco Mediate,24,50.0,1.0
84,T58,T58,Phil Mickelson,21,50.0,1.0
85,T58,T58,Ian Poulter,20,50.0,1.0
86,T58,T58,Heath Slocum,29,50.0,3.0
87,T58,T58,Jeff Sluman,28,50.0,2.0
88,T58,T58,Steve Stricker,21,50.0,1.0
89,T58,T58,Mario Tiziani,23,50.0,1.0
90,91,91,John Huston,31,44.4,4.0
91,92,92,Bob Tway,26,42.9,3.0
92,T93,T93,Michael Allen,30,40.0,2.0
93,T93,T93,Woody Austin,30,40.0,2.0
94,T93,T93,Joey Sindelar,29,40.0,2.0
95,T93,T93,Kevin Sutherland,26,40.0,2.0
96,T93,T93,Hidemichi Tanaka,34,40.0,2.0
97,T93,T93,D.J. Trahan,28,40.0,2.0
98,T99,T99,Luke Donald,18,37.5,3.0
99,T99,T99,Bo Van Pelt,33,37.5,3.0
100,T101,T101,Jason Bohn,28,33.3,1.0
101,T101,T101,Daniel Chopra,34,33.3,2.0
102,T101,T101,José Coceres,22,33.3,1.0
103,T101,T101,Todd Fischer,35,33.3,1.0
104,T101,T101,Carlos Franco,25,33.3,1.0
105,T101,T101,Harrison Frazar,31,33.3,1.0
106,T101,T101,Brian Gay,33,33.3,1.0
107,T101,T101,David Hearn,24,33.3,1.0
108,T101,T101,Zach Johnson,30,33.3,1.0
109,T101,T101,J.L. Lewis,30,33.3,2.0
110,T101,T101,Frank Lickliter II,33,33.3,1.0
111,T101,T101,Kevin Na,32,33.3,1.0
112,T101,T101,José María Olazábal,16,33.3,1.0
113,T101,T101,Pat Perez,28,33.3,2.0
114,T101,T101,Carl Pettersson,34,33.3,1.0
115,T101,T101,Rory Sabbatini,26,33.3,2.0
116,T101,T101,Roland Thatcher,26,33.3,1.0
117,T101,T101,Scott Verplank,25,33.3,2.0
118,T101,T101,Nick Watney,31,33.3,1.0
119,T101,T101,Dean Wilson,27,33.3,2.0
120,T121,T121,Jim Furyk,26,28.6,2.0
121,T121,T121,Jerry Kelly,31,28.6,2.0
122,T121,T121,Justin Leonard,24,28.6,2.0
123,T121,T121,Ted Purdy,34,28.6,2.0
124,T121,T121,Adam Scott,19,28.6,2.0
125,T121,T121,Kirk Triplett,18,28.6,2.0
126,T127,T127,Tommy Armour III,29,25.0,2.0
127,T127,T127,Arjun Atwal,17,25.0,1.0
128,T127,T127,Briny Baird,33,25.0,1.0
129,T127,T127,Olin Browne,29,25.0,1.0
130,T127,T127,Steve Elkington,20,25.0,1.0
131,T127,T127,Steve Flesch,30,25.0,2.0
132,T127,T127,Ryan Palmer,32,25.0,1.0
133,T127,T127,Chris Smith,32,25.0,1.0
134,T135,T135,Mark Calcavecchia,27,20.0,1.0
135,T135,T135,Neal Lancaster,31,20.0,1.0
136,T135,T135,Kenny Perry,23,20.0,1.0
137,T135,T135,Phillip Price,25,20.0,1.0
138,T139,T139,Ryuji Imada,25,16.7,1.0
139,T139,T139,Billy Mayfair,31,16.7,1.0
140,T139,T139,Darron Stiles,26,16.7,1.0
141,142,142,Brett Quigley,31,14.3,1.0
142,T143,T143,Jason Allred,29,0.0,
143,T143,T143,Chris Anderson,25,0.0,
144,T143,T143,Stuart Appleby,25,0.0,
145,T143,T143,Paul Azinger,22,0.0,
146,T143,T143,Brian Bateman,32,0.0,
147,T143,T143,Danny Briggs,29,0.0,
148,T143,T143,Jim Carter,25,0.0,
149,T143,T143,Alex Cejka,31,0.0,
150,T143,T143,Paul Claxton,29,0.0,
151,T143,T143,Gavin Coles,22,0.0,
152,T143,T143,John Cook,26,0.0,
153,T143,T143,Ben Curtis,24,0.0,
154,T143,T143,John Daly,25,0.0,
155,T143,T143,James Driscoll,26,0.0,
156,T143,T143,Matt Gogel,28,0.0,
157,T143,T143,Mathias Grönberg,19,0.0,
158,T143,T143,Jeff Hart,23,0.0,
159,T143,T143,Glen Hnatiuk,21,0.0,
160,T143,T143,Bradley Hughes,20,0.0,
161,T143,T143,Freddie Jacobson,23,0.0,
162,T143,T143,Kent Jones,32,0.0,
163,T143,T143,Brendan Jones,28,0.0,
164,T143,T143,Franklin Langham,31,0.0,
165,T143,T143,Peter Lonard,27,0.0,
166,T143,T143,Michael Long,26,0.0,
167,T143,T143,Steve Lowery,32,0.0,
168,T143,T143,Jeff Maggert,25,0.0,
169,T143,T143,Shaun Micheel,29,0.0,
170,T143,T143,Larry Mize,18,0.0,
171,T143,T143,Mark O'Meara,21,0.0,
172,T143,T143,Brenden Pappas,15,0.0,
173,T143,T143,Jesper Parnevik,24,0.0,
174,T143,T143,Craig Perks,27,0.0,
175,T143,T143,Loren Roberts,18,0.0,
176,T143,T143,John Rollins,30,0.0,
177,T143,T143,Justin Rose,28,0.0,
178,T143,T143,John Senden,29,0.0,
179,T143,T143,Tjaart van der Walt,19,0.0,
180,T143,T143,Duffy Waldorf,28,0.0,
181,T143,T143,Mike Weir,23,0.0,
182,T143,T143,Brett Wetterich,28,0.0,
183,T143,T143,Charlie Wi,23,0.0,
