,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Phil Mickelson,68.5,685,10
1,2,2,Ben Crane,68.71,481,7
2,3,3,Tiger Woods,68.79,963,14
3,T4,T4,Mathias Grönberg,69.0,483,7
4,T4,T4,J.P. Hayes,69.0,621,9
5,6,6,Jason Bohn,69.14,968,14
6,7,7,Bart Bryant,69.27,762,11
7,8,8,Briny Baird,69.38,1110,16
8,9,9,Sergio Garcia,69.4,347,5
9,10,10,Bob Estes,69.5,834,12
10,11,11,Richard Johnson,69.63,557,8
11,12,12,Carlos Franco,69.64,766,11
12,13,13,Jesper Parnevik,69.71,976,14
13,T14,T14,Marco Dawson,69.75,837,12
14,T14,T14,Charlie Wi,69.75,837,12
15,16,16,Kevin Sutherland,69.8,1047,15
16,17,17,Vijay Singh,69.9,699,10
17,T18,T18,Steve Elkington,70.0,840,12
18,T18,T18,Robert Gamez,70.0,910,13
19,20,20,J.J. Henry,70.06,1121,16
20,T21,T21,Mark Calcavecchia,70.07,1051,15
21,T21,T21,Stewart Cink,70.07,981,14
22,T21,T21,Dean Wilson,70.07,1051,15
23,24,24,Kenny Perry,70.08,841,12
24,25,25,Justin Leonard,70.09,771,11
25,26,26,Olin Browne,70.13,1052,15
26,27,27,Lee Westwood,70.17,421,6
27,28,28,Billy Mayfair,70.2,1053,15
28,29,29,Luke Donald,70.22,632,9
29,30,30,Adam Scott,70.29,492,7
30,T31,T31,Scott Gutschewski,70.3,703,10
31,T31,T31,Tjaart van der Walt,70.3,703,10
32,33,33,David Toms,70.31,914,13
33,T34,T34,Gavin Coles,70.33,844,12
34,T34,T34,Tom Lehman,70.33,422,6
35,36,36,Brett Quigley,70.35,1196,17
36,37,37,Jim Furyk,70.36,774,11
37,38,38,Brian Bateman,70.37,1337,19
38,39,39,Darron Stiles,70.38,915,13
39,T40,T40,Robert Damron,70.43,986,14
40,T40,T40,Jerry Kelly,70.43,1479,21
41,42,42,José María Olazábal,70.44,634,9
42,T43,T43,José Coceres,70.45,775,11
43,T43,T43,Geoff Ogilvy,70.45,775,11
44,45,45,John Huston,70.47,1057,15
45,46,46,Freddie Jacobson,70.5,564,8
46,47,47,Hunter Haas,70.57,988,14
47,48,48,Justin Rose,70.64,777,11
48,T49,T49,Mark O'Meara,70.67,636,9
49,T49,T49,Phillip Price,70.67,636,9
50,T49,T49,Omar Uresti,70.67,848,12
51,T52,T52,Alex Cejka,70.69,1131,16
