,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
0,1,1,Tiger Woods,55,"5' 10""",17.5,3,-1
1,2,2,Nathan Green,108,"12' 5""",124.333,10,-4
2,3,3,Shaun Micheel,96,"13' 8""",122.75,9,E
3,4,4,Ben Curtis,86,"13' 9""",96.5,7,+1
4,T5,T5,Ryuji Imada,105,"13' 11""",194.75,14,E
5,T5,T5,Nick Watney,97,"13' 11""",55.667,4,E
6,7,7,Marco Dawson,87,"14' 5""",259.0,18,-1
7,8,8,Kirk Triplett,58,"14' 11""",74.417,5,+6
8,9,9,Padraig Harrington,54,"15' 2""",166.417,11,-2
9,10,10,Richard Johnson,94,"15' 3""",229.333,15,+9
10,11,11,Steve Flesch,119,"15' 4""",199.75,13,E
11,T12,T12,Woody Austin,107,"15' 5""",169.583,11,-1
12,T12,T12,Bo Van Pelt,102,"15' 5""",293.25,19,+2
13,14,14,Jerry Smith,94,"15' 6""",309.58299999999997,20,-1
14,15,15,David Howell,52,"15' 7""",46.667,3,-1
15,16,16,Michael Connell,51,"15' 9""",126.25,8,-1
16,17,17,Jesper Parnevik,84,"15' 10""",205.5,13,-4
17,18,18,Bernhard Langer,77,"16' 0""",128.25,8,+2
18,T19,T19,Stuart Appleby,83,"16' 2""",177.917,11,-2
19,T19,T19,Todd Fischer,101,"16' 2""",436.167,27,+3
20,T19,T19,Frank Lickliter II,99,"16' 2""",226.75,14,-1
21,22,22,Tim Herron,82,"16' 3""",243.25,15,+3
22,T23,T23,Mark O'Meara,52,"16' 4""",179.833,11,-6
23,T23,T23,Chris Riley,86,"16' 4""",245.583,15,+1
24,25,25,Scott Gutschewski,53,"16' 6""",132.083,8,-1
25,26,26,Heath Slocum,96,"16' 10""",252.083,15,-2
26,27,27,Tom Pernice Jr.,108,"17' 0""",203.917,12,-1
27,28,28,Zach Johnson,98,"17' 1""",154.083,9,+1
28,29,29,Trevor Immelman,86,"17' 3""",206.917,12,+1
29,T30,T30,Fred Funk,106,"17' 5""",225.917,13,-5
30,T30,T30,Mike Sposa,68,"17' 5""",243.25,14,+2
31,32,32,Retief Goosen,68,"17' 8""",282.83299999999997,16,+3
