,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,T1,Justin Leonard,83,147.9,1011936.0,190
1,T1,T1,Rod Pampling,89,147.9,979493.0,184
2,3,3,Kris Cox,83,149.8,1186509.0,220
3,4,4,Robert Garrigus,85,150.2,1378782.0,255
4,5,5,Luke Donald,66,150.6,542002.0,100
5,T6,T6,David Howell,52,151.8,513702.0,94
6,T6,T6,Kenny Perry,73,151.8,918364.0,168
7,T8,T8,Padraig Harrington,54,151.9,481318.0,88
8,T8,T8,Kevin Sutherland,100,151.9,1262807.0,231
9,10,10,Michael Allen,84,152.4,1196275.0,218
10,11,11,Sean O'Hair,100,152.5,1361196.0,248
11,12,12,Harrison Frazar,95,152.6,1269232.0,231
12,13,13,Hidemichi Tanaka,74,152.7,1357898.0,247
13,T14,T14,J.B. Holmes,81,152.8,1220964.0,222
14,T14,T14,Steve Stricker,64,152.8,555513.0,101
15,T16,T16,Chad Campbell,91,152.9,1073236.0,195
16,T16,T16,Greg Chalmers,71,152.9,1150113.0,209
17,18,18,Scott Gutschewski,53,153.1,815723.0,148
18,19,19,Brett Wetterich,82,153.3,1219439.0,221
19,20,20,Heath Slocum,96,153.4,1347438.0,244
20,21,21,Paul Stankowski,70,153.5,1077250.0,195
21,22,22,David Toms,76,153.7,985219.0,178
22,23,23,John Daly,51,153.9,847476.0,153
23,24,24,Stewart Cink,93,154.0,1092187.0,197
24,25,25,Todd Hamilton,72,154.2,1310381.0,236
25,T26,T26,Arjun Atwal,97,154.3,1516765.0,273
26,T26,T26,Trevor Immelman,86,154.3,966811.0,174
27,T26,T26,Jeff Overton,95,154.3,1438737.0,259
28,T26,T26,Charles Warren,93,154.3,1238483.0,223
29,T30,T30,Ryan Palmer,101,154.5,1473496.0,265
30,T30,T30,Bo Van Pelt,102,154.5,1457089.0,262
31,32,32,Bubba Watson,83,154.7,1141594.0,205
32,33,33,Retief Goosen,68,154.8,730260.0,131
33,34,34,Ryan Moore,68,154.9,992664.0,178
34,T35,T35,James Driscoll,80,155.0,1612126.0,289
35,T35,T35,J.P. Hayes,55,155.0,892726.0,160
36,T35,T35,Jimmy Walker,60,155.0,1065536.0,191
37,T38,T38,Tim Clark,80,155.2,938605.0,168
38,T38,T38,Jeff Gove,91,155.2,1151156.0,206
39,T38,T38,Len Mattiace,59,155.2,1084186.0,194
40,T38,T38,Rory Sabbatini,84,155.2,1061326.0,190
41,T38,T38,Vaughn Taylor,88,155.2,1374789.0,246
42,T43,T43,Danny Ellis,68,155.3,989545.0,177
43,T43,T43,Tom Lehman,70,155.3,822041.0,147
44,T43,T43,Kirk Triplett,58,155.3,821848.0,147
45,46,46,Hunter Mahan,98,155.4,1482427.0,265
46,47,47,Justin Rose,98,155.5,1338011.0,239
47,T48,T48,Eric Axley,91,155.7,1300472.0,232
48,T48,T48,Fred Funk,106,155.7,1283589.0,229
49,T50,T50,John Cook,67,155.8,875075.0,156
50,T50,T50,Duffy Waldorf,96,155.8,1295437.0,231
51,T52,T52,Mathias Grönberg,92,155.9,1341295.0,239
