,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Steve Stricker,64,"4' 4""",3.5669999999999997,68,2
1,2,2,Ernie Els,69,"5' 2""",3.573,58,53
2,3,3,Omar Uresti,61,"5' 5""",4.771,73,7
3,4,4,Tiger Woods,55,"5' 6""",2.228,34,10
4,T5,T5,Billy Mayfair,94,"5' 8""",8.259,121,35
5,T5,T5,Brett Quigley,109,"5' 8""",10.616,155,14
6,7,7,Scott Verplank,88,"5' 9""",6.9239999999999995,101,12
7,T8,T8,Daisuke Maruyama,83,"5' 11""",7.933,111,104
8,T8,T8,Vijay Singh,103,"5' 11""",8.493,119,39
9,T10,T10,Stuart Appleby,83,"6' 1""",6.178999999999999,85,56
10,T10,T10,Retief Goosen,68,"6' 1""",4.738,65,108
11,T10,T10,Larry Mize,53,"6' 1""",4.251,58,33
12,T10,T10,Vance Veazey,59,"6' 1""",6.186,85,189
13,14,14,Zach Johnson,98,"6' 2""",8.11,110,103
14,T15,T15,Doug Barron,74,"6' 3""",8.578,115,23
15,T15,T15,Jonathan Byrd,66,"6' 3""",7.017,93,20
16,T15,T15,Chris DiMarco,83,"6' 3""",5.734,76,62
17,T15,T15,Jeff Gove,91,"6' 3""",9.503,127,78
18,T15,T15,Jason Schultz,77,"6' 3""",7.861000000000001,105,119
19,T15,T15,Kirk Triplett,58,"6' 3""",5.702999999999999,76,133
20,T21,T21,John Daly,51,"6' 4""",4.512,59,186
21,T21,T21,Brian Gay,107,"6' 4""",10.89,143,5
22,T21,T21,Steve Jones,83,"6' 4""",8.638,113,92
23,T24,T24,Luke Donald,66,"6' 5""",5.329,69,3
24,T24,T24,Justin Leonard,83,"6' 5""",7.729,101,77
25,T24,T24,Greg Owen,79,"6' 5""",7.218999999999999,94,11
26,T24,T24,Jimmy Walker,60,"6' 5""",6.2170000000000005,81,175
27,28,28,Ben Curtis,86,"6' 6""",7.587999999999999,97,116
28,29,29,John Cook,67,"6' 7""",6.234,79,28
29,T30,T30,Michael Allen,84,"6' 8""",9.63,121,70
30,T30,T30,Chad Campbell,91,"6' 8""",6.987,87,93
31,T30,T30,Padraig Harrington,54,"6' 8""",5.309,66,36
32,T30,T30,Frank Lickliter II,99,"6' 8""",12.389000000000001,155,16
33,T30,T30,Shigeki Maruyama,94,"6' 8""",8.843,111,21
34,T30,T30,Phil Mickelson,74,"6' 8""",5.3,66,138
35,T30,T30,Joe Ogilvie,95,"6' 8""",7.752000000000001,97,45
36,T37,T37,Craig Barlow,77,"6' 9""",8.482999999999999,105,159
37,T37,T37,Robert Damron,91,"6' 9""",9.964,123,100
38,T37,T37,Jerry Kelly,100,"6' 9""",9.498,117,17
39,T40,T40,Sergio Garcia,59,"6' 10""",4.908,60,183
40,T40,T40,Richard Johnson,94,"6' 10""",8.043,98,44
41,T40,T40,Stephen Leaney,84,"6' 10""",10.008,122,19
42,T40,T40,Steve Lowery,99,"6' 10""",12.184000000000001,148,111
43,T40,T40,Will MacKenzie,91,"6' 10""",10.169,124,165
44,T40,T40,Chris Riley,86,"6' 10""",8.69,106,26
45,T40,T40,Nick Watney,97,"6' 10""",10.121,124,15
46,T40,T40,Dean Wilson,115,"6' 10""",10.091000000000001,123,51
47,T40,T40,Mark Wilson,79,"6' 10""",8.474,103,82
48,T49,T49,Arjun Atwal,97,"6' 11""",9.595,116,113
49,T49,T49,Woody Austin,107,"6' 11""",8.107000000000001,98,43
50,T49,T49,Fred Funk,106,"6' 11""",7.982,96,42
51,T49,T49,Ian Leggatt,80,"6' 11""",10.149,122,164
52,T49,T49,Sean O'Hair,100,"6' 11""",11.198,135,139
53,T49,T49,Ron Whittaker,81,"6' 11""",8.252,100,167
54,T55,T55,Bart Bryant,87,"7' 0""",8.366,100,142
55,T55,T55,Ben Crane,85,"7' 0""",9.066,108,120
56,T55,T55,Jim Furyk,89,"7' 0""",7.8,93,4
57,T55,T55,Tim Herron,82,"7' 0""",7.334,87,148
58,T55,T55,Freddie Jacobson,56,"7' 0""",6.487,77,101
59,T55,T55,Skip Kendall,72,"7' 0""",7.125,85,73
60,T55,T55,Greg Kraft,79,"7' 0""",8.529,101,88
61,T55,T55,Paul Stankowski,70,"7' 0""",7.182,86,114
62,T55,T55,Bob Tway,81,"7' 0""",8.23,98,147
63,T55,T55,Camilo Villegas,95,"7' 0""",8.756,104,123
64,T65,T65,Tommy Armour III,65,"7' 1""",5.856,69,172
65,T65,T65,Jeff Brehaut,100,"7' 1""",10.732000000000001,126,153
66,T65,T65,Joe Durant,101,"7' 1""",14.559000000000001,172,133
67,T65,T65,Dudley Hart,83,"7' 1""",9.299,110,64
68,T65,T65,Trevor Immelman,86,"7' 1""",9.731,115,32
69,T65,T65,Justin Rose,98,"7' 1""",9.266,109,84
70,T65,T65,Hidemichi Tanaka,74,"7' 1""",9.217,109,169
71,T72,T72,Paul Azinger,87,"7' 2""",9.904,115,8
72,T72,T72,K.J. Choi,93,"7' 2""",9.11,106,67
73,T72,T72,Charles Howell III,96,"7' 2""",10.046,117,115
74,T72,T72,Lee Janzen,79,"7' 2""",8.549,99,184
75,T72,T72,Kent Jones,103,"7' 2""",12.869000000000002,149,136
76,T72,T72,Jonathan Kaye,95,"7' 2""",11.292,132,102
77,T72,T72,Shaun Micheel,96,"7' 2""",8.397,98,127
78,T72,T72,Ian Poulter,53,"7' 2""",6.91,80,36
79,T72,T72,Rory Sabbatini,84,"7' 2""",7.4,86,50
80,T72,T72,Patrick Sheehan,104,"7' 2""",10.649000000000001,124,60
81,T82,T82,Shane Bertsch,104,"7' 3""",11.136,128,105
82,T82,T82,Steve Elkington,52,"7' 3""",5.976,69,6
83,T82,T82,Rod Pampling,89,"7' 3""",6.733,77,85
84,T82,T82,Tag Ridings,103,"7' 3""",11.573,133,160
85,T86,T86,Jason Bohn,104,"7' 4""",11.327,128,13
86,T86,T86,Greg Chalmers,71,"7' 4""",7.245,82,126
87,T86,T86,Jason Gore,86,"7' 4""",9.901,112,170
88,T86,T86,Matt Hansen,68,"7' 4""",7.142,81,89
89,T86,T86,Ryuji Imada,105,"7' 4""",12.972999999999999,147,24
90,T86,T86,Bernhard Langer,77,"7' 4""",8.642000000000001,98,57
91,T86,T86,Peter Lonard,77,"7' 4""",7.121,81,87
92,T86,T86,Tom Pernice Jr.,108,"7' 4""",10.607000000000001,121,80
