,Career_Earnings_RANK THIS WEEK,Career_Earnings_RANK LAST WEEK,Career_Earnings_PLAYER NAME,Career_Earnings_MONEY
0,1,1,Tiger Woods,"$65,712,324"
1,2,2,Vijay Singh,"$49,379,841"
2,3,3,Phil Mickelson,"$39,514,038"
3,4,4,Davis Love III,"$34,613,823"
4,5,5,Jim Furyk,"$31,200,066"
5,6,6,Ernie Els,"$28,420,395"
6,7,7,David Toms,"$25,816,115"
7,8,8,Justin Leonard,"$21,086,669"
8,9,9,Nick Price,"$20,551,208"
9,10,10,Kenny Perry,"$20,335,031"
10,11,11,Fred Funk,"$19,429,189"
11,12,12,Mark Calcavecchia,"$19,303,087"
12,13,13,Fred Couples,"$19,129,114"
13,14,14,Stuart Appleby,"$18,906,470"
14,15,15,Mike Weir,"$18,853,935"
15,16,16,Tom Lehman,"$18,821,038"
16,17,17,Chris DiMarco,"$18,709,850"
17,18,18,Stewart Cink,"$18,593,548"
18,19,19,Scott Hoch,"$18,487,114"
19,20,20,Scott Verplank,"$17,956,383"
20,21,21,Jeff Sluman,"$17,841,673"
21,22,22,Brad Faxon,"$17,571,909"
22,23,23,Retief Goosen,"$17,231,017"
23,24,24,David Duval,"$16,682,256"
24,25,25,Sergio Garcia,"$15,819,592"
25,26,26,Bob Estes,"$15,518,055"
26,27,27,Hal Sutton,"$15,267,685"
27,28,28,Loren Roberts,"$15,090,850"
28,29,29,Bob Tway,"$14,489,049"
29,30,30,Jeff Maggert,"$14,455,224"
30,31,31,Jay Haas,"$14,440,317"
31,32,32,Jerry Kelly,"$14,417,685"
32,33,33,Paul Azinger,"$14,230,551"
33,34,34,John Huston,"$14,094,975"
34,35,35,Billy Mayfair,"$14,088,197"
35,36,36,Mark O'Meara,"$14,082,183"
36,37,37,Greg Norman,"$13,963,611"
37,38,38,Tim Herron,"$13,569,182"
38,39,39,Robert Allenby,"$13,455,147"
39,40,40,Jesper Parnevik,"$13,438,150"
40,41,41,Kirk Triplett,"$13,215,254"
41,42,42,Corey Pavin,"$13,183,622"
42,43,43,Lee Janzen,"$13,048,403"
43,44,44,Adam Scott,"$12,977,216"
44,45,45,Steve Flesch,"$12,773,344"
45,46,46,Steve Lowery,"$12,616,606"
46,47,47,Chad Campbell,"$12,479,591"
47,48,48,Charles Howell III,"$12,386,786"
48,49,49,John Cook,"$12,313,843"
49,50,50,Shigeki Maruyama,"$12,241,561"
50,51,51,Rocco Mediate,"$12,203,971"
51,52,52,Steve Elkington,"$11,927,717"
52,53,53,Payne Stewart,"$11,737,008"
53,54,54,Billy Andrade,"$11,618,464"
54,55,55,K.J. Choi,"$11,530,338"
55,56,56,Rory Sabbatini,"$11,506,946"
56,57,57,Duffy Waldorf,"$11,271,906"
57,58,58,Stephen Ames,"$11,201,944"
58,59,59,Tom Kite,"$11,041,042"
59,60,60,José María Olazábal,"$10,963,145"
60,61,61,Joey Sindelar,"$10,851,395"
61,62,62,Tom Pernice Jr.,"$10,602,694"
62,63,63,Geoff Ogilvy,"$10,483,323"
63,64,64,Joe Durant,"$10,428,026"
64,65,65,Jonathan Kaye,"$10,166,329"
65,66,66,Frank Lickliter II,"$10,146,618"
66,67,67,Steve Stricker,"$10,042,503"
67,68,68,Craig Stadler,"$10,003,337"
68,69,69,Tom Watson,"$9,939,949"
69,70,70,Dudley Hart,"$9,890,031"
70,71,71,Scott McCarron,"$9,600,092"
71,72,72,Luke Donald,"$9,178,310"
72,73,73,David Frost,"$9,155,221"
73,74,74,Kevin Sutherland,"$9,151,954"
74,75,75,Mark Brooks,"$8,868,883"
75,76,76,Bernhard Langer,"$8,811,068"
76,77,77,John Daly,"$8,804,750"
77,78,78,Carlos Franco,"$8,761,085"
78,79,79,Andrew Magee,"$8,500,515"
79,80,80,Chris Riley,"$8,494,630"
80,81,81,Craig Parry,"$8,395,145"
81,82,82,Dan Forsman,"$8,333,355"
82,83,83,Woody Austin,"$8,315,510"
