,Driving_Pct._280-300_Measured_RANK THIS WEEK,Driving_Pct._280-300_Measured_RANK LAST WEEK,Driving_Pct._280-300_Measured_PLAYER NAME,Driving_Pct._280-300_Measured_ROUNDS,Driving_Pct._280-300_Measured_%,Driving_Pct._280-300_Measured_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._280-300_Measured_RELATIVE TO PAR
0,1,1,Vijay Singh,103,48.86,86,176,-0.34
1,2,2,Pat Perez,50,46.88,45,96,-0.07
2,3,3,David Howell,52,46.77,29,62,-0.24
3,4,4,Sean O'Hair,100,46.43,78,168,-0.08
4,5,5,Greg Chalmers,71,46.27,62,134,-0.08
5,6,6,Padraig Harrington,54,46.05,35,76,-0.23
6,T7,T7,Ernie Els,69,45.83,44,96,-0.45
7,T7,T7,Joey Sindelar,90,45.83,77,168,-0.18
8,9,9,Charles Warren,93,45.35,78,172,-0.15
9,10,10,Todd Hamilton,72,45.16,56,124,-0.11
10,11,11,Brett Quigley,109,44.95,89,198,-0.26
11,T12,T12,Alex Cejka,93,43.96,80,182,-0.26
12,T12,T12,Justin Rose,98,43.96,80,182,-0.20
13,14,14,Ted Purdy,103,43.82,78,178,-0.29
14,15,15,"Wes Short, Jr.",96,43.48,80,184,-0.19
15,16,16,Trevor Immelman,86,43.42,66,152,-0.42
16,17,17,Henrik Bjornstad,97,43.16,82,190,-0.15
17,18,18,Frank Lickliter II,99,42.78,83,194,-0.28
18,19,19,Sergio Garcia,59,42.68,35,82,-0.29
19,20,20,Ben Crane,85,42.65,58,136,-0.24
20,21,21,Steve Stricker,64,42.59,46,108,-0.24
21,22,22,Hunter Mahan,98,42.55,80,188,-0.28
22,23,23,David Branshaw,98,42.35,83,196,-0.19
23,24,24,Michael Allen,84,42.26,71,168,-0.24
24,25,25,Rich Beem,85,42.25,60,142,-0.08
25,26,26,Carl Pettersson,95,41.98,68,162,-0.15
26,27,27,Tim Herron,82,41.79,56,134,-0.05
27,28,28,Kevin Sutherland,100,41.67,80,192,-0.26
28,29,29,Rory Sabbatini,84,41.55,59,142,-0.22
29,30,30,D.A. Points,82,41.25,66,160,-0.11
30,31,31,Stewart Cink,93,41.22,61,148,E
31,32,32,Davis Love III,85,40.63,52,128,-0.13
32,33,33,J.J. Henry,96,40.59,69,170,-0.10
33,34,34,Ian Poulter,53,40.48,34,84,-0.24
34,35,35,Heath Slocum,96,40.45,72,178,-0.38
35,36,36,Jason Bohn,104,40.31,79,196,-0.20
36,37,37,K.J. Choi,93,40.24,66,164,-0.08
37,T38,T38,Tommy Armour III,65,40.16,49,122,-0.08
38,T38,T38,Ryan Moore,68,40.16,49,122,-0.16
39,40,40,Mathew Goggin,72,40.15,53,132,-0.08
40,41,41,Steve Lowery,99,40.11,73,182,-0.25
41,42,42,Danny Ellis,68,39.84,51,128,+0.04
42,43,43,Shigeki Maruyama,94,39.77,70,176,-0.14
43,44,44,Hidemichi Tanaka,74,39.73,58,146,-0.12
44,45,45,Billy Andrade,78,39.71,54,136,-0.26
45,46,46,John Senden,96,39.66,69,174,-0.17
46,47,47,Chris Smith,67,39.55,53,134,-0.15
47,48,48,Kenny Perry,73,39.52,49,124,-0.12
48,49,49,Duffy Waldorf,96,39.44,71,180,-0.20
49,50,50,Paul Azinger,87,39.41,67,170,-0.12
50,51,51,Jason Gore,86,39.38,63,160,+0.03
51,52,52,Daisuke Maruyama,83,39.24,62,158,-0.18
52,53,53,Brian Bateman,69,39.23,51,130,-0.18
53,54,54,Kent Jones,103,39.18,76,194,-0.24
54,55,55,Camilo Villegas,95,39.08,68,174,-0.04
55,56,56,Ryan Palmer,101,38.95,74,190,-0.14
56,57,57,Bob Estes,85,38.89,63,162,-0.17
57,58,58,Craig Barlow,77,38.81,52,134,-0.19
58,59,59,Eric Axley,91,38.76,69,178,-0.10
59,60,60,James Driscoll,80,38.75,62,160,-0.08
60,61,61,Stuart Appleby,83,38.64,51,132,-0.14
61,62,62,Bo Van Pelt,102,38.54,74,192,-0.09
62,63,63,Robert Allenby,79,38.52,47,122,E
63,64,64,Zach Johnson,98,38.46,60,156,-0.07
64,65,65,Arjun Atwal,97,38.42,73,190,-0.27
65,66,66,Nathan Green,108,38.27,75,196,-0.25
66,67,67,Jeff Overton,95,38.17,71,186,-0.17
67,68,68,Mark Wilson,79,38.16,58,152,-0.31
68,69,69,Joe Durant,101,38.12,77,202,-0.19
69,70,70,Dean Wilson,115,38.1,80,210,-0.19
70,71,71,D.J. Trahan,92,38.07,67,176,+0.03
71,72,72,Jeff Brehaut,100,38.02,73,192,-0.25
72,73,73,Shaun Micheel,96,37.95,63,166,-0.03
73,T74,T74,John Rollins,93,37.93,66,174,-0.23
74,T74,T74,Jimmy Walker,60,37.93,44,116,-0.02
75,76,76,Paul Stankowski,70,37.86,53,140,-0.08
76,77,77,Chris Couch,75,37.67,55,146,-0.13
77,T78,T78,Stephen Ames,63,37.5,36,96,-0.17
78,T78,T78,Freddie Jacobson,56,37.5,42,112,-0.02
79,T78,T78,Vaughn Taylor,88,37.5,60,160,-0.07
80,T81,T81,Marco Dawson,87,37.36,65,174,-0.20
81,T81,T81,Tim Petrovic,95,37.36,68,182,-0.09
82,83,83,Greg Owen,79,37.32,53,142,-0.32
83,84,84,Scott Gutschewski,53,37.25,38,102,+0.11
84,85,85,Rod Pampling,89,37.14,52,140,-0.13
85,86,86,Matt Hansen,68,37.12,49,132,-0.12
86,87,87,Charles Howell III,96,37.06,63,170,-0.29
87,T88,T88,Mark Calcavecchia,94,36.9,62,168,-0.15
88,T88,T88,José María Olazábal,62,36.9,31,84,-0.10
89,90,90,Daniel Chopra,110,36.89,76,206,-0.07
90,91,91,David Duval,71,36.84,42,114,+0.05
91,92,92,Phil Mickelson,74,36.79,39,106,-0.21
92,93,93,Skip Kendall,72,36.76,50,136,-0.14
93,94,94,Ryuji Imada,105,36.73,72,196,-0.29
94,95,95,Jesper Parnevik,84,36.59,60,164,-0.27
95,96,96,"John Engler, Jr.",69,36.57,49,134,+0.10
96,97,97,Tom Pernice Jr.,108,36.46,70,192,-0.37
97,T98,T98,Lee Janzen,79,36.36,56,154,-0.18
98,T98,T98,Jon Mills,68,36.36,48,132,+0.02
99,100,100,Jeff Gove,91,36.21,63,174,-0.22
100,101,101,Mike Sposa,68,36.15,47,130,+0.04
101,102,102,Ron Whittaker,81,36.08,57,158,-0.04
102,103,103,Mathias Grönberg,92,35.96,64,178,-0.23
103,104,104,Bubba Dickerson,98,35.94,69,192,+0.04
104,105,105,Steve Jones,83,35.9,56,156,-0.13
105,106,106,Arron Oberholser,82,35.82,48,134,-0.33
106,107,107,Will MacKenzie,91,35.8,63,176,-0.10
107,108,108,Nick Watney,97,35.79,68,190,-0.21
108,T109,T109,Lucas Glover,105,35.71,65,182,-0.23
109,T109,T109,Thomas Levet,53,35.71,35,98,-0.11
110,T109,T109,Nicholas Thompson,96,35.71,65,182,+0.11
111,112,112,Chad Campbell,91,35.62,52,146,-0.19
112,113,113,Bernhard Langer,77,35.61,47,132,-0.26
113,114,114,Steve Flesch,119,35.59,79,222,-0.08
114,115,115,Tom Lehman,70,35.58,37,104,-0.08
115,116,116,Woody Austin,107,35.35,70,198,-0.14
116,T117,T117,Alex Aragon,63,35.25,43,122,+0.09
117,T117,T117,Roger Tambellini,64,35.25,43,122,-0.33
118,119,119,Justin Leonard,83,35.21,50,142,-0.24
119,120,120,Jeff Sluman,101,35.16,64,182,-0.16
120,121,121,Brent Geiberger,99,35.05,68,194,-0.16
121,T122,T122,Brian Davis,92,35.0,63,180,-0.13
122,T122,T122,Patrick Sheehan,104,35.0,70,200,-0.21
123,124,124,Jonathan Kaye,95,34.78,64,184,-0.17
124,125,125,John Huston,74,34.72,50,144,-0.10
125,126,126,Bob May,65,34.68,43,124,-0.30
126,127,127,Troy Matteson,101,34.65,70,202,-0.13
127,128,128,Dudley Hart,83,34.15,56,164,-0.30
128,129,129,Robert Damron,91,34.07,62,182,-0.15
129,130,130,Mike Weir,88,34.06,47,138,-0.09
130,131,131,Harrison Frazar,95,33.91,59,174,-0.05
131,132,132,Len Mattiace,59,33.9,40,118,-0.03
132,133,133,Bill Haas,99,33.85,65,192,-0.32
133,134,134,Adam Scott,70,33.65,35,104,-0.11
134,135,135,Aaron Baddeley,78,33.57,47,140,-0.28
135,T136,T136,Stephen Leaney,84,33.33,56,168,-0.29
136,T136,T136,Kirk Triplett,58,33.33,36,108,-0.06
137,138,138,David McKenzie,82,33.13,53,160,-0.11
138,139,139,Tim Clark,80,33.08,43,130,-0.28
139,140,140,Jonathan Byrd,66,33.06,41,124,-0.20
140,T141,T141,Ian Leggatt,80,32.89,50,152,-0.10
141,T141,T141,Tiger Woods,55,32.89,25,76,-0.20
142,143,143,Chris Riley,86,32.69,51,156,-0.12
143,T144,T144,Jeff Maggert,81,32.67,49,150,-0.12
144,T144,T144,Jason Schultz,77,32.67,49,150,+0.02
