,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Craig Barlow,77,10.36,222,23
1,2,2,David McKenzie,82,9.58,313,30
2,3,3,Chris Riley,86,8.86,271,24
3,4,4,Richard Johnson,94,8.56,374,32
4,5,5,Vaughn Taylor,88,8.14,295,24
5,6,6,David Toms,76,7.89,228,18
6,7,7,David Howell,52,7.87,127,10
7,8,8,Tom Pernice Jr.,108,7.8,346,27
8,9,9,Vijay Singh,103,7.79,308,24
9,10,10,Jim Furyk,89,7.75,271,21
10,11,11,Ernie Els,69,7.69,169,13
11,12,12,Mathias Grönberg,92,7.67,300,23
12,13,13,Ted Purdy,103,7.5,320,24
13,14,14,Mark Wilson,79,7.41,297,22
14,15,15,Bob Tway,81,7.32,287,21
15,16,16,D.A. Points,82,7.27,275,20
16,17,17,John Huston,74,7.23,235,17
17,18,18,Brent Geiberger,99,7.06,425,30
18,19,19,Marco Dawson,87,7.04,284,20
19,20,20,David Duval,71,7.03,185,13
20,21,21,Brad Faxon,78,7.02,285,20
21,22,22,J.J. Henry,96,7.0,343,24
22,23,23,Brett Quigley,109,6.99,415,29
23,24,24,Bo Van Pelt,102,6.97,373,26
24,25,25,Aaron Baddeley,78,6.94,245,17
25,T26,T26,Ben Curtis,86,6.93,303,21
26,T26,T26,Brandt Jobe,91,6.93,303,21
27,28,28,Dudley Hart,83,6.9,290,20
28,29,29,Freddie Jacobson,56,6.86,204,14
29,30,30,Carlos Franco,86,6.82,337,23
30,31,31,Todd Fischer,101,6.77,310,21
31,T32,T32,Robert Allenby,79,6.75,237,16
32,T32,T32,José María Olazábal,62,6.75,163,11
33,34,34,Adam Scott,70,6.74,193,13
34,35,35,Jerry Smith,94,6.73,312,21
35,T36,T36,Kent Jones,103,6.72,357,24
36,T36,T36,Dean Wilson,115,6.72,387,26
37,38,38,Chris Smith,67,6.69,299,20
38,T39,T39,Brian Gay,107,6.67,345,23
39,T39,T39,Mathew Goggin,72,6.67,270,18
40,41,41,Jonathan Byrd,66,6.64,226,15
41,42,42,James Driscoll,80,6.59,334,22
42,43,43,Larry Mize,53,6.56,183,12
43,44,44,Briny Baird,81,6.46,294,19
44,45,45,Corey Pavin,74,6.43,249,16
45,46,46,Tom Lehman,70,6.38,188,12
46,47,47,Olin Browne,108,6.31,317,20
47,T48,T48,Billy Andrade,78,6.3,238,15
48,T48,T48,Frank Lickliter II,99,6.3,349,22
49,50,50,Mark O'Meara,52,6.29,143,9
50,51,51,Jeff Maggert,81,6.27,271,17
51,52,52,Len Mattiace,59,6.22,209,13
52,53,53,J.P. Hayes,55,6.18,178,11
53,54,54,Retief Goosen,68,6.17,162,10
54,55,55,Luke Donald,66,6.15,179,11
55,56,56,Ian Poulter,53,6.13,163,10
56,57,57,Daniel Chopra,110,6.1,344,21
57,58,58,J.L. Lewis,57,6.09,197,12
58,59,59,Alex Aragon,63,6.06,198,12
59,60,60,Steve Elkington,52,6.05,215,13
60,61,61,Geoff Ogilvy,76,6.03,199,12
61,62,62,Kirk Triplett,58,5.99,167,10
62,63,63,Davis Love III,85,5.94,219,13
63,64,64,Carl Pettersson,95,5.92,304,18
64,65,65,Chad Campbell,91,5.9,271,16
65,66,66,Will MacKenzie,91,5.88,340,20
66,67,67,Rod Pampling,89,5.86,239,14
67,68,68,Pat Perez,50,5.84,154,9
68,69,69,Skip Kendall,72,5.83,223,13
69,70,70,Jason Schultz,77,5.82,292,17
70,71,71,Padraig Harrington,54,5.8,138,8
