,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,T1,T1,Briny Baird,81,0.8,163,13.0
1,T1,T1,Mark O'Meara,52,0.8,75,6.0
2,3,3,Ian Poulter,53,0.74,81,6.0
3,4,4,Corey Pavin,74,0.69,130,9.0
4,5,5,Richard Johnson,94,0.68,191,13.0
5,6,6,Ben Curtis,86,0.66,166,11.0
6,7,7,Brent Geiberger,99,0.65,231,15.0
7,8,8,Vaughn Taylor,88,0.64,140,9.0
8,T9,T9,David Howell,52,0.62,65,4.0
9,T9,T9,Kent Jones,103,0.62,194,12.0
10,T11,T11,Ernie Els,69,0.61,82,5.0
11,T11,T11,J.B. Holmes,81,0.61,147,9.0
12,T11,T11,J.L. Lewis,57,0.61,98,6.0
13,T14,T14,Aaron Baddeley,78,0.59,135,8.0
14,T14,T14,Craig Barlow,77,0.59,119,7.0
15,T16,T16,Stewart Cink,93,0.58,139,8.0
16,T16,T16,Davis Love III,85,0.58,103,6.0
17,T16,T16,Tom Pernice Jr.,108,0.58,191,11.0
18,T19,T19,David Duval,71,0.57,106,6.0
19,T19,T19,Tiger Woods,55,0.57,88,5.0
20,21,21,Joe Durant,101,0.56,198,11.0
21,T22,T22,Hidemichi Tanaka,74,0.55,128,7.0
22,T22,T22,Kirk Triplett,58,0.55,73,4.0
23,T24,T24,J.J. Henry,96,0.54,168,9.0
24,T24,T24,Jerry Kelly,100,0.54,185,10.0
25,T26,T26,Arjun Atwal,97,0.53,152,8.0
26,T26,T26,K.J. Choi,93,0.53,208,11.0
27,T26,T26,Dudley Hart,83,0.53,150,8.0
28,T26,T26,Brandt Jobe,91,0.53,151,8.0
29,T26,T26,Will MacKenzie,91,0.53,189,10.0
30,T26,T26,David McKenzie,82,0.53,151,8.0
31,T26,T26,Vijay Singh,103,0.53,169,9.0
32,T33,T33,Tim Clark,80,0.52,116,6.0
33,T33,T33,Hunter Mahan,98,0.52,191,10.0
34,T33,T33,Tag Ridings,103,0.52,193,10.0
35,T33,T33,David Toms,76,0.52,116,6.0
36,T37,T37,Harrison Frazar,95,0.51,136,7.0
37,T37,T37,Charles Howell III,96,0.51,197,10.0
38,T37,T37,Jeff Maggert,81,0.51,137,7.0
39,T40,T40,Ryuji Imada,105,0.5,181,9.0
40,T40,T40,Jerry Smith,94,0.5,159,8.0
41,T40,T40,Bob Tway,81,0.5,140,7.0
42,T40,T40,Mark Wilson,79,0.5,159,8.0
43,T44,T44,Sergio Garcia,59,0.49,82,4.0
44,T44,T44,Pat Perez,50,0.49,82,4.0
45,T44,T44,Chris Riley,86,0.49,143,7.0
46,T47,T47,Bart Bryant,87,0.48,168,8.0
47,T47,T47,Kevin Sutherland,100,0.48,230,11.0
48,T49,T49,Chad Campbell,91,0.47,128,6.0
49,T49,T49,Carlos Franco,86,0.47,171,8.0
50,T49,T49,Mathew Goggin,72,0.47,148,7.0
51,T52,T52,Padraig Harrington,54,0.46,65,3.0
52,T52,T52,Ryan Palmer,101,0.46,153,7.0
53,54,54,Steve Elkington,52,0.45,112,5.0
54,T55,T55,John Cook,67,0.44,114,5.0
55,T55,T55,Mathias Grönberg,92,0.44,160,7.0
56,T55,T55,Heath Slocum,96,0.44,159,7.0
