,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Daniel Chopra,110,1.712,2094,1223,34.75,148
1,2,2,Vaughn Taylor,88,1.725,1751,1015,34.26,134
2,3,3,Brian Gay,107,1.7269999999999999,2102,1217,31.05,T153
3,4,4,David Howell,52,1.73,886,512,32.88,152
4,5,5,Phil Mickelson,74,1.7309999999999999,1468,848,35.66,21
5,6,6,Steve Stricker,64,1.734,1316,759,30.56,24
6,7,7,Ben Crane,85,1.736,1550,893,32.28,178
7,8,8,Jim Furyk,89,1.742,1951,1120,30.47,4
8,9,9,Stuart Appleby,83,1.743,1555,892,31.53,147
9,10,10,Todd Fischer,101,1.744,1934,1109,29.27,176
10,T11,T11,Aaron Baddeley,78,1.745,1391,797,31.36,193
11,T11,T11,Rod Pampling,89,1.745,1649,945,30.65,172
12,T11,T11,Jesper Parnevik,84,1.745,1700,974,30.9,124
13,T14,T14,Michael Allen,84,1.746,1655,948,31.86,166
14,T14,T14,Robert Allenby,79,1.746,1643,941,31.09,T29
15,T16,T16,Eric Axley,91,1.7480000000000002,1841,1053,31.14,88
16,T16,T16,Harrison Frazar,95,1.7480000000000002,1834,1049,32.7,T135
17,18,18,Shigeki Maruyama,94,1.749,1842,1053,30.86,144
18,19,19,Jonathan Byrd,66,1.75,1447,827,33.09,T8
19,T20,T20,Shane Bertsch,104,1.751,2054,1173,30.28,T139
20,T20,T20,Davis Love III,85,1.751,1595,911,31.53,54
21,T22,T22,Stephen Ames,63,1.7519999999999998,1300,742,30.41,58
22,T22,T22,Tommy Armour III,65,1.7519999999999998,1307,746,29.97,142
23,T22,T22,Marco Dawson,87,1.7519999999999998,1782,1017,30.74,113
24,T22,T22,Luke Donald,66,1.7519999999999998,1312,749,30.29,74
25,T22,T22,Vance Veazey,59,1.7519999999999998,1146,654,30.02,180
26,T22,T22,Mike Weir,88,1.7519999999999998,1782,1017,30.73,59
27,T28,T28,J.P. Hayes,55,1.7530000000000001,1115,636,32.6,T127
28,T28,T28,Charley Hoffman,100,1.7530000000000001,2060,1175,31.94,53
29,T28,T28,Vijay Singh,103,1.7530000000000001,2141,1221,31.77,T31
30,T31,T31,Stephen Leaney,84,1.755,1781,1015,27.88,45
31,T31,T31,Chris Riley,86,1.755,1618,922,30.03,173
32,T31,T31,John Rollins,93,1.755,1901,1083,30.73,73
33,T31,T31,Scott Verplank,88,1.755,1794,1022,29.9,T77
34,T35,T35,Stewart Cink,93,1.756,1805,1028,30.99,114
35,T35,T35,Tom Pernice Jr.,108,1.756,2121,1208,31.7,T120
36,T35,T35,Tiger Woods,55,1.756,1219,694,35.26,1
37,T38,T38,Nathan Green,108,1.757,2073,1180,31.32,T158
38,T38,T38,Joe Ogilvie,95,1.757,1873,1066,30.99,111
39,T38,T38,Kirk Triplett,58,1.757,1156,658,29.05,T104
40,T41,T41,Padraig Harrington,54,1.758,1032,587,31.18,109
41,T41,T41,Mark Wilson,79,1.758,1635,930,29.85,T26
42,T43,T43,Ernie Els,69,1.7590000000000001,1291,734,30.51,143
43,T43,T43,Justin Rose,98,1.7590000000000001,2042,1161,31.72,T29
44,T43,T43,David Toms,76,1.7590000000000001,1446,822,31.43,71
45,46,46,Freddie Jacobson,56,1.76,1135,645,29.61,138
46,47,47,Arjun Atwal,97,1.761,1928,1095,29.32,T135
47,48,48,Kent Jones,103,1.7619999999999998,2097,1190,29.54,T92
48,T49,T49,Tim Clark,80,1.7630000000000001,1654,938,30.66,80
49,T49,T49,Lucas Glover,105,1.7630000000000001,2158,1224,32.02,40
50,T49,T49,Frank Lickliter II,99,1.7630000000000001,2093,1187,29.87,T26
51,T49,T49,Jeff Sluman,101,1.7630000000000001,2091,1186,29.54,108
52,T53,T53,Olin Browne,108,1.764,2124,1204,29.06,126
53,T53,T53,Greg Chalmers,71,1.764,1256,712,29.06,191
54,T53,T53,Danny Ellis,68,1.764,1272,721,28.93,170
55,T53,T53,Ryuji Imada,105,1.764,2099,1190,28.04,116
56,T53,T53,Richard Johnson,94,1.764,1970,1117,28.43,T77
57,T53,T53,Ryan Palmer,101,1.764,2018,1144,30.93,129
58,T53,T53,Jimmy Walker,60,1.764,1141,647,28.84,179
59,T60,T60,Lee Janzen,79,1.765,1583,897,30.58,157
60,T60,T60,Dean Wilson,115,1.765,2301,1304,29.26,106
61,T62,T62,Tag Ridings,103,1.766,1946,1102,31.72,183
62,T62,T62,Brett Wetterich,82,1.766,1768,1001,32.23,33
63,T64,T64,David Duval,71,1.767,1318,746,30.91,187
64,T64,T64,Adam Scott,70,1.767,1495,846,30.39,12
65,T66,T66,Paul Azinger,87,1.7690000000000001,1728,977,28.0,174
66,T66,T66,Craig Barlow,77,1.7690000000000001,1528,864,30.54,87
67,T66,T66,Geoff Ogilvy,76,1.7690000000000001,1403,793,31.44,160
68,T69,T69,Scott Gutschewski,53,1.77,1083,612,29.06,52
69,T69,T69,Skip Kendall,72,1.77,1542,871,27.24,43
70,T69,T69,Greg Kraft,79,1.77,1499,847,27.22,164
71,T69,T69,José María Olazábal,62,1.77,1211,684,28.89,91
72,T73,T73,Brad Faxon,78,1.771,1443,815,28.13,194
73,T73,T73,Steve Flesch,119,1.771,2419,1366,28.43,79
74,T73,T73,Retief Goosen,68,1.771,1252,707,30.26,T92
75,T73,T73,Trevor Immelman,86,1.771,1893,1069,30.06,14
76,T73,T73,Pat Perez,50,1.771,1031,582,30.05,118
77,T73,T73,Bob Tway,81,1.771,1596,901,27.68,131
78,T79,T79,Chris DiMarco,83,1.7719999999999998,1653,933,29.22,T60
79,T79,T79,Ian Poulter,53,1.7719999999999998,1095,618,28.8,T75
80,T79,T79,Bo Van Pelt,102,1.7719999999999998,2162,1220,31.09,T60
81,T82,T82,Woody Austin,107,1.7730000000000001,2140,1207,30.49,T167
82,T82,T82,Len Mattiace,59,1.7730000000000001,1108,625,29.21,192
83,T82,T82,Ryan Moore,68,1.7730000000000001,1312,740,30.27,150
84,T82,T82,D.A. Points,82,1.7730000000000001,1606,906,30.35,T161
85,86,86,Zach Johnson,98,1.774,1879,1059,26.94,49
86,87,87,Arron Oberholser,82,1.775,1748,985,29.2,11
87,88,88,Carl Pettersson,95,1.776,1852,1043,29.62,175
