,Putts_per_Round_-_Round_2_RANK THIS WEEK,Putts_per_Round_-_Round_2_RANK LAST WEEK,Putts_per_Round_-_Round_2_PLAYER NAME,Putts_per_Round_-_Round_2_AVG,Putts_per_Round_-_Round_2_TOTAL PUTTS,Putts_per_Round_-_Round_2_TOTAL ROUNDS
0,1,1,Brian Gay,27.39,849,31
1,2,2,Aaron Baddeley,27.58,662,24
2,3,3,Ben Crane,27.62,580,21
3,4,4,Luke Donald,27.69,443,16
4,5,5,Michael Allen,27.75,666,24
5,6,6,Daniel Chopra,27.81,890,32
6,7,7,Ryan Moore,28.2,564,20
7,8,8,Ryan Palmer,28.21,818,29
8,9,9,Mark O'Meara,28.24,480,17
9,10,10,Padraig Harrington,28.29,396,14
10,11,11,Paul Azinger,28.32,708,25
11,12,12,Scott Verplank,28.35,652,23
12,13,13,Geoff Ogilvy,28.37,539,19
13,14,14,Freddie Jacobson,28.39,511,18
14,15,15,Stephen Leaney,28.41,767,27
15,16,16,José María Olazábal,28.44,455,16
16,17,17,Nathan Green,28.45,825,29
17,18,18,Brad Faxon,28.46,740,26
18,T19,T19,Tom Pernice Jr.,28.47,911,32
19,T19,T19,Tag Ridings,28.47,911,32
20,21,21,Shigeki Maruyama,28.48,769,27
21,T22,T22,Eric Axley,28.5,798,28
22,T22,T22,Joe Durant,28.5,798,28
23,T22,T22,Steve Stricker,28.5,456,16
24,25,25,Jim Furyk,28.52,656,23
25,26,26,Vance Veazey,28.53,542,19
26,27,27,Ernie Els,28.56,457,16
27,T28,T28,Len Mattiace,28.59,629,22
28,T28,T28,Brett Quigley,28.59,915,32
29,30,30,Chris Riley,28.6,715,25
30,T31,T31,Rod Pampling,28.64,630,22
31,T31,T31,Patrick Sheehan,28.64,945,33
32,T33,T33,David Duval,28.65,659,23
33,T33,T33,Tjaart van der Walt,28.65,573,20
34,T35,T35,Arjun Atwal,28.68,889,31
35,T35,T35,Todd Fischer,28.68,889,31
36,37,37,Justin Rose,28.7,775,27
37,T38,T38,Stewart Cink,28.71,689,24
38,T38,T38,Jesper Parnevik,28.71,689,24
39,40,40,Charley Hoffman,28.75,805,28
40,T41,T41,Robert Allenby,28.76,604,21
41,T41,T41,Larry Mize,28.76,489,17
42,T43,T43,John Cook,28.77,633,22
43,T43,T43,Corey Pavin,28.77,633,22
44,45,45,Steve Jones,28.81,749,26
45,T46,T46,Shane Bertsch,28.84,894,31
46,T46,T46,Bob Estes,28.84,721,25
47,T46,T46,J.P. Hayes,28.84,548,19
48,49,49,Tim Herron,28.85,750,26
49,T50,T50,Tommy Armour III,28.86,606,21
50,T50,T50,Danny Ellis,28.86,606,21
51,T50,T50,Tim Petrovic,28.86,837,29
52,T53,T53,John Huston,28.87,664,23
53,T53,T53,Rory Sabbatini,28.87,664,23
54,T55,T55,Stephen Ames,28.88,491,17
55,T55,T55,Trevor Immelman,28.88,693,24
56,T55,T55,Justin Leonard,28.88,693,24
57,T58,T58,Ben Curtis,28.92,723,25
58,T58,T58,Greg Kraft,28.92,723,25
59,T60,T60,Marco Dawson,28.93,781,27
60,T60,T60,Pat Perez,28.93,434,15
61,62,62,Dean Wilson,28.94,955,33
62,63,63,David Toms,28.95,550,19
63,T64,T64,Harrison Frazar,28.96,782,27
64,T64,T64,Dudley Hart,28.96,724,25
65,T64,T64,Jeff Maggert,28.96,753,26
66,T67,T67,Kris Cox,29.0,783,27
67,T67,T67,Ryuji Imada,29.0,841,29
68,T67,T67,Tiger Woods,29.0,406,14
69,70,70,James Driscoll,29.03,842,29
70,T71,T71,Brian Bateman,29.04,668,23
71,T71,T71,Brandt Jobe,29.04,755,26
72,T71,T71,Joe Ogilvie,29.04,813,28
73,T71,T71,Vaughn Taylor,29.04,755,26
74,75,75,Bernhard Langer,29.05,639,22
75,T76,T76,Jason Bohn,29.07,843,29
76,T76,T76,Frank Lickliter II,29.07,814,28
77,T78,T78,David Howell,29.08,349,12
78,T78,T78,Zach Johnson,29.08,727,25
79,T80,T80,Ryan Hietala,29.09,640,22
80,T80,T80,"Wes Short, Jr.",29.09,931,32
81,82,82,Richard Johnson,29.1,844,29
82,83,83,Nick Watney,29.11,815,28
83,84,84,Mark Brooks,29.12,990,34
84,T85,T85,Mark Calcavecchia,29.13,699,24
85,T85,T85,Mike Sposa,29.13,670,23
86,T87,T87,Brian Davis,29.15,758,26
87,T87,T87,Robert Garrigus,29.15,758,26
88,89,89,Olin Browne,29.17,846,29
89,T90,T90,Woody Austin,29.19,905,31
90,T90,T90,Craig Barlow,29.19,613,21
91,T90,T90,Greg Chalmers,29.19,788,27
92,T90,T90,Todd Hamilton,29.19,788,27
93,T90,T90,Arron Oberholser,29.19,613,21
94,T90,T90,Carl Pettersson,29.19,788,27
95,T90,T90,D.A. Points,29.19,788,27
96,97,97,Jimmy Walker,29.2,584,20
97,T98,T98,Paul Goydos,29.21,701,24
98,T98,T98,Jeff Sluman,29.21,847,29
99,T98,T98,Bo Van Pelt,29.21,818,28
100,T98,T98,Camilo Villegas,29.21,818,28
101,102,102,Sergio Garcia,29.27,439,15
102,T103,T103,Stuart Appleby,29.29,615,21
103,T103,T103,Chris DiMarco,29.29,703,24
104,T103,T103,Skip Kendall,29.29,615,21
105,T103,T103,Jerry Smith,29.29,820,28
106,T103,T103,Bob Tway,29.29,703,24
107,108,108,Mark Wilson,29.3,674,23
108,109,109,Steve Flesch,29.31,938,32
109,T110,T110,Robert Damron,29.32,909,31
110,T110,T110,Greg Owen,29.32,645,22
111,112,112,"John Engler, Jr.",29.35,763,26
112,113,113,Steve Lowery,29.36,822,28
113,114,114,Fred Funk,29.37,793,27
114,T115,T115,Tim Clark,29.38,617,21
115,T115,T115,Davis Love III,29.38,617,21
116,T115,T115,Daisuke Maruyama,29.38,705,24
117,118,118,Jonathan Kaye,29.39,823,28
118,T119,T119,Chad Campbell,29.42,706,24
119,T119,T119,Jason Gore,29.42,765,26
120,T121,T121,Sean O'Hair,29.43,824,28
121,T121,T121,Kevin Sutherland,29.43,824,28
122,T123,T123,Doug Barron,29.44,736,25
123,T123,T123,Jason Schultz,29.44,795,27
124,T123,T123,Brett Wetterich,29.44,736,25
125,T126,T126,Lucas Glover,29.45,854,29
126,T126,T126,Kent Jones,29.45,913,31
127,128,128,D.J. Trahan,29.47,884,30
128,T129,T129,Briny Baird,29.48,678,23
129,T129,T129,Duffy Waldorf,29.48,796,27
130,T131,T131,David Branshaw,29.5,826,28
131,T131,T131,Shaun Micheel,29.5,826,28
132,T131,T131,Jon Mills,29.5,767,26
133,T131,T131,Ian Poulter,29.5,413,14
134,T135,T135,Robert Gamez,29.53,886,30
135,T135,T135,Phil Mickelson,29.53,502,17
136,137,137,Brent Geiberger,29.54,827,28
137,T138,T138,Bill Haas,29.55,857,29
138,T138,T138,J.B. Holmes,29.55,650,22
139,140,140,Tom Lehman,29.56,532,18
140,141,141,Omar Uresti,29.57,621,21
141,142,142,Rich Beem,29.58,769,26
142,T143,T143,Billy Andrade,29.59,651,22
143,T143,T143,David McKenzie,29.59,799,27
144,145,145,Scott Gutschewski,29.61,533,18
145,T146,T146,Henrik Bjornstad,29.63,889,30
146,T146,T146,Troy Matteson,29.63,948,32
147,T148,T148,Paul Stankowski,29.64,652,22
148,T148,T148,Ron Whittaker,29.64,741,25
149,150,150,Jerry Kelly,29.65,919,31
150,151,151,John Rollins,29.67,801,27
151,T152,T152,Ted Purdy,29.69,950,32
152,T152,T152,Heath Slocum,29.69,861,29
153,154,154,Jeff Overton,29.7,802,27
154,T155,T155,Jeff Brehaut,29.72,951,32
155,T155,T155,K.J. Choi,29.72,743,25
156,T155,T155,Mathias Grönberg,29.72,862,29
157,158,158,Chris Couch,29.73,773,26
158,T159,T159,Retief Goosen,29.75,476,16
159,T159,T159,J.L. Lewis,29.75,476,16
160,T159,T159,Bob May,29.75,595,20
161,T162,T162,Bart Bryant,29.76,744,25
162,T162,T162,Bubba Dickerson,29.76,863,29
163,164,164,Vijay Singh,29.77,774,26
164,T165,T165,Matt Hansen,29.78,685,23
165,T165,T165,Adam Scott,29.78,536,18
166,T165,T165,John Senden,29.78,804,27
167,T168,T168,Jonathan Byrd,29.79,566,19
168,T168,T168,Ian Leggatt,29.79,834,28
169,170,170,John Daly,29.8,447,15
170,T171,T171,Steve Elkington,29.81,477,16
171,T171,T171,Thomas Levet,29.81,477,16
172,T173,T173,J.J. Henry,29.85,806,27
173,T173,T173,Charles Warren,29.85,776,26
174,175,175,Billy Mayfair,29.86,836,28
175,T176,T176,Lee Janzen,29.89,807,27
176,T176,T176,Hidemichi Tanaka,29.89,807,27
177,178,178,Alex Aragon,29.92,718,24
178,179,179,Peter Lonard,29.95,629,21
179,180,180,Alex Cejka,30.0,840,28
180,181,181,Kirk Triplett,30.06,481,16
181,182,182,Bubba Watson,30.08,752,25
182,183,183,Mike Weir,30.09,692,23
183,T184,T184,Michael Connell,30.1,602,20
184,T184,T184,Chris Smith,30.1,632,21
185,186,186,Hunter Mahan,30.14,844,28
186,187,187,Roger Tambellini,30.18,664,22
187,T188,T188,Charles Howell III,30.19,815,27
188,T188,T188,Nicholas Thompson,30.19,936,31
189,190,190,Mathew Goggin,30.21,725,24
190,191,191,Will MacKenzie,30.25,847,28
191,192,192,Fred Couples,30.27,454,15
192,193,193,Carlos Franco,30.28,878,29
193,194,194,Jeff Gove,30.32,849,28
194,195,195,Joey Sindelar,30.41,882,29
195,196,196,Kenny Perry,30.67,644,21
