,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,55,34.23,1780,52
1,2,2,Jonathan Byrd,66,34.79,2296,66
2,3,3,Jim Furyk,89,34.81,3063,88
3,4,4,Steve Stricker,64,34.92,2165,62
4,5,5,Justin Rose,98,35.05,3330,95
5,6,6,Brian Gay,107,35.11,3757,107
6,7,7,Phil Mickelson,74,35.12,2423,69
7,8,8,Joe Durant,101,35.13,3548,101
8,9,9,Trevor Immelman,86,35.14,3022,86
9,T10,T10,Adam Scott,70,35.15,2390,68
10,T10,T10,Vijay Singh,103,35.15,3515,100
11,12,12,Brett Quigley,109,35.16,3692,105
12,13,13,Arron Oberholser,82,35.22,2782,79
13,14,14,Stephen Ames,63,35.24,2185,62
14,T15,T15,Luke Donald,66,35.25,2221,63
15,T15,T15,Brent Geiberger,99,35.25,3419,97
16,T17,T17,Robert Allenby,79,35.26,2715,77
17,T17,T17,Ryuji Imada,105,35.26,3597,102
18,19,19,Briny Baird,81,35.27,2716,77
19,20,20,Daniel Chopra,110,35.28,3775,107
20,21,21,Billy Andrade,78,35.31,2613,74
21,T22,T22,Frank Lickliter II,99,35.34,3428,97
22,T22,T22,Hunter Mahan,98,35.34,3463,98
23,T22,T22,Bob May,65,35.34,2191,62
24,T22,T22,Jeff Overton,95,35.34,3287,93
25,T22,T22,Ryan Palmer,101,35.34,3499,99
26,T22,T22,Nick Watney,97,35.34,3357,95
27,T28,T28,Kris Cox,83,35.36,2864,81
28,T28,T28,Jerry Kelly,100,35.36,3536,100
29,T30,T30,Jason Bohn,104,35.37,3678,104
30,T30,T30,Jesper Parnevik,84,35.37,2971,84
31,32,32,K.J. Choi,93,35.38,3255,92
32,33,33,Fred Funk,106,35.39,3716,105
33,34,34,Jonathan Kaye,95,35.41,3258,92
34,35,35,Omar Uresti,61,35.42,2090,59
35,36,36,David Toms,76,35.43,2445,69
36,T37,T37,Stewart Cink,93,35.44,3119,88
37,T37,T37,Bernhard Langer,77,35.44,2552,72
38,39,39,Greg Owen,79,35.45,2730,77
39,40,40,Mathew Goggin,72,35.46,2482,70
40,T41,T41,Woody Austin,107,35.47,3795,107
41,T41,T41,Brian Davis,92,35.47,3192,90
42,T41,T41,John Rollins,93,35.47,3228,91
43,T44,T44,Bob Estes,85,35.48,3016,85
44,T44,T44,Shaun Micheel,96,35.48,3300,93
45,T46,T46,Jeff Gove,91,35.49,3088,87
46,T46,T46,Joe Ogilvie,95,35.49,3230,91
47,T48,T48,Freddie Jacobson,56,35.5,1988,56
48,T48,T48,Shigeki Maruyama,94,35.5,3266,92
49,T48,T48,Geoff Ogilvy,76,35.5,2485,70
50,T48,T48,José María Olazábal,62,35.5,2059,58
51,T52,T52,Charley Hoffman,100,35.51,3480,98
52,T52,T52,Corey Pavin,74,35.51,2486,70
53,T52,T52,Carl Pettersson,95,35.51,3302,93
54,T52,T52,John Senden,96,35.51,3302,93
55,T52,T52,Heath Slocum,96,35.51,3302,93
56,T52,T52,Tjaart van der Walt,60,35.51,2024,57
57,T58,T58,Paul Azinger,87,35.52,3090,87
58,T58,T58,Stephen Leaney,84,35.52,2984,84
59,T58,T58,Bubba Watson,83,35.52,2806,79
60,T61,T61,Steve Flesch,119,35.53,4086,115
61,T61,T61,Mike Weir,88,35.53,3020,85
62,T63,T63,Arjun Atwal,97,35.54,3376,95
63,T63,T63,Harrison Frazar,95,35.54,3234,91
64,T63,T63,Steve Jones,83,35.54,2914,82
65,T63,T63,Kevin Sutherland,100,35.54,3412,96
66,T63,T63,Bo Van Pelt,102,35.54,3625,102
67,T68,T68,Chris Smith,67,35.55,2382,67
68,T68,T68,Jerry Smith,94,35.55,3271,92
69,T68,T68,Scott Verplank,88,35.55,3057,86
70,T71,T71,Ernie Els,69,35.56,2276,64
71,T71,T71,Chris Riley,86,35.56,2916,82
72,T73,T73,David Branshaw,98,35.57,3486,98
73,T73,T73,John Cook,67,35.57,2383,67
74,T73,T73,Steve Elkington,52,35.57,1814,51
75,T73,T73,J.J. Henry,96,35.57,3308,93
76,T73,T73,Justin Leonard,83,35.57,2810,79
77,T73,T73,Tom Pernice Jr.,108,35.57,3699,104
78,T73,T73,Charles Warren,93,35.57,3201,90
79,T73,T73,Brett Wetterich,82,35.57,2917,82
80,T73,T73,Dean Wilson,115,35.57,3948,111
81,T82,T82,Doug Barron,74,35.59,2598,73
82,T82,T82,Lucas Glover,105,35.59,3595,101
83,T84,T84,Shane Bertsch,104,35.61,3632,102
84,T84,T84,David Duval,71,35.61,2457,69
85,T84,T84,Richard Johnson,94,35.61,3347,94
86,T87,T87,Alex Cejka,93,35.62,3241,91
87,T87,T87,Steve Lowery,99,35.62,3455,97
88,T87,T87,Troy Matteson,101,35.62,3598,101
89,T90,T90,Marco Dawson,87,35.63,3100,87
90,T90,T90,Nathan Green,108,35.63,3705,104
91,T90,T90,Kenny Perry,73,35.63,2565,72
92,T90,T90,Mark Wilson,79,35.63,2708,76
93,T94,T94,J.P. Hayes,55,35.64,1960,55
94,T94,T94,Greg Kraft,79,35.64,2673,75
95,T94,T94,Duffy Waldorf,96,35.64,3279,92
96,T97,T97,Stuart Appleby,83,35.65,2781,78
97,T97,T97,Chris DiMarco,83,35.65,2781,78
98,T97,T97,Mathias Grönberg,92,35.65,3173,89
99,T97,T97,Dudley Hart,83,35.65,2959,83
100,T97,T97,Rory Sabbatini,84,35.65,2959,83
101,102,102,Daisuke Maruyama,83,35.66,2817,79
102,T103,T103,Chad Campbell,91,35.67,3103,87
103,T103,T103,Tim Clark,80,35.67,2818,79
104,T105,T105,Ben Crane,85,35.68,2854,80
105,T105,T105,Zach Johnson,98,35.68,3140,88
106,T105,T105,Peter Lonard,77,35.68,2712,76
107,T105,T105,Ryan Moore,68,35.68,2319,65
108,T109,T109,Scott Gutschewski,53,35.69,1820,51
109,T109,T109,Bill Haas,99,35.69,3426,96
110,T109,T109,Jeff Sluman,101,35.69,3605,101
111,112,112,Billy Mayfair,94,35.7,3356,94
112,T113,T113,Ian Poulter,53,35.71,1857,52
113,T113,T113,Jason Schultz,77,35.71,2678,75
114,T113,T113,Camilo Villegas,95,35.71,3321,93
115,T116,T116,Bart Bryant,87,35.72,3072,86
116,T116,T116,Davis Love III,85,35.72,2715,76
117,T116,T116,Will MacKenzie,91,35.72,3143,88
118,T119,T119,Michael Allen,84,35.73,3001,84
