,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Phil Mickelson,74,40.65,87,214
1,2,2,Craig Barlow,77,39.62,103,260
2,3,3,Tiger Woods,55,38.51,67,174
3,4,4,Charley Hoffman,100,38.36,145,378
4,5,5,Padraig Harrington,54,38.16,58,152
5,6,6,Vijay Singh,103,37.01,141,381
6,7,7,Ernie Els,69,36.95,75,203
7,8,8,John Rollins,93,36.54,110,301
8,9,9,Harrison Frazar,95,36.3,106,292
9,10,10,Brett Wetterich,82,36.05,106,294
10,11,11,Jesper Parnevik,84,35.78,117,327
11,12,12,Scott Gutschewski,53,35.68,66,185
12,13,13,Trevor Immelman,86,35.47,105,296
13,14,14,Jason Schultz,77,35.38,92,260
14,15,15,Davis Love III,85,35.32,83,235
15,16,16,Jonathan Byrd,66,35.27,85,241
16,17,17,Bo Van Pelt,102,35.07,121,345
17,18,18,Sean O'Hair,100,35.03,117,334
18,19,19,Lucas Glover,105,34.84,131,376
19,20,20,Robert Garrigus,85,34.82,109,313
20,21,21,Ryan Palmer,101,34.81,118,339
21,22,22,Geoff Ogilvy,76,34.56,75,217
22,23,23,Michael Allen,84,34.23,89,260
23,24,24,Will MacKenzie,91,34.21,104,304
24,25,25,Tag Ridings,103,34.16,124,363
25,26,26,Sergio Garcia,59,34.08,61,179
26,27,27,Duffy Waldorf,96,33.97,107,315
27,28,28,J.B. Holmes,81,33.96,91,268
28,29,29,Charles Warren,93,33.95,110,324
29,30,30,Daniel Chopra,110,33.89,122,360
30,31,31,Rich Beem,85,33.82,92,272
31,T32,T32,Ben Crane,85,33.79,74,219
32,T32,T32,J.J. Henry,96,33.79,99,293
33,34,34,Hunter Mahan,98,33.78,125,370
34,35,35,Camilo Villegas,95,33.74,111,329
35,36,36,Nick Watney,97,33.6,128,381
36,37,37,Vaughn Taylor,88,33.55,103,307
37,T38,T38,Retief Goosen,68,33.33,65,195
38,T38,T38,David Toms,76,33.33,71,213
39,40,40,Jason Bohn,104,33.15,121,365
40,T41,T41,Bill Haas,99,33.06,122,369
41,T41,T41,David Howell,52,33.06,41,124
42,43,43,Steve Lowery,99,32.96,118,358
43,44,44,Jim Furyk,89,32.82,86,262
44,45,45,Bubba Watson,83,32.81,104,317
45,46,46,Joe Durant,101,32.74,129,394
46,47,47,Dudley Hart,83,32.66,81,248
47,48,48,David Duval,71,32.62,61,187
48,T49,T49,Stuart Appleby,83,32.58,86,264
49,T49,T49,Tim Herron,82,32.58,72,221
50,51,51,Kent Jones,103,32.44,109,336
51,52,52,Charles Howell III,96,32.43,108,333
52,53,53,Mathias Grönberg,92,32.42,107,330
53,54,54,Ted Purdy,103,32.39,115,355
54,55,55,Robert Allenby,79,32.22,77,239
55,56,56,James Driscoll,80,32.17,92,286
56,57,57,Troy Matteson,101,32.15,118,367
57,58,58,Arjun Atwal,97,32.04,99,309
58,59,59,Kevin Sutherland,100,31.93,114,357
59,60,60,Mathew Goggin,72,31.85,79,248
60,61,61,Jeff Brehaut,100,31.82,105,330
61,62,62,Alex Cejka,93,31.8,97,305
62,63,63,Jeff Gove,91,31.79,96,302
63,64,64,Ryan Moore,68,31.78,75,236
64,65,65,John Daly,51,31.72,59,186
65,66,66,Justin Rose,98,31.71,104,328
