,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Joe Durant,28,52,3.0
1,2,2,Tim Clark,22,39,1.0
2,3,3,Will MacKenzie,29,34,
3,T4,T4,Steve Flesch,33,31,
4,T4,T4,Fred Funk,29,31,5.0
5,T6,T6,Paul Goydos,24,30,7.0
6,T6,T6,Craig Stadler,4,30,1.0
7,T8,T8,Scott Gump,10,29,6.0
8,T8,T8,Heath Slocum,30,29,
9,T10,T10,Gavin Coles,5,28,
10,T10,T10,Jeff Maggert,26,28,3.0
11,T10,T10,Kirk Triplett,18,28,1.0
12,T13,T13,Jim Furyk,24,27,2.0
13,T13,T13,Graeme McDowell,15,27,8.0
14,T13,T13,Ryan Moore,22,27,
15,T13,T13,Jerry Smith,29,27,2.0
16,T17,T17,Briny Baird,25,26,1.0
17,T17,T17,Chris Couch,27,26,
18,T17,T17,Greg Kraft,26,26,1.0
19,T17,T17,Jay Williamson,18,26,3.0
20,T21,T21,José Coceres,13,25,4.0
21,T21,T21,Arron Oberholser,23,25,1.0
22,T23,T23,Billy Andrade,24,24,
23,T23,T23,Richard Johnson,29,24,1.0
24,T23,T23,Jerry Kelly,31,24,1.0
25,T23,T23,Larry Mize,18,24,
26,T23,T23,Bob Tway,25,24,1.0
27,T23,T23,Mark Wilson,24,24,1.0
28,T29,T29,David Branshaw,29,23,
29,T29,T29,Stewart Cink,26,23,1.0
30,T29,T29,Brian Davis,28,23,
31,T29,T29,Chris DiMarco,26,23,2.0
32,T29,T29,Donnie Hammond,11,23,2.0
33,T29,T29,J.L. Lewis,17,23,
34,T29,T29,Blaine McCallister,10,23,2.0
35,T29,T29,"Wes Short, Jr.",33,23,
36,T29,T29,Jeff Sluman,29,23,4.0
37,T29,T29,Scott Verplank,25,23,3.0
38,T29,T29,Ian Woosnam,1,23,3.0
39,T40,T40,John Cook,22,22,1.0
40,T40,T40,Brad Faxon,26,22,5.0
41,T40,T40,Zach Johnson,27,22,1.0
42,T40,T40,Steve Jones,27,22,
43,T40,T40,Stephen Leaney,27,22,1.0
44,T40,T40,Steve Lowery,31,22,
45,T40,T40,Troy Matteson,32,22,4.0
46,T40,T40,Billy Mayfair,29,22,
47,T40,T40,David Toms,22,22,3.0
48,T40,T40,Mike Weir,24,22,
49,T50,T50,Alex Cejka,30,21,3.0
50,T50,T50,Brent Geiberger,30,21,2.0
51,T50,T50,Daisuke Maruyama,25,21,
52,T50,T50,Joey Sindelar,29,21,1.0
53,T50,T50,Darron Stiles,15,21,1.0
54,T50,T50,Nicholas Thompson,32,21,5.0
55,T56,T56,Jason Bohn,29,20,
56,T56,T56,Ben Curtis,26,20,1.0
57,T56,T56,Nick Faldo,6,20,5.0
58,T56,T56,Robert Gamez,30,20,
59,T56,T56,Nathan Green,30,20,
60,T56,T56,Brian Henninger,12,20,
61,T56,T56,Skip Kendall,22,20,2.0
62,T56,T56,Hunter Mahan,29,20,
63,T56,T56,Spike McRoy,9,20,4.0
64,T56,T56,Greg Owen,24,20,7.0
65,T56,T56,Craig Parry,15,20,1.0
66,T56,T56,Ian Poulter,15,20,2.0
67,T56,T56,Mike Small,9,20,1.0
68,T56,T56,Steve Stricker,17,20,6.0
69,T56,T56,D.J. Trahan,33,20,
70,T56,T56,Omar Uresti,22,20,20.0
