,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,16,54.23,"$10,867,052","$20,037,450"
1,2,2,Phil Mickelson,22,22.4,"$5,819,988","$25,977,450"
2,3,3,Andres Romero,3,19.23,"$798,414","$4,152,450"
3,4,4,Simon Dyson,1,18.06,"$227,500","$1,260,000"
4,5,5,Steve Stricker,23,17.0,"$4,663,076","$27,435,450"
5,6,6,Rory Sabbatini,23,16.63,"$4,550,040","$27,365,450"
6,7,7,Sergio Garcia,19,15.91,"$3,721,184","$23,385,450"
7,8,8,K.J. Choi,25,15.52,"$4,587,858","$29,561,450"
8,9,9,Jim Furyk,23,15.5,"$4,154,046","$26,807,450"
9,10,10,Vijay Singh,27,15.02,"$4,728,376","$31,487,450"
10,11,11,Zach Johnson,23,14.55,"$3,922,337","$26,949,450"
11,12,12,Adam Scott,19,14.54,"$3,413,184","$23,477,450"
12,13,13,Justin Rose,16,14.15,"$2,705,874","$19,119,450"
13,14,14,Ernie Els,16,13.58,"$2,705,715","$19,929,450"
14,15,15,Aaron Baddeley,23,12.62,"$3,441,118","$27,275,450"
15,16,16,Padraig Harrington,18,12.07,"$2,658,282","$22,017,450"
16,17,17,Tim Clark,19,12.03,"$2,615,151","$21,735,000"
17,18,18,Scott Verplank,23,11.89,"$3,114,288","$26,193,450"
18,19,19,Geoff Ogilvy,22,11.12,"$2,943,203","$26,465,450"
19,20,20,Henrik Stenson,15,9.99,"$1,897,554","$18,993,450"
20,21,21,Mark Calcavecchia,28,9.86,"$2,993,331","$30,351,450"
21,22,22,Woody Austin,27,9.84,"$2,887,596","$29,358,000"
22,23,23,Ángel Cabrera,14,9.72,"$1,661,105","$17,085,450"
23,24,24,Charles Howell III,26,9.5,"$2,832,090","$29,811,450"
24,25,25,Hunter Mahan,27,9.44,"$2,858,994","$30,270,450"
25,26,26,Brandt Snedeker,29,9.25,"$2,836,643","$30,654,000"
26,27,27,Luke Donald,20,9.08,"$2,190,053","$24,107,450"
27,28,28,Richard Green,5,8.74,"$544,070","$6,222,450"
28,29,29,Stewart Cink,25,8.56,"$2,483,145","$29,001,450"
29,30,30,Boo Weekley,29,8.32,"$2,613,211","$31,422,450"
30,31,31,David Toms,22,8.01,"$2,095,836","$26,159,450"
31,32,32,Stephen Ames,23,8.0,"$2,103,425","$26,303,450"
32,33,33,Bernhard Langer,14,7.9,"$1,153,603","$14,607,000"
33,34,34,Pelle Edberg,1,7.81,"$120,458","$1,542,450"
34,35,35,Paul Casey,10,7.73,"$1,012,770","$13,107,450"
35,36,36,Heath Slocum,28,7.63,"$2,184,379","$28,620,000"
36,T37,T37,John Rollins,29,7.5,"$2,488,890","$33,179,450"
37,T37,T37,Mike Weir,23,7.5,"$1,986,053","$26,481,450"
38,39,39,José Coceres,17,7.37,"$1,287,842","$17,478,000"
39,T40,T40,Jonathan Byrd,23,7.32,"$1,854,906","$25,338,450"
40,T40,T40,Steve Flesch,31,7.32,"$2,288,899","$31,284,000"
41,42,42,Trevor Immelman,21,7.21,"$1,801,646","$24,989,450"
42,43,43,Jay Williamson,14,7.19,"$835,515","$11,628,000"
43,44,44,Camilo Villegas,24,7.17,"$1,866,960","$26,037,000"
44,45,45,Freddie Jacobson,20,7.13,"$1,469,540","$20,610,000"
45,46,46,Arron Oberholser,21,7.12,"$1,797,457","$25,259,450"
46,47,47,Robert Allenby,28,6.99,"$2,219,537","$31,773,450"
47,48,48,Brett Wetterich,28,6.88,"$2,208,282","$32,081,450"
48,49,49,Justin Leonard,29,6.67,"$2,079,248","$31,152,450"
49,T50,T50,Ian Poulter,18,6.53,"$1,431,389","$21,927,450"
50,T50,T50,John Senden,27,6.53,"$1,899,557","$29,084,450"
51,T52,T52,Jerry Kelly,28,6.46,"$1,978,034","$30,621,450"
52,T52,T52,Nick Watney,26,6.46,"$1,838,629","$28,452,450"
53,54,54,Stuart Appleby,24,6.35,"$1,803,385","$28,391,450"
54,55,55,Sean O'Hair,28,6.34,"$1,921,226","$30,306,450"
55,56,56,Mark Wilson,25,6.27,"$1,637,112","$26,100,000"
56,57,57,Niclas Fasth,10,6.26,"$813,405","$12,999,450"
57,58,58,Ken Duke,31,6.14,"$1,927,101","$31,410,000"
58,59,59,Bubba Watson,26,6.09,"$1,654,806","$27,162,000"
59,60,60,Carl Pettersson,31,6.06,"$2,040,937","$33,665,450"
60,61,61,Jeff Overton,19,5.95,"$1,009,630","$16,956,000"
61,62,62,Retief Goosen,14,5.9,"$1,044,386","$17,697,450"
62,63,63,Billy Mayfair,30,5.87,"$1,814,517","$30,933,000"
63,64,64,Paul Broadhurst,2,5.86,"$169,458","$2,892,450"
64,65,65,Pat Perez,27,5.84,"$1,678,295","$28,722,450"
65,66,66,John Mallinger,29,5.8,"$1,681,764","$28,980,000"
66,67,67,Andy Bare,1,5.79,"$52,142","$900,000"
67,68,68,Paul Goydos,19,5.71,"$1,229,354","$21,537,000"
68,69,69,Anthony Kim,26,5.7,"$1,545,194","$27,108,000"
69,70,70,Nick Dougherty,3,5.61,"$227,921","$4,062,450"
70,71,71,Brian Bateman,18,5.57,"$1,022,763","$18,360,000"
71,72,72,Chad Campbell,28,5.47,"$1,701,242","$31,073,450"
72,73,73,Jeff Quinney,29,5.46,"$1,612,056","$29,538,000"
73,74,74,Lucas Glover,29,5.3,"$1,664,167","$31,395,450"
74,75,75,Daniel Chopra,34,5.29,"$1,755,109","$33,156,000"
75,76,76,George McNeill,30,5.27,"$1,504,626","$28,548,000"
76,77,77,Charley Hoffman,30,5.24,"$1,689,366","$32,268,450"
77,78,78,José María Olazábal,16,5.23,"$979,249","$18,711,000"
78,T79,T79,Fred Funk,22,5.2,"$1,239,376","$23,823,000"
79,T79,T79,Kevin Sutherland,25,5.2,"$1,351,942","$25,992,000"
80,81,81,Michael Allen,22,5.18,"$1,016,951","$19,620,000"
81,82,82,Ryan Moore,28,5.13,"$1,554,901","$30,306,450"
82,83,83,Bo Van Pelt,30,5.1,"$1,559,180","$30,582,000"
83,84,84,Nick O'Hern,22,5.09,"$1,342,390","$26,373,450"
84,85,85,Rod Pampling,25,5.05,"$1,475,970","$29,237,450"
85,86,86,Rocco Mediate,22,4.97,"$1,166,293","$23,472,000"
86,87,87,Kenny Perry,24,4.66,"$1,197,618","$25,686,000"
87,88,88,Troy Matteson,26,4.65,"$1,282,421","$27,605,000"
88,89,89,Nathan Green,29,4.56,"$1,380,317","$30,258,000"
89,90,90,Brian Davis,28,4.54,"$1,289,207","$28,416,450"
90,91,91,Peter Lonard,27,4.49,"$1,259,881","$28,062,000"
91,92,92,Robert Garrigus,28,4.48,"$1,260,009","$28,152,000"
92,93,93,Charlie Wi,27,4.47,"$1,145,975","$25,614,000"
93,94,94,Bart Bryant,25,4.41,"$1,167,873","$26,469,000"
94,95,95,Ryuji Imada,32,4.38,"$1,414,864","$32,310,000"
95,96,96,Vaughn Taylor,28,4.36,"$1,313,353","$30,099,450"
96,97,97,Joe Ogilvie,31,4.34,"$1,339,153","$30,834,000"
97,98,98,Kyle Thompson,1,4.33,"$42,900","$990,000"
98,99,99,Tom Lehman,19,4.31,"$880,824","$20,460,450"
99,T100,T100,Markus Brier,2,4.3,"$120,458","$2,802,450"
100,T100,T100,Dean Wilson,28,4.3,"$1,258,507","$29,279,000"
101,102,102,Alejandro Cañizares,3,4.14,"$111,900","$2,700,000"
102,103,103,Jesper Parnevik,27,4.12,"$1,075,216","$26,082,000"
103,104,104,Fabrizio Zanotti,1,4.11,"$25,900","$630,000"
104,105,105,Jason Gore,27,4.08,"$1,105,985","$27,108,000"
105,106,106,Davis Love III,21,4.07,"$1,016,489","$24,989,450"
106,107,107,Tommy Armour III,24,4.0,"$919,134","$22,950,000"
107,108,108,Mark Hensby,25,3.87,"$969,731","$25,032,450"
108,109,109,Russ Cochran,1,3.86,"$31,275","$810,000"
109,110,110,Stephen Leaney,26,3.83,"$1,015,200","$26,478,000"
110,111,111,Steve Marino,31,3.78,"$1,179,164","$31,194,000"
111,112,112,Robert Karlsson,13,3.76,"$609,370","$16,221,450"
112,113,113,Alex Cejka,25,3.74,"$868,303","$23,220,000"
113,T114,T114,J.J. Henry,26,3.7,"$1,088,659","$29,435,450"
114,T114,T114,D.J. Trahan,30,3.7,"$1,106,373","$29,900,000"
115,T114,T114,Charles Warren,29,3.7,"$1,068,440","$28,890,000"
116,117,117,Will MacKenzie,30,3.69,"$1,116,506","$30,260,000"
117,118,118,Brian Gay,32,3.66,"$1,114,571","$30,420,000"
118,119,119,Steve Elkington,25,3.62,"$911,874","$25,218,000"
119,120,120,Nick Flanagan,4,3.57,"$122,028","$3,420,000"
120,121,121,J.B. Holmes,24,3.52,"$874,215","$24,806,000"
121,122,122,Anton Haig,2,3.51,"$94,750","$2,700,000"
122,123,123,Greg Kraft,10,3.48,"$278,590","$8,010,000"
123,T124,T124,Cameron Beckman,29,3.43,"$902,257","$26,280,000"
124,T124,T124,Matt Kuchar,26,3.43,"$886,146","$25,860,450"
125,126,126,Chris DiMarco,24,3.41,"$950,413","$27,849,450"
126,T127,T127,Tim Herron,27,3.39,"$951,200","$28,073,000"
127,T127,T127,Kevin Na,27,3.39,"$856,669","$25,236,000"
128,T129,T129,Bill Haas,30,3.38,"$967,443","$28,620,000"
129,T129,T129,Tim Petrovic,32,3.38,"$1,052,446","$31,140,000"
130,131,131,Steve Allan,18,3.36,"$568,058","$16,920,000"
131,T132,T132,J.P. Hayes,28,3.33,"$890,814","$26,712,000"
132,T132,T132,Louis Oosthuizen,1,3.33,"$45,000","$1,350,000"
133,134,134,Jeff Maggert,26,3.27,"$845,584","$25,832,000"
134,135,135,Briny Baird,31,3.26,"$985,453","$30,240,000"
135,136,136,Mathew Goggin,30,3.24,"$969,487","$29,952,000"
136,137,137,Johnson Wagner,33,3.23,"$1,013,023","$31,410,000"
137,138,138,Paul McGinley,5,3.21,"$195,151","$6,078,450"
138,139,139,Shigeki Maruyama,31,3.2,"$951,288","$29,700,000"
