,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Paul Stankowski,52,"121' 0""","2782' 9""",23,"159' 7""","96' 6"""
1,2,2,Andrew Buckle,77,"117' 0""","5969' 0""",51,"145' 8""","55' 4"""
2,3,3,Geoff Ogilvy,84,"116' 9""","5488' 5""",47,"146' 7""","83' 8"""
3,4,4,Anthony Kim,93,"116' 7""","6177' 1""",53,"155' 11""","69' 10"""
4,5,5,J.B. Holmes,71,"116' 0""",3944',34,"166' 7""","64' 1"""
5,6,6,Darron Stiles,65,"115' 8""","3816' 0""",33,"143' 8""","91' 11"""
6,7,7,Robert Garrigus,95,"111' 0""",6104',55,"156' 10""","58' 6"""
7,8,8,Alex Cejka,80,"108' 0""","4966' 2""",46,"142' 4""","73' 4"""
8,9,9,Bill Haas,93,"106' 9""","5338' 6""",50,"130' 10""","68' 11"""
9,10,10,Padraig Harrington,64,"106' 6""","3621' 2""",34,"126' 0""","75' 6"""
10,11,11,Charles Warren,101,"106' 5""","6596' 1""",62,"131' 11""","67' 1"""
11,12,12,Rocco Mediate,72,"104' 6""","5643' 7""",54,"130' 0""","61' 5"""
12,13,13,John Daly,59,"103' 11""",2181',21,"160' 10""","7' 0"""
13,14,14,Robert Allenby,90,"103' 3""","5267' 2""",51,"127' 10""","72' 8"""
14,15,15,Henrik Stenson,52,"102' 4""","2865' 0""",28,"152' 1""","71' 10"""
15,16,16,Davis Love III,66,"101' 8""","4168' 3""",41,"136' 4""","73' 6"""
16,17,17,Kevin Stadler,95,"101' 7""","4877' 9""",48,"132' 6""","70' 7"""
17,18,18,Charley Hoffman,97,"100' 7""","5932' 7""",59,"146' 2""","71' 1"""
18,19,19,Kent Jones,97,"100' 6""","6130' 3""",61,"140' 0""","48' 4"""
19,20,20,Joe Ogilvie,102,"100' 4""","6820' 6""",68,"133' 11""","31' 0"""
20,21,21,Billy Andrade,88,"100' 2""","5607' 3""",56,"130' 11""","69' 6"""
21,22,22,Vijay Singh,102,"100' 1""","6605' 8""",66,"138' 6""","35' 7"""
22,23,23,Bryce Molder,56,"100' 0""","2699' 3""",27,"134' 4""","65' 5"""
23,24,24,Scott Gutschewski,67,"99' 11""",2696',27,"135' 11""","71' 6"""
24,25,25,Jason Gore,86,"99' 8""","4784' 0""",48,"123' 8""","70' 11"""
25,26,26,Kirk Triplett,77,"99' 7""","5677' 2""",57,"125' 4""","67' 11"""
26,27,27,Brett Quigley,79,"98' 11""","3560' 3""",36,"132' 4""","56' 10"""
27,28,28,Harrison Frazar,88,"98' 9""","3951' 5""",40,"144' 6""","62' 0"""
28,29,29,Brian Bateman,55,"98' 8""","3257' 3""",33,"132' 5""","68' 8"""
29,30,30,Joey Sindelar,75,"98' 7""","4733' 5""",48,"121' 8""","51' 11"""
30,31,31,Camilo Villegas,82,"98' 6""","3938' 7""",40,"130' 4""","25' 1"""
31,32,32,Kenny Perry,83,"98' 5""","5214' 6""",53,"130' 2""","65' 10"""
32,33,33,Dicky Pride,71,"98' 1""","4119' 9""",42,"135' 2""","64' 0"""
33,T34,T34,Brian Davis,101,"97' 11""","5580' 3""",57,"129' 11""","64' 0"""
34,T34,T34,Steve Marino,106,"97' 11""","5289' 6""",54,"142' 4""","27' 8"""
35,36,36,Mark Brooks,53,"97' 7""","2635' 1""",27,"120' 8""","71' 0"""
36,T37,T37,Brandt Snedeker,105,"97' 4""","5838' 4""",60,"127' 0""","72' 4"""
37,T37,T37,Mark Wilson,87,"97' 4""","6036' 8""",62,"125' 2""","60' 11"""
38,39,39,Jeff Gove,103,"97' 2""","6606' 6""",68,"124' 0""","68' 8"""
39,40,40,Hunter Mahan,91,"97' 1""","4467' 2""",46,"118' 1""","73' 11"""
40,T41,T41,Luke Donald,69,"96' 7""","3862' 7""",40,"115' 0""","69' 10"""
41,T41,T41,Ted Purdy,102,"96' 7""","4926' 9""",51,"161' 2""","51' 8"""
42,T41,T41,Steve Stricker,81,"96' 7""","5312' 7""",55,"123' 8""","61' 8"""
43,44,44,John Rollins,102,"96' 6""","5887' 5""",61,"131' 11""","41' 4"""
44,T45,T45,Ryan Palmer,91,"96' 5""","4725' 8""",49,"129' 6""","47' 5"""
45,T45,T45,Jaco Van Zyl,51,"96' 5""","3086' 6""",32,"122' 1""","53' 11"""
46,47,47,Troy Matteson,87,"96' 4""","4622' 2""",48,"168' 2""","68' 7"""
47,48,48,Bubba Watson,80,"96' 1""","3073' 8""",32,"154' 7""","31' 4"""
48,49,49,Kevin Sutherland,85,"95' 11""","4989' 8""",52,"127' 4""","16' 5"""
49,T50,T50,Ernie Els,59,"95' 7""","2866' 8""",30,"119' 11""","81' 8"""
50,T50,T50,Vaughn Taylor,91,"95' 7""","5351' 7""",56,"128' 1""","58' 1"""
51,52,52,Tim Herron,98,"95' 6""","5727' 7""",60,"132' 10""","53' 11"""
52,T53,T53,Stewart Cink,91,"95' 3""","5812' 9""",61,"133' 0""","67' 4"""
53,T53,T53,Tom Johnson,74,"95' 3""","4192' 9""",44,"137' 11""","55' 0"""
54,55,55,John Senden,97,"94' 9""","5306' 2""",56,"136' 1""","61' 7"""
55,T56,T56,Pat Perez,84,"94' 8""","3408' 0""",36,"126' 1""","68' 6"""
56,T56,T56,Nick Watney,87,"94' 8""","4826' 1""",51,"130' 5""","74' 2"""
57,58,58,Bob Heintz,85,"94' 7""",4162',44,"137' 8""","64' 6"""
58,59,59,Dean Wilson,92,"94' 2""","4801' 7""",51,"131' 1""","54' 7"""
59,60,60,D.J. Brigman,67,"94' 0""","3664' 5""",39,"124' 6""","59' 7"""
60,61,61,D.J. Trahan,99,"93' 9""","4874' 5""",52,"136' 8""","51' 0"""
61,62,62,Johnson Wagner,97,"93' 5""","5139' 2""",55,"130' 1""","55' 5"""
62,63,63,Briny Baird,115,"93' 4""","6718' 2""",72,"137' 7""","59' 8"""
63,T64,T64,Jonathan Byrd,73,"93' 0""","4279' 6""",46,"147' 10""","54' 5"""
64,T64,T64,J.P. Hayes,89,"93' 0""","5114' 1""",55,"117' 5""","57' 4"""
65,66,66,Tag Ridings,52,"92' 9""","2318' 4""",25,"118' 5""","54' 8"""
66,T67,T67,Chris Couch,76,"92' 6""","4717' 7""",51,"135' 6""","45' 1"""
67,T67,T67,Sean O'Hair,98,"92' 6""","5640' 1""",61,"120' 6""","51' 7"""
68,69,69,Robert Gamez,88,"92' 3""","4889' 2""",53,"131' 7""","54' 11"""
69,70,70,Arron Oberholser,69,"92' 0""","4323' 8""",47,"123' 2""","70' 0"""
70,71,71,Jason Bohn,57,"91' 10""","2939' 6""",32,"113' 6""","74' 1"""
71,72,72,Jesper Parnevik,88,"91' 9""","4861' 5""",53,"135' 2""","60' 7"""
72,73,73,Brendon de Jonge,76,"91' 8""","3574' 3""",39,"126' 6""","56' 7"""
73,T74,T74,Todd Hamilton,76,"91' 6""","3385' 5""",37,"119' 1""","64' 2"""
74,T74,T74,Billy Mayfair,98,"91' 6""","5948' 7""",65,"122' 2""","66' 8"""
75,76,76,Rich Beem,89,"91' 5""","5118' 2""",56,"132' 7""","50' 6"""
76,77,77,Mark Hensby,81,"91' 3""","5020' 6""",55,"122' 4""","69' 11"""
77,T78,T78,Bo Van Pelt,104,"91' 0""","5735' 3""",63,"128' 8""","58' 4"""
78,T78,T78,Tiger Woods,63,"91' 0""","3002' 0""",33,"125' 8""","43' 7"""
79,80,80,Craig Lile,77,"90' 10""","4086' 5""",45,"115' 11""","57' 8"""
80,T81,T81,Ryan Armour,107,"90' 8""","5984' 9""",66,"127' 6""","56' 4"""
81,T81,T81,Frank Lickliter II,95,"90' 8""",5801',64,"121' 7""","56' 7"""
82,T81,T81,Heath Slocum,101,"90' 8""","6438' 0""",71,"111' 8""","69' 11"""
83,84,84,Matt Hendrix,63,"90' 5""","3255' 5""",36,"116' 5""","67' 7"""
84,85,85,Peter Lonard,85,"90' 3""","4513' 5""",50,"122' 7""","43' 7"""
85,86,86,Kyle Reifers,71,"90' 0""","2339' 3""",26,"114' 8""","35' 2"""
86,T87,T87,Daniel Chopra,106,"89' 11""","5843' 6""",65,"119' 5""","60' 10"""
87,T87,T87,Jeff Maggert,79,"89' 11""","4764' 2""",53,"104' 2""","64' 2"""
88,T89,T89,Mark Calcavecchia,93,"89' 9""","4758' 3""",53,"131' 2""","54' 7"""
89,T89,T89,David Toms,80,"89' 9""","4666' 8""",52,"114' 0""","65' 10"""
90,T91,T91,Tommy Armour III,81,"89' 7""","4929' 1""",55,"135' 6""","64' 10"""
91,T91,T91,David Branshaw,83,"89' 7""","4749' 2""",53,"122' 10""","53' 4"""
