,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Kirk Triplett,77,2.4659999999999997,262.8,106.59200000000001,55,2.6919999999999997
1,2,2,Luke Donald,69,2.464,270.0,109.60799999999999,32,2.821
2,3,3,Geoff Ogilvy,84,2.458,285.5,116.146,32,2.927
3,4,4,Craig Barlow,52,2.452,278.1,113.42399999999999,22,2.958
4,5,5,Darron Stiles,65,2.447,265.6,108.542,31,2.727
5,6,6,Mark Wilson,87,2.4459999999999997,264.9,108.301,56,2.636
6,T7,T7,Mark Brooks,53,2.445,252.8,103.384,24,2.708
7,T7,T7,Jeff Maggert,79,2.445,264.9,108.381,39,2.755
8,9,9,Billy Mayfair,98,2.44,262.7,107.679,52,2.634
9,10,10,J.P. Hayes,89,2.438,269.9,110.709,44,2.6189999999999998
10,11,11,Todd Hamilton,76,2.435,274.2,112.57700000000001,32,2.846
11,12,12,Vaughn Taylor,91,2.4290000000000003,264.0,108.67,42,2.647
12,T13,T13,Alex Cejka,80,2.423,268.9,110.97200000000001,43,2.6639999999999997
13,T13,T13,John Daly,59,2.423,298.2,123.06299999999999,12,2.627
14,T13,T13,Arron Oberholser,69,2.423,267.0,110.18299999999999,32,2.6460000000000004
15,T13,T13,Kyle Reifers,71,2.423,282.3,116.525,20,2.7119999999999997
16,T17,T17,J.B. Holmes,71,2.421,300.2,123.991,27,2.806
17,T17,T17,Hunter Mahan,91,2.421,276.7,114.256,33,2.735
18,T17,T17,Joey Sindelar,75,2.421,268.5,110.897,43,2.654
19,T20,T20,Jeff Gove,103,2.42,266.8,110.26299999999999,48,2.688
20,T20,T20,Charles Warren,101,2.42,284.1,117.413,57,2.823
21,22,22,Jaco Van Zyl,51,2.419,264.7,109.459,23,2.612
22,T23,T23,Robert Allenby,90,2.415,281.2,116.434,43,2.634
23,T23,T23,Kevin Sutherland,85,2.415,270.3,111.89399999999999,46,2.673
24,25,25,Bryce Molder,56,2.414,272.3,112.78,22,2.699
25,26,26,Mathew Goggin,97,2.4130000000000003,277.1,114.85799999999999,57,2.6510000000000002
26,27,27,Davis Love III,66,2.412,285.1,118.2,34,2.745
27,T28,T28,Rich Beem,89,2.411,273.0,113.249,45,2.693
28,T28,T28,Andrew Buckle,77,2.411,274.0,113.63799999999999,38,2.6839999999999997
29,T30,T30,Craig Bowden,78,2.41,245.7,101.962,40,2.6210000000000004
30,T30,T30,Ernie Els,59,2.41,282.2,117.105,20,2.539
31,T30,T30,Robert Garrigus,95,2.41,293.2,121.635,46,2.642
32,T30,T30,Tim Herron,98,2.41,271.3,112.57700000000001,55,2.574
33,T30,T30,Ryan Palmer,91,2.41,279.4,115.921,38,2.595
