,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,T1,T1,Anthony Kim,93,7.1,373.7,53,8.4,3.5
1,T1,T1,Paul Stankowski,52,7.1,157.2,22,7.8,6.4
2,T3,T3,Alex Cejka,80,6.9,315.5,46,7.8,4.7
3,T3,T3,Padraig Harrington,64,6.9,233.3,34,7.6,5.9
4,T3,T3,J.B. Holmes,71,6.9,234.7,34,7.8,4.1
5,T3,T3,Geoff Ogilvy,84,6.9,323.0,47,8.0,5.0
6,T3,T3,Charles Warren,101,6.9,429.1,62,7.6,5.5
7,T8,T8,Billy Andrade,88,6.7,372.9,56,7.6,5.0
8,T8,T8,Andrew Buckle,77,6.7,342.4,51,8.0,4.3
9,T8,T8,Robert Garrigus,95,6.7,377.4,56,8.0,5.1
10,T8,T8,Jason Gore,86,6.7,347.2,52,8.9,3.9
11,T8,T8,Scott Gutschewski,67,6.7,174.1,26,7.6,5.6
12,T8,T8,Bill Haas,93,6.7,340.2,51,7.6,4.4
13,T8,T8,Charley Hoffman,97,6.7,402.8,60,7.8,4.2
14,T8,T8,Davis Love III,66,6.7,276.4,41,8.0,3.8
15,T8,T8,Rocco Mediate,72,6.7,348.3,52,8.2,5.2
16,T8,T8,Pat Perez,84,6.7,241.5,36,8.6,5.1
17,T8,T8,John Rollins,102,6.7,400.3,60,7.7,4.2
18,T8,T8,Vijay Singh,102,6.7,435.5,65,7.9,4.6
19,T8,T8,Darron Stiles,65,6.7,219.8,33,7.6,5.1
20,T8,T8,Nick Watney,87,6.7,347.4,52,7.4,5.0
21,T22,T22,Robert Allenby,90,6.6,350.0,53,7.6,4.1
22,T22,T22,Jason Bohn,57,6.6,217.0,33,7.5,4.7
23,T22,T22,Chris Couch,76,6.6,341.9,52,7.9,3.5
24,T22,T22,Luke Donald,69,6.6,265.6,40,7.5,5.0
25,T22,T22,Harrison Frazar,88,6.6,268.6,41,9.0,4.8
26,T22,T22,Will MacKenzie,100,6.6,427.9,65,8.0,5.3
27,T22,T22,Troy Matteson,87,6.6,322.4,49,8.1,4.5
28,T22,T22,Brett Quigley,79,6.6,242.8,37,7.4,4.4
29,T22,T22,John Senden,97,6.6,378.9,57,7.8,5.0
30,T22,T22,Kevin Stadler,95,6.6,330.8,50,7.7,1.7
31,T22,T22,Henrik Stenson,52,6.6,184.3,28,8.6,4.7
32,T22,T22,Camilo Villegas,82,6.6,256.7,39,8.6,5.1
33,T34,T34,Brian Davis,101,6.5,385.1,59,8.0,4.5
34,T34,T34,Lucas Glover,98,6.5,339.9,52,7.4,4.8
35,T34,T34,Tim Herron,98,6.5,405.0,62,9.2,3.2
36,T34,T34,Kent Jones,97,6.5,398.1,61,7.5,4.5
37,T34,T34,Hunter Mahan,91,6.5,306.2,47,7.3,3.6
38,T34,T34,Joe Ogilvie,102,6.5,441.2,68,7.7,4.0
39,T34,T34,Kenny Perry,83,6.5,349.0,54,7.5,4.4
40,T34,T34,Ted Purdy,102,6.5,342.5,53,7.7,3.7
41,T34,T34,Justin Rose,63,6.5,207.3,32,7.1,4.8
42,T34,T34,Joey Sindelar,75,6.5,310.0,48,7.2,5.1
43,T34,T34,Brandt Snedeker,105,6.5,390.9,60,7.4,5.0
44,T34,T34,Kevin Sutherland,85,6.5,343.8,53,7.4,4.0
45,T34,T34,Kirk Triplett,77,6.5,374.2,58,8.5,3.9
46,T34,T34,Jaco Van Zyl,51,6.5,200.8,31,7.2,4.1
47,T34,T34,Johnson Wagner,97,6.5,362.1,56,7.3,3.4
48,T34,T34,Bubba Watson,80,6.5,180.9,28,8.0,4.4
49,T34,T34,Dean Wilson,92,6.5,335.8,52,7.7,3.8
50,T51,T51,Brian Bateman,55,6.4,199.0,31,7.6,4.7
51,T51,T51,Daniel Chopra,106,6.4,423.4,66,7.6,3.4
52,T51,T51,Stewart Cink,91,6.4,401.4,63,7.6,3.8
53,T51,T51,John Daly,59,6.4,141.2,22,7.7,4.9
54,T51,T51,Brendon de Jonge,76,6.4,255.3,40,7.3,5.0
55,T51,T51,Jim Furyk,84,6.4,354.7,55,7.4,5.0
56,T51,T51,Anders Hansen,55,6.4,192.7,30,7.3,3.7
57,T51,T51,Bob Heintz,85,6.4,281.2,44,7.6,4.7
58,T51,T51,Frank Lickliter II,95,6.4,411.6,64,7.4,4.5
59,T51,T51,Steve Marino,106,6.4,354.7,55,7.4,2.8
60,T51,T51,Bryce Molder,56,6.4,180.1,28,7.4,3.5
61,T51,T51,Sean O'Hair,98,6.4,391.8,61,7.7,5.1
62,T51,T51,Arron Oberholser,69,6.4,305.2,48,7.0,4.7
63,T51,T51,Dicky Pride,71,6.4,273.3,43,8.4,4.6
64,T51,T51,Tag Ridings,52,6.4,159.0,25,7.4,3.7
65,T51,T51,Steve Stricker,81,6.4,352.6,55,7.4,4.9
66,T51,T51,D.J. Trahan,99,6.4,339.8,53,7.5,4.7
67,T51,T51,Duffy Waldorf,69,6.4,247.8,39,7.1,5.4
68,T51,T51,Tiger Woods,63,6.4,212.5,33,7.7,4.6
69,T70,T70,Stuart Appleby,74,6.3,373.8,59,10.0,4.5
70,T70,T70,Woody Austin,95,6.3,392.7,62,7.5,4.7
71,T70,T70,Craig Barlow,52,6.3,158.2,25,7.1,4.8
72,T70,T70,Rich Beem,89,6.3,357.6,57,7.3,3.7
73,T70,T70,David Branshaw,83,6.3,333.3,53,7.6,4.9
74,T70,T70,D.J. Brigman,67,6.3,245.8,39,7.3,4.7
75,T70,T70,Jonathan Byrd,73,6.3,284.1,45,7.6,3.9
76,T70,T70,Mark Calcavecchia,93,6.3,334.5,53,7.4,4.2
77,T70,T70,K.J. Choi,87,6.3,336.3,53,8.1,4.9
78,T70,T70,Chris DiMarco,79,6.3,284.0,45,7.2,3.1
79,T70,T70,Ernie Els,59,6.3,189.0,30,7.4,4.7
80,T70,T70,Robert Gamez,88,6.3,332.1,53,7.4,4.4
81,T70,T70,Mathew Goggin,97,6.3,385.4,61,7.9,4.3
82,T70,T70,Retief Goosen,50,6.3,151.5,24,7.3,3.8
83,T70,T70,Jeff Gove,103,6.3,430.4,68,7.2,3.7
84,T70,T70,Todd Hamilton,76,6.3,239.8,38,7.6,4.7
85,T70,T70,Matt Hendrix,63,6.3,233.1,37,7.4,3.8
86,T70,T70,Mark Hensby,81,6.3,346.5,55,7.1,4.4
87,T70,T70,Charles Howell III,89,6.3,320.4,51,7.2,4.4
88,T70,T70,Ryuji Imada,104,6.3,475.0,75,7.3,3.5
89,T70,T70,Tom Johnson,74,6.3,275.9,44,7.6,3.5
90,T70,T70,Stephen Leaney,82,6.3,300.8,48,6.8,4.9
91,T70,T70,Craig Lile,77,6.3,295.6,47,7.5,1.1
92,T70,T70,Peter Lonard,85,6.3,322.3,51,7.4,4.9
93,T70,T70,Billy Mayfair,98,6.3,409.8,65,7.2,4.9
94,T70,T70,John Merrick,92,6.3,332.1,53,7.3,5.1
95,T70,T70,Shaun Micheel,91,6.3,253.3,40,7.3,4.7
96,T70,T70,José María Olazábal,52,6.3,162.7,26,8.2,4.1
