,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Tiger Woods,16,240
1,2,2,Justin Rose,16,344
2,3,3,Jeff Overton,19,365
3,4,4,Alex Cejka,25,372
4,5,5,Vijay Singh,27,412
5,6,6,Sean O'Hair,28,416
6,7,7,Phil Mickelson,22,418
7,8,8,Hunter Mahan,27,426
8,9,9,Ernie Els,16,445
9,10,10,Charles Warren,29,453
10,11,11,Adam Scott,19,463
11,12,12,Lucas Glover,29,464
12,13,13,Pat Perez,27,477
13,14,14,Heath Slocum,28,480
14,15,15,Anthony Kim,26,482
15,16,16,Charlie Wi,27,488
16,17,17,Jonathan Byrd,23,491
17,18,18,Jason Gore,27,495
18,19,19,Tim Clark,19,515
19,20,20,Sergio Garcia,19,518
20,21,21,Ken Duke,31,531
21,22,22,Jim Furyk,23,535
22,23,23,Steve Allan,18,539
23,24,24,Geoff Ogilvy,22,542
24,25,25,Brian Davis,28,545
25,26,26,Bubba Watson,26,547
26,27,27,Kevin Na,27,553
27,28,28,Jay Williamson,14,557
28,T29,T29,Michael Allen,22,558
29,T29,T29,Bo Van Pelt,30,558
30,31,31,K.J. Choi,25,560
31,T32,T32,Briny Baird,31,564
32,T32,T32,Bill Haas,30,564
33,T34,T34,Mark Calcavecchia,28,572
34,T34,T34,Billy Mayfair,30,572
35,36,36,Cameron Beckman,29,575
36,37,37,Steve Stricker,23,580
37,38,38,Freddie Jacobson,20,581
38,39,39,Scott Verplank,23,583
39,40,40,John Rollins,29,589
40,41,41,Jesper Parnevik,27,591
41,42,42,Mike Weir,23,596
42,43,43,Vaughn Taylor,28,601
43,T44,T44,Aaron Baddeley,23,614
44,T44,T44,Rory Sabbatini,23,614
45,46,46,Ryan Moore,28,618
46,47,47,Mathew Goggin,30,620
47,48,48,Daniel Chopra,34,628
48,49,49,Camilo Villegas,24,635
49,50,50,Brett Wetterich,28,643
50,51,51,Rich Beem,29,646
51,52,52,Will MacKenzie,30,651
52,53,53,Kent Jones,30,659
53,54,54,Rod Pampling,25,664
54,T55,T55,Robert Allenby,28,666
55,T55,T55,Steve Marino,31,666
56,57,57,Stewart Cink,25,668
57,58,58,Jeff Quinney,29,669
58,59,59,John Senden,27,673
59,60,60,Steve Flesch,31,674
60,61,61,Boo Weekley,29,675
61,62,62,Carl Pettersson,31,676
62,63,63,Craig Barlow,16,682
63,64,64,Nathan Green,29,684
64,65,65,Chris Riley,17,686
65,66,66,Kenny Perry,24,690
66,T67,T67,Robert Garrigus,28,695
67,T67,T67,Joe Ogilvie,31,695
68,69,69,Jason Bohn,17,696
69,70,70,Nick Watney,26,698
70,71,71,Jeff Maggert,26,699
71,72,72,Bob Heintz,27,702
72,73,73,Tim Petrovic,32,706
73,74,74,Mathias Grönberg,31,707
74,T75,T75,Jarrod Lyle,24,712
75,T75,T75,George McNeill,30,712
76,T77,T77,Ryuji Imada,32,713
77,T77,T77,Zach Johnson,23,713
78,79,79,Steve Lowery,22,717
79,80,80,David Toms,22,721
80,81,81,Bart Bryant,25,724
81,82,82,Tag Ridings,18,725
82,83,83,Cliff Kresge,30,726
83,84,84,J.B. Holmes,24,727
84,85,85,Luke Donald,20,730
85,86,86,Brian Gay,32,731
86,87,87,Woody Austin,27,735
87,88,88,Brandt Snedeker,29,745
88,89,89,Rocco Mediate,22,747
89,90,90,Tom Lehman,19,758
90,91,91,Tommy Armour III,24,759
91,92,92,Brendon de Jonge,26,771
92,93,93,Justin Leonard,29,780
93,94,94,Frank Lickliter II,30,782
94,95,95,Jeff Gove,30,783
95,96,96,Ryan Armour,32,784
96,97,97,Matt Kuchar,26,786
97,T98,T98,J.J. Henry,26,787
98,T98,T98,Tom Pernice Jr.,31,787
99,100,100,Duffy Waldorf,23,792
100,101,101,John Merrick,29,793
101,102,102,Padraig Harrington,18,795
102,103,103,John Daly,24,797
103,104,104,Mark Wilson,25,799
104,105,105,Michael Sim,17,801
105,106,106,Bob Estes,28,804
106,107,107,Charles Howell III,26,808
107,108,108,Jason Dufner,32,812
108,T109,T109,Chris Stroud,24,813
109,T109,T109,Kirk Triplett,25,813
110,T111,T111,Peter Lonard,27,816
111,T111,T111,Ted Purdy,33,816
112,113,113,Troy Matteson,26,820
113,T114,T114,Glen Day,27,822
114,T114,T114,Michael Putnam,29,822
115,116,116,Stephen Ames,23,823
116,117,117,Charley Hoffman,30,827
117,118,118,Marco Dawson,23,828
118,119,119,Darron Stiles,24,830
119,T120,T120,Craig Kanada,34,832
120,T120,T120,Jerry Kelly,28,832
121,122,122,Kevin Sutherland,25,838
122,123,123,J.P. Hayes,28,839
123,124,124,D.J. Trahan,30,842
124,125,125,D.J. Brigman,22,843
125,126,126,Johnson Wagner,33,854
126,127,127,Arron Oberholser,21,855
127,128,128,Craig Lile,24,856
128,129,129,Shigeki Maruyama,31,858
129,130,130,Daisuke Maruyama,28,861
130,131,131,Greg Owen,29,868
131,132,132,Harrison Frazar,32,872
132,133,133,Robert Gamez,30,874
133,T134,T134,Tim Herron,27,883
134,T134,T134,Ian Poulter,18,883
135,136,136,Andrew Buckle,26,889
136,137,137,Ryan Palmer,30,890
137,138,138,Stuart Appleby,24,899
138,139,139,Jeff Brehaut,21,900
139,140,140,John Mallinger,29,902
140,141,141,Steve Elkington,25,904
141,142,142,Craig Bowden,25,909
142,143,143,Dean Wilson,28,911
143,144,144,Stephen Leaney,26,915
144,145,145,Doug LaBelle II,33,917
145,146,146,Paul Stankowski,18,927
146,147,147,Tripp Isenhour,32,929
147,148,148,Paul Gow,26,931
148,149,149,Steve Wheatcroft,25,934
149,150,150,Lee Janzen,24,936
150,151,151,Billy Andrade,27,940
151,152,152,Trevor Immelman,21,950
152,153,153,Fred Funk,22,951
153,154,154,Paul Goydos,19,956
154,155,155,Jason Schultz,22,965
155,156,156,Scott Gutschewski,22,966
156,157,157,José Coceres,17,969
157,158,158,Joe Durant,28,974
158,159,159,Shaun Micheel,29,977
159,160,160,Gavin Coles,28,981
160,T161,T161,Mark Hensby,25,983
161,T161,T161,Dicky Pride,25,983
162,163,163,Joey Sindelar,25,986
163,164,164,Tom Byrum,20,996
164,165,165,Matt Hendrix,24,998
165,166,166,Chris Tidland,21,1005
166,167,167,Chris DiMarco,24,1009
167,168,168,Henrik Stenson,15,1015
168,169,169,Kevin Stadler,31,1020
169,170,170,Chris Couch,30,1031
170,171,171,Rich Barcelo,26,1034
171,172,172,Tom Johnson,27,1045
172,173,173,Parker McLachlin,28,1047
173,174,174,Retief Goosen,14,1056
174,175,175,Bob Tway,32,1064
175,176,176,Bubba Dickerson,19,1065
176,177,177,Eric Axley,36,1073
177,178,178,Chad Campbell,28,1080
178,179,179,Brett Quigley,25,1085
179,180,180,Anders Hansen,17,1087
180,181,181,David Branshaw,30,1095
181,182,182,Jim Rutledge,23,1104
182,183,183,Mark Brooks,18,1109
183,T184,T184,Corey Pavin,25,1110
184,T184,T184,Jaco Van Zyl,21,1110
185,186,186,Richard Johnson,32,1132
186,187,187,Davis Love III,21,1133
187,188,188,Michael Boyd,21,1138
188,189,189,Kyle Reifers,27,1160
189,190,190,Nick O'Hern,22,1199
190,191,191,Bryce Molder,21,1201
191,192,192,José María Olazábal,16,1231
192,193,193,Brian Bateman,18,1240
193,194,194,Ben Curtis,25,1244
194,195,195,Todd Hamilton,28,1255
195,196,196,Jeff Sluman,21,1353
