,Last_5_Events_-_Putting_RANK THIS WEEK,Last_5_Events_-_Putting_RANK LAST WEEK,Last_5_Events_-_Putting_PLAYER NAME,Last_5_Events_-_Putting_EVENTS,Last_5_Events_-_Putting_RATING
0,1,1,Kyle Thompson,1,9.4
1,2,2,Stephen Leaney,1,9.3
2,3,3,Thomas Bjørn,1,9.1
3,4,4,Brian Henninger,1,9.0
4,T5,T5,Bob Heintz,1,8.9
5,T5,T5,Billy Hurley III,1,8.9
6,T5,T5,Arron Oberholser,3,8.9
7,T8,T8,Tim Clark,4,8.8
8,T8,T8,Robert Damron,1,8.8
9,T8,T8,David Duval,2,8.8
10,T8,T8,Niclas Fasth,1,8.8
11,T8,T8,Charley Hoffman,3,8.8
12,T8,T8,José María Olazábal,2,8.8
13,T14,T14,Paul Broadhurst,1,8.7
14,T14,T14,Tom Gillis,1,8.7
15,T14,T14,Robert Karlsson,1,8.7
16,T14,T14,Jarrod Lyle,3,8.7
17,T18,T89,Paul Casey,1,8.6
18,T18,T18,Marco Dawson,3,8.6
19,T18,T18,Bob Estes,3,8.6
20,T18,T18,Kevin Na,3,8.6
21,T18,T26,Tiger Woods,3,8.6
22,T23,T21,Todd Fischer,2,8.5
23,T23,T21,David Howell,1,8.5
24,T23,T21,Justin Leonard,4,8.5
25,T23,T21,Shigeki Maruyama,4,8.5
26,T23,T21,Chris Riley,3,8.5
27,T28,T26,John Daly,1,8.4
28,T28,T26,Dan Forsman,2,8.4
29,T28,T26,Mark Hensby,3,8.4
30,T28,T26,Peter Jacobsen,1,8.4
31,T28,T26,Jim McGovern,2,8.4
32,T28,T26,Tom Pernice Jr.,4,8.4
33,T28,T26,Dicky Pride,2,8.4
34,T28,T26,Jaco Van Zyl,1,8.4
35,T36,T35,Aaron Baddeley,4,8.3
36,T36,T35,Rich Barcelo,3,8.3
37,T36,T35,Ricky Barnes,1,8.3
38,T36,T35,Notah Begay III,1,8.3
39,T36,T35,Guy Boros,1,8.3
40,T36,T35,Paul Gow,3,8.3
41,T36,T35,Ryuji Imada,4,8.3
42,T36,T35,Craig Kanada,2,8.3
43,T36,T35,José Manuel Lara,1,8.3
44,T36,T35,Carl Pettersson,4,8.3
45,T36,T35,Justin Rose,3,8.3
46,T36,T35,Rory Sabbatini,4,8.3
47,T36,T35,Brady Schnell,1,8.3
48,T36,T35,Heath Slocum,3,8.3
49,T50,T49,Stuart Appleby,2,8.2
50,T50,T49,Arjun Atwal,4,8.2
51,T50,T49,Andy Bare,1,8.2
52,T50,T49,John Bickerton,1,8.2
53,T50,T49,Michael Boyd,3,8.2
54,T50,T49,Jonathan Byrd,4,8.2
55,T50,T49,Michael Campbell,1,8.2
56,T50,T49,Alejandro Cañizares,1,8.2
57,T50,T49,Daniel Chopra,5,8.2
58,T50,T49,Brad Faxon,2,8.2
59,T50,T49,Robert Gamez,2,8.2
60,T50,T49,Brian Gay,3,8.2
61,T50,T49,Mathias Grönberg,4,8.2
62,T50,T49,Doug LaBelle II,2,8.2
63,T50,T49,Joe Ogilvie,4,8.2
64,T50,T49,Richard Sterne,1,8.2
65,T50,T49,Phil Tataurangi,2,8.2
66,T50,T49,Vaughn Taylor,3,8.2
67,T50,T49,Oliver Thomson,1,8.2
68,T50,T49,Johnson Wagner,2,8.2
69,T50,T49,Tom Watson,1,8.2
70,T71,T72,Paul Azinger,3,8.1
71,T71,T72,Cameron Beckman,5,8.1
72,T71,T72,K.J. Choi,3,8.1
73,T71,T72,Carlos Franco,3,8.1
74,T71,T72,Sergio Garcia,5,8.1
75,T71,T72,Richard Green,2,8.1
76,T71,T72,Matt Kuchar,2,8.1
77,T71,T72,Frank Lickliter II,4,8.1
78,T71,T72,Peter Lonard,2,8.1
79,T71,T72,Phil Mickelson,3,8.1
80,T71,T72,Geoff Ogilvy,4,8.1
81,T71,T72,Paul Sheehan,1,8.1
82,T71,T72,Michael Sim,4,8.1
83,T71,T72,B.J. Staten,2,8.1
84,T71,T72,Paul Trittler,1,8.1
85,T71,T72,Dean Wilson,4,8.1
86,T71,T72,Willie Wood,1,8.1
87,T88,T89,Alex Cejka,4,8.0
88,T88,T89,Russ Cochran,1,8.0
89,T88,T89,Ben Curtis,1,8.0
90,T88,T89,Brian Davis,5,8.0
91,T88,T89,Todd Demsey,1,8.0
92,T88,T49,Luke Donald,2,8.0
93,T88,T89,Danny Ellis,2,8.0
94,T88,T89,J.P. Hayes,3,8.0
95,T88,T89,Freddie Jacobson,5,8.0
96,T88,T89,Daisuke Maruyama,3,8.0
97,T88,T89,Ryan Moore,4,8.0
98,T88,T89,Sean O'Hair,5,8.0
99,T88,T89,Jesper Parnevik,5,8.0
100,T88,T89,Tim Petrovic,4,8.0
101,T88,T89,Loren Roberts,2,8.0
102,T88,T89,Brandt Snedeker,4,8.0
103,T88,T89,Graeme Storm,1,8.0
104,T88,T89,Mike Weir,4,8.0
105,T88,T89,Charlie Wi,4,8.0
106,T107,T109,Michael Allen,5,7.9
107,T107,T109,Tommy Armour III,3,7.9
108,T107,T109,Bob Burns,2,7.9
109,T107,T109,Ben Crane,5,7.9
110,T107,T109,Brendon de Jonge,4,7.9
111,T107,T109,Todd Hamilton,3,7.9
112,T107,T109,Franklin Langham,1,7.9
113,T107,T109,John Mallinger,4,7.9
114,T107,T109,Jeff Overton,4,7.9
115,T107,T109,Jeff Quinney,4,7.9
116,T107,T109,Tag Ridings,2,7.9
117,T107,T109,Adam Scott,4,7.9
118,T107,T109,Jeev Milkha Singh,1,7.9
