,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,1,1,Jesper Parnevik,27,58
1,2,2,Tim Clark,19,57
2,T3,T3,Jonathan Byrd,23,55
3,T3,T3,Dicky Pride,25,55
4,T3,T3,Henrik Stenson,15,55
5,T6,T6,Paul Goydos,19,54
6,T6,T6,Zach Johnson,23,54
7,T6,T6,Frank Lickliter II,30,54
8,T6,T6,Ryan Moore,28,54
9,T6,T6,Sean O'Hair,28,54
10,T6,T6,Joe Ogilvie,31,54
11,T6,T6,Tag Ridings,18,54
12,T6,T6,Tiger Woods,16,54
13,T14,T14,Rich Barcelo,26,53
14,T14,T14,Mark Calcavecchia,28,53
15,T14,T14,Fred Funk,22,53
16,T14,T14,Robert Garrigus,28,53
17,T14,T14,Parker McLachlin,28,53
18,T14,T14,Kevin Na,27,53
19,T14,T14,Rory Sabbatini,23,53
20,T21,T21,Ryan Armour,32,52
21,T21,T21,Craig Bowden,25,52
22,T21,T21,Brian Davis,28,52
23,T21,T21,Jason Dufner,32,52
24,T21,T21,Jason Gore,27,52
25,T21,T21,Mark Hensby,25,52
26,T21,T21,Ryuji Imada,32,52
27,T21,T21,Freddie Jacobson,20,52
28,T21,T21,Justin Leonard,29,52
29,T21,T21,Craig Lile,24,52
30,T21,T21,Will MacKenzie,30,52
31,T21,T21,Jeff Maggert,26,52
32,T21,T21,Jeff Overton,19,52
33,T21,T21,Ryan Palmer,30,52
34,T21,T21,Pat Perez,27,52
35,T21,T21,Tom Pernice Jr.,31,52
36,T21,T21,Tim Petrovic,32,52
37,T21,T21,Carl Pettersson,31,52
38,T21,T21,Jeff Quinney,29,52
39,T21,T21,Chris Riley,17,52
40,T21,T21,Vaughn Taylor,28,52
41,T21,T21,Dean Wilson,28,52
42,T43,T43,Steve Allan,18,51
43,T43,T43,Woody Austin,27,51
44,T43,T43,Briny Baird,31,51
45,T43,T43,Rich Beem,29,51
46,T43,T43,D.J. Brigman,22,51
47,T43,T43,Bart Bryant,25,51
48,T43,T43,Andrew Buckle,26,51
49,T43,T43,K.J. Choi,25,51
50,T43,T43,Daniel Chopra,34,51
51,T43,T43,Stewart Cink,25,51
52,T43,T43,Gavin Coles,28,51
53,T43,T43,Luke Donald,20,51
54,T43,T43,Steve Elkington,25,51
55,T43,T43,Bob Estes,28,51
56,T43,T43,Brian Gay,32,51
57,T43,T43,Nathan Green,29,51
58,T43,T43,Scott Gutschewski,22,51
59,T43,T43,Padraig Harrington,18,51
60,T43,T43,Richard Johnson,32,51
61,T43,T43,Kent Jones,30,51
62,T43,T43,Steve Lowery,22,51
63,T43,T43,Jarrod Lyle,24,51
64,T43,T43,John Mallinger,29,51
65,T43,T43,Shigeki Maruyama,31,51
66,T43,T43,Troy Matteson,26,51
67,T43,T43,Billy Mayfair,30,51
68,T43,T43,George McNeill,30,51
69,T43,T43,Arron Oberholser,21,51
70,T43,T43,Rod Pampling,25,51
71,T43,T43,Michael Putnam,29,51
72,T43,T43,Jason Schultz,22,51
73,T43,T43,Brandt Snedeker,29,51
74,T43,T43,David Toms,22,51
75,T76,T76,Michael Allen,22,50
76,T76,T76,Stephen Ames,23,50
77,T76,T76,Stuart Appleby,24,50
78,T76,T76,Tommy Armour III,24,50
79,T76,T76,Eric Axley,36,50
80,T76,T76,Aaron Baddeley,23,50
81,T76,T76,Cameron Beckman,29,50
82,T76,T76,Tom Byrum,20,50
83,T76,T76,Ben Curtis,25,50
84,T76,T76,John Daly,24,50
85,T76,T76,Glen Day,27,50
86,T76,T76,Brendon de Jonge,26,50
87,T76,T76,Robert Gamez,30,50
88,T76,T76,Sergio Garcia,19,50
89,T76,T76,Lucas Glover,29,50
90,T76,T76,Mathias Grönberg,31,50
91,T76,T76,J.P. Hayes,28,50
92,T76,T76,Bob Heintz,27,50
93,T76,T76,Charles Howell III,26,50
94,T76,T76,Lee Janzen,24,50
95,T76,T76,Anthony Kim,26,50
96,T76,T76,Shaun Micheel,29,50
97,T76,T76,Bryce Molder,21,50
98,T76,T76,Geoff Ogilvy,22,50
99,T76,T76,José María Olazábal,16,50
100,T76,T76,Justin Rose,16,50
101,T76,T76,Michael Sim,17,50
102,T76,T76,Joey Sindelar,25,50
103,T76,T76,Paul Stankowski,18,50
104,T76,T76,Chris Tidland,21,50
105,T76,T76,Bo Van Pelt,30,50
106,T76,T76,Steve Wheatcroft,25,50
107,T76,T76,Charlie Wi,27,50
108,T76,T76,Mark Wilson,25,50
109,T110,T110,Robert Allenby,28,49
110,T110,T110,Billy Andrade,27,49
111,T110,T110,Michael Boyd,21,49
112,T110,T110,Jeff Brehaut,21,49
113,T110,T110,Chad Campbell,28,49
114,T110,T110,Chris Couch,30,49
115,T110,T110,Marco Dawson,23,49
116,T110,T110,Ernie Els,16,49
117,T110,T110,Steve Flesch,31,49
118,T110,T110,Harrison Frazar,32,49
119,T110,T110,Tim Herron,27,49
120,T110,T110,Charley Hoffman,30,49
121,T110,T110,Tripp Isenhour,32,49
122,T110,T110,Craig Kanada,34,49
123,T110,T110,Jerry Kelly,28,49
124,T110,T110,Cliff Kresge,30,49
125,T110,T110,Stephen Leaney,26,49
126,T110,T110,Hunter Mahan,27,49
127,T110,T110,Steve Marino,31,49
128,T110,T110,Daisuke Maruyama,28,49
129,T110,T110,Rocco Mediate,22,49
130,T110,T110,Corey Pavin,25,49
131,T110,T110,Ian Poulter,18,49
132,T110,T110,Heath Slocum,28,49
133,T110,T110,Chris Stroud,24,49
134,T110,T110,Camilo Villegas,24,49
135,T110,T110,Charles Warren,29,49
136,T110,T110,Nick Watney,26,49
137,T110,T110,Bubba Watson,26,49
138,T110,T110,Brett Wetterich,28,49
139,T140,T140,Craig Barlow,16,48
140,T140,T140,Brian Bateman,18,48
141,T140,T140,Jason Bohn,17,48
142,T140,T140,Ken Duke,31,48
143,T140,T140,Mathew Goggin,30,48
144,T140,T140,Paul Gow,26,48
145,T140,T140,Bill Haas,30,48
146,T140,T140,Matt Hendrix,24,48
147,T140,T140,Peter Lonard,27,48
148,T140,T140,Kenny Perry,24,48
149,T140,T140,John Rollins,29,48
150,T140,T140,Jim Rutledge,23,48
151,T140,T140,Adam Scott,19,48
152,T140,T140,John Senden,27,48
153,T140,T140,Steve Stricker,23,48
154,T140,T140,Kevin Sutherland,25,48
155,T140,T140,Bob Tway,32,48
156,T140,T140,Jaco Van Zyl,21,48
157,T140,T140,Boo Weekley,29,48
158,T140,T140,Jay Williamson,14,48
159,T160,T160,Bubba Dickerson,19,47
160,T160,T160,Chris DiMarco,24,47
161,T160,T160,Todd Hamilton,28,47
162,T160,T160,J.B. Holmes,24,47
163,T160,T160,Tom Johnson,27,47
164,T160,T160,Doug LaBelle II,33,47
165,T160,T160,John Merrick,29,47
166,T160,T160,Phil Mickelson,22,47
167,T160,T160,Greg Owen,29,47
168,T160,T160,Ted Purdy,33,47
169,T160,T160,Brett Quigley,25,47
170,T160,T160,Kyle Reifers,27,47
171,T160,T160,Vijay Singh,27,47
172,T160,T160,Jeff Sluman,21,47
173,T160,T160,Kirk Triplett,25,47
174,T160,T160,Scott Verplank,23,47
175,T160,T160,Johnson Wagner,33,47
176,T160,T160,Duffy Waldorf,23,47
177,T178,T178,David Branshaw,30,46
178,T178,T178,Alex Cejka,25,46
179,T178,T178,José Coceres,17,46
180,T178,T178,Joe Durant,28,46
181,T178,T178,Jim Furyk,23,46
182,T178,T178,Anders Hansen,17,46
183,T178,T178,J.J. Henry,26,46
184,T178,T178,Trevor Immelman,21,46
185,T178,T178,Matt Kuchar,26,46
186,T178,T178,Tom Lehman,19,46
187,T178,T178,Davis Love III,21,46
188,T178,T178,Kevin Stadler,31,46
189,T178,T178,D.J. Trahan,30,46
190,T178,T178,Mike Weir,23,46
191,T192,T192,Mark Brooks,18,45
192,T192,T192,Jeff Gove,30,45
193,T192,T192,Nick O'Hern,22,45
194,T192,T192,Darron Stiles,24,45
195,196,196,Retief Goosen,14,43
