,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Jesper Parnevik,88,0.9790000000000001,73.415,75
1,2,2,Tiger Woods,63,0.7120000000000001,30.625999999999998,43
2,3,3,Tim Clark,66,0.695,36.839,53
3,4,4,Freddie Jacobson,70,0.66,44.863,68
4,5,5,Zach Johnson,76,0.659,39.541,60
5,6,6,Aaron Baddeley,83,0.629,41.504,66
6,7,7,Dean Wilson,92,0.619,46.427,75
7,8,8,Bob Estes,88,0.616,49.251000000000005,80
8,9,9,Tag Ridings,52,0.605,27.232,45
9,10,10,Rory Sabbatini,81,0.5489999999999999,34.615,63
10,11,11,Chris Tidland,59,0.547,27.906999999999996,51
11,12,12,K.J. Choi,87,0.518,35.22,68
12,13,13,Brandt Snedeker,105,0.511,43.946000000000005,86
13,14,14,George McNeill,95,0.48700000000000004,38.921,80
14,15,15,Craig Lile,77,0.484,33.398,69
15,16,16,José María Olazábal,52,0.48100000000000004,17.793,37
16,17,17,Ryuji Imada,104,0.474,42.211000000000006,89
17,18,18,Luke Donald,69,0.43799999999999994,21.877,50
18,19,19,Rich Barcelo,80,0.435,30.483,70
19,20,20,Parker McLachlin,83,0.419,30.616999999999997,73
20,21,21,Charlie Wi,90,0.41600000000000004,34.512,83
21,22,22,Stewart Cink,91,0.41200000000000003,29.635,72
22,23,23,Shigeki Maruyama,84,0.396,31.642,80
23,24,24,Brian Gay,107,0.384,37.257,97
24,25,25,Paul Goydos,60,0.37,17.396,47
25,26,26,Arron Oberholser,69,0.36200000000000004,19.204,53
26,27,27,Joe Ogilvie,102,0.35100000000000003,30.578000000000003,87
27,28,28,Kevin Na,84,0.348,27.148000000000003,78
28,29,29,Gavin Coles,87,0.34,26.177,77
29,30,30,Charles Howell III,89,0.33799999999999997,22.322,66
30,T31,T31,Steve Elkington,87,0.324,23.685,73
31,T31,T31,Tom Pernice Jr.,104,0.324,27.22,84
32,33,33,Steve Stricker,81,0.322,20.936999999999998,65
33,34,34,Corey Pavin,81,0.309,21.915,71
34,35,35,Dicky Pride,71,0.307,18.742,61
35,36,36,Henrik Stenson,52,0.3,10.782,36
36,37,37,Michael Sim,52,0.298,14.908,50
37,38,38,Jonathan Byrd,73,0.29600000000000004,18.372,62
38,39,39,Tim Petrovic,106,0.29,27.579,95
39,40,40,Chris Riley,59,0.281,14.355,51
40,41,41,David Toms,80,0.278,17.506,63
41,42,42,Sergio Garcia,68,0.26899999999999996,14.787,55
42,43,43,Fred Funk,65,0.265,14.017999999999999,53
43,44,44,Padraig Harrington,64,0.26,11.968,46
44,45,45,Steve Allan,63,0.259,14.243,55
45,46,46,Craig Bowden,78,0.255,17.070999999999998,67
46,47,47,Stephen Ames,81,0.251,15.549000000000001,62
47,48,48,Nathan Green,103,0.24100000000000002,20.938000000000002,87
48,49,49,Richard Johnson,93,0.24,20.162,84
49,50,50,Vaughn Taylor,91,0.237,17.075,72
50,51,51,Carl Pettersson,111,0.23199999999999998,21.381,92
51,52,52,Frank Lickliter II,95,0.22699999999999998,19.332,85
52,53,53,Daniel Chopra,106,0.222,21.12,95
53,54,54,Bob Heintz,85,0.221,15.929,72
54,55,55,Heath Slocum,101,0.22,20.491,93
55,56,56,Stephen Leaney,82,0.21899999999999997,16.207,74
56,57,57,Hunter Mahan,91,0.213,15.347000000000001,72
57,58,58,Mark Hensby,81,0.204,14.658,72
58,59,59,Bart Bryant,87,0.198,14.620999999999999,74
59,60,60,Bryce Molder,56,0.18600000000000003,9.118,49
60,61,61,Sean O'Hair,98,0.18,14.974,83
61,62,62,Troy Matteson,87,0.16899999999999998,12.814,76
62,T63,T63,Andrew Buckle,77,0.161,10.806,67
63,T63,T63,Tripp Isenhour,86,0.161,11.754000000000001,73
64,T65,T65,Bob Tway,103,0.16,14.064,88
65,T65,T65,Bo Van Pelt,104,0.16,15.54,97
66,67,67,Phil Mickelson,73,0.156,8.119,52
67,68,68,Charley Hoffman,97,0.153,12.698,83
68,69,69,Jarrod Lyle,77,0.149,9.985,67
69,70,70,Ryan Moore,92,0.133,9.962,75
70,T71,T71,Ryan Armour,107,0.129,12.125,94
71,T71,T71,Adam Scott,69,0.129,6.992000000000001,54
72,73,73,Justin Leonard,95,0.124,10.158,82
73,74,74,Lucas Glover,98,0.113,8.796,78
74,75,75,John Rollins,102,0.10400000000000001,8.757,84
