,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,1,1,Zach Johnson,76,60,THE TOUR Champ/,3
1,T2,T2,Mark Hensby,81,61,Fry's Open/Gray,2
2,T2,T2,Jesper Parnevik,88,61,Texas Open/LaCa,1
3,T2,T2,Brandt Snedeker,105,61,Buick Invitatio,1
4,T5,T5,Woody Austin,95,62,St. Jude Champ/,4
5,T5,T5,Mark Calcavecchia,93,62,PODS Champ/Inni,3
6,T5,T5,Tim Clark,66,62,THE TOUR Champ/,1
7,T5,T5,Fred Funk,65,62,Mayakoba/El Cam,1
8,T5,T5,Brent Geiberger,45,62,Mayakoba/El Cam,2
9,T5,T5,Hunter Mahan,91,62,The Barclays/We,3
10,T5,T5,Geoff Ogilvy,84,62,THE TOUR Champ/,3
11,T5,T5,Rory Sabbatini,81,62,Crowne Plaza/Co,3
12,T5,T5,Adam Scott,69,62,Memorial Tourna,2
13,T5,T5,Heath Slocum,101,62,Texas Open/LaCa,4
14,T5,T5,Garrett Willis,38,62,Frys.com Open/T,2
15,T16,T16,Michael Allen,74,63,Fry's Open/Gray,1
16,T16,T16,Robert Allenby,90,63,Bob Hope Chrysl,1
17,T16,T16,Stephen Ames,81,63,Disney/Palm GC,2
18,T16,T16,Briny Baird,115,63,Viking Classic/,1
19,T16,T16,Chad Campbell,96,63,Frys.com Open/T,2
20,T16,T16,John Daly,59,63,Frys.com Open/T,2
21,T16,T16,Brendon de Jonge,76,63,Milwaukee/Brown,1
22,T16,T16,Luke Donald,69,63,Sony Open/Waial,1
23,T16,T16,Steve Flesch,100,63,Reno-Tahoe Open,1
24,T16,T16,Robert Garrigus,95,63,Frys.com Open/T,2
25,T16,T16,Brian Gay,107,63,John Deere Clas,2
26,T16,T16,Jason Gore,86,63,Frys.com Open/T,1
27,T16,T16,Paul Goydos,60,63,Sony Open/Waial,2
28,T16,T16,Nathan Green,103,63,John Deere Clas,2
29,T16,T16,Padraig Harrington,64,63,THE TOUR Champ/,1
30,T16,T16,Charles Howell III,89,63,Sony Open/Waial,2
31,T16,T16,Jerry Kelly,101,63,Heritage/Harbou,1
32,T16,T16,Skip Kendall,15,63,Mayakoba/El Cam,3
33,T16,T16,Anthony Kim,93,63,Crowne Plaza/Co,1
34,T16,T16,Bernhard Langer,47,63,Bob Hope Chrysl,3
35,T16,T16,Jeff Maggert,79,63,Milwaukee/Brown,1
36,T16,T16,Bob May,49,63,Frys.com Open/T,1
37,T16,T16,Ryan Moore,92,63,Fry's Open/Gray,2
38,T16,T16,Kevin Na,84,63,Crowne Plaza/Co,1
39,T16,T16,Joe Ogilvie,102,63,Milwaukee/Brown,2
