,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,63,69.1,4146,60
1,2,2,Jeff Overton,60,70.1,4206,60
2,3,3,Heath Slocum,101,70.13,7083,101
3,4,4,Steve Stricker,81,70.19,5615,80
4,5,5,Jim Furyk,84,70.21,5757,82
5,6,6,Justin Rose,63,70.24,4144,59
6,7,7,Bo Van Pelt,104,70.27,7308,104
7,8,8,Alex Cejka,80,70.29,5623,80
8,9,9,Freddie Jacobson,70,70.3,4921,70
9,T10,T10,Phil Mickelson,73,70.39,4998,71
10,T10,T10,Vijay Singh,102,70.39,7039,100
11,12,12,K.J. Choi,87,70.4,5984,85
12,13,13,Sergio Garcia,68,70.45,4650,66
13,14,14,Rory Sabbatini,81,70.49,5569,79
14,T15,T15,Ernie Els,59,70.5,4089,58
15,T15,T15,Brandt Snedeker,105,70.5,7402,105
16,17,17,Tim Clark,66,70.55,4515,64
17,T18,T18,Jonathan Byrd,73,70.56,5151,73
18,T18,T18,Scott Verplank,82,70.56,5715,81
19,20,20,Kenny Perry,83,70.6,5860,83
20,T21,T21,Sean O'Hair,98,70.64,6923,98
21,T21,T21,Jay Williamson,50,70.64,3532,50
22,23,23,Briny Baird,115,70.66,8126,115
23,T24,T24,Anthony Kim,93,70.69,6574,93
24,T24,T24,Billy Mayfair,98,70.69,6928,98
25,T26,T26,Kevin Na,84,70.7,5939,84
26,T26,T26,Jesper Parnevik,88,70.7,6222,88
27,28,28,Pat Perez,84,70.76,5944,84
28,T29,T29,Cameron Beckman,96,70.78,6795,96
29,T29,T29,Hunter Mahan,91,70.78,6441,91
30,31,31,Matt Kuchar,85,70.79,6017,85
31,32,32,Stewart Cink,91,70.8,6230,88
32,33,33,Nathan Green,103,70.81,7293,103
33,T34,T34,Bart Bryant,87,70.83,6091,86
34,T34,T34,Bill Haas,93,70.83,6587,93
35,T36,T36,Woody Austin,95,70.84,6730,95
36,T36,T36,Daniel Chopra,106,70.84,7509,106
37,T38,T38,Lucas Glover,98,70.85,6872,97
38,T38,T38,Chris Riley,59,70.85,4180,59
39,T40,T40,Tommy Armour III,81,70.86,5740,81
40,T40,T40,Charlie Wi,90,70.86,6377,90
41,T42,T42,Cliff Kresge,107,70.88,7584,107
42,T42,T42,David Toms,80,70.88,5458,77
43,T44,T44,Brian Gay,107,70.89,7585,107
44,T44,T44,Charles Warren,101,70.89,7160,101
45,T46,T46,Brian Davis,101,70.9,7161,101
46,T46,T46,Joe Ogilvie,102,70.9,7232,102
