,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Kevin Stadler,90,20.87,53,254
1,2,2,Anthony Kim,81,19.6,49,250
2,3,3,Pat Perez,93,18.11,44,243
3,4,4,Parker McLachlin,88,18.06,52,288
4,5,5,Jeff Overton,103,18.02,73,405
5,6,6,Daniel Chopra,84,17.99,59,328
6,7,7,Ben Crane,86,17.95,42,234
7,8,8,Mark Calcavecchia,67,17.61,31,176
8,9,9,Padraig Harrington,52,17.46,22,126
9,10,10,Bubba Watson,97,17.35,59,340
10,T11,T11,Aaron Baddeley,76,17.18,39,227
11,T11,T11,Bill Haas,99,17.18,61,355
12,13,13,Robert Allenby,108,17.04,46,270
13,14,14,J.B. Holmes,86,17.03,54,317
14,15,15,Carl Pettersson,110,17.0,60,353
15,16,16,Steve Elkington,84,16.98,36,212
16,17,17,Joe Ogilvie,100,16.93,54,319
17,18,18,Ryan Moore,72,16.83,35,208
18,19,19,Ryan Palmer,69,16.75,34,203
19,20,20,Brenden Pappas,66,16.74,36,215
20,21,21,Adam Scott,51,16.45,25,152
21,22,22,Vijay Singh,82,16.42,44,268
22,23,23,Camilo Villegas,79,16.36,36,220
23,24,24,Steve Lowery,74,16.26,40,246
24,25,25,John Huston,56,16.25,26,160
25,26,26,Martin Laird,98,16.23,49,302
26,27,27,Robert Garrigus,90,16.16,58,359
27,28,28,David Toms,70,16.11,29,180
28,29,29,Tommy Gainey,60,16.05,26,162
29,30,30,Brett Rumford,72,16.03,38,237
30,31,31,Nick Flanagan,89,15.96,45,282
31,32,32,Travis Perkins,53,15.82,28,177
32,33,33,Marc Turnesa,87,15.71,41,261
33,34,34,Steve Stricker,75,15.65,36,230
34,T35,T35,Steve Allan,58,15.63,30,192
35,T35,T35,Stephen Ames,83,15.63,35,224
36,37,37,Mark Hensby,71,15.57,38,244
37,38,38,Phil Mickelson,80,15.48,39,252
38,39,39,Harrison Frazar,73,15.45,34,220
39,40,40,Brett Quigley,80,15.44,42,272
40,41,41,Zach Johnson,85,15.43,29,188
41,42,42,Kenny Perry,97,15.41,53,344
42,43,43,Dustin Johnson,92,15.38,56,364
43,44,44,Davis Love III,78,15.35,37,241
44,45,45,Sergio Garcia,72,15.28,33,216
45,46,46,Ron Whittaker,54,15.24,16,105
46,47,47,Brad Adamonis,87,15.08,49,325
47,48,48,Scott Sterling,89,15.06,36,239
48,T49,T49,Nathan Green,95,15.04,51,339
49,T49,T49,Ian Poulter,51,15.04,20,133
50,51,51,Mathew Goggin,91,15.02,41,273
51,T52,T52,Alejandro Cañizares,52,15.0,24,160
52,T52,T52,Chad Collins,72,15.0,36,240
53,54,54,John Merrick,98,14.96,38,254
54,55,55,Kevin Na,97,14.84,42,283
