,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,J.J. Henry,108,81.17,802,988
1,2,2,Nick Watney,96,80.66,663,822
2,3,3,George McNeill,97,80.6,648,804
3,4,4,Chad Campbell,94,80.37,692,861
4,5,5,Joe Durant,92,80.21,685,854
5,6,6,Harrison Frazar,73,79.78,434,544
6,7,7,John Huston,56,79.58,378,475
7,8,8,Charles Howell III,101,79.54,626,787
8,9,9,Steve Stricker,75,79.01,448,567
9,10,10,Steve Marino,119,78.96,807,1022
10,11,11,Hunter Mahan,87,78.85,619,785
11,12,12,Phil Mickelson,80,78.77,475,603
12,13,13,John Merrick,98,78.73,644,818
13,T14,T14,Sergio Garcia,72,78.69,458,582
14,T14,T14,Robert Garrigus,90,78.69,554,704
15,16,16,Robert Allenby,108,78.67,771,980
16,17,17,Kevin Streelman,114,78.5,734,935
17,18,18,Kevin Sutherland,98,78.49,664,846
18,19,19,John Riegger,73,78.48,507,646
19,20,20,Briny Baird,113,78.47,758,966
20,21,21,Tom Scherrer,56,78.46,346,441
21,22,22,Carlos Franco,73,78.45,426,543
22,23,23,Scott Sterling,89,78.37,598,763
23,24,24,Kenny Perry,97,78.23,654,836
24,25,25,Anthony Kim,81,78.21,517,661
25,26,26,Martin Laird,98,78.2,624,798
26,27,27,J.B. Holmes,86,78.14,486,622
27,28,28,Mathew Goggin,91,78.13,643,823
28,29,29,Ted Purdy,68,77.99,411,527
29,30,30,Rory Sabbatini,77,77.95,516,662
30,31,31,Chris Stroud,81,77.92,540,693
31,32,32,Justin Leonard,101,77.83,702,902
32,33,33,Troy Matteson,94,77.81,624,802
33,34,34,Jon Mills,95,77.79,550,707
34,35,35,Vijay Singh,82,77.73,506,651
35,36,36,Justin Bolli,87,77.55,570,735
36,37,37,Kent Jones,68,77.54,480,619
37,38,38,Fred Couples,60,77.5,372,480
38,39,39,Jeff Overton,103,77.47,581,750
39,40,40,Mark Wilson,107,77.46,818,1056
40,41,41,Brandt Jobe,52,77.45,316,408
41,42,42,Jeff Gove,50,77.42,360,465
42,43,43,Stewart Cink,87,77.4,483,624
43,44,44,Dean Wilson,109,77.38,698,902
44,45,45,Bo Van Pelt,101,77.35,649,839
45,46,46,Mike Weir,88,77.3,589,762
46,47,47,Tommy Armour III,77,77.29,497,643
47,48,48,John Senden,93,77.26,676,875
48,49,49,Woody Austin,109,77.23,753,975
49,50,50,Charles Warren,79,77.12,556,721
50,T51,T51,Paul Casey,55,76.99,348,452
51,T51,T51,Ryan Palmer,69,76.99,425,552
52,53,53,Dudley Hart,74,76.96,461,599
53,54,54,Boo Weekley,86,76.89,579,753
54,55,55,James Driscoll,85,76.83,451,587
55,56,56,Tommy Gainey,60,76.8,331,431
56,57,57,Charlie Wi,97,76.79,698,909
57,58,58,Pat Perez,93,76.75,624,813
58,59,59,Lucas Glover,91,76.7,599,781
59,60,60,Bubba Watson,97,76.64,561,732
60,T61,T61,K.J. Choi,74,76.49,462,604
61,T61,T61,Brett Quigley,80,76.49,514,672
62,63,63,Jim McGovern,75,76.43,467,611
63,64,64,Y.E. Yang,89,76.36,588,770
64,T65,T65,Jim Furyk,95,76.28,698,915
65,T65,T65,Billy Mayfair,103,76.28,791,1037
66,67,67,Jason Gore,94,76.27,675,885
67,68,68,Charley Hoffman,94,76.23,622,816
68,69,69,D.J. Trahan,94,76.2,650,853
69,70,70,Davis Love III,78,76.18,483,634
70,71,71,Mark Hensby,71,76.12,440,578
71,72,72,Bob Estes,90,76.07,620,815
72,73,73,Vaughn Taylor,103,76.06,683,898
73,74,74,Brenden Pappas,66,76.04,365,480
74,75,75,Ángel Cabrera,55,76.02,279,367
75,T76,T76,Adam Scott,51,76.0,285,375
76,T76,T76,Bob Tway,70,76.0,456,600
77,78,78,Sean O'Hair,81,75.99,519,683
78,79,79,Stephen Ames,83,75.97,547,720
79,80,80,Camilo Villegas,79,75.91,482,635
80,81,81,Bill Haas,99,75.88,601,792
81,82,82,Brad Adamonis,87,75.86,509,671
82,83,83,Dustin Johnson,92,75.85,515,679
83,T84,T84,Trevor Immelman,70,75.84,449,592
84,T84,T84,Freddie Jacobson,78,75.84,496,654
85,86,86,Rod Pampling,83,75.82,555,732
86,87,87,Carl Pettersson,110,75.73,696,919
87,88,88,Joe Ogilvie,100,75.66,662,875
88,T89,T89,Matt Kuchar,88,75.5,567,751
89,T89,T89,Jeff Maggert,86,75.5,604,800
90,91,91,Michael Allen,91,75.4,665,882
91,92,92,Brad Elder,67,75.33,394,523
92,93,93,Tag Ridings,88,75.28,536,712
93,94,94,Eric Axley,113,75.12,643,856
94,95,95,Tom Lehman,51,75.11,332,442
95,96,96,Ben Crane,86,75.09,609,811
96,97,97,Kevin Stadler,90,75.07,533,710
97,98,98,Tim Wilkinson,95,75.06,608,810
98,T99,T99,Steve Elkington,84,75.0,618,824
99,T99,T99,Steve Flesch,95,75.0,606,808
100,101,101,Bob Sowards,61,74.95,350,467
101,T102,T102,Todd Demsey,80,74.93,532,710
102,T102,T102,Ken Duke,116,74.93,753,1005
103,104,104,Richard Johnson,60,74.9,361,482
104,105,105,Ernie Els,51,74.81,297,397
105,106,106,Brandt Snedeker,85,74.68,531,711
106,107,107,Steve Allan,58,74.63,303,406
107,T108,T108,Zach Johnson,85,74.6,649,870
108,T108,T108,Cliff Kresge,84,74.6,517,693
109,110,110,Gavin Coles,54,74.57,343,460
110,111,111,Frank Lickliter II,107,74.56,721,967
111,112,112,Matt Jones,95,74.53,515,691
112,113,113,David Toms,70,74.32,463,623
113,114,114,Chris Riley,51,74.31,295,397
114,115,115,Rich Beem,90,74.29,624,840
115,116,116,Jimmy Walker,73,74.27,355,478
116,117,117,Chez Reavie,102,74.22,734,989
117,118,118,Will MacKenzie,62,74.21,400,539
118,T119,T119,Marco Dawson,64,74.09,346,467
119,T119,T119,Doug LaBelle II,65,74.09,409,552
120,121,121,Stuart Appleby,87,74.05,505,682
121,122,122,Ryan Armour,87,74.04,596,805
122,123,123,Peter Lonard,92,74.01,598,808
123,124,124,Tom Pernice Jr.,104,73.97,685,926
124,125,125,Ron Whittaker,54,73.96,355,480
