,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Fred Couples,60,69.57,80,115,-84,-2.00
1,2,2,Shigeki Maruyama,50,68.75,33,48,-34,-17.00
2,3,3,Doug LaBelle II,65,66.67,34,51,-35,-16.00
3,4,4,Brenden Pappas,66,66.36,73,110,-82,-7.00
4,5,5,Adam Scott,51,65.48,55,84,-59,-5.00
5,6,6,Rory Sabbatini,77,65.29,79,121,-84,-5.00
6,7,7,Camilo Villegas,79,65.12,84,129,-90,-14.00
7,8,8,Mathew Goggin,91,64.4,123,191,-130,-10.00
8,9,9,Carlos Franco,73,64.35,74,115,-78,-6.00
9,10,10,J.B. Holmes,86,64.25,115,179,-120,-2.00
10,11,11,George McNeill,97,64.09,116,181,-125,+1.00
11,12,12,Chad Campbell,94,63.91,85,133,-99,-17.00
12,T13,T13,Jim Furyk,95,63.89,69,108,-72,-27.00
13,T13,T13,Phil Mickelson,80,63.89,92,144,-96,-3.00
14,15,15,Mike Weir,88,63.55,68,107,-72,-22.00
15,16,16,Brian Gay,102,63.38,45,71,-46,-68.00
16,17,17,Stephen Ames,83,63.22,55,87,-58,-35.00
17,18,18,Parker McLachlin,88,63.16,84,133,-91,-17.00
18,19,19,Jerry Kelly,89,63.04,58,92,-59,-12.00
19,T20,T20,Jason Allred,63,62.5,65,104,-66,+7.00
20,T20,T20,Vijay Singh,82,62.5,90,144,-95,-10.00
21,T20,T20,Steve Stricker,75,62.5,50,80,-54,-30.00
22,23,23,Marco Dawson,64,62.16,46,74,-49,-12.00
23,24,24,Michael Letzig,88,62.09,95,153,-100,-1.00
