,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Trevor Immelman,70,"9' 1""",381.917,42,181
1,2,2,Adam Scott,51,"9' 2""",283.41700000000003,31,173
2,3,3,K.J. Choi,74,"9' 4""",495.417,53,95
3,T4,T4,Ian Poulter,51,"9' 6""",257.08299999999997,27,120
4,T4,T4,Vijay Singh,82,"9' 6""",521.5,55,51
5,T4,T4,Mike Weir,88,"9' 6""",569.6669999999999,60,7
6,7,7,Tim Wilkinson,95,"9' 7""",678.0830000000001,71,28
7,T8,T8,Marco Dawson,64,"9' 8""",414.333,43,144
8,T8,T8,Jeff Gove,50,"9' 8""",346.667,36,80
9,10,10,Davis Love III,78,"10' 1""",505.917,50,145
10,11,11,David Toms,70,"10' 2""",406.833,40,187
11,T12,T12,Nathan Green,95,"10' 4""",891.75,86,32
12,T12,T12,Kent Jones,68,"10' 4""",362.583,35,105
13,T12,T12,Brenden Pappas,66,"10' 4""",494.833,48,50
14,T12,T12,Brandt Snedeker,85,"10' 4""",661.3330000000001,64,100
15,T16,T16,Justin Bolli,87,"10' 5""",656.0,63,182
16,T16,T16,Glen Day,64,"10' 5""",438.167,42,6
17,T16,T16,John Huston,56,"10' 5""",386.25,37,79
18,T16,T16,Tom Scherrer,56,"10' 5""",271.41700000000003,26,126
19,T20,T20,Mark Calcavecchia,67,"10' 7""",551.1669999999999,52,161
20,T20,T20,Sergio Garcia,72,"10' 7""",477.917,45,89
21,T20,T20,Kevin Na,97,"10' 7""",834.5,79,13
22,T20,T20,Brett Rumford,72,"10' 7""",729.9169999999999,69,151
23,T24,T24,Michael Letzig,88,"10' 8""",617.0830000000001,58,108
24,T24,T24,Peter Lonard,92,"10' 8""",726.4169999999999,68,107
25,T24,T24,Steve Stricker,75,"10' 8""",588.6669999999999,55,12
26,T27,T27,Brad Adamonis,87,"10' 9""",774.1669999999999,72,131
27,T27,T27,Chris DiMarco,87,"10' 9""",742.5830000000001,69,114
28,T27,T27,Tim Herron,97,"10' 9""",837.5830000000001,78,10
29,T30,T30,Paul Goydos,78,"10' 10""",674.0,62,74
30,T30,T30,Justin Leonard,101,"10' 10""",497.5,46,34
31,T30,T30,Jon Mills,95,"10' 10""",725.5830000000001,67,154
32,T30,T30,Corey Pavin,69,"10' 10""",487.167,45,3
33,T30,T30,Tim Petrovic,97,"10' 10""",772.0830000000001,71,53
34,35,35,Pat Perez,93,"10' 11""",711.0830000000001,65,124
35,36,36,David Lutterus,59,"11' 0""",595.4169999999999,54,184
36,T37,T37,Ron Whittaker,54,"11' 1""",321.58299999999997,29,164
37,T37,T37,Dean Wilson,109,"11' 1""",819.25,74,97
38,T39,T39,Mathew Goggin,91,"11' 3""",947.6669999999999,84,77
39,T39,T39,Parker McLachlin,88,"11' 3""",897.8330000000001,80,42
40,T39,T39,Johnson Wagner,83,"11' 3""",856.3330000000001,76,103
41,T42,T42,Stuart Appleby,87,"11' 5""",786.25,69,30
42,T42,T42,Ryan Armour,87,"11' 5""",557.5830000000001,49,194
43,T42,T42,Chad Collins,72,"11' 5""",833.5830000000001,73,88
