,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Corey Pavin,69,0.249,181,45.0
1,2,2,Steve Stricker,75,0.25,136,34.0
2,3,3,Padraig Harrington,52,0.256,90,23.0
3,4,4,John Rollins,94,0.263,243,64.0
4,5,5,Phil Mickelson,80,0.273,154,42.0
5,6,6,Shigeki Maruyama,50,0.27399999999999997,124,34.0
6,7,7,Retief Goosen,59,0.275,120,33.0
7,8,8,Tim Herron,97,0.276,228,63.0
8,9,9,Justin Leonard,101,0.282,149,42.0
9,10,10,Lee Janzen,89,0.284,194,55.0
10,11,11,Brian Gay,102,0.28600000000000003,231,66.0
11,12,12,Chris Riley,51,0.28800000000000003,118,34.0
12,13,13,Glen Day,64,0.289,149,43.0
13,14,14,Mike Weir,88,0.292,168,49.0
14,15,15,K.J. Choi,74,0.293,133,39.0
15,16,16,Nick O'Hern,82,0.294,177,52.0
16,17,17,Freddie Jacobson,78,0.295,156,46.0
17,T18,T18,Brett Quigley,80,0.297,202,60.0
18,T18,T18,Scott Sterling,89,0.297,185,55.0
19,T20,T20,Stuart Appleby,87,0.299,187,56.0
20,T20,T20,Steve Flesch,95,0.299,187,56.0
21,22,22,Scott McCarron,63,0.3,140,42.0
22,T23,T23,Tom Lehman,51,0.303,109,33.0
23,T23,T23,Jesper Parnevik,88,0.303,218,66.0
24,25,25,Charlie Wi,97,0.305,223,68.0
25,T26,T26,Ryuji Imada,80,0.306,186,57.0
26,T26,T26,Richard Johnson,77,0.306,219,67.0
27,T28,T28,Gavin Coles,54,0.307,114,35.0
28,T28,T28,Jeff Quinney,87,0.307,199,61.0
29,30,30,Dudley Hart,74,0.315,165,52.0
30,T31,T31,Stephen Ames,83,0.316,155,49.0
31,T31,T31,Jonathan Byrd,88,0.316,206,65.0
32,33,33,Omar Uresti,74,0.317,180,57.0
33,34,34,Carl Pettersson,110,0.318,267,85.0
34,35,35,Vaughn Taylor,103,0.319,226,72.0
35,T36,T36,Eric Axley,113,0.321,243,78.0
36,T36,T36,Tim Clark,90,0.321,212,68.0
37,T36,T36,Pat Perez,93,0.321,190,61.0
38,T36,T36,Tom Pernice Jr.,104,0.321,249,80.0
39,T40,T40,Chad Collins,72,0.322,174,56.0
40,T40,T40,Richard Johnson,60,0.322,143,46.0
41,42,42,Ernie Els,51,0.32299999999999995,93,30.0
42,43,43,Trevor Immelman,70,0.325,123,40.0
43,44,44,Rod Pampling,83,0.326,172,56.0
44,T45,T45,Tom Scherrer,56,0.327,113,37.0
45,T45,T45,Scott Verplank,82,0.327,165,54.0
46,T47,T47,J.P. Hayes,67,0.32899999999999996,173,57.0
47,T47,T47,Billy Mayfair,103,0.32899999999999996,234,77.0
48,T47,T47,Tim Petrovic,97,0.32899999999999996,240,79.0
49,T47,T47,Chez Reavie,102,0.32899999999999996,216,71.0
50,T51,T51,Daniel Chopra,84,0.33,200,66.0
51,T51,T51,Mathew Goggin,91,0.33,206,68.0
52,T51,T51,Marc Turnesa,87,0.33,212,70.0
53,54,54,Mathias Grönberg,87,0.332,205,68.0
54,T55,T55,Brenden Pappas,66,0.33299999999999996,144,48.0
55,T55,T55,Mark Wilson,107,0.33299999999999996,255,85.0
56,57,57,Kevin Na,97,0.336,274,92.0
57,T58,T58,Cliff Kresge,84,0.337,184,62.0
58,T58,T58,Jon Mills,95,0.337,199,67.0
59,T58,T58,Ian Poulter,51,0.337,101,34.0
60,T61,T61,Paul Claxton,63,0.33799999999999997,130,44.0
61,T61,T61,Tim Wilkinson,95,0.33799999999999997,234,79.0
62,T63,T63,Briny Baird,113,0.34,250,85.0
63,T63,T63,Bart Bryant,81,0.34,194,66.0
64,T63,T63,Craig Kanada,65,0.34,153,52.0
65,T63,T63,Andres Romero,69,0.34,153,52.0
66,67,67,Dean Wilson,109,0.341,246,84.0
67,68,68,Steve Marino,119,0.342,240,82.0
68,T69,T69,Brandt Snedeker,85,0.34299999999999997,178,61.0
69,T69,T69,Bob Tway,70,0.34299999999999997,140,48.0
70,T71,T71,Stewart Cink,87,0.345,139,48.0
71,T71,T71,Nathan Green,95,0.345,261,90.0
72,T73,T73,Jason Allred,63,0.348,141,49.0
73,T73,T73,Rory Sabbatini,77,0.348,135,47.0
74,75,75,Kevin Sutherland,98,0.349,195,68.0
75,76,76,Nick Watney,96,0.35100000000000003,211,74.0
76,T77,T77,Brian Davis,108,0.353,266,94.0
77,T77,T77,Adam Scott,51,0.353,85,30.0
78,79,79,Charles Howell III,101,0.354,206,73.0
79,T80,T80,Kenneth Ferrie,72,0.355,155,55.0
80,T80,T80,Matt Jones,95,0.355,251,89.0
81,T80,T80,Steve Lowery,74,0.355,200,71.0
