,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Shane Bertsch,96,0.6509999999999999,106,69.0
1,2,2,John Huston,56,0.654,52,34.0
2,3,3,Peter Lonard,92,0.67,94,63.0
3,4,4,Stephen Leaney,53,0.6729999999999999,52,35.0
4,5,5,Steve Elkington,84,0.677,62,42.0
5,6,6,Chris Riley,51,0.6859999999999999,51,35.0
6,7,7,Corey Pavin,69,0.6970000000000001,76,53.0
7,8,8,Jerry Kelly,89,0.698,86,60.0
8,9,9,Brad Elder,67,0.701,77,54.0
9,10,10,Parker McLachlin,88,0.708,113,80.0
10,11,11,Anthony Kim,81,0.711,76,54.0
11,12,12,Stephen Ames,83,0.7120000000000001,66,47.0
12,13,13,Ben Crane,86,0.713,80,57.0
13,14,14,Bob Estes,90,0.716,88,63.0
14,15,15,Bob Tway,70,0.722,54,39.0
15,16,16,Jim Furyk,95,0.725,69,50.0
16,T17,T17,Carl Pettersson,110,0.726,124,90.0
17,T17,T17,Mike Weir,88,0.726,73,53.0
18,19,19,Omar Uresti,74,0.727,66,48.0
19,20,20,Kevin Sutherland,98,0.735,83,61.0
20,21,21,Brad Adamonis,87,0.7440000000000001,90,67.0
21,22,22,Matt Jones,95,0.754,114,86.0
22,T23,T23,Stuart Appleby,87,0.7559999999999999,86,65.0
23,T23,T23,Tim Wilkinson,95,0.7559999999999999,86,65.0
24,25,25,Brian Gay,102,0.757,103,78.0
25,26,26,Charlie Wi,97,0.758,99,75.0
26,T27,T27,Billy Mayfair,103,0.7609999999999999,88,67.0
27,T27,T27,Brandt Snedeker,85,0.7609999999999999,88,67.0
28,29,29,Steve Flesch,95,0.762,101,77.0
29,30,30,Scott Sterling,89,0.763,80,61.0
30,31,31,Alex Cejka,75,0.774,62,48.0
31,T32,T32,Woody Austin,109,0.778,63,49.0
32,T32,T32,Joe Ogilvie,100,0.778,90,70.0
33,T34,T34,Brian Davis,108,0.782,87,68.0
34,T34,T34,Kenny Perry,97,0.782,87,68.0
35,36,36,Aaron Baddeley,76,0.784,74,58.0
36,T37,T37,Tim Clark,90,0.7879999999999999,66,52.0
37,T37,T37,Hunter Mahan,87,0.7879999999999999,66,52.0
38,39,39,Steve Stricker,75,0.789,76,60.0
39,40,40,Tim Petrovic,97,0.79,81,64.0
40,41,41,Paul Goydos,78,0.795,83,66.0
41,42,42,Vijay Singh,82,0.7959999999999999,49,39.0
42,43,43,Johnson Wagner,83,0.7979999999999999,89,71.0
43,T44,T44,Michael Allen,91,0.8,75,60.0
44,T44,T44,Robert Allenby,108,0.8,60,48.0
45,46,46,J.J. Henry,108,0.802,126,101.0
46,47,47,Charles Howell III,101,0.804,92,74.0
47,48,48,Mark Wilson,107,0.805,113,91.0
48,49,49,Shigeki Maruyama,50,0.8059999999999999,62,50.0
49,50,50,K.J. Choi,74,0.812,69,56.0
50,51,51,Ben Curtis,80,0.815,65,53.0
51,T52,T52,Bart Bryant,81,0.818,44,36.0
52,T52,T52,George McNeill,97,0.818,110,90.0
53,54,54,Ken Duke,116,0.82,128,105.0
54,T55,T55,Glen Day,64,0.821,56,46.0
55,T55,T55,Sergio Garcia,72,0.821,39,32.0
56,T55,T55,Kevin Na,97,0.821,95,78.0
57,58,58,Sean O'Hair,81,0.823,62,51.0
58,59,59,John Mallinger,95,0.826,92,76.0
59,T60,T60,Eric Axley,113,0.8270000000000001,168,139.0
60,T60,T60,Ron Whittaker,54,0.8270000000000001,52,43.0
61,62,62,Scott Verplank,82,0.828,58,48.0
62,63,63,John Senden,93,0.8290000000000001,76,63.0
63,T64,T64,Ernie Els,51,0.83,47,39.0
64,T64,T64,Ian Poulter,51,0.83,47,39.0
65,66,66,Carlos Franco,73,0.831,65,54.0
66,67,67,Dean Wilson,109,0.8320000000000001,125,104.0
67,68,68,Marco Dawson,64,0.833,78,65.0
68,69,69,David Toms,70,0.836,55,46.0
69,70,70,Chris Stroud,81,0.838,68,57.0
70,T71,T71,Olin Browne,77,0.841,63,53.0
71,T71,T71,Michael Letzig,88,0.841,69,58.0
72,T71,T71,Nick O'Hern,82,0.841,63,53.0
73,74,74,Steve Lowery,74,0.8420000000000001,95,80.0
74,T75,T75,Davis Love III,78,0.843,70,59.0
75,T75,T75,Jeff Overton,103,0.843,108,91.0
76,T75,T75,Brett Quigley,80,0.843,89,75.0
77,78,78,Justin Leonard,101,0.846,65,55.0
78,79,79,Ryuji Imada,80,0.8490000000000001,86,73.0
79,T80,T80,Jonathan Byrd,88,0.85,80,68.0
80,T80,T80,Camilo Villegas,79,0.85,60,51.0
81,T82,T82,Justin Bolli,87,0.853,95,81.0
82,T82,T82,Paul Claxton,63,0.853,68,58.0
83,84,84,Tom Lehman,51,0.8540000000000001,48,41.0
84,T85,T85,Nathan Green,95,0.857,126,108.0
85,T85,T85,Will MacKenzie,62,0.857,70,60.0
86,T85,T85,Adam Scott,51,0.857,42,36.0
87,88,88,Chad Collins,72,0.8590000000000001,99,85.0
88,89,89,Freddie Jacobson,78,0.862,87,75.0
89,90,90,Jeff Quinney,87,0.863,117,101.0
90,T91,T91,Briny Baird,113,0.8640000000000001,81,70.0
91,T91,T91,Mark Calcavecchia,67,0.8640000000000001,59,51.0
92,T93,T93,John Rollins,94,0.866,82,71.0
93,T93,T93,Vaughn Taylor,103,0.866,127,110.0
94,95,95,Retief Goosen,59,0.867,60,52.0
95,96,96,Chad Campbell,94,0.868,91,79.0
96,T97,T97,Chris DiMarco,87,0.87,92,80.0
97,T97,T97,Tim Herron,97,0.87,115,100.0
98,T99,T99,Cameron Beckman,87,0.872,86,75.0
99,T99,T99,J.P. Hayes,67,0.872,94,82.0
100,T99,T99,Brett Rumford,72,0.872,94,82.0
101,102,102,Tom Pernice Jr.,104,0.875,120,105.0
102,103,103,Bill Haas,99,0.8759999999999999,89,78.0
103,T104,T104,Greg Kraft,63,0.877,57,50.0
104,T104,T104,Bubba Watson,97,0.877,73,64.0
