,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
0,1,1,Davis Love III,23,"$1,317,689"
1,2,2,Dustin Johnson,30,"$1,168,290"
2,3,3,Marc Turnesa,29,"$1,066,668"
3,4,4,Cameron Beckman,29,"$1,048,666"
4,5,5,Zach Johnson,25,"$914,190"
5,6,6,Ryan Palmer,22,"$910,350"
6,7,7,Robert Allenby,28,"$804,170"
7,8,8,Will MacKenzie,21,"$675,197"
8,9,9,Mathew Goggin,27,"$613,773"
9,10,10,Steve Allan,21,"$591,489"
10,11,11,Kevin Sutherland,26,"$569,058"
11,12,12,Tommy Gainey,24,"$532,020"
12,13,13,George McNeill,29,"$498,573"
13,14,14,Woody Austin,30,"$485,203"
14,15,15,Brian Gay,31,"$477,997"
15,16,16,Mark Wilson,29,"$462,108"
16,17,17,Matt Kuchar,27,"$453,150"
17,18,18,Pat Perez,27,"$448,183"
18,19,19,Jeff Overton,32,"$434,966"
19,20,20,Robert Garrigus,29,"$429,744"
20,21,21,Vaughn Taylor,32,"$417,447"
21,22,22,Michael Allen,28,"$412,916"
22,23,23,Troy Matteson,30,"$410,197"
23,24,24,Tim Wilkinson,29,"$409,642"
24,25,25,Charles Howell III,31,"$401,970"
25,26,26,J.J. Henry,34,"$397,561"
26,27,27,Ken Duke,33,"$394,207"
27,28,28,Steve Marino,32,"$367,119"
28,29,29,Chris Stroud,29,"$360,552"
29,30,30,Charlie Wi,27,"$357,377"
30,31,31,Scott Sterling,28,"$323,990"
31,32,32,Michael Letzig,29,"$315,592"
32,33,33,Ryuji Imada,25,"$302,387"
33,34,34,Mike Weir,26,"$300,966"
34,35,35,Scott Verplank,24,"$298,513"
35,36,36,Nicholas Thompson,36,"$292,803"
36,37,37,Tim Petrovic,32,"$290,539"
37,38,38,Tim Herron,28,"$289,475"
38,39,39,Bob Estes,28,"$286,650"
39,40,40,Joe Durant,28,"$283,330"
40,41,41,John Mallinger,29,"$262,144"
41,42,42,Greg Kraft,21,"$245,680"
42,43,43,Bob Tway,20,"$239,058"
43,44,44,Chad Campbell,28,"$233,028"
44,45,45,Jason Gore,33,"$231,970"
45,46,46,Joe Ogilvie,29,"$228,968"
46,47,47,Tom Scherrer,20,"$227,859"
47,48,48,Bill Haas,31,"$226,803"
48,49,49,Kevin Streelman,32,"$226,540"
49,50,50,Brad Elder,23,"$217,904"
50,51,51,Nick O'Hern,26,"$209,961"
51,52,52,Harrison Frazar,23,"$207,100"
52,53,53,Arron Oberholser,10,"$206,666"
53,54,54,Steve Elkington,25,"$206,625"
54,55,55,Rory Sabbatini,23,"$202,800"
55,56,56,Michael Sim,7,"$202,758"
56,57,57,Paul Goydos,25,"$197,975"
57,58,58,Chad Collins,24,"$178,842"
58,59,59,Stephen Ames,24,"$178,685"
59,60,60,Tom Pernice Jr.,30,"$178,260"
60,61,61,Tag Ridings,29,"$177,895"
61,62,62,Brian Davis,34,"$177,323"
62,63,63,Jason Day,28,"$176,058"
63,64,64,Bo Van Pelt,32,"$171,329"
64,65,65,Casey Wittenberg,4,"$167,520"
65,66,66,Mark Hensby,26,"$166,146"
66,67,67,Chris DiMarco,29,"$163,779"
67,68,68,Peter Lonard,30,"$158,987"
68,69,69,John Huston,18,"$157,290"
69,70,70,Charles Warren,29,"$156,629"
70,71,71,Shane Bertsch,29,"$154,572"
71,72,72,Jeff Maggert,28,"$154,062"
72,73,73,Kevin Stadler,30,"$139,965"
73,74,74,James Driscoll,28,"$137,919"
74,75,75,Brenden Pappas,24,"$136,137"
75,76,76,Brad Adamonis,29,"$133,257"
76,77,77,Todd Hamilton,28,"$127,974"
77,78,78,Martin Laird,29,"$127,032"
78,79,79,Sean O'Hair,25,"$123,955"
79,80,80,David Toms,20,"$117,028"
