,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
0,1,1,Tiger Woods,6,4.0
1,T2,T2,Kenny Perry,26,3.0
2,T2,T2,Vijay Singh,23,3.0
3,T4,T4,Padraig Harrington,15,2.0
4,T4,T4,Anthony Kim,22,2.0
5,T4,T4,Phil Mickelson,21,2.0
6,T4,T4,Camilo Villegas,22,2.0
7,T8,T8,Cameron Beckman,29,1.0
8,T8,T8,K.J. Choi,21,1.0
9,T8,T8,Daniel Chopra,27,1.0
10,T8,T8,Stewart Cink,23,1.0
11,T8,T8,Ernie Els,16,1.0
12,T8,T8,Sergio Garcia,19,1.0
13,T8,T8,Brian Gay,31,1.0
14,T8,T8,J.B. Holmes,26,1.0
15,T8,T8,Ryuji Imada,25,1.0
16,T8,T8,Trevor Immelman,22,1.0
17,T8,T8,Zach Johnson,25,1.0
18,T8,T8,Richard Johnson,21,1.0
19,T8,T8,Dustin Johnson,30,1.0
20,T8,T8,Greg Kraft,21,1.0
21,T8,T8,Justin Leonard,25,1.0
22,T8,T8,Davis Love III,23,1.0
23,T8,T8,Steve Lowery,25,1.0
24,T8,T8,Will MacKenzie,21,1.0
25,T8,T8,Parker McLachlin,27,1.0
26,T8,T8,Sean O'Hair,25,1.0
27,T8,T8,Geoff Ogilvy,20,1.0
28,T8,T8,Ryan Palmer,22,1.0
29,T8,T8,Carl Pettersson,29,1.0
30,T8,T8,Chez Reavie,30,1.0
31,T8,T8,Andres Romero,20,1.0
32,T8,T8,Adam Scott,15,1.0
33,T8,T8,D.J. Trahan,27,1.0
34,T8,T8,Marc Turnesa,29,1.0
35,T8,T8,Johnson Wagner,26,1.0
36,T8,T8,Boo Weekley,24,1.0
37,T38,T38,,0,
38,T38,T38,Pablo Acuna,0,
39,T38,T38,Brad Adamonis,29,
40,T38,T38,Mitch Adcock,1,
41,T38,T38,Felipe Aguilar,0,
42,T38,T38,Thomas Aiken,1,
43,T38,T38,Tyler Aldridge,0,
44,T38,T38,Lonny Alexander,2,
45,T38,T38,Steve Allan,21,
46,T38,T38,Fulton Allem,1,
47,T38,T38,Michael Allen,28,
48,T38,T38,Robert Allenby,28,
49,T38,T38,Jason Allred,23,
50,T38,T38,Max Alveiro,1,
51,T38,T38,Stephen Ames,24,
52,T38,T38,Billy Andrade,24,
53,T38,T38,Stuart Appleby,23,
54,T38,T38,Peter Appleyard,1,
55,T38,T38,Alex Aragon,2,
56,T38,T38,Philip Archer,2,
57,T38,T38,Tommy Armour III,25,
58,T38,T38,Ryan Armour,32,
59,T38,T38,Sam Arnold,1,
60,T38,T38,Woody Austin,30,
61,T38,T38,Clint Avret,1,
62,T38,T38,Eric Axley,35,
63,T38,T38,Paul Azinger,9,
64,T38,T38,Aaron Baddeley,22,
65,T38,T38,Sangmoon Bae,0,
66,T38,T38,Briny Baird,30,
67,T38,T38,Peter Baker,1,
68,T38,T38,Rich Barcelo,0,
69,T38,T38,Craig Barlow,15,
70,T38,T38,Ricky Barnes,0,
71,T38,T38,Brian Bateman,18,
72,T38,T38,Nick Beach,0,
73,T38,T38,Rich Beem,29,
74,T38,T38,Notah Begay III,9,
75,T38,T38,Charlie Beljan,1,
76,T38,T38,Camilo Benedetti,0,
77,T38,T38,Yohann Benson,1,
78,T38,T38,Ryan Benzel,1,
79,T38,T38,"David Berganio, Jr.",1,
80,T38,T38,Oskar Bergman,0,
81,T38,T38,Brian Bergstol,1,
82,T38,T38,Travis Bertoni,1,
83,T38,T38,Shane Bertsch,29,
84,T38,T38,Jon Bevan,1,
85,T38,T38,Henrik Bjornstad,1,
86,T38,T38,Ronnie Black,2,
87,T38,T38,Adam Bland,1,
88,T38,T38,Ryan Blaum,1,
89,T38,T38,Jonas Blixt,0,
90,T38,T38,Rohan Blizard,1,
91,T38,T38,Adam Blyth,1,
92,T38,T38,Jason Bohn,15,
93,T38,T38,Justin Bolli,28,
94,T38,T38,Andrew Bonhomme,0,
95,T38,T38,Matthew Borchert,0,
96,T38,T38,Guy Boros,6,
97,T38,T38,Jeffrey Bors,1,
98,T38,T38,Grégory Bourdy,1,
99,T38,T38,Casey Bourque,1,
100,T38,T38,Gary Boyd,1,
101,T38,T38,George Bradford,1,
102,T38,T38,Michael Bradley,14,
103,T38,T38,David Branshaw,0,
104,T38,T38,Ryan Brehm,1,
105,T38,T38,Danny Briggs,1,
106,T38,T38,D.J. Brigman,1,
107,T38,T38,Josh Broadaway,0,
108,T38,T38,Mark Brooks,17,
109,T38,T38,Mark Brown,3,
110,T38,T38,Brandon Brown,0,
111,T38,T38,Olin Browne,27,
112,T38,T38,Bart Bryant,23,
113,T38,T38,Brad Bryant,1,
114,T38,T38,Andrew Buckle,15,
115,T38,T38,Kelvin Burgin,1,
116,T38,T38,Bob Burns,7,
117,T38,T38,Rodney Butcher,0,
118,T38,T38,Jonathan Byrd,27,
119,T38,T38,Tom Byrum,12,
120,T38,T38,Ángel Cabrera,17,
121,T38,T38,Mark Calcavecchia,25,
122,T38,T38,Chad Campbell,28,
123,T38,T38,Michael Campbell,6,
124,T38,T38,Peter Campbell,1,
125,T38,T38,Rafael Campos,1,
126,T38,T38,Ariel Cañete,1,
127,T38,T38,Alejandro Cañizares,16,
128,T38,T38,Brian Carroll,1,
129,T38,T38,Paul Casey,16,
130,T38,T38,Roberto Castro,1,
131,T38,T38,Santiago Cavanagh,2,
132,T38,T38,Alex Cejka,25,
133,T38,T38,Brandel Chamblee,1,
134,T38,T38,Kevin Chappell,2,
135,T38,T38,Garrett Chaussard,1,
136,T38,T38,SSP Chawrasia,1,
137,T38,T38,Danny Chia,1,
138,T38,T38,Alex Ching,1,
139,T38,T38,Jay Choi,1,
140,T38,T38,Gary Christian,0,
141,T38,T38,Bobby Clampett,1,
142,T38,T38,Michael Clark II,1,
143,T38,T38,Tim Clark,27,
144,T38,T38,Darren Clarke,2,
145,T38,T38,Paul Claxton,23,
146,T38,T38,Keith Clearwater,2,
147,T38,T38,Ryan Cobb,0,
148,T38,T38,José Coceres,13,
149,T38,T38,Russ Cochran,1,
150,T38,T38,Gavin Coles,16,
151,T38,T38,Bobby Collins,1,
152,T38,T38,Chad Collins,24,
153,T38,T38,Wil Collins,0,
154,T38,T38,Erik Compton,1,
155,T38,T38,John Cook,0,
156,T38,T38,Fred Couples,18,
157,T38,T38,,0,
158,T38,T38,Kris Cox,8,
159,T38,T38,Jordan Cox,1,
160,T38,T38,Ben Crane,25,
161,T38,T38,Ben Crenshaw,1,
162,T38,T38,Tiago Cruz,0,
163,T38,T38,Josh Cunliffe,1,
164,T38,T38,Jeff Curl,0,
165,T38,T38,Ben Curtis,22,
166,T38,T38,Jeff Cuzzort,1,
167,T38,T38,John Daly,17,
168,T38,T38,Robert Damron,8,
169,T38,T38,Brian Davis,34,
170,T38,T38,Marco Dawson,21,
171,T38,T38,Glen Day,19,
172,T38,T38,Jason Day,28,
173,T38,T38,Brad Dean,1,
174,T38,T38,Stuart Deane,2,
175,T38,T38,Chip Deason,1,
176,T38,T38,Bryan DeCorso,1,
177,T38,T38,Graham DeLaet,0,
178,T38,T38,Daniel DeLeon,0,
179,T38,T38,Jay Delsing,8,
180,T38,T38,Todd Demsey,25,
181,T38,T38,Chris Devlin,1,
182,T38,T38,Casey DeVoll,0,
183,T38,T38,Bubba Dickerson,1,
184,T38,T38,Ryan Dillon,1,
185,T38,T38,Chris DiMarco,29,
186,T38,T38,Robert Dinwiddie,1,
187,T38,T38,Trevor Dodds,2,
188,T38,T38,Luke Donald,11,
189,T38,T38,Nick Dougherty,8,
190,T38,T38,John Douma,1,
191,T38,T38,Bradley Dredge,1,
192,T38,T38,Andrew Dresser,1,
193,T38,T38,James Drew,0,
194,T38,T38,James Driscoll,28,
195,T38,T38,Jason Dufner,16,
196,T38,T38,Eric Dugas,1,
197,T38,T38,Ken Duke,33,
198,T38,T38,Brian Duncan,0,
199,T38,T38,Scott Dunlap,1,
200,T38,T38,Joe Durant,28,
201,T38,T38,David Duval,20,
202,T38,T38,Doug Dvorak,1,
203,T38,T38,Simon Dyson,2,
204,T38,T38,Pelle Edberg,1,
205,T38,T38,Johan Edfors,2,
206,T38,T38,Reid Edstrom,1,
207,T38,T38,Joel Edwards,1,
208,T38,T38,Kent Eger,0,
209,T38,T38,Brad Elder,23,
210,T38,T38,Steve Elkington,25,
211,T38,T38,John Ellis,2,
212,T38,T38,Jamie Elson,1,
213,T38,T38,Sean English,1,
214,T38,T38,Jason Enloe,0,
215,T38,T38,Josh Esler,1,
216,T38,T38,Frank Esposito,1,
217,T38,T38,Bob Estes,28,
218,T38,T38,Jim Estes,1,
219,T38,T38,Matt Every,0,
220,T38,T38,Nick Faldo,0,
221,T38,T38,Niclas Fasth,10,
222,T38,T38,Derek Fathauer,1,
223,T38,T38,Scott Fawcett,0,
224,T38,T38,Brad Faxon,3,
225,T38,T38,Gonzalo Fernandez-Castaño,1,
226,T38,T38,Rick Fehr,1,
227,T38,T38,Kenneth Ferrie,25,
228,T38,T38,Darren Fichardt,1,
229,T38,T38,Fernando Figueroa,1,
230,T38,T38,Tony Finau,1,
231,T38,T38,Richard Finch,2,
232,T38,T38,Ross Fisher,6,
233,T38,T38,Nick Flanagan,29,
234,T38,T38,Steve Flesch,29,
235,T38,T38,Kyle Flinton,1,
236,T38,T38,Martin Flores,0,
237,T38,T38,Raymond Floyd,1,
238,T38,T38,Robert Floyd,3,
239,T38,T38,Dan Forsman,11,
240,T38,T38,Alastair Forsyth,2,
241,T38,T38,Peter Fowler,1,
242,T38,T38,Rickie Fowler,2,
243,T38,T38,Benjamin Fox,1,
244,T38,T38,Philip Francis,1,
245,T38,T38,Carlos Franco,25,
246,T38,T38,Harrison Frazar,23,
247,T38,T38,Robin Freeman,2,
248,T38,T38,Cody Freeman,26,
249,T38,T38,Jonathan Fricke,0,
250,T38,T38,Steve Friesen,0,
251,T38,T38,Brad Fritsch,1,
252,T38,T38,David Frost,3,
253,T38,T38,Tadd Fujikawa,3,
254,T38,T38,Hiroyuki Fujita,1,
255,T38,T38,Keiichiro Fukabori,1,
256,T38,T38,Fred Funk,14,
257,T38,T38,Jim Furyk,26,
258,T38,T38,Tommy Gainey,24,
259,T38,T38,"Jim Gallagher, Jr.",7,
260,T38,T38,Jeff Gallagher,0,
261,T38,T38,Robert Gamez,26,
262,T38,T38,Stephen Gangluff,1,
263,T38,T38,Scott Gardiner,0,
264,T38,T38,Robert Garrigus,29,
265,T38,T38,Philippe Gasnier,1,
266,T38,T38,Bob Gaus,1,
267,T38,T38,Brent Geiberger,12,
268,T38,T38,Tom Gillis,3,
269,T38,T38,Mike Gilmore,1,
270,T38,T38,Lucas Glover,26,
271,T38,T38,Mathew Goggin,27,
272,T38,T38,Brad Golden,0,
273,T38,T38,Jean Baptiste Gonnet,1,
274,T38,T38,Retief Goosen,18,
275,T38,T38,Jason Gore,33,
276,T38,T38,Jeff Gove,18,
277,T38,T38,Paul Gow,0,
278,T38,T38,Paul Goydos,25,
279,T38,T38,Wesley Graham,1,
280,T38,T38,Richard Green,9,
281,T38,T38,Nathan Green,30,
282,T38,T38,Mathias Grönberg,30,
283,T38,T38,Rob Grube,1,
284,T38,T38,Andrew Gruss,1,
285,T38,T38,Scott Gump,2,
286,T38,T38,Jay Haas,1,
287,T38,T38,Hunter Haas,1,
288,T38,T38,Bill Haas,31,
289,T38,T38,Anton Haig,2,
290,T38,T38,Todd Halpen,1,
291,T38,T38,Todd Hamilton,28,
292,T38,T38,Seungsu Han,0,
293,T38,T38,Anders Hansen,6,
294,T38,T38,Soren Hansen,9,
295,T38,T38,Peter Hanson,4,
296,T38,T38,Matt Harmon,1,
297,T38,T38,Jeff Hart,0,
298,T38,T38,Dudley Hart,22,
299,T38,T38,Brad Hauer,1,
300,T38,T38,Grégory Havret,2,
301,T38,T38,Kevin Hayashi,1,
302,T38,T38,J.P. Hayes,26,
303,T38,T38,David Hearn,2,
304,T38,T38,Scott Hebert,2,
305,T38,T38,Benjamin Hebert,1,
306,T38,T38,Peter Hedblom,1,
307,T38,T38,Wes Heffernan,1,
308,T38,T38,Mike Heinen,7,
309,T38,T38,Bob Heintz,17,
310,T38,T38,Jimmy Henderson,1,
311,T38,T38,Nolan Henke,1,
312,T38,T38,J.J. Henry,34,
313,T38,T38,Mark Hensby,26,
314,T38,T38,Jim Herman,0,
315,T38,T38,Tim Herron,28,
316,T38,T38,Justin Hicks,1,
317,T38,T38,Justin Hicks,1,
318,T38,T38,Ryan Hietala,0,
319,T38,T38,Gabriel Hjertstedt,4,
320,T38,T38,Scott Hoch,1,
321,T38,T38,Charley Hoffman,29,
322,T38,T38,S.S. Hong,0,
323,T38,T38,P.H. Horgan III,1,
324,T38,T38,David Horsey,1,
325,T38,T38,Hidemasa Hoshino,1,
326,T38,T38,Jamie Howarth,1,
327,T38,T38,David Howell,3,
328,T38,T38,Charles Howell III,31,
329,T38,T38,Keith Huber,0,
330,T38,T38,Mike Hulbert,1,
331,T38,T38,Jeff Hull,1,
332,T38,T38,Barry Hume,1,
333,T38,T38,John Huston,18,
334,T38,T38,Daniel Im,1,
335,T38,T38,Tripp Isenhour,1,
336,T38,T38,Hiroshi Iwata,1,
337,T38,T38,Peter Jacobsen,1,
338,T38,T38,Freddie Jacobson,24,
339,T38,T38,Barry Jaeckel,1,
340,T38,T38,Thongchai Jaidee,0,
341,T38,T38,Lee Janzen,28,
342,T38,T38,Vince Jewell,2,
343,T38,T38,Miguel Angel Jiménez,8,
344,T38,T38,Brandt Jobe,19,
345,T38,T38,Kevin Johnson,0,
346,T38,T38,Richard Johnson,29,
347,T38,T38,Mike Johnston,1,
348,T38,T38,Kent Jones,23,
349,T38,T38,Brendan Jones,5,
350,T38,T38,Matt Jones,31,
351,T38,T38,Pete Jordan,1,
352,T38,T38,Erick Justesen,0,
353,T38,T38,Shintaro Kai,1,
354,T38,T38,Roope Kakko,0,
355,T38,T38,Craig Kanada,23,
356,T38,T38,Robert Karlsson,8,
357,T38,T38,Peter Karmis,1,
358,T38,T38,Shingo Katayama,5,
359,T38,T38,Jonathan Kaye,8,
360,T38,T38,Martin Kaymer,8,
361,T38,T38,Jerry Kelly,31,
362,T38,T38,Troy Kelly,0,
363,T38,T38,Skip Kendall,6,
364,T38,T38,Simon Khan,1,
365,T38,T38,Hyung-Tae Kim,0,
366,T38,T38,Kenny Kim,1,
367,T38,T38,James Kingston,5,
368,T38,T38,Chris Kirk,3,
369,T38,T38,Tom Kite,1,
370,T38,T38,Patton Kizzire,1,
371,T38,T38,Søren Kjeldsen,3,
372,T38,T38,Michael Knight,1,
373,T38,T38,Colt Knost,5,
374,T38,T38,Kenny Knox,1,
375,T38,T38,Jason Knutzon,1,
376,T38,T38,Mathew Kodama,1,
377,T38,T38,Matthew Kohn,1,
378,T38,T38,J.T. Kohut,3,
379,T38,T38,Brian Kontak,1,
380,T38,T38,Mikko Korhonen,0,
381,T38,T38,Brian Kortan,1,
382,T38,T38,Cliff Kresge,28,
383,T38,T38,Joel Kribel,1,
384,T38,T38,Matt Kuchar,27,
385,T38,T38,Trip Kuehne,1,
386,T38,T38,Doug LaBelle II,22,
387,T38,T38,,0,
388,T38,T38,Martin Laird,29,
389,T38,T38,Chih-Bing Lam,1,
390,T38,T38,Brad Lamb,1,
391,T38,T38,Derek Lamely,1,
392,T38,T38,Joey Lamielle,1,
393,T38,T38,Neal Lancaster,9,
394,T38,T38,Eric Landreville,1,
395,T38,T38,Bernhard Langer,2,
396,T38,T38,Franklin Langham,1,
397,T38,T38,Drew Laning,0,
398,T38,T38,Pablo Larrazabal,3,
399,T38,T38,Paul Lawrie,1,
400,T38,T38,Stephen Leaney,17,
401,T38,T38,Steve LeBrun,0,
402,T38,T38,D.H. Lee,1,
403,T38,T38,Won Joon Lee,0,
404,T38,T38,Danny Lee,2,
405,T38,T38,Richard Lee,0,
406,T38,T38,Ian Leggatt,5,
407,T38,T38,Tom Lehman,17,
408,T38,T38,Rick Leibovich,3,
409,T38,T38,Michael Letzig,29,
410,T38,T38,Thomas Levet,1,
411,T38,T38,Spencer Levin,1,
412,T38,T38,J.L. Lewis,16,
413,T38,T38,WC Liang,6,
414,T38,T38,Frank Lickliter II,32,
415,T38,T38,Jose-Filipe Lima,1,
416,T38,T38,Wen-Tang Lin,0,
417,T38,T38,Luke List,2,
418,T38,T38,Jonathan Lomas,1,
419,T38,T38,Peter Lonard,30,
420,T38,T38,David Long,1,
421,T38,T38,Jamie Lovemark,5,
422,T38,T38,Wen-Teh Lu,0,
423,T38,T38,Santiago Luna,1,
424,T38,T38,David Lutterus,23,
425,T38,T38,Sandy Lyle,2,
426,T38,T38,Jarrod Lyle,1,
427,T38,T38,Andrew Magee,3,
428,T38,T38,Jeff Maggert,28,
429,T38,T38,Hunter Mahan,27,
430,T38,T38,Scott Mahlberg,1,
431,T38,T38,John Mallinger,29,
432,T38,T38,Eric Manning,1,
433,T38,T38,Major Manning,0,
434,T38,T38,Steve Marino,32,
435,T38,T38,Prayad Marksaeng,4,
436,T38,T38,Brad Martin,1,
437,T38,T38,Miguel Martinez,0,
438,T38,T38,Pablo Martin Benavides,3,
439,T38,T38,Jeff Martin,1,
440,T38,T38,Shigeki Maruyama,18,
441,T38,T38,Daisuke Maruyama,4,
442,T38,T38,Dick Mast,1,
443,T38,T38,Michio Matsumura,1,
444,T38,T38,Troy Matteson,30,
445,T38,T38,Len Mattiace,11,
446,T38,T38,Abs Mawjii,1,
