,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Zach Johnson,85,87.37,1031,1180
1,2,2,Billy Mayfair,103,87.06,1251,1437
2,3,3,Heath Slocum,104,87.04,1263,1451
3,4,4,Brian Davis,108,86.97,1308,1504
4,T5,T5,Olin Browne,77,86.92,930,1070
5,T5,T5,Steve Elkington,84,86.92,1017,1170
6,7,7,Nick O'Hern,82,86.76,970,1118
7,8,8,Bart Bryant,81,86.36,975,1129
8,9,9,Scott Verplank,82,86.17,978,1135
9,T10,T10,Woody Austin,109,85.81,1264,1473
10,T10,T10,John Senden,93,85.81,1101,1283
11,12,12,Michael Allen,91,85.35,1084,1270
12,13,13,Mark Wilson,107,85.26,1273,1493
13,14,14,Scott McCarron,63,85.11,749,880
14,T15,T15,Robert Gamez,79,85.06,934,1098
15,T15,T15,Paul Goydos,78,85.06,928,1091
16,17,17,John Rollins,94,85.0,1116,1313
17,18,18,Jim Furyk,95,84.84,1119,1319
18,19,19,Robert Allenby,108,84.8,1266,1493
19,20,20,Jason Gore,94,84.77,1108,1307
20,21,21,Charlie Wi,97,84.59,1142,1350
21,22,22,Ben Crane,86,84.57,1014,1199
22,23,23,Mathew Goggin,91,84.46,1071,1268
23,24,24,Charles Warren,79,84.39,930,1102
24,25,25,Boo Weekley,86,84.26,980,1163
25,26,26,Jeff Maggert,86,84.2,1007,1196
26,27,27,Hunter Mahan,87,84.19,1001,1189
27,28,28,Shane Bertsch,96,84.18,1123,1334
28,29,29,Rich Beem,90,84.14,1056,1255
29,30,30,Vijay Singh,82,83.65,916,1095
30,31,31,Pat Perez,93,83.58,1074,1285
31,32,32,Bob Estes,90,83.57,1048,1254
32,T33,T33,Mark Calcavecchia,67,83.53,771,923
33,T33,T33,J.J. Henry,108,83.53,1258,1506
34,T33,T33,Kevin Sutherland,98,83.53,1141,1366
35,36,36,Omar Uresti,74,83.4,859,1030
36,37,37,David Toms,70,83.37,792,950
37,38,38,Kevin Na,97,83.35,1126,1351
38,39,39,Justin Leonard,101,83.33,1110,1332
39,40,40,John Mallinger,95,83.07,1099,1323
40,41,41,Frank Lickliter II,107,82.93,1234,1488
41,42,42,Will MacKenzie,62,82.69,712,861
42,43,43,Jason Day,81,82.49,933,1131
43,44,44,Troy Matteson,94,82.48,1078,1307
44,T45,T45,Chad Campbell,94,82.46,1081,1311
45,T45,T45,Todd Hamilton,92,82.46,1058,1283
46,47,47,Rory Sabbatini,77,82.4,880,1068
47,48,48,Sergio Garcia,72,82.35,807,980
48,T49,T49,Jonathan Byrd,88,82.31,977,1187
49,T49,T49,D.J. Trahan,94,82.31,1075,1306
50,51,51,Chris DiMarco,87,82.26,997,1212
51,52,52,Chez Reavie,102,82.17,1166,1419
52,53,53,Rocco Mediate,87,82.13,997,1214
53,54,54,Mike Weir,88,81.97,1000,1220
54,55,55,Stephen Ames,83,81.88,940,1148
55,56,56,Nick Watney,96,81.83,1099,1343
56,57,57,Ryan Moore,72,81.77,821,1004
57,58,58,Kenny Perry,97,81.76,1103,1349
58,59,59,Tom Pernice Jr.,104,81.62,1181,1447
59,60,60,Brandt Jobe,52,81.49,590,724
60,61,61,Tim Clark,90,81.45,1014,1245
61,62,62,Lucas Glover,91,81.4,1033,1269
62,63,63,George McNeill,97,81.37,1101,1353
63,64,64,Steve Flesch,95,81.36,1078,1325
64,65,65,Rod Pampling,83,81.26,906,1115
65,66,66,Vaughn Taylor,103,81.24,1169,1439
66,67,67,Ken Duke,116,81.23,1311,1614
67,68,68,K.J. Choi,74,81.0,797,984
68,69,69,Charley Hoffman,94,80.93,1065,1316
69,70,70,Robert Garrigus,90,80.91,1013,1252
70,71,71,Ryuji Imada,80,80.81,901,1115
71,72,72,Todd Demsey,80,80.79,900,1114
72,73,73,Y.E. Yang,89,80.76,1003,1242
