,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Vijay Singh,4,10000000
1,2,2,Camilo Villegas,4,3000000
2,3,3,Sergio Garcia,4,2000000
3,4,4,Anthony Kim,4,1500000
4,5,5,Jim Furyk,4,1000000
5,6,6,Mike Weir,4,800000
6,7,7,Phil Mickelson,4,700000
7,8,8,Justin Leonard,4,600000
8,9,9,Ben Curtis,4,550000
9,10,10,K.J. Choi,4,500000
10,11,11,Kevin Sutherland,4,300000
11,12,12,Dudley Hart,4,290000
12,13,13,Ernie Els,4,280000
13,14,14,Steve Stricker,4,270000
14,15,15,Kenny Perry,4,250000
15,16,16,Trevor Immelman,4,245000
16,17,17,Stuart Appleby,4,240000
17,18,18,Hunter Mahan,4,235000
18,19,19,Robert Allenby,4,230000
19,20,20,Stewart Cink,4,225000
20,21,21,Carl Pettersson,4,220000
21,22,22,Ken Duke,4,215000
22,23,23,Billy Mayfair,4,210000
23,24,24,D.J. Trahan,4,205000
24,25,25,Ryuji Imada,4,200000
25,26,26,Tim Clark,4,195000
26,27,27,Briny Baird,4,190000
27,28,28,Andres Romero,4,185000
28,29,29,Chad Campbell,4,180000
29,30,30,Bubba Watson,4,175000
30,31,31,Stephen Ames,3,165000
31,32,32,Geoff Ogilvy,3,155000
32,33,33,Boo Weekley,3,150000
33,34,34,Brandt Snedeker,3,145000
34,35,35,Kevin Streelman,3,142000
35,36,36,Steve Marino,3,140000
36,37,37,John Senden,3,138000
37,38,38,J.B. Holmes,3,137000
38,39,39,Dean Wilson,3,136000
39,40,40,John Merrick,3,135000
40,41,41,Nicholas Thompson,3,134000
41,42,42,Charlie Wi,3,133000
42,43,43,Aaron Baddeley,3,132000
43,44,44,Freddie Jacobson,3,131000
44,45,45,Mark Wilson,3,130000
45,46,46,Brian Gay,3,129000
46,47,47,Adam Scott,3,128000
47,48,48,Scott Verplank,3,127000
48,49,49,Lucas Glover,3,126000
49,50,50,Padraig Harrington,3,125000
50,51,51,Jerry Kelly,3,120000
51,52,52,Mathew Goggin,3,115000
52,53,53,Tim Herron,3,114000
53,54,54,Bart Bryant,3,113000
54,55,55,Jonathan Byrd,3,110000
55,56,56,Brian Davis,3,110000
56,57,57,Chez Reavie,3,110000
57,58,58,Woody Austin,3,110000
58,59,59,Ben Crane,3,110000
59,60,60,Johnson Wagner,3,110000
60,61,61,Heath Slocum,3,110000
61,62,62,Tommy Armour III,3,110000
62,63,63,Eric Axley,3,110000
63,64,64,John Mallinger,3,110000
64,65,65,Ángel Cabrera,3,110000
65,66,66,Jay Williamson,3,110000
66,67,67,Martin Laird,3,110000
67,68,68,Charley Hoffman,3,110000
68,69,69,Rory Sabbatini,3,110000
69,70,70,Tiger Woods,0,110000
70,71,71,Pat Perez,2,80000
71,72,72,Brett Quigley,2,80000
72,73,73,Bill Haas,2,80000
73,74,74,Paul Casey,2,80000
74,75,75,Sean O'Hair,2,80000
75,76,76,Peter Lonard,2,80000
76,77,77,Richard Johnson,2,80000
77,78,78,Rocco Mediate,2,80000
78,79,79,Bo Van Pelt,2,80000
79,80,80,Tom Pernice Jr.,2,80000
80,81,81,Steve Flesch,2,75000
81,82,82,Tim Petrovic,2,75000
82,83,83,Jason Day,2,75000
83,84,84,Steve Elkington,2,75000
84,85,85,Paul Goydos,2,75000
85,86,86,Nick O'Hern,2,75000
86,87,87,Ryan Moore,2,75000
87,88,88,Jeff Quinney,2,75000
88,89,89,Jesper Parnevik,2,75000
89,90,90,Michael Allen,2,75000
90,91,91,Scott McCarron,2,75000
91,92,92,J.J. Henry,2,75000
92,93,93,Kevin Na,2,75000
93,94,94,Ryan Palmer,2,75000
94,95,95,Charles Howell III,2,75000
95,96,96,John Rollins,2,75000
96,97,97,Frank Lickliter II,2,75000
97,98,98,Rod Pampling,2,75000
98,99,99,Jeff Overton,2,75000
99,100,100,Corey Pavin,2,75000
100,101,101,Justin Bolli,2,70000
101,102,102,Daniel Chopra,2,70000
102,103,103,Steve Lowery,2,70000
103,104,104,George McNeill,2,70000
104,105,105,Luke Donald,0,70000
105,106,106,Lee Westwood,0,70000
106,107,107,Parker McLachlin,2,70000
107,108,108,Retief Goosen,2,70000
108,109,109,Nick Watney,2,70000
109,110,110,Patrick Sheehan,2,70000
110,111,111,Rich Beem,2,70000
111,112,112,Ian Poulter,2,70000
112,113,113,Cliff Kresge,2,70000
113,114,114,Justin Rose,0,70000
114,115,115,Matt Kuchar,2,70000
115,116,116,Glen Day,2,70000
116,117,117,Michael Letzig,2,70000
117,118,118,Fred Couples,2,70000
118,119,119,Lee Janzen,2,70000
119,120,120,Alex Cejka,0,70000
120,121,121,Brad Adamonis,1,70000
121,122,122,Nathan Green,1,70000
122,123,123,Jason Bohn,0,70000
123,124,124,Troy Matteson,1,70000
124,125,125,Greg Kraft,1,70000
125,126,126,Mark Calcavecchia,1,32000
126,127,127,Matt Jones,1,32000
127,128,128,Shane Bertsch,1,32000
128,129,129,Joe Ogilvie,1,32000
129,130,130,Tim Wilkinson,1,32000
130,131,131,Zach Johnson,1,32000
131,132,132,Vaughn Taylor,1,32000
132,133,133,Charles Warren,1,32000
133,134,134,Dustin Johnson,1,32000
134,135,135,Bob Tway,0,32000
135,136,136,David Toms,1,32000
136,137,137,James Driscoll,1,32000
137,138,138,Bob Estes,0,32000
138,139,139,Tom Lehman,1,32000
139,140,140,Joe Durant,1,32000
140,141,141,Jason Gore,1,32000
141,142,142,Jon Mills,1,32000
142,143,143,Chris DiMarco,1,32000
143,144,144,Roland Thatcher,0,32000
144,145,145,Y.E. Yang,22,32000
145,146,146,Gavin Coles,13,32000
146,147,147,Tag Ridings,22,32000
147,148,148,Todd Hamilton,23,32000
148,149,149,Brett Rumford,19,32000
149,150,150,Marco Dawson,17,32000
