,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Tiger Woods,6,22695,4.0,6.0,,
1,2,2,Kenny Perry,22,20878,3.0,7.0,1817.0,
2,3,3,Phil Mickelson,17,18241,2.0,7.0,4454.0,
3,4,4,Padraig Harrington,12,15555,2.0,6.0,7140.0,
4,5,5,Anthony Kim,18,15178,2.0,6.0,7517.0,
5,6,6,Stewart Cink,18,15126,1.0,7.0,7569.0,
6,7,7,Vijay Singh,19,15034,1.0,6.0,7661.0,
7,8,8,Justin Leonard,20,12734,1.0,5.0,9961.0,
8,9,9,Ryuji Imada,19,10903,1.0,4.0,11792.0,
9,10,10,Geoff Ogilvy,17,10866,1.0,6.0,11829.0,
10,11,11,Robert Allenby,21,10554,,7.0,12141.0,
11,12,12,Sergio Garcia,15,10301,1.0,3.0,12394.0,
12,13,13,Carl Pettersson,22,9821,1.0,5.0,12874.0,
13,14,14,Boo Weekley,20,9655,1.0,5.0,13040.0,
14,15,15,Jim Furyk,22,9438,,6.0,13257.0,
15,16,16,Sean O'Hair,20,9029,1.0,3.0,13666.0,
16,17,17,K.J. Choi,17,8843,1.0,3.0,13852.0,
17,18,18,D.J. Trahan,23,8497,1.0,3.0,14198.0,
18,19,19,Stuart Appleby,19,8403,,6.0,14292.0,
19,20,20,Trevor Immelman,18,8209,1.0,2.0,14486.0,
20,21,21,Steve Stricker,18,8082,,5.0,14613.0,
21,22,22,J.B. Holmes,21,7834,1.0,3.0,14861.0,
22,23,23,Chad Campbell,22,7574,,5.0,15121.0,
23,24,24,Adam Scott,12,7558,1.0,3.0,15137.0,
24,25,25,Jeff Quinney,23,7329,,3.0,15366.0,
25,26,26,Andres Romero,16,7156,1.0,3.0,15539.0,
26,27,27,Ben Curtis,18,7105,,3.0,15590.0,
27,28,28,Ernie Els,12,7023,1.0,3.0,15672.0,
28,29,29,Briny Baird,23,6956,,3.0,15739.0,
29,30,30,Stephen Ames,18,6913,,5.0,15782.0,
30,31,31,Hunter Mahan,22,6903,,4.0,15792.0,
