,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Vijay Singh,7,4018563
1,2,2,Camilo Villegas,5,3256000
2,3,3,Sergio Garcia,6,2437500
3,4,4,Mike Weir,7,1537517
4,5,5,Padraig Harrington,5,1436820
5,6,6,Ben Curtis,5,1409233
6,7,7,Kevin Sutherland,8,1385479
7,8,8,Davis Love III,8,1328756
8,9,9,Carl Pettersson,9,1280813
9,10,10,Dustin Johnson,7,1168290
10,11,11,Phil Mickelson,6,1153890
11,12,12,Robert Allenby,9,1139558
12,13,13,Jim Furyk,6,1098717
13,14,14,Marc Turnesa,8,1091811
14,15,15,Dudley Hart,5,1074654
15,16,16,Stuart Appleby,6,1072540
16,17,17,Cameron Beckman,9,1065242
17,18,18,Anthony Kim,6,1060900
18,19,19,Ryan Palmer,9,1059625
19,20,20,Zach Johnson,8,1037488
20,21,21,Ken Duke,10,1022925
21,22,22,Mathew Goggin,9,932506
22,23,23,Justin Leonard,7,892282
23,24,24,Ernie Els,6,847825
24,25,25,Kevin Streelman,10,784382
25,26,26,Tim Clark,10,782238
26,27,27,Mark Wilson,9,769609
27,28,28,K.J. Choi,6,747125
28,29,29,J.J. Henry,12,718792
29,30,30,Brian Gay,11,718630
30,31,31,Martin Laird,12,705177
31,32,32,Chad Campbell,8,688655
32,33,33,Will MacKenzie,6,675197
33,34,34,Hunter Mahan,7,658859
34,35,35,Tim Herron,9,649895
35,36,36,Lee Westwood,2,635000
36,37,37,Steve Marino,10,633877
37,38,38,D.J. Trahan,6,609775
38,39,39,Ryuji Imada,8,605487
39,40,40,Steve Stricker,6,597040
40,41,41,Steve Allan,7,591489
41,42,42,Charlie Wi,7,584526
42,43,43,Scott McCarron,7,581313
43,44,44,Nicholas Thompson,11,574666
44,45,45,Parker McLachlin,8,570899
45,46,46,Woody Austin,10,570154
46,47,47,George McNeill,9,563416
47,48,48,Scott Verplank,8,560884
48,49,49,Vaughn Taylor,11,559048
49,50,50,Pat Perez,7,533559
50,51,51,Tommy Gainey,8,532020
51,52,52,Paul Casey,5,513933
52,53,53,Brian Davis,12,513423
53,54,54,Steve Flesch,8,504987
54,55,55,Michael Allen,10,503817
55,56,56,Stephen Ames,8,494535
56,57,57,Charles Howell III,10,492081
57,58,58,Robert Garrigus,9,490335
58,59,59,Jeff Overton,10,489536
59,60,60,Rich Beem,11,474909
60,61,61,Aaron Baddeley,6,474650
61,62,62,Matt Kuchar,5,453150
62,63,63,Tim Wilkinson,9,447954
63,64,64,Michael Letzig,8,437992
