,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,1,1,J.B. Holmes,15,9.7
1,2,2,Bubba Watson,17,9.6
2,T3,T3,Robert Garrigus,17,9.5
3,T3,T3,Dustin Johnson,15,9.5
4,T5,T5,Jhonattan Vegas,1,9.4
5,T5,T5,Nick Watney,19,9.4
6,T7,T7,Steve Allan,5,9.3
7,T7,T7,Brett Wetterich,6,9.3
8,T9,T9,Brendan Jones,2,9.2
9,T9,T9,Mike Ruiz,1,9.2
10,T11,T11,John Daly,3,9.1
11,T11,T11,Danny Lee,1,9.1
12,T11,T11,Vijay Singh,15,9.1
13,T11,T11,Charles Warren,9,9.1
14,T11,T11,Lee Westwood,3,9.1
15,T16,T16,Ángel Cabrera,7,9.0
16,T16,T16,Fred Couples,12,9.0
17,T16,T16,Robert Floyd,1,9.0
18,T16,T16,Anton Haig,2,9.0
19,T16,T16,Anthony Kim,15,9.0
20,T16,T16,Davis Love III,14,9.0
21,T16,T16,Adam Scott,7,9.0
22,T23,T23,Harrison Frazar,11,8.9
23,T23,T23,Derek Lamely,1,8.9
24,T23,T23,Tag Ridings,14,8.9
25,T23,T23,Andres Romero,10,8.9
26,T27,T27,Chapchai Nirat,1,8.8
27,T27,T27,Mitsuhiro Tateyama,1,8.8
28,T29,T29,Bill Haas,17,8.7
29,T29,T29,Charley Hoffman,16,8.7
30,T29,T29,Brandt Jobe,6,8.7
31,T29,T29,Jeev Milkha Singh,2,8.7
32,T33,T33,Stewart Cink,16,8.6
33,T33,T33,Jason Day,12,8.6
34,T33,T33,Yusaku Miyazato,1,8.6
35,T36,T36,Daniel Chopra,13,8.5
36,T36,T36,Richard Johnson,7,8.5
37,T36,T36,Jamie Lovemark,2,8.5
38,T36,T36,Phil Mickelson,14,8.5
39,T36,T36,Jeff Overton,17,8.5
40,T41,T41,Tommy Gainey,3,8.4
41,T41,T41,Pablo Larrazabal,1,8.4
42,T43,T43,Rob Grube,1,8.3
43,T43,T43,Kenny Perry,22,8.3
44,T43,T43,Chip Sullivan,2,8.3
45,T43,T43,Nicholas Thompson,18,8.3
46,T47,T47,Andrew Buckle,7,8.2
47,T47,T47,Lucas Glover,18,8.2
48,T47,T47,Mathias Grönberg,11,8.2
49,T47,T47,Louis Oosthuizen,1,8.2
50,T47,T47,Boo Weekley,15,8.2
51,T52,T52,Paul Casey,7,8.1
52,T52,T52,Ross Fisher,2,8.1
53,T52,T52,Padraig Harrington,7,8.1
54,T52,T52,George McNeill,19,8.1
55,T52,T52,Travis Perkins,2,8.1
56,T52,T52,Tiger Woods,3,8.1
57,T58,T58,Charles Howell III,18,8.0
58,T58,T58,Troy Matteson,16,8.0
59,T60,T60,James Driscoll,13,7.9
60,T60,T60,Mathew Goggin,18,7.9
61,T60,T60,Jason Gore,15,7.9
62,T60,T60,Soren Hansen,3,7.9
63,T60,T60,Martin Laird,18,7.9
64,T60,T60,Steve Marino,25,7.9
65,T60,T60,Sean O'Hair,12,7.9
66,T60,T60,Ted Purdy,8,7.9
67,T68,T68,Jason Allred,6,7.8
68,T68,T68,Matt Jones,14,7.8
69,T68,T68,Jonathan Moore,1,7.8
70,T68,T68,Kevin Streelman,21,7.8
71,T72,T72,Brian Bateman,5,7.7
72,T72,T72,Bob May,2,7.7
73,T72,T72,John Merrick,15,7.7
74,T72,T72,Pat Perez,18,7.7
75,T72,T72,D.J. Trahan,17,7.7
76,T72,T72,Camilo Villegas,15,7.7
77,T78,T78,Brad Adamonis,13,7.6
78,T78,T78,Chip Deason,1,7.6
79,T78,T78,Sergio Garcia,14,7.6
80,T78,T78,John Huston,10,7.6
81,T78,T78,Michael Letzig,13,7.6
82,T83,T83,Bryan DeCorso,1,7.5
83,T83,T83,Jay Delsing,1,7.5
84,T83,T83,Tim Herron,18,7.5
85,T83,T83,Geoff Ogilvy,10,7.5
86,T87,T87,Bubba Dickerson,1,7.4
87,T87,T87,Ryan Palmer,11,7.4
88,T87,T87,Bo Van Pelt,18,7.4
89,T90,T90,Ernie Els,7,7.3
90,T90,T90,David Hearn,1,7.3
91,T90,T90,Jon Mills,11,7.3
92,T90,T90,Dennis Paulson,1,7.3
93,T90,T90,Rory Sabbatini,14,7.3
94,T95,T95,Nick Flanagan,13,7.2
95,T95,T95,Philip Francis,1,7.2
96,T95,T95,Jonathan Kaye,3,7.2
97,T95,T95,Martin Kaymer,2,7.2
98,T95,T95,Steve Lowery,11,7.2
99,T95,T95,Brenden Pappas,7,7.2
100,101,101,Aaron Baddeley,13,7.1
101,T102,T102,Robert Allenby,22,7.0
102,T102,T102,Ryan Moore,11,7.0
103,T102,T102,Joe Ogilvie,17,7.0
104,T102,T102,Kevin Stadler,11,7.0
105,T102,T102,Kevin Sutherland,21,7.0
106,T102,T102,Steve Webster,1,7.0
107,T108,T108,Stuart Appleby,16,6.9
108,T108,T108,Craig Barlow,6,6.9
109,T108,T108,Chris Kirk,1,6.9
110,T111,T111,Mark Calcavecchia,9,6.8
111,T111,T111,Todd Demsey,13,6.8
112,T111,T111,Dan Forsman,5,6.8
113,T111,T111,J.P. Hayes,7,6.8
114,T111,T111,Robert Karlsson,3,6.8
115,T111,T111,Hunter Mahan,16,6.8
116,T111,T111,John Senden,17,6.8
117,T118,T118,J.J. Henry,19,6.7
118,T118,T118,Kyle Thompson,7,6.7
119,T120,T120,Michael Bradley,6,6.6
120,T120,T120,Mark Hensby,9,6.6
121,T120,T120,Neal Lancaster,3,6.6
122,T120,T120,John Riegger,12,6.6
123,T120,T120,Chris Stroud,11,6.6
124,T125,T125,Jason Bohn,7,6.5
125,T125,T125,David Duval,4,6.5
126,T125,T125,Prayad Marksaeng,1,6.5
127,T125,T125,Carl Pettersson,23,6.5
128,T129,T129,Eric Axley,17,6.4
129,T129,T129,Retief Goosen,8,6.4
130,T129,T129,Rod Pampling,11,6.4
131,T129,T129,John Rollins,16,6.4
132,T129,T129,Justin Rose,6,6.4
133,T129,T129,Paul Stankowski,4,6.4
134,T129,T129,Jimmy Walker,9,6.4
135,T136,T136,Tommy Armour III,12,6.3
136,T136,T136,Ryan Armour,11,6.3
137,T136,T136,Erik Compton,1,6.3
138,T136,T136,Stuart Deane,1,6.3
139,T136,T136,WC Liang,3,6.3
140,T136,T136,Will MacKenzie,9,6.3
141,T136,T136,Andrew Magee,1,6.3
142,T136,T136,Pablo Martin Benavides,1,6.3
143,T136,T136,Parker McLachlin,16,6.3
144,T136,T136,Andrew McLardy,1,6.3
145,T136,T136,Bob Sowards,7,6.3
146,T136,T136,Henrik Stenson,4,6.3
147,T148,T148,Paul Azinger,1,6.2
148,T148,T148,Mark Brown,2,6.2
149,T148,T148,Carlos Franco,11,6.2
150,T148,T148,Brent Geiberger,1,6.2
151,T148,T148,Trevor Immelman,10,6.2
152,T148,T148,David Lutterus,6,6.2
153,T154,T154,Michael Allen,17,6.1
154,T154,T154,Woody Austin,21,6.1
155,T154,T154,Ben Curtis,15,6.1
156,T154,T154,Joe Durant,15,6.1
157,T154,T154,James Kingston,2,6.1
158,T154,T154,J.L. Lewis,3,6.1
159,T154,T154,Jeff Maggert,15,6.1
160,T154,T154,Jesper Parnevik,13,6.1
161,T154,T154,Roland Thatcher,4,6.1
162,T154,T154,Y.E. Yang,15,6.1
163,T164,T164,Chad Campbell,18,6.0
164,T164,T164,Jason Dufner,6,6.0
165,T164,T164,Stephen Poole,1,6.0
166,T164,T164,Brett Quigley,14,6.0
167,T168,T168,Jonathan Byrd,16,5.9
168,T168,T168,Ken Duke,23,5.9
169,T168,T168,Reid Edstrom,1,5.9
170,T168,T168,Jeff Gove,7,5.9
171,T168,T168,Grégory Havret,1,5.9
172,T168,T168,Ian Leggatt,2,5.9
173,T168,T168,Graeme Storm,1,5.9
174,T168,T168,Vaughn Taylor,18,5.9
175,T168,T168,Mike Weir,15,5.9
176,T177,T177,Briny Baird,23,5.8
177,T177,T177,Marco Dawson,10,5.8
178,T177,T177,Nick Dougherty,2,5.8
179,T177,T177,John Douma,1,5.8
180,T177,T177,Peter Hanson,1,5.8
181,T177,T177,Frank Lickliter II,21,5.8
182,T177,T177,Steve Stricker,12,5.8
183,T184,T184,Rich Beem,15,5.7
184,T184,T184,Alex Cejka,10,5.7
185,T184,T184,K.J. Choi,13,5.7
186,T184,T184,Luke Donald,6,5.7
187,T184,T184,Brad Elder,8,5.7
188,T184,T184,Richard Finch,1,5.7
189,T184,T184,Todd Hamilton,14,5.7
190,T184,T184,Bob Heintz,6,5.7
191,T184,T184,Tim Petrovic,14,5.7
192,T193,T193,Kenneth Ferrie,8,5.6
193,T193,T193,Brett Rumford,8,5.6
194,T193,T193,Richard Sterne,4,5.6
195,T193,T193,Charlie Wi,20,5.6
196,T197,T197,Stephen Ames,15,5.5
197,T197,T197,Ben Crane,17,5.5
198,T197,T197,Cody Freeman,5,5.5
199,T197,T197,Michael Sim,4,5.5
200,T197,T197,Joey Sindelar,1,5.5
201,T202,T202,Nathan Green,17,5.4
202,T202,T202,Lee Janzen,13,5.4
203,T202,T202,Daisuke Maruyama,2,5.4
204,T202,T202,Kiyoshi Miyazato,1,5.4
205,T202,T202,Deane Pappas,1,5.4
206,T202,T202,D.A. Points,2,5.4
207,T202,T202,Webb Simpson,3,5.4
208,T202,T202,Michael Thompson,2,5.4
209,T202,T202,Mark Wilson,24,5.4
