,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Corey Pavin,69,"12' 3""",2157.583,176,50,"9"""
1,2,2,Craig Kanada,65,"12' 2""",2076.0,171,47,"2"""
2,3,3,J.P. Hayes,67,"11' 6""",1987.6670000000001,173,56,"4"""
3,T4,T4,Billy Andrade,71,"11' 5""",1866.9170000000001,163,63,"3"""
4,T4,T4,Scott McCarron,63,"11' 5""",2086.333,183,61,"2"""
5,T6,T6,Olin Browne,77,"11' 3""",1997.25,177,58,"6"""
6,T6,T6,Stephen Leaney,53,"11' 3""",1308.25,116,47,"10"""
7,T6,T6,Steve Lowery,74,"11' 3""",2170.0,193,57,"3"""
8,9,9,Richard Johnson,60,"11' 2""",1492.3329999999999,134,46,"1"""
9,T10,T10,K.J. Choi,74,"11' 1""",2299.75,207,57,"3"""
10,T10,T10,Ben Crane,86,"11' 1""",2988.333,269,76,"3"""
11,T10,T10,Todd Hamilton,92,"11' 1""",2526.333,228,50,"1"""
12,T10,T10,Matt Kuchar,88,"11' 1""",2288.167,206,67,"4"""
13,T10,T10,Tim Petrovic,97,"11' 1""",2851.583,258,57,"3"""
14,T15,T15,Glen Day,64,"11' 0""",1878.9170000000001,171,57,"2"""
15,T15,T15,Doug LaBelle II,65,"11' 0""",1729.8329999999999,157,57,"8"""
16,T15,T15,Jeff Quinney,87,"11' 0""",2628.25,239,51,"1"""
17,T18,T18,Chad Campbell,94,"10' 11""",3332.167,306,62,"1"""
18,T18,T18,Mark Hensby,71,"10' 11""",2381.667,218,51,"3"""
19,T18,T18,Hunter Mahan,87,"10' 11""",2818.417,258,48,"5"""
20,T18,T18,Chez Reavie,102,"10' 11""",3065.917,280,57,"3"""
21,T18,T18,Ron Whittaker,54,"10' 11""",1298.667,119,56,1
22,23,23,Steve Elkington,84,"10' 10""",2733.75,252,50,"4"""
23,T24,T24,Nick Flanagan,89,"10' 9""",2678.25,249,72,"2"""
24,T24,T24,Dudley Hart,74,"10' 9""",2413.167,225,57,"5"""
25,T24,T24,Ryuji Imada,80,"10' 9""",2372.5,221,63,"1"""
26,T24,T24,Bob Tway,70,"10' 9""",2326.833,217,53,"7"""
27,T24,T24,Johnson Wagner,83,"10' 9""",2309.583,215,58,"7"""
28,T29,T29,Brad Elder,67,"10' 8""",1738.1670000000001,163,49,"1"""
29,T29,T29,Carlos Franco,73,"10' 8""",2215.667,208,71,"5"""
30,T29,T29,Jimmy Walker,73,"10' 8""",2031.25,190,52,"1"""
31,T29,T29,Mark Wilson,107,"10' 8""",3854.5,361,53,"6"""
32,T33,T33,Justin Leonard,101,"10' 7""",2794.0,265,48,"8"""
33,T33,T33,Steve Marino,119,"10' 7""",3912.25,370,51,"2"""
34,T33,T33,Jesper Parnevik,88,"10' 7""",2692.5,254,54,"1"""
35,T33,T33,Patrick Sheehan,124,"10' 7""",3483.25,330,49,"1"""
36,T33,T33,Steve Stricker,75,"10' 7""",2049.917,194,58,"4"""
37,T38,T38,Woody Austin,109,"10' 6""",3298.417,315,49,"5"""
38,T38,T38,Kenneth Ferrie,72,"10' 6""",1956.0,187,49,"2"""
39,T38,T38,Steve Flesch,95,"10' 6""",2792.5,265,62,"4"""
40,T38,T38,Retief Goosen,59,"10' 6""",1277.167,122,60,"6"""
41,T38,T38,Jeff Gove,50,"10' 6""",1358.8329999999999,129,50,"3"""
42,T38,T38,Greg Kraft,63,"10' 6""",1656.8329999999999,158,51,"4"""
43,T38,T38,Kevin Na,97,"10' 6""",3140.667,300,60,"2"""
44,T45,T45,Shane Bertsch,96,"10' 5""",3029.667,292,54,"6"""
45,T45,T45,Paul Claxton,63,"10' 5""",1493.9170000000001,143,34,"1"""
46,T45,T45,Paul Goydos,78,"10' 5""",2142.583,206,51,"3"""
47,T45,T45,Nick O'Hern,82,"10' 5""",2539.833,243,43,"1"""
48,T49,T49,Ryan Armour,87,"10' 4""",2495.5,241,70,"3"""
49,T49,T49,Briny Baird,113,"10' 4""",3082.333,298,59,"5"""
50,T49,T49,Peter Lonard,92,"10' 4""",2647.333,256,62,"2"""
51,T49,T49,Marc Turnesa,87,"10' 4""",2680.333,260,66,"3"""
52,T53,T53,Eric Axley,113,"10' 3""",3193.917,312,48,"4"""
53,T53,T53,Bart Bryant,81,"10' 3""",2037.6670000000001,198,48,"5"""
