,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,1,1,Craig Kanada,65,"12' 8""",2080.917,164
1,2,2,Corey Pavin,69,"12' 5""",2155.5,174
2,3,3,Steve Lowery,74,"12' 2""",2203.5,181
3,4,4,Billy Andrade,71,"12' 1""",1852.9170000000001,153
4,T5,T5,J.P. Hayes,67,"12' 0""",1956.5829999999999,163
5,T5,T5,Scott McCarron,63,"12' 0""",2045.0,171
6,T7,T7,Chad Campbell,94,"11' 11""",3468.583,291
7,T7,T7,Richard Johnson,60,"11' 11""",1488.1670000000001,125
8,T9,T9,Nick Flanagan,89,"11' 10""",2685.667,227
9,T9,T9,Carlos Franco,73,"11' 10""",2215.583,187
10,T9,T9,Todd Hamilton,92,"11' 10""",2532.333,214
11,T9,T9,Mark Hensby,71,"11' 10""",2387.917,202
12,T9,T9,Doug LaBelle II,65,"11' 10""",1716.3329999999999,145
13,T14,T14,Olin Browne,77,"11' 9""",1969.4170000000001,168
14,T14,T14,K.J. Choi,74,"11' 9""",2263.833,192
15,T14,T14,Ben Crane,86,"11' 9""",2963.167,252
16,T14,T14,Hunter Mahan,87,"11' 9""",2822.333,241
17,18,18,Matt Kuchar,88,"11' 8""",2329.0,199
18,T19,T19,Steve Flesch,95,"11' 7""",2891.667,250
19,T19,T19,Retief Goosen,59,"11' 7""",1272.5,110
20,T19,T19,Jesper Parnevik,88,"11' 7""",2656.25,230
21,T19,T19,Tim Petrovic,97,"11' 7""",2793.75,241
22,T19,T19,Ron Whittaker,54,"11' 7""",1319.6670000000001,114
23,T24,T24,Matt Jones,95,"11' 6""",2606.583,227
24,T24,T24,Steve Marino,119,"11' 6""",3904.5,339
25,T26,T26,Steve Elkington,84,"11' 5""",2709.75,237
26,T26,T26,Kenneth Ferrie,72,"11' 5""",1939.6670000000001,170
27,T26,T26,Jeff Gove,50,"11' 5""",1361.3329999999999,119
28,T26,T26,Greg Kraft,63,"11' 5""",1721.6670000000001,151
29,T26,T26,Stephen Leaney,53,"11' 5""",1303.083,114
30,T26,T26,Jeff Quinney,87,"11' 5""",2656.0,232
31,T26,T26,Rory Sabbatini,77,"11' 5""",2428.5,212
32,T26,T26,Jimmy Walker,73,"11' 5""",2024.5829999999999,177
33,T34,T34,Stewart Cink,87,"11' 4""",2477.333,219
34,T34,T34,Glen Day,64,"11' 4""",1850.0,163
35,T34,T34,Brad Elder,67,"11' 4""",1711.1670000000001,151
36,T34,T34,Ryuji Imada,80,"11' 4""",2329.833,205
37,T34,T34,Chez Reavie,102,"11' 4""",3065.833,271
38,T34,T34,Steve Stricker,75,"11' 4""",2003.5,177
39,T34,T34,Bob Tway,70,"11' 4""",2363.0,208
40,T34,T34,Mark Wilson,107,"11' 4""",3886.25,343
41,T42,T42,Joe Durant,92,"11' 3""",2553.5,227
42,T42,T42,Pat Perez,93,"11' 3""",3003.25,266
43,T42,T42,Johnson Wagner,83,"11' 3""",2274.167,202
44,T45,T45,Woody Austin,109,"11' 2""",3284.0,294
45,T45,T45,Mathias Grönberg,87,"11' 2""",2595.917,232
46,T47,T47,Ryan Armour,87,"11' 1""",2519.0,227
47,T47,T47,James Driscoll,85,"11' 1""",2473.583,224
48,T47,T47,Robert Garrigus,90,"11' 1""",2987.917,270
49,T47,T47,Kevin Na,97,"11' 1""",3152.833,285
50,T47,T47,Patrick Sheehan,124,"11' 1""",3487.333,315
51,T47,T47,Kevin Sutherland,98,"11' 1""",3090.333,278
52,T47,T47,Kyle Thompson,70,"11' 1""",1619.6670000000001,146
53,T47,T47,Charlie Wi,97,"11' 1""",2936.167,265
54,T55,T55,Alejandro Cañizares,52,"11' 0""",1282.583,117
55,T55,T55,Daniel Chopra,84,"11' 0""",2400.75,218
56,T55,T55,Brandt Jobe,52,"11' 0""",1402.0,127
57,T55,T55,Parker McLachlin,88,"11' 0""",2691.333,244
58,T59,T59,Briny Baird,113,"10' 11""",3038.833,279
59,T59,T59,Chris DiMarco,87,"10' 11""",2418.25,222
60,T59,T59,Andres Romero,69,"10' 11""",1475.1670000000001,135
61,T59,T59,Bob Sowards,61,"10' 11""",1514.0829999999999,139
62,T59,T59,Chris Stroud,81,"10' 11""",2046.0829999999999,188
63,T59,T59,Marc Turnesa,87,"10' 11""",2677.0,245
64,T65,T65,Bart Bryant,81,"10' 10""",2041.75,189
65,T65,T65,Ken Duke,116,"10' 10""",3705.333,343
66,T65,T65,Cody Freeman,66,"10' 10""",1556.8329999999999,144
67,T65,T65,Lucas Glover,91,"10' 10""",2675.917,247
68,T65,T65,Bill Haas,99,"10' 10""",3104.5,287
69,T65,T65,Dudley Hart,74,"10' 10""",2412.167,222
70,T65,T65,Peter Lonard,92,"10' 10""",2617.0,241
71,T65,T65,Jeff Overton,103,"10' 10""",3012.167,278
72,T65,T65,Bo Van Pelt,101,"10' 10""",2953.667,273
73,T65,T65,Dean Wilson,109,"10' 10""",3209.667,296
74,T75,T75,Eric Axley,113,"10' 9""",3161.75,295
75,T75,T75,J.J. Henry,108,"10' 9""",2870.333,266
76,T75,T75,Tim Herron,97,"10' 9""",2740.25,255
77,T75,T75,Justin Leonard,101,"10' 9""",2796.667,261
78,T75,T75,John Mallinger,95,"10' 9""",2809.75,262
79,T75,T75,Troy Matteson,94,"10' 9""",2782.167,258
80,T75,T75,Billy Mayfair,103,"10' 9""",2892.25,269
81,T75,T75,Jin Park,85,"10' 9""",1996.0,186
82,T75,T75,John Senden,93,"10' 9""",2446.583,228
83,T75,T75,Jay Williamson,96,"10' 9""",2351.583,218
84,T85,T85,Shane Bertsch,96,"10' 8""",3017.583,284
85,T85,T85,Paul Claxton,63,"10' 8""",1506.9170000000001,141
86,T85,T85,Bob Estes,90,"10' 8""",2766.167,259
87,T85,T85,Paul Goydos,78,"10' 8""",2136.583,201
88,T85,T85,Nathan Green,95,"10' 8""",2986.5,281
89,T85,T85,Cliff Kresge,84,"10' 8""",2119.667,199
90,T85,T85,Davis Love III,78,"10' 8""",2202.083,206
91,T85,T85,Nick O'Hern,82,"10' 8""",2513.167,235
92,T85,T85,Carl Pettersson,110,"10' 8""",3269.833,306
93,T94,T94,Chad Collins,72,"10' 7""",2038.0,193
94,T94,T94,Richard Johnson,77,"10' 7""",1982.3329999999999,188
95,T94,T94,Camilo Villegas,79,"10' 7""",2270.417,215
96,T94,T94,Tim Wilkinson,95,"10' 7""",2489.75,236
97,T98,T98,Steve Allan,58,"10' 6""",1536.25,146
98,T98,T98,Jerry Kelly,89,"10' 6""",2159.0,206
99,T98,T98,Tom Lehman,51,"10' 6""",1090.5,104
100,T98,T98,Jeff Maggert,86,"10' 6""",2469.5,235
101,T98,T98,Jim McGovern,75,"10' 6""",1816.8329999999999,173
102,T98,T98,Brenden Pappas,66,"10' 6""",1867.5829999999999,178
103,T98,T98,Kenny Perry,97,"10' 6""",2976.667,284
104,T98,T98,John Riegger,73,"10' 6""",2026.75,193
105,T98,T98,Nicholas Thompson,113,"10' 6""",2976.167,283
106,T107,T107,Michael Allen,91,"10' 5""",2540.0,244
107,T107,T107,Robert Allenby,108,"10' 5""",2925.083,280
108,T107,T107,Tommy Gainey,60,"10' 5""",1477.25,142
109,T107,T107,Jason Gore,94,"10' 5""",2802.25,270
110,T107,T107,Lee Janzen,89,"10' 5""",2268.167,217
111,T107,T107,Kent Jones,68,"10' 5""",1859.6670000000001,178
112,T107,T107,Rocco Mediate,87,"10' 5""",1931.6670000000001,186
113,T107,T107,Jon Mills,95,"10' 5""",2257.083,216
114,T107,T107,Scott Sterling,89,"10' 5""",2004.1670000000001,192
115,T116,T116,Paul Casey,55,"10' 4""",1135.917,110
116,T116,T116,Jim Furyk,95,"10' 4""",2376.0,230
117,T116,T116,Frank Lickliter II,107,"10' 4""",3204.333,310
118,T116,T116,Ryan Moore,72,"10' 4""",1959.0829999999999,190
119,T116,T116,Chris Riley,51,"10' 4""",1145.0,111
120,T116,T116,Adam Scott,51,"10' 4""",1212.417,117
121,T116,T116,Boo Weekley,86,"10' 4""",1920.3329999999999,186
122,T123,T123,Stephen Ames,83,"10' 3""",2129.667,207
123,T123,T123,Rich Beem,90,"10' 3""",2577.75,252
124,T123,T123,Jonathan Byrd,88,"10' 3""",2490.5,242
125,T123,T123,Brian Davis,108,"10' 3""",3329.917,324
126,T123,T123,Marco Dawson,64,"10' 3""",1627.8329999999999,159
127,T123,T123,Robert Gamez,79,"10' 3""",2106.333,205
128,T123,T123,John Huston,56,"10' 3""",1653.9170000000001,162
129,T123,T123,Freddie Jacobson,78,"10' 3""",2058.75,201
130,T123,T123,Geoff Ogilvy,65,"10' 3""",1457.3329999999999,142
131,T123,T123,Brett Quigley,80,"10' 3""",2007.3329999999999,196
132,T123,T123,Heath Slocum,104,"10' 3""",2499.083,244
133,T134,T134,Cameron Beckman,87,"10' 2""",2394.167,235
134,T134,T134,Alex Cejka,75,"10' 2""",1708.1670000000001,168
135,T134,T134,Gavin Coles,54,"10' 2""",1338.9170000000001,132
136,T134,T134,Charles Howell III,101,"10' 2""",2632.5,259
137,T134,T134,Martin Laird,98,"10' 2""",2780.0,274
138,T134,T134,Michael Letzig,88,"10' 2""",2374.5,234
139,T134,T134,Tom Pernice Jr.,104,"10' 2""",3158.0,311
140,T134,T134,Ted Purdy,68,"10' 2""",1435.5829999999999,141
141,T134,T134,Kevin Streelman,114,"10' 2""",3016.25,296
142,T143,T143,Tommy Armour III,77,"10' 1""",2061.167,204
143,T143,T143,Tim Clark,90,"10' 1""",2476.0,246
144,T143,T143,Brian Gay,102,"10' 1""",2819.583,280
145,T143,T143,J.B. Holmes,86,"10' 1""",2211.333,219
146,T143,T143,Will MacKenzie,62,"10' 1""",1571.4170000000001,156
147,T143,T143,George McNeill,97,"10' 1""",2928.75,291
148,T143,T143,Ryan Palmer,69,"10' 1""",2373.333,235
149,T150,T150,Mark Calcavecchia,67,"10' 0""",1634.75,163
150,T150,T150,Jason Day,81,"10' 0""",2333.167,233
151,T150,T150,Todd Demsey,80,"10' 0""",2053.167,205
152,T150,T150,Sergio Garcia,72,"10' 0""",1905.5829999999999,191
153,T150,T150,Mathew Goggin,91,"10' 0""",2416.833,241
154,T150,T150,Trevor Immelman,70,"10' 0""",1472.0,147
155,T150,T150,John Merrick,98,"10' 0""",2210.333,221
156,T150,T150,Joe Ogilvie,100,"10' 0""",2845.833,285
157,T150,T150,Vijay Singh,82,"10' 0""",2067.667,206
158,T150,T150,Kevin Stadler,90,"10' 0""",2154.333,215
159,T160,T160,Ben Curtis,80,"9' 11""",1886.5829999999999,191
160,T160,T160,Ernie Els,51,"9' 11""",1072.667,108
161,T160,T160,Anthony Kim,81,"9' 11""",2268.5,229
162,T160,T160,Rod Pampling,83,"9' 11""",2020.75,203
163,T160,T160,Tag Ridings,88,"9' 11""",2407.833,242
164,T160,T160,Vaughn Taylor,103,"9' 11""",3013.167,304
165,T166,T166,Zach Johnson,85,"9' 10""",2216.833,225
166,T166,T166,Sean O'Hair,81,"9' 10""",1783.75,181
167,T166,T166,David Toms,70,"9' 10""",1835.25,186
168,T169,T169,Aaron Baddeley,76,"9' 9""",2001.9170000000001,205
169,T169,T169,David Lutterus,59,"9' 9""",1294.833,133
170,T169,T169,D.J. Trahan,94,"9' 9""",2317.167,238
