,Total_3_Putts_-_20-25_RANK THIS WEEK,Total_3_Putts_-_20-25_RANK LAST WEEK,Total_3_Putts_-_20-25_PLAYER NAME,Total_3_Putts_-_20-25_ROUNDS,Total_3_Putts_-_20-25_TOTAL 3 PUTTS 20'-25',Total_3_Putts_-_20-25_TOTAL 3 PUTTS
0,1,1,Brian Davis,108,10,67
1,T2,T2,Cameron Beckman,87,8,51
2,T2,T2,Robert Garrigus,90,8,63
3,T2,T2,Mathias Grönberg,87,8,66
4,T2,T2,Charley Hoffman,94,8,56
5,T2,T2,Frank Lickliter II,107,8,61
6,T2,T2,Charles Warren,79,8,60
7,T8,T8,Woody Austin,109,7,52
8,T8,T8,Olin Browne,77,7,44
9,T8,T8,Tommy Gainey,60,7,47
10,T8,T8,Jason Gore,94,7,54
11,T8,T8,Jeff Maggert,86,7,57
12,T8,T8,Tag Ridings,88,7,62
13,T8,T8,Kevin Stadler,90,7,47
14,T15,T15,Jeff Gove,50,6,30
15,T15,T15,Tom Pernice Jr.,104,6,56
16,T15,T15,Nicholas Thompson,113,6,87
17,T15,T15,Charlie Wi,97,6,51
18,T19,T19,Mark Calcavecchia,67,5,42
19,T19,T19,Tim Clark,90,5,38
20,T19,T19,Joe Durant,92,5,78
21,T19,T19,Kenneth Ferrie,72,5,46
22,T19,T19,Nick Flanagan,89,5,62
23,T19,T19,Harrison Frazar,73,5,58
24,T19,T19,Sergio Garcia,72,5,34
25,T19,T19,Mathew Goggin,91,5,40
26,T19,T19,Tim Herron,97,5,50
27,T19,T19,J.B. Holmes,86,5,47
28,T19,T19,Cliff Kresge,84,5,43
29,T19,T19,Martin Laird,98,5,57
30,T19,T19,Ted Purdy,68,5,40
31,T19,T19,John Rollins,94,5,57
32,T19,T19,Jay Williamson,96,5,56
33,T19,T19,Dean Wilson,109,5,45
34,T35,T35,Eric Axley,113,4,49
35,T35,T35,Shane Bertsch,96,4,35
36,T35,T35,Jonathan Byrd,88,4,44
37,T35,T35,Chad Campbell,94,4,50
38,T35,T35,David Duval,51,4,32
39,T35,T35,Steve Flesch,95,4,50
40,T35,T35,Carlos Franco,73,4,39
41,T35,T35,Robert Gamez,79,4,66
42,T35,T35,J.P. Hayes,67,4,31
43,T35,T35,Dustin Johnson,92,4,36
44,T35,T35,Kent Jones,68,4,33
45,T35,T35,Matt Jones,95,4,50
46,T35,T35,Steve Lowery,74,4,45
47,T35,T35,David Lutterus,59,4,48
48,T35,T35,Will MacKenzie,62,4,36
49,T35,T35,Steve Marino,119,4,68
50,T35,T35,Billy Mayfair,103,4,59
51,T35,T35,Scott McCarron,63,4,42
52,T35,T35,Rocco Mediate,87,4,39
53,T35,T35,John Merrick,98,4,49
54,T35,T35,Kevin Na,97,4,51
55,T35,T35,Nick O'Hern,82,4,31
56,T35,T35,Ryan Palmer,69,4,30
57,T35,T35,Jin Park,85,4,39
58,T35,T35,Jesper Parnevik,88,4,49
59,T35,T35,Carl Pettersson,110,4,47
60,T35,T35,Chez Reavie,102,4,59
61,T35,T35,John Riegger,73,4,45
62,T35,T35,Heath Slocum,104,4,45
63,T35,T35,Scott Sterling,89,4,41
64,T35,T35,Bo Van Pelt,101,4,61
65,T35,T35,Bubba Watson,97,4,53
66,T35,T35,Ron Whittaker,54,4,29
67,T68,T68,Steve Allan,58,3,37
68,T68,T68,Robert Allenby,108,3,52
69,T68,T68,Jason Allred,63,3,45
70,T68,T68,Billy Andrade,71,3,42
71,T68,T68,Tommy Armour III,77,3,46
72,T68,T68,Briny Baird,113,3,58
73,T68,T68,Rich Beem,90,3,42
74,T68,T68,Justin Bolli,87,3,52
75,T68,T68,Ángel Cabrera,55,3,23
76,T68,T68,Stewart Cink,87,3,31
77,T68,T68,Chris DiMarco,87,3,42
78,T68,T68,James Driscoll,85,3,31
79,T68,T68,Steve Elkington,84,3,33
80,T68,T68,Cody Freeman,66,3,34
81,T68,T68,J.J. Henry,108,3,51
82,T68,T68,Mark Hensby,71,3,42
83,T68,T68,Lee Janzen,89,3,45
84,T68,T68,Greg Kraft,63,3,27
85,T68,T68,Peter Lonard,92,3,49
86,T68,T68,Davis Love III,78,3,44
87,T68,T68,Hunter Mahan,87,3,38
88,T68,T68,John Mallinger,95,3,34
