,Late_Round_4_Scoring_Average_RANK THIS WEEK,Late_Round_4_Scoring_Average_RANK LAST WEEK,Late_Round_4_Scoring_Average_PLAYER NAME,Late_Round_4_Scoring_Average_AVG,Late_Round_4_Scoring_Average_TOTAL STROKES,Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Ron Whittaker,65.0,65,1
1,2,2,John Senden,68.17,409,6
2,3,3,Padraig Harrington,68.43,479,7
3,4,4,Tom Scherrer,68.5,137,2
4,5,5,Bob Tway,68.75,550,8
5,6,6,Hunter Mahan,68.78,619,9
6,7,7,Jason Allred,69.0,69,1
7,8,8,Fred Couples,69.17,415,6
8,T9,T9,Justin Bolli,69.33,416,6
9,T9,T9,Richard Johnson,69.33,208,3
10,T9,T9,Richard Johnson,69.33,208,3
11,T9,T9,Steve Lowery,69.33,208,3
12,13,13,James Driscoll,69.4,347,5
13,T14,T14,Tommy Armour III,69.44,625,9
14,T14,T14,Michael Letzig,69.44,625,9
15,T14,T14,D.J. Trahan,69.44,625,9
16,17,17,Tim Herron,69.57,487,7
17,18,18,Scott Verplank,69.6,696,10
18,19,19,Matt Kuchar,69.63,557,8
19,20,20,Vijay Singh,69.64,766,11
20,21,21,Chad Campbell,69.69,906,13
21,22,22,Jason Gore,69.71,488,7
22,T23,T23,Steve Allan,69.75,279,4
23,T23,T23,Stephen Ames,69.75,837,12
24,T23,T23,Alex Cejka,69.75,279,4
25,T23,T23,Scott McCarron,69.75,279,4
26,T27,T27,Glen Day,69.8,349,5
27,T27,T27,Kent Jones,69.8,349,5
28,T29,T29,Martin Laird,69.89,629,9
29,T29,T29,Steve Stricker,69.89,629,9
30,31,31,Ryuji Imada,69.9,699,10
31,32,32,Billy Mayfair,69.91,769,11
32,33,33,Shane Bertsch,69.92,839,12
33,T34,T34,Matt Jones,70.0,210,3
34,T34,T34,Justin Leonard,70.0,910,13
35,T34,T34,Peter Lonard,70.0,420,6
36,T34,T34,George McNeill,70.0,630,9
37,T34,T34,Rod Pampling,70.0,490,7
38,T34,T34,Jimmy Walker,70.0,280,4
39,40,40,Camilo Villegas,70.11,631,9
40,41,41,Freddie Jacobson,70.14,491,7
41,42,42,Brian Gay,70.18,772,11
42,T43,T43,K.J. Choi,70.2,702,10
43,T43,T43,Rory Sabbatini,70.2,351,5
44,T45,T45,Brett Rumford,70.25,281,4
45,T45,T45,Nicholas Thompson,70.25,562,8
46,47,47,Woody Austin,70.27,773,11
47,T48,T48,Chris DiMarco,70.33,422,6
48,T48,T48,Troy Matteson,70.33,633,9
49,50,50,Anthony Kim,70.36,774,11
50,T51,T51,Paul Casey,70.4,352,5
51,T51,T51,Mathew Goggin,70.4,704,10
52,T53,T53,Ernie Els,70.43,493,7
53,T53,T53,Dustin Johnson,70.43,493,7
54,T53,T53,Cliff Kresge,70.43,493,7
55,56,56,Kevin Sutherland,70.46,916,13
56,T57,T57,Rich Beem,70.5,423,6
57,T57,T57,Brandt Jobe,70.5,141,2
58,59,59,Pat Perez,70.54,917,13
59,T60,T60,Craig Kanada,70.6,353,5
60,T60,T60,Andres Romero,70.6,353,5
61,62,62,Tim Petrovic,70.63,565,8
62,T63,T63,Ben Crane,70.64,777,11
63,T63,T63,Jerry Kelly,70.64,777,11
64,T63,T63,Dean Wilson,70.64,777,11
65,T66,T66,Harrison Frazar,70.67,636,9
66,T66,T66,Charles Howell III,70.67,848,12
67,T66,T66,Frank Lickliter II,70.67,212,3
68,T66,T66,Will MacKenzie,70.67,424,6
69,T66,T66,Parker McLachlin,70.67,424,6
