,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,82,4.52,1027,227
1,2,2,Camilo Villegas,79,4.54,1017,224
2,3,3,Anthony Kim,81,4.55,1032,227
3,4,4,Brenden Pappas,66,4.56,954,209
4,T5,T5,Sergio Garcia,72,4.57,878,192
5,T5,T5,Kevin Sutherland,98,4.57,1343,294
6,7,7,Martin Laird,98,4.58,1402,306
7,T8,T8,Robert Garrigus,90,4.59,1321,288
8,T8,T8,Phil Mickelson,80,4.59,1092,238
9,T8,T8,Adam Scott,51,4.59,675,147
10,T11,T11,Fred Couples,60,4.6,952,207
11,T11,T11,Lucas Glover,91,4.6,1228,267
12,T11,T11,Mathew Goggin,91,4.6,1325,288
13,T11,T11,J.B. Holmes,86,4.6,1220,265
14,T11,T11,Charles Howell III,101,4.6,1515,329
15,T11,T11,Nick Watney,96,4.6,1476,321
16,T11,T11,Bubba Watson,97,4.6,1357,295
17,T18,T18,Aaron Baddeley,76,4.61,1056,229
18,T18,T18,Stewart Cink,87,4.61,1232,267
19,T20,T20,Brian Davis,108,4.62,1562,338
20,T20,T20,Brian Gay,102,4.62,1377,298
21,T20,T20,Bill Haas,99,4.62,1445,313
22,T23,T23,Tommy Armour III,77,4.63,1074,232
23,T23,T23,Jim Furyk,95,4.63,1330,287
24,T23,T23,Steve Marino,119,4.63,1635,353
25,T23,T23,John Merrick,98,4.63,1398,302
26,T23,T23,Kenny Perry,97,4.63,1332,288
27,T23,T23,Tag Ridings,88,4.63,1314,284
28,T23,T23,Steve Stricker,75,4.63,973,210
29,T23,T23,Bob Tway,70,4.63,1024,221
30,T31,T31,Stephen Ames,83,4.64,1132,244
31,T31,T31,Woody Austin,109,4.64,1554,335
32,T31,T31,Chad Campbell,94,4.64,1275,275
33,T31,T31,Ben Crane,86,4.64,1220,263
34,T31,T31,Carlos Franco,73,4.64,1136,245
35,T31,T31,Justin Leonard,101,4.64,1309,282
36,T31,T31,George McNeill,97,4.64,1406,303
37,T31,T31,Kevin Na,97,4.64,1475,318
38,T31,T31,Joe Ogilvie,100,4.64,1456,314
39,T31,T31,Ryan Palmer,69,4.64,997,215
40,T41,T41,Todd Demsey,80,4.65,1181,254
41,T41,T41,Jason Gore,94,4.65,1437,309
42,T41,T41,Ryuji Imada,80,4.65,1208,260
43,T41,T41,John Riegger,73,4.65,1083,233
44,T41,T41,Mike Weir,88,4.65,1264,272
45,T46,T46,Stuart Appleby,87,4.66,1155,248
46,T46,T46,Ángel Cabrera,55,4.66,717,154
47,T46,T46,Jason Day,81,4.66,1226,263
