,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Sergio Garcia,72,69.117,4942,- 103.782,70
1,2,2,Phil Mickelson,80,69.167,5482,- 86.972,78
2,3,3,Padraig Harrington,52,69.277,3535,- 71.159,50
3,4,4,Anthony Kim,81,69.279,5688,- 76.439,81
4,5,5,Camilo Villegas,79,69.49,5507,- 86.775,78
5,6,6,Vijay Singh,82,69.58,5481,- 53.780,78
6,7,7,Jim Furyk,95,69.694,6633,- 81.802,94
7,8,8,Stuart Appleby,87,69.726,5952,- 95.017,84
8,9,9,Robert Allenby,108,69.72800000000001,7558,- 97.073,107
9,10,10,Justin Leonard,101,69.77199999999999,6689,- 60.653,95
10,11,11,Kenny Perry,97,69.82600000000001,6810,- 36.914,97
11,12,12,Ernie Els,51,69.898,3572,- 77.090,50
12,13,13,Steve Stricker,75,69.976,5100,- 61.744,72
13,14,14,Ben Curtis,80,69.98100000000001,5677,- 78.494,80
14,15,15,Stephen Ames,83,69.988,5795,- 55.964,82
15,16,16,Brian Gay,102,70.015,7151,- 9.450,102
16,17,17,Stewart Cink,87,70.01899999999999,5723,- 51.478,81
17,18,18,Chad Campbell,94,70.04,6615,- 31.284,94
18,19,19,Adam Scott,51,70.06,3501,- 68.045,49
19,20,20,Kevin Sutherland,98,70.067,6882,- 15.475,98
20,21,21,Steve Marino,119,70.071,8364,- 25.537,119
21,22,22,Pat Perez,93,70.08,6504,- 56.667,92
22,23,23,Mike Weir,88,70.14399999999999,6149,- 46.462,87
23,24,24,Ben Crane,86,70.155,6053,- 19.694,86
24,25,25,Hunter Mahan,87,70.171,6016,- 51.491,85
25,26,26,Briny Baird,113,70.187,7960,- 28.863,113
26,27,27,Aaron Baddeley,76,70.196,5173,- 48.698,73
27,28,28,Bart Bryant,81,70.205,5769,- 82.368,81
28,29,29,Charlie Wi,97,70.229,6830,- 17.764,97
29,30,30,Carl Pettersson,110,70.245,7792,- 65.057,110
30,31,31,Geoff Ogilvy,65,70.253,4568,- 71.796,64
31,32,32,K.J. Choi,74,70.259,4971,- 52.852,70
