,Tenth_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_3_Scoring_Average_AVG,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Retief Goosen,59,2.65,53,20
1,2,2,Ryan Palmer,69,2.86,160,56
2,T3,T3,Jason Day,81,2.89,231,80
3,T3,T3,Nick O'Hern,82,2.89,127,44
4,5,5,Stewart Cink,87,2.9,177,61
5,T6,T6,Nick Flanagan,89,2.91,297,102
6,T6,T6,Dudley Hart,74,2.91,154,53
7,T6,T6,Carl Pettersson,110,2.91,274,94
8,9,9,Bob Tway,70,2.92,152,52
9,T10,T10,Robert Gamez,79,2.93,179,61
10,T10,T10,Zach Johnson,85,2.93,176,60
11,T10,T10,Jeff Overton,103,2.93,214,73
12,T10,T10,D.J. Trahan,94,2.93,208,71
13,T14,T14,Alejandro Cañizares,52,2.94,188,64
14,T14,T14,Marco Dawson,64,2.94,200,68
15,T14,T14,Jesper Parnevik,88,2.94,206,70
16,T14,T14,Omar Uresti,74,2.94,200,68
17,T18,T18,Brad Adamonis,87,2.95,239,81
18,T18,T18,Fred Couples,60,2.95,127,43
19,T18,T18,Jim Furyk,95,2.95,251,85
20,T21,T21,Ángel Cabrera,55,2.96,71,24
21,T21,T21,Brian Davis,108,2.96,237,80
22,T21,T21,David Duval,51,2.96,160,54
23,T21,T21,Billy Mayfair,103,2.96,201,68
24,T21,T21,Brenden Pappas,66,2.96,142,48
25,T21,T21,Corey Pavin,69,2.96,163,55
26,T27,T27,Glen Day,64,2.97,211,71
27,T27,T27,Ernie Els,51,2.97,98,33
28,T27,T27,Brandt Jobe,52,2.97,107,36
29,T30,T30,Stuart Appleby,87,2.98,167,56
30,T30,T30,K.J. Choi,74,2.98,155,52
31,T30,T30,Paul Claxton,63,2.98,143,48
32,T30,T30,Gavin Coles,54,2.98,143,48
33,T30,T30,Sergio Garcia,72,2.98,131,44
34,T30,T30,Freddie Jacobson,78,2.98,143,48
35,T30,T30,Tom Pernice Jr.,104,2.98,274,92
36,T30,T30,Ted Purdy,68,2.98,179,60
37,T30,T30,Brett Rumford,72,2.98,191,64
38,T39,T39,John Mallinger,95,2.99,254,85
39,T39,T39,Phil Mickelson,80,2.99,203,68
40,T41,T41,Brad Elder,67,3.0,198,66
41,T41,T41,Richard Johnson,60,3.0,147,49
42,T41,T41,Adam Scott,51,3.0,132,44
43,T41,T41,Vaughn Taylor,103,3.0,195,65
44,T41,T41,Jimmy Walker,73,3.0,147,49
45,T46,T46,Alex Cejka,75,3.01,289,96
46,T46,T46,Bill Haas,99,3.01,337,112
47,T46,T46,Frank Lickliter II,107,3.01,295,98
48,T46,T46,Joe Ogilvie,100,3.01,211,70
49,T46,T46,Bubba Watson,97,3.01,316,105
50,T46,T46,Jay Williamson,96,3.01,268,89
51,T52,T52,Bart Bryant,81,3.02,169,56
52,T52,T52,Chad Campbell,94,3.02,127,42
53,T52,T52,Chad Collins,72,3.02,133,44
54,T52,T52,Ben Curtis,80,3.02,157,52
55,T52,T52,George McNeill,97,3.02,160,53
56,T52,T52,Kevin Sutherland,98,3.02,281,93
57,T52,T52,Johnson Wagner,83,3.02,169,56
58,T59,T59,Robert Allenby,108,3.03,233,77
59,T59,T59,Cameron Beckman,87,3.03,185,61
60,T59,T59,James Driscoll,85,3.03,212,70
61,T59,T59,Brian Gay,102,3.03,270,89
62,T59,T59,John Huston,56,3.03,112,37
63,T59,T59,Tom Scherrer,56,3.03,221,73
64,T59,T59,Steve Stricker,75,3.03,176,58
65,T66,T66,Mathew Goggin,91,3.04,216,71
66,T66,T66,Charles Howell III,101,3.04,158,52
67,T66,T66,Lee Janzen,89,3.04,277,91
68,T66,T66,Kent Jones,68,3.04,207,68
69,T66,T66,Doug LaBelle II,65,3.04,170,56
70,T66,T66,Hunter Mahan,87,3.04,137,45
71,T72,T72,Briny Baird,113,3.05,226,74
72,T72,T72,Daniel Chopra,84,3.05,189,62
73,T72,T72,Todd Demsey,80,3.05,232,76
74,T72,T72,Cliff Kresge,84,3.05,183,60
75,T72,T72,Martin Laird,98,3.05,195,64
76,T72,T72,Stephen Leaney,53,3.05,174,57
77,T72,T72,Steve Marino,119,3.05,268,88
78,T72,T72,Jin Park,85,3.05,256,84
79,T72,T72,Pat Perez,93,3.05,171,56
80,T72,T72,Patrick Sheehan,124,3.05,290,95
81,T72,T72,Marc Turnesa,87,3.05,174,57
82,T83,T83,Michael Allen,91,3.06,263,86
83,T83,T83,Jonathan Byrd,88,3.06,165,54
84,T83,T83,Davis Love III,78,3.06,147,48
85,T83,T83,Jeff Maggert,86,3.06,214,70
86,T83,T83,John Rollins,94,3.06,251,82
87,T83,T83,Tim Wilkinson,95,3.06,248,81
88,T89,T89,Steve Allan,58,3.07,187,61
89,T89,T89,Eric Axley,113,3.07,329,107
90,T89,T89,Olin Browne,77,3.07,212,69
91,T89,T89,Matt Kuchar,88,3.07,258,84
92,T89,T89,Will MacKenzie,62,3.07,218,71
93,T89,T89,John Senden,93,3.07,175,57
94,T89,T89,Kevin Stadler,90,3.07,282,92
95,T96,T96,Charley Hoffman,94,3.08,225,73
96,T96,T96,David Lutterus,59,3.08,151,49
97,T98,T98,Tommy Armour III,77,3.09,216,70
98,T98,T98,Steve Elkington,84,3.09,173,56
99,T98,T98,Steve Flesch,95,3.09,204,66
100,T98,T98,Paul Goydos,78,3.09,176,57
101,T98,T98,Tim Herron,97,3.09,247,80
102,T98,T98,Ryan Moore,72,3.09,198,64
103,T98,T98,Kevin Na,97,3.09,210,68
104,T98,T98,Rod Pampling,83,3.09,238,77
105,T106,T106,Aaron Baddeley,76,3.1,161,52
106,T106,T106,Rich Beem,90,3.1,161,52
