,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Eric Axley,35,100.0,2.0
1,T1,T1,Justin Bolli,28,100.0,1.0
2,T1,T1,Alex Cejka,25,100.0,1.0
3,T1,T1,Fred Couples,18,100.0,2.0
4,T1,T1,Brad Elder,23,100.0,1.0
5,T1,T1,Ernie Els,16,100.0,3.0
6,T1,T1,Steve Flesch,29,100.0,2.0
7,T1,T1,Harrison Frazar,23,100.0,1.0
8,T1,T1,Tommy Gainey,24,100.0,1.0
9,T1,T1,Padraig Harrington,15,100.0,5.0
10,T1,T1,Ryuji Imada,25,100.0,2.0
11,T1,T1,Trevor Immelman,22,100.0,2.0
12,T1,T1,Richard Johnson,21,100.0,1.0
13,T1,T1,Matt Jones,31,100.0,2.0
14,T1,T1,Steve Lowery,25,100.0,1.0
15,T1,T1,Will MacKenzie,21,100.0,2.0
16,T1,T1,Steve Marino,32,100.0,4.0
17,T1,T1,Billy Mayfair,29,100.0,3.0
18,T1,T1,Scott McCarron,22,100.0,2.0
19,T1,T1,Parker McLachlin,27,100.0,1.0
20,T1,T1,Kevin Na,29,100.0,2.0
21,T1,T1,Rod Pampling,28,100.0,1.0
22,T1,T1,Carl Pettersson,29,100.0,1.0
23,T1,T1,Chez Reavie,30,100.0,1.0
24,T1,T1,Brett Rumford,26,100.0,1.0
25,T1,T1,Patrick Sheehan,35,100.0,2.0
26,T1,T1,Scott Verplank,24,100.0,2.0
27,T1,T1,Johnson Wagner,26,100.0,1.0
28,29,29,Phil Mickelson,21,85.7,6.0
29,T30,T30,Stewart Cink,23,83.3,5.0
30,T30,T30,Sergio Garcia,19,83.3,5.0
31,T30,T30,Camilo Villegas,22,83.3,5.0
32,T30,T30,Mike Weir,26,83.3,5.0
33,T34,T34,Stephen Ames,24,75.0,3.0
34,T34,T34,Tommy Armour III,25,75.0,3.0
35,T34,T34,Woody Austin,30,75.0,3.0
36,T34,T34,Anthony Kim,22,75.0,6.0
37,T34,T34,Sean O'Hair,25,75.0,3.0
38,T34,T34,Nicholas Thompson,36,75.0,3.0
39,40,40,Jim Furyk,26,71.4,5.0
40,41,41,Vijay Singh,23,70.0,7.0
41,T42,T42,Ben Curtis,22,66.7,2.0
42,T42,T42,Retief Goosen,18,66.7,2.0
43,T42,T42,Greg Kraft,21,66.7,2.0
44,T42,T42,Michael Letzig,29,66.7,2.0
45,T42,T42,Davis Love III,23,66.7,2.0
46,T42,T42,Hunter Mahan,27,66.7,2.0
47,T42,T42,Ryan Palmer,22,66.7,2.0
48,T42,T42,Andres Romero,20,66.7,2.0
49,T42,T42,Marc Turnesa,29,66.7,2.0
50,T42,T42,Tim Wilkinson,29,66.7,2.0
51,T52,T52,Stuart Appleby,23,60.0,3.0
52,T52,T52,Brian Gay,31,60.0,3.0
53,T52,T52,Cliff Kresge,28,60.0,3.0
54,T52,T52,Justin Leonard,25,60.0,3.0
55,T52,T52,Jeff Quinney,28,60.0,3.0
56,T52,T52,D.J. Trahan,27,60.0,3.0
57,58,58,Ken Duke,33,57.1,4.0
58,T59,T59,Robert Allenby,28,55.6,5.0
59,T59,T59,Kenny Perry,26,55.6,5.0
60,T61,T61,Brad Adamonis,29,50.0,1.0
61,T61,T61,Michael Allen,28,50.0,1.0
62,T61,T61,Bart Bryant,23,50.0,2.0
63,T61,T61,Steve Elkington,25,50.0,1.0
64,T61,T61,Bill Haas,31,50.0,1.0
65,T61,T61,Dudley Hart,22,50.0,3.0
66,T61,T61,Jerry Kelly,31,50.0,2.0
67,T61,T61,Matt Kuchar,27,50.0,2.0
68,T61,T61,Tom Lehman,17,50.0,1.0
69,T61,T61,Peter Lonard,30,50.0,1.0
70,T61,T61,John Mallinger,29,50.0,1.0
71,T61,T61,George McNeill,29,50.0,2.0
72,T61,T61,Rocco Mediate,27,50.0,1.0
73,T61,T61,Ryan Moore,24,50.0,1.0
74,T61,T61,Pat Perez,27,50.0,1.0
75,T61,T61,Ian Poulter,15,50.0,1.0
76,T61,T61,Chris Riley,17,50.0,1.0
77,T61,T61,John Rollins,28,50.0,1.0
78,T61,T61,Adam Scott,15,50.0,1.0
79,T61,T61,John Senden,28,50.0,1.0
80,T61,T61,Heath Slocum,29,50.0,2.0
81,T61,T61,Kevin Streelman,32,50.0,2.0
82,T61,T61,Steve Stricker,22,50.0,2.0
83,T61,T61,Nick Watney,27,50.0,1.0
84,T61,T61,Bubba Watson,29,50.0,1.0
85,T61,T61,Dean Wilson,32,50.0,1.0
86,T87,T87,K.J. Choi,21,42.9,3.0
87,T87,T87,Geoff Ogilvy,20,42.9,3.0
88,T87,T87,Kevin Sutherland,26,42.9,3.0
89,T90,T90,Chad Campbell,28,40.0,2.0
90,T90,T90,Mathew Goggin,27,40.0,2.0
91,T90,T90,Tim Petrovic,32,40.0,2.0
92,T93,T93,Cameron Beckman,29,33.3,1.0
93,T93,T93,Mark Calcavecchia,25,33.3,1.0
94,T93,T93,Daniel Chopra,27,33.3,1.0
95,T93,T93,Ben Crane,25,33.3,2.0
96,T93,T93,Marco Dawson,21,33.3,1.0
97,T93,T93,Lucas Glover,26,33.3,1.0
98,T93,T93,Paul Goydos,25,33.3,1.0
99,T93,T93,J.B. Holmes,26,33.3,2.0
100,T93,T93,Charles Howell III,31,33.3,1.0
101,T93,T93,Zach Johnson,25,33.3,1.0
102,T93,T93,Dustin Johnson,30,33.3,1.0
103,T93,T93,Troy Matteson,30,33.3,1.0
104,T93,T93,John Merrick,28,33.3,1.0
105,T93,T93,Nick O'Hern,26,33.3,1.0
106,T93,T93,Jeff Overton,32,33.3,1.0
107,T93,T93,Vaughn Taylor,32,33.3,1.0
108,T93,T93,Charles Warren,29,33.3,1.0
109,T93,T93,Charlie Wi,27,33.3,1.0
110,T93,T93,Jay Williamson,33,33.3,1.0
111,T112,T112,Briny Baird,30,28.6,2.0
112,T112,T112,Tim Clark,27,28.6,2.0
113,T114,T114,Jonathan Byrd,27,25.0,1.0
114,T114,T114,Brian Davis,34,25.0,1.0
115,T114,T114,Joe Ogilvie,29,25.0,1.0
116,T114,T114,Rory Sabbatini,23,25.0,1.0
117,T114,T114,Brandt Snedeker,26,25.0,1.0
118,T114,T114,Bo Van Pelt,32,25.0,1.0
119,T114,T114,Mark Wilson,29,25.0,1.0
120,T121,T121,Aaron Baddeley,22,20.0,1.0
