,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Retief Goosen,20,245.7,893323.0,101
1,2,2,Fred Couples,16,246.3,691523.0,78
2,3,3,Steve Stricker,22,248.5,849895.0,95
3,4,4,Tommy Armour III,19,249.9,710677.0,79
4,5,5,Tim Clark,23,250.2,639475.0,71
5,6,6,Camilo Villegas,21,251.0,1283334.0,142
6,7,7,Luke Donald,21,251.6,715665.0,79
7,8,8,Scott Sterling,16,252.1,444666.0,49
8,9,9,Mike Weir,24,252.3,753774.0,83
9,10,10,Bubba Watson,24,252.4,1435442.0,158
10,T11,T11,Davis Love III,27,252.6,1554794.0,171
11,T11,T11,Steve Marino,29,252.6,1537089.0,169
12,T13,T13,Stewart Cink,22,252.7,937093.0,103
13,T13,T13,Robert Garrigus,25,252.7,1746593.0,192
14,T13,T13,Mathew Goggin,26,252.7,1246513.0,137
15,16,16,Michael Allen,22,252.8,891891.0,98
16,17,17,John Merrick,28,253.7,1214484.0,133
17,T18,T18,Bob Estes,23,253.8,840650.0,92
18,T18,T18,Lucas Glover,26,253.8,1443667.0,158
19,T18,T18,Kevin Sutherland,27,253.8,1343140.0,147
20,21,21,Nick Watney,24,254.0,1609382.0,176
21,22,22,Ken Duke,29,254.1,1015278.0,111
22,T23,T23,Charles Howell III,29,254.3,1510764.0,165
23,T23,T23,Cliff Kresge,28,254.3,796383.0,87
24,T25,T25,Adam Scott,19,254.8,843841.0,92
25,T25,T25,Darron Stiles,20,254.8,522771.0,57
26,27,27,Kenny Perry,24,255.0,1294542.0,141
27,28,28,Sergio Garcia,17,255.2,891106.0,97
28,29,29,Heath Slocum,30,255.3,1176336.0,128
29,30,30,John Senden,29,255.5,1674310.0,182
30,31,31,Padraig Harrington,20,255.6,837441.0,91
31,T32,T32,Geoff Ogilvy,20,255.7,1076994.0,117
32,T32,T32,Jeff Overton,28,255.7,1417475.0,154
33,34,34,John Mallinger,27,255.9,958263.0,104
34,T35,T35,Brad Adamonis,25,256.2,949875.0,103
35,T35,T35,Matt Kuchar,24,256.2,1097700.0,119
36,T37,T37,Robert Allenby,21,256.4,950912.0,103
37,T37,T37,Daniel Chopra,28,256.4,1762991.0,191
38,T37,T37,Jason Dufner,26,256.4,1236965.0,134
39,T40,T40,Aaron Baddeley,23,256.5,1071153.0,116
40,T40,T40,Richard Johnson,26,256.5,738581.0,80
41,T40,T40,Hunter Mahan,25,256.5,1643751.0,178
42,43,43,Michael Letzig,28,256.6,1736439.0,188
43,44,44,Boo Weekley,22,256.7,1339763.0,145
44,45,45,Pat Perez,22,256.8,1183260.0,128
45,46,46,Ian Poulter,17,256.9,721497.0,78
46,47,47,Bart Bryant,17,257.2,490802.0,53
47,T48,T48,Kris Blanks,20,257.3,796605.0,86
48,T48,T48,Troy Matteson,30,257.3,1695170.0,183
49,T48,T48,Bo Van Pelt,30,257.3,1686124.0,182
50,51,51,Joe Durant,20,257.4,694903.0,75
51,T52,T52,Cameron Beckman,26,257.6,1112617.0,120
52,T52,T52,Ángel Cabrera,17,257.6,806676.0,87
53,T52,T52,Webb Simpson,30,257.6,1205568.0,130
54,T55,T55,Briny Baird,28,257.7,1103969.0,119
55,T55,T55,Tiger Woods,17,257.7,1159726.0,125
56,T57,T57,Dustin Johnson,25,257.8,1559113.0,168
57,T57,T57,Aron Price,27,257.8,992958.0,107
58,59,59,Stephen Ames,23,257.9,1030389.0,111
59,T60,T60,Zach Johnson,26,258.0,1216735.0,131
60,T60,T60,George McNeill,26,258.0,1356138.0,146
61,62,62,Brandt Snedeker,26,258.1,808484.0,87
62,63,63,Kevin Streelman,29,258.3,1674031.0,180
63,T64,T64,Alex Cejka,25,258.4,1088475.0,117
64,T64,T64,Ben Crane,27,258.4,1190537.0,128
65,T64,T64,Scott Verplank,24,258.4,1171985.0,126
66,T67,T67,J.B. Holmes,25,258.5,1405167.0,151
67,T67,T67,Chris Stroud,28,258.5,1331006.0,143
68,T67,T67,D.J. Trahan,30,258.5,1880136.0,202
69,T70,T70,Martin Laird,24,258.6,1638644.0,176
70,T70,T70,Jimmy Walker,24,258.6,1191480.0,128
71,T72,T72,Brendon Todd,21,258.7,391116.0,42
72,T72,T72,Y.E. Yang,23,258.7,1369229.0,147
73,T74,T74,Harrison Frazar,28,258.8,1723406.0,185
74,T74,T74,Bryce Molder,21,258.8,587033.0,63
75,T76,T76,Jason Bohn,25,258.9,1081118.0,116
76,T76,T76,Todd Hamilton,29,258.9,848206.0,91
77,T76,T76,Vijay Singh,21,258.9,1025363.0,110
78,T79,T79,Lee Janzen,23,259.0,801862.0,86
79,T79,T79,Rod Pampling,23,259.0,1165343.0,125
80,T79,T79,Scott Piercy,28,259.0,1743762.0,187
81,T79,T79,David Toms,27,259.0,1174777.0,126
82,T79,T79,Matt Weibring,22,259.0,885640.0,95
83,T84,T84,Jarrod Lyle,21,259.1,764957.0,82
84,T84,T84,Brett Quigley,28,259.1,1240412.0,133
85,86,86,Sean O'Hair,23,259.2,1194600.0,128
86,T87,T87,Brad Faxon,23,259.6,579450.0,62
87,T87,T87,Tom Lehman,16,259.6,327043.0,35
88,T87,T87,Justin Leonard,26,259.6,1009177.0,108
89,T87,T87,Jay Williamson,22,259.6,831912.0,89
90,T91,T91,Tim Herron,27,259.7,1402583.0,150
91,T91,T91,Ryuji Imada,25,259.7,1103335.0,118
92,93,93,Marc Leishman,28,259.8,1571374.0,168
93,T94,T94,Jerry Kelly,26,259.9,1141454.0,122
94,T94,T94,Billy Mayfair,28,259.9,1188254.0,127
95,T96,T96,Jim Furyk,23,260.0,870601.0,93
96,T96,T96,Phil Mickelson,18,260.0,1160687.0,124
97,T98,T98,K.J. Choi,22,260.1,824074.0,88
98,T98,T98,Glen Day,26,260.1,720990.0,77
99,T98,T98,J.J. Henry,28,260.1,1441791.0,154
100,T98,T98,Will MacKenzie,24,260.1,1245263.0,133
101,T98,T98,Parker McLachlin,25,260.1,1076934.0,115
102,103,103,Marc Turnesa,30,260.2,824166.0,88
103,T104,T104,Steve Elkington,23,260.3,1012092.0,108
104,T104,T104,Chez Reavie,27,260.3,890116.0,95
105,106,106,Ernie Els,19,260.4,1134264.0,121
106,107,107,Jason Day,18,260.5,1003365.0,107
107,T108,T108,David Mathis,27,260.6,919298.0,98
108,T108,T108,Charlie Wi,28,260.6,1163253.0,124
109,T108,T108,Mark Wilson,28,260.6,1275994.0,136
110,T111,T111,Bob Heintz,20,260.8,591502.0,63
111,T111,T111,Chris Riley,22,260.8,845064.0,90
112,T113,T113,Chad Campbell,26,260.9,1268008.0,135
113,T113,T113,Brian Gay,27,260.9,685561.0,73
114,115,115,Joe Ogilvie,29,261.1,1259606.0,134
115,116,116,Charley Hoffman,27,261.3,2060053.0,219
116,117,117,Jeff Quinney,26,261.4,922183.0,98
117,T118,T118,Jeff Klauk,29,261.6,1205448.0,128
118,T118,T118,Justin Rose,22,261.6,960685.0,102
119,T120,T120,Brian Bateman,25,261.7,687835.0,73
120,T120,T120,Gary Woodland,18,261.7,876286.0,93
121,T122,T122,Kevin Na,26,261.8,1262918.0,134
122,T122,T122,Nicholas Thompson,31,261.8,1913210.0,203
123,124,124,Stuart Appleby,25,261.9,1112590.0,118
124,125,125,Greg Owen,30,262.0,1659833.0,176
125,T126,T126,D.A. Points,29,262.1,1443761.0,153
126,T126,T126,Kevin Stadler,20,262.1,887050.0,94
127,128,128,Steve Lowery,27,262.2,1623787.0,172
128,129,129,Dean Wilson,29,262.3,765005.0,81
129,T130,T130,Steve Flesch,27,262.4,878373.0,93
130,T130,T130,Johnson Wagner,26,262.4,1445320.0,153
131,T132,T132,Mark Calcavecchia,23,262.5,1134045.0,120
132,T132,T132,Ryan Moore,27,262.5,1663105.0,176
133,134,134,Chris DiMarco,29,262.7,1097105.0,116
134,135,135,Peter Tomasulo,25,262.9,984361.0,104
135,136,136,Corey Pavin,23,263.0,397711.0,42
136,137,137,Bill Haas,29,263.1,1695102.0,179
137,138,138,Kirk Triplett,20,263.2,909661.0,96
138,T139,T139,Nathan Green,30,263.5,1603339.0,169
139,T139,T139,Nick O'Hern,27,263.5,986429.0,104
140,141,141,Tag Ridings,16,263.6,1015421.0,107
141,T142,T142,Woody Austin,24,263.7,1234103.0,130
142,T142,T142,Matt Bettencourt,31,263.7,1841936.0,194
143,T142,T142,Mark Brooks,17,263.7,398721.0,42
144,T145,T145,Brendon de Jonge,29,263.8,1576274.0,166
145,T145,T145,Derek Fathauer,25,263.8,702719.0,74
