,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Andres Romero,58,71.82,130,51,-62,-4
1,2,2,Martin Laird,72,71.67,172,68,-102,+3
2,3,3,Robert Garrigus,83,71.48,183,73,-89,+9
3,4,4,Tiger Woods,64,70.62,125,52,-86,-10
4,5,5,Tag Ridings,50,68.24,101,47,-59,-1
5,6,6,Ángel Cabrera,55,67.2,84,41,-45,+2
6,7,7,Hunter Mahan,94,66.92,178,88,-99,-1
7,8,8,Phil Mickelson,66,66.85,119,59,-74,+8
8,9,9,Anthony Kim,76,66.23,153,78,-91,-8
9,10,10,Bubba Watson,73,66.08,150,77,-70,-10
10,11,11,Nick Watney,86,66.03,173,89,-107,-5
11,12,12,Jonathan Byrd,89,65.37,202,107,-123,-10
12,13,13,D.J. Trahan,96,65.03,199,107,-116,-17
13,14,14,Dustin Johnson,85,64.9,159,86,-89,+8
14,15,15,Sergio Garcia,59,64.24,97,54,-53,E
15,16,16,Charley Hoffman,97,64.22,210,117,-124,-1
16,17,17,Rory Sabbatini,81,63.92,163,92,-92,-3
17,18,18,Camilo Villegas,76,63.64,140,80,-76,-2
18,19,19,Charles Warren,63,63.26,136,79,-81,-2
19,20,20,Mathew Goggin,76,63.13,137,80,-72,+4
20,21,21,Gary Woodland,53,63.12,89,52,-40,+9
21,22,22,Boo Weekley,79,62.77,145,86,-82,-3
22,23,23,Sean O'Hair,80,62.44,128,77,-88,-5
23,24,24,Ryan Moore,89,62.06,175,107,-92,E
24,25,25,Scott Piercy,85,61.77,181,112,-117,-1
25,26,26,Harrison Frazar,93,61.36,181,114,-100,+3
26,27,27,Davis Love III,89,60.79,169,109,-103,-14
27,28,28,Nicholas Thompson,96,60.74,198,128,-102,-9
28,29,29,Ernie Els,70,60.62,117,76,-65,E
29,30,30,J.B. Holmes,74,60.61,140,91,-81,+17
30,31,31,Ryan Palmer,78,60.37,163,107,-86,+8
31,T32,T32,Adam Scott,53,60.13,92,61,-60,-2
32,T32,T32,Bo Van Pelt,100,60.13,181,120,-105,-13
33,34,34,Vijay Singh,71,59.24,109,75,-56,-4
34,35,35,Lucas Glover,93,59.18,158,109,-83,-5
35,36,36,Steve Lowery,83,59.11,172,119,-75,E
36,37,37,Greg Owen,97,59.06,176,122,-99,-9
37,38,38,Kevin Streelman,97,58.75,178,125,-90,-19
38,39,39,Steve Marino,98,58.74,168,118,-86,-26
39,40,40,Daniel Chopra,89,58.51,189,134,-94,-7
40,41,41,Bill Haas,91,58.42,177,126,-101,-17
41,42,42,John Rollins,92,58.23,184,132,-100,-4
42,43,43,Peter Tomasulo,61,58.19,103,74,-60,+6
43,44,44,Will MacKenzie,69,58.08,133,96,-68,-1
44,45,45,Michael Letzig,96,58.07,187,135,-109,+11
45,46,46,Matt Bettencourt,98,58.05,191,138,-109,+5
