,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Dustin Johnson,85,21
1,T2,T2,Tim Herron,87,20
2,T2,T2,Chris Riley,77,20
3,T4,T4,Jim Furyk,86,18
4,T4,T4,Paul Goydos,79,18
5,T6,T6,Ben Crane,93,17
6,T6,T6,Nicholas Thompson,96,17
7,T6,T6,Dean Wilson,81,17
8,9,9,Zach Johnson,94,16
9,T10,T10,Alex Cejka,82,15
10,T10,T10,Chris DiMarco,97,15
11,T10,T10,Steve Elkington,70,15
12,T10,T10,Charley Hoffman,97,15
13,T10,T10,Lee Janzen,74,15
14,T10,T10,James Nitties,86,15
15,T10,T10,Scott Piercy,85,15
16,T10,T10,Ted Purdy,101,15
17,T10,T10,Webb Simpson,94,15
18,T10,T10,David Toms,98,15
19,T20,T20,Brian Gay,96,14
20,T20,T20,Jeff Klauk,97,14
21,T20,T20,Michael Letzig,96,14
22,T20,T20,Spencer Levin,75,14
23,T20,T20,John Merrick,91,14
24,T20,T20,Corey Pavin,73,14
25,T20,T20,Rory Sabbatini,81,14
26,T20,T20,Kevin Streelman,97,14
27,T20,T20,Vaughn Taylor,88,14
28,T20,T20,Bubba Watson,73,14
29,T20,T20,Boo Weekley,79,14
30,T31,T31,Brad Adamonis,70,13
31,T31,T31,Greg Chalmers,85,13
32,T31,T31,Lucas Glover,93,13
33,T31,T31,Justin Leonard,95,13
34,T31,T31,Rod Pampling,72,13
35,T31,T31,Ian Poulter,59,13
36,T31,T31,Jeff Quinney,78,13
37,T31,T31,Chez Reavie,81,13
38,T39,T39,Harrison Frazar,93,12
39,T39,T39,Padraig Harrington,66,12
40,T39,T39,Matt Jones,56,12
41,T39,T39,Hunter Mahan,94,12
42,T39,T39,Steve Marino,98,12
43,T39,T39,Geoff Ogilvy,78,12
44,T39,T39,Pat Perez,74,12
45,T39,T39,Tim Petrovic,97,12
46,T39,T39,Heath Slocum,95,12
47,T39,T39,Scott Verplank,88,12
48,T39,T39,Nick Watney,86,12
