,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Ian Poulter,59,"6' 0""",1943.5,324,4
1,T2,T2,Bob Estes,78,"6' 1""",2867.333,471,28
2,T2,T2,Kevin Stadler,65,"6' 1""",2075.75,339,33
3,T4,T4,Mark Brooks,55,"6' 2""",1746.9170000000001,284,10
4,T4,T4,Steve Stricker,81,"6' 2""",2545.167,412,2
5,T6,T6,Chris DiMarco,97,"6' 4""",3738.917,592,15
6,T6,T6,Jim Furyk,86,"6' 4""",2683.667,423,8
7,T6,T6,Brian Gay,96,"6' 4""",3498.5,552,7
8,T6,T6,Padraig Harrington,66,"6' 4""",2354.0,371,11
9,T6,T6,Rod Pampling,72,"6' 4""",2778.0,439,74
10,T6,T6,Mike Weir,85,"6' 4""",2923.583,461,14
11,12,12,Tim Clark,81,"6' 5""",2320.667,362,19
12,T13,T13,Chad Campbell,90,"6' 6""",2912.25,447,67
13,T13,T13,Zach Johnson,94,"6' 6""",3179.0,492,31
14,T13,T13,Jerry Kelly,90,"6' 6""",3518.417,541,45
15,T13,T13,Phil Mickelson,66,"6' 6""",2351.333,364,109
16,T13,T13,Tom Pernice Jr.,82,"6' 6""",3507.167,538,12
17,T13,T13,Jimmy Walker,74,"6' 6""",3044.667,469,27
18,T13,T13,Tiger Woods,64,"6' 6""",2081.083,322,1
19,T20,T20,Robert Allenby,71,"6' 7""",2403.25,364,56
20,T20,T20,Briny Baird,89,"6' 7""",2827.417,428,126
21,T20,T20,Ben Crane,93,"6' 7""",3615.583,548,32
22,T20,T20,Justin Leonard,95,"6' 7""",3089.75,471,63
23,T20,T20,Bryce Molder,69,"6' 7""",2080.0,317,37
24,T20,T20,Corey Pavin,73,"6' 7""",2386.667,362,80
25,T20,T20,Chris Riley,77,"6' 7""",2989.0,456,9
26,T20,T20,Justin Rose,71,"6' 7""",2617.583,400,87
27,T20,T20,Darron Stiles,52,"6' 7""",1888.9170000000001,287,133
28,T20,T20,Jay Williamson,69,"6' 7""",2219.417,337,86
29,30,30,Matt Kuchar,82,"6' 8""",3320.833,500,3
30,T31,T31,Stuart Appleby,79,"6' 9""",3095.333,457,160
31,T31,T31,Freddie Jacobson,83,"6' 9""",3624.333,538,51
32,T31,T31,Matt Jones,56,"6' 9""",2000.9170000000001,297,22
33,T34,T34,Alex Cejka,82,"6' 10""",3240.5,476,108
34,T34,T34,Brian Davis,103,"6' 10""",4430.333,651,95
35,T34,T34,Luke Donald,79,"6' 10""",2876.417,421,20
36,T34,T34,Jason Dufner,90,"6' 10""",3604.667,527,52
37,T34,T34,Ernie Els,70,"6' 10""",2657.417,390,59
38,T34,T34,Nick O'Hern,90,"6' 10""",3641.833,535,70
39,T34,T34,Vijay Singh,71,"6' 10""",2513.917,366,147
40,T34,T34,Scott Sterling,51,"6' 10""",1645.6670000000001,242,44
41,T34,T34,Kirk Triplett,60,"6' 10""",2603.333,380,24
42,T34,T34,Matt Weibring,65,"6' 10""",2484.917,363,42
43,T34,T34,Dean Wilson,81,"6' 10""",3090.417,453,119
44,T34,T34,Mark Wilson,99,"6' 10""",4036.833,591,21
45,T46,T46,Brad Adamonis,70,"6' 11""",2982.333,433,36
46,T46,T46,K.J. Choi,65,"6' 11""",2297.417,331,141
47,T46,T46,Steve Flesch,77,"6' 11""",2825.833,407,50
48,T46,T46,Jason Gore,74,"6' 11""",2971.583,428,127
49,T46,T46,Nathan Green,104,"6' 11""",4682.917,673,40
50,T46,T46,Charley Hoffman,97,"6' 11""",4359.333,628,79
51,T46,T46,Lee Janzen,74,"6' 11""",2952.167,427,66
52,T46,T46,Michael Letzig,96,"6' 11""",4336.5,630,29
53,T46,T46,John Mallinger,90,"6' 11""",3419.5,495,104
54,T46,T46,Parker McLachlin,71,"6' 11""",3629.5,527,98
55,T46,T46,Kevin Na,91,"6' 11""",3885.75,561,6
56,T46,T46,Geoff Ogilvy,78,"6' 11""",2895.417,417,62
57,T46,T46,Jeff Overton,92,"6' 11""",4126.0,597,95
58,T46,T46,Brett Quigley,92,"6' 11""",3451.917,498,76
59,T46,T46,Patrick Sheehan,51,"6' 11""",1645.3329999999999,238,23
60,T61,T61,Greg Chalmers,85,"7' 0""",3500.167,499,55
61,T61,T61,Fred Couples,54,"7' 0""",1904.75,271,175
62,T61,T61,Ken Duke,87,"7' 0""",3658.833,523,53
63,T61,T61,Charles Howell III,99,"7' 0""",4041.083,575,118
64,T61,T61,Anthony Kim,76,"7' 0""",3151.917,452,124
65,T61,T61,Tom Lehman,55,"7' 0""",1341.5,191,150
66,T61,T61,David Toms,98,"7' 0""",3515.917,500,47
67,T61,T61,Camilo Villegas,76,"7' 0""",2658.083,379,129
68,T69,T69,Cameron Beckman,87,"7' 1""",3498.333,496,77
69,T69,T69,Jason Bohn,88,"7' 1""",3492.333,493,163
70,T69,T69,Ángel Cabrera,55,"7' 1""",2071.583,292,117
71,T69,T69,Glen Day,79,"7' 1""",2873.833,407,43
72,T69,T69,Retief Goosen,74,"7' 1""",2960.333,418,64
73,T69,T69,Jarrod Lyle,65,"7' 1""",2454.833,345,65
74,T69,T69,Billy Mayfair,83,"7' 1""",3274.917,463,169
75,T69,T69,Tim Petrovic,97,"7' 1""",4351.833,614,5
76,T69,T69,Chez Reavie,81,"7' 1""",3261.5,463,71
77,T69,T69,Webb Simpson,94,"7' 1""",4443.417,631,17
78,T69,T69,Brandt Snedeker,81,"7' 1""",3054.417,429,25
