,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Chris Riley,77,"5' 2""",1079.5,209,9
1,2,2,Ian Poulter,59,"5' 6""",837.5830000000001,153,4
2,T3,T3,Chris DiMarco,97,"5' 8""",1457.1670000000001,257,15
3,T3,T3,Zach Johnson,94,"5' 8""",1237.667,220,31
4,T3,T3,Rod Pampling,72,"5' 8""",1104.75,194,74
5,T3,T3,Scott Sterling,51,"5' 8""",566.25,100,44
6,T7,T7,Briny Baird,89,"5' 9""",1080.083,187,126
7,T7,T7,Brian Gay,96,"5' 9""",1302.417,227,7
8,T9,T9,Matt Jones,56,"5' 11""",769.25,130,22
9,T9,T9,Justin Rose,71,"5' 11""",1122.5,189,87
10,T9,T9,Steve Stricker,81,"5' 11""",1048.417,176,2
11,T12,T12,Jim Furyk,86,"6' 0""",1105.667,184,8
12,T12,T12,Anthony Kim,76,"6' 0""",1062.167,176,124
13,T12,T12,Bryce Molder,69,"6' 0""",839.8330000000001,140,37
14,T12,T12,Brett Quigley,92,"6' 0""",1278.25,212,76
15,T12,T12,Chez Reavie,81,"6' 0""",1294.583,217,71
16,T12,T12,Rory Sabbatini,81,"6' 0""",1114.417,187,129
17,T18,T18,Bob Estes,78,"6' 1""",1211.083,198,28
18,T18,T18,Bob Heintz,59,"6' 1""",975.5830000000001,160,26
19,T18,T18,Lee Janzen,74,"6' 1""",1193.917,195,66
20,T18,T18,Jerry Kelly,90,"6' 1""",1361.0829999999999,225,45
21,T18,T18,Jeff Klauk,97,"6' 1""",1495.6670000000001,245,34
22,T18,T18,Jeff Overton,92,"6' 1""",1584.5829999999999,260,95
23,T18,T18,Tom Pernice Jr.,82,"6' 1""",1527.8329999999999,250,12
24,T18,T18,Darron Stiles,52,"6' 1""",824.5,136,133
25,T26,T26,Greg Chalmers,85,"6' 2""",1353.1670000000001,219,55
26,T26,T26,Fred Couples,54,"6' 2""",775.9169999999999,126,175
27,T26,T26,Charley Hoffman,97,"6' 2""",1681.1670000000001,272,79
28,T26,T26,Justin Leonard,95,"6' 2""",1224.333,199,63
29,T26,T26,Bill Lunde,83,"6' 2""",1316.6670000000001,214,49
30,T26,T26,Corey Pavin,73,"6' 2""",1074.833,174,80
31,T26,T26,Kevin Sutherland,96,"6' 2""",1383.0,223,81
32,T26,T26,Tiger Woods,64,"6' 2""",842.5,137,1
33,T34,T34,Mark Brooks,55,"6' 3""",731.8330000000001,117,10
34,T34,T34,Steve Flesch,77,"6' 3""",1074.75,172,50
35,T34,T34,Peter Lonard,86,"6' 3""",1388.6670000000001,221,144
36,T34,T34,John Mallinger,90,"6' 3""",1399.4170000000001,223,104
37,T34,T34,Jimmy Walker,74,"6' 3""",1330.9170000000001,213,27
38,T34,T34,Mike Weir,85,"6' 3""",1277.75,205,14
39,T34,T34,Casey Wittenberg,71,"6' 3""",955.75,153,61
40,T41,T41,Nathan Green,104,"6' 4""",1838.6670000000001,291,40
41,T41,T41,Padraig Harrington,66,"6' 4""",1056.917,167,11
42,T41,T41,Richard Johnson,85,"6' 4""",1344.0,211,87
43,T41,T41,Spencer Levin,75,"6' 4""",1151.833,183,15
44,T41,T41,Vijay Singh,71,"6' 4""",880.6669999999999,139,147
45,T41,T41,Heath Slocum,95,"6' 4""",1521.5829999999999,239,91
46,T41,T41,Kevin Stadler,65,"6' 4""",953.25,150,33
47,T41,T41,Mark Wilson,99,"6' 4""",1781.9170000000001,281,21
48,T49,T49,Aaron Baddeley,66,"6' 5""",1305.667,204,92
49,T49,T49,Ricky Barnes,67,"6' 5""",954.8330000000001,149,178
50,T49,T49,Brian Davis,103,"6' 5""",1888.5829999999999,293,95
51,T49,T49,Ernie Els,70,"6' 5""",1185.917,186,59
52,T49,T49,Bill Haas,91,"6' 5""",1723.1670000000001,268,72
53,T49,T49,Tom Lehman,55,"6' 5""",602.3330000000001,94,150
54,T49,T49,James Nitties,86,"6' 5""",1573.25,244,106
55,T49,T49,Greg Owen,97,"6' 5""",1416.3329999999999,222,136
56,T57,T57,Ben Crane,93,"6' 6""",1634.8329999999999,253,32
57,T57,T57,Ryuji Imada,85,"6' 6""",1557.25,241,54
58,T57,T57,Cliff Kresge,78,"6' 6""",1216.25,187,72
59,T57,T57,Jarrod Lyle,65,"6' 6""",975.0,150,65
60,T57,T57,Jeff Quinney,78,"6' 6""",1360.5,210,58
61,T57,T57,Bo Van Pelt,100,"6' 6""",1706.6670000000001,264,57
62,T57,T57,Charles Warren,63,"6' 6""",964.25,148,121
63,T57,T57,Matt Weibring,65,"6' 6""",969.4169999999999,149,42
64,T65,T65,Robert Allenby,71,"6' 7""",1004.0830000000001,152,56
65,T65,T65,Cameron Beckman,87,"6' 7""",1406.9170000000001,214,77
66,T65,T65,Ben Curtis,63,"6' 7""",1094.667,167,85
67,T65,T65,Ken Duke,87,"6' 7""",1639.3329999999999,248,53
68,T65,T65,Jason Gore,74,"6' 7""",1224.167,185,127
69,T65,T65,Paul Goydos,79,"6' 7""",1277.083,194,145
70,T65,T65,Charles Howell III,99,"6' 7""",1612.5,245,118
71,T65,T65,George McNeill,82,"6' 7""",1629.0829999999999,247,29
72,T65,T65,Kevin Na,91,"6' 7""",1704.8329999999999,260,6
73,T65,T65,Tim Petrovic,97,"6' 7""",1846.3329999999999,282,5
74,T65,T65,Rick Price,54,"6' 7""",848.0,129,161
75,T65,T65,Webb Simpson,94,"6' 7""",1860.8329999999999,282,17
76,T65,T65,Chris Stroud,88,"6' 7""",1530.8329999999999,232,168
77,T65,T65,David Toms,98,"6' 7""",1440.4170000000001,219,47
78,T79,T79,Tim Clark,81,"6' 8""",1119.833,169,19
79,T79,T79,Glen Day,79,"6' 8""",1166.0,175,43
80,T79,T79,Harrison Frazar,93,"6' 8""",1687.25,252,134
81,T79,T79,Sergio Garcia,59,"6' 8""",927.5830000000001,139,101
82,T79,T79,Will MacKenzie,69,"6' 8""",1193.75,180,164
83,T79,T79,Phil Mickelson,66,"6' 8""",1120.25,169,109
84,T79,T79,Nick O'Hern,90,"6' 8""",1603.75,240,70
85,T86,T86,Jason Day,61,"6' 9""",1014.1669999999999,151,35
86,T86,T86,Jason Dufner,90,"6' 9""",1553.3329999999999,230,52
87,T86,T86,David Duval,56,"6' 9""",916.5830000000001,136,183
88,T86,T86,Tim Herron,87,"6' 9""",1778.4170000000001,263,69
89,T86,T86,Freddie Jacobson,83,"6' 9""",1616.9170000000001,241,51
90,T86,T86,Parker McLachlin,71,"6' 9""",1350.6670000000001,201,98
91,T86,T86,Boo Weekley,79,"6' 9""",1393.5,206,154
92,T86,T86,Jay Williamson,69,"6' 9""",948.8330000000001,141,86
93,T86,T86,Gary Woodland,53,"6' 9""",746.6669999999999,111,184
94,T95,T95,Jonathan Byrd,89,"6' 10""",1587.4170000000001,231,148
95,T95,T95,Chad Campbell,90,"6' 10""",1487.8329999999999,219,67
96,T95,T95,K.J. Choi,65,"6' 10""",1059.583,156,141
97,T95,T95,Daniel Chopra,89,"6' 10""",2037.4170000000001,298,152
98,T95,T95,Luke Donald,79,"6' 10""",1196.167,174,20
99,T95,T95,Todd Hamilton,83,"6' 10""",1264.333,184,105
100,T95,T95,Michael Letzig,96,"6' 10""",1997.6670000000001,293,29
101,T95,T95,Steve Marino,98,"6' 10""",1664.0829999999999,243,60
102,T95,T95,Scott McCarron,91,"6' 10""",1762.4170000000001,257,18
103,T95,T95,Geoff Ogilvy,78,"6' 10""",1336.0829999999999,196,62
104,T95,T95,Camilo Villegas,76,"6' 10""",1213.583,178,129
105,T95,T95,Charlie Wi,92,"6' 10""",1640.75,239,83
106,T95,T95,Dean Wilson,81,"6' 10""",1396.8329999999999,204,119
107,T108,T108,Ángel Cabrera,55,"6' 11""",936.0,135,117
108,T108,T108,Alex Cejka,82,"6' 11""",1438.3329999999999,209,108
109,T108,T108,Steve Elkington,70,"6' 11""",1243.917,180,99
110,T108,T108,Dustin Johnson,85,"6' 11""",1458.0,210,143
111,T108,T108,David Mathis,82,"6' 11""",1608.9170000000001,234,47
112,T108,T108,Rocco Mediate,79,"6' 11""",1343.4170000000001,194,145
113,T108,T108,Ryan Moore,89,"6' 11""",1516.1670000000001,219,46
114,T108,T108,Pat Perez,74,"6' 11""",1498.9170000000001,217,78
115,T108,T108,John Senden,100,"6' 11""",1771.9170000000001,256,128
116,T108,T108,Vaughn Taylor,88,"6' 11""",1733.4170000000001,252,156
117,T108,T108,Nick Watney,86,"6' 11""",1507.75,218,84
118,T119,T119,Mark Calcavecchia,72,"7' 0""",1330.0829999999999,191,101
119,T119,T119,Robert Garrigus,83,"7' 0""",1491.3329999999999,213,111
120,T119,T119,Billy Mayfair,83,"7' 0""",1358.5829999999999,195,169
121,T119,T119,Sean O'Hair,80,"7' 0""",1149.833,164,113
122,T119,T119,Ted Purdy,101,"7' 0""",1994.5829999999999,286,151
123,T119,T119,Tag Ridings,50,"7' 0""",897.0,128,140
124,T119,T119,Brendon Todd,53,"7' 0""",933.5830000000001,133,180
125,T119,T119,Kirk Triplett,60,"7' 0""",1118.5,159,24
126,T119,T119,Scott Verplank,88,"7' 0""",1685.4170000000001,240,75
127,T128,T128,Brad Faxon,59,"7' 1""",1372.3329999999999,194,120
128,T128,T128,Greg Kraft,51,"7' 1""",910.6669999999999,129,177
129,T128,T128,D.A. Points,99,"7' 1""",1852.5,263,111
130,T128,T128,D.J. Trahan,96,"7' 1""",1595.25,226,149
131,T128,T128,Bubba Watson,73,"7' 1""",1323.9170000000001,186,166
