,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Tiger Woods,64,-.089,45,-4.00
1,2,2,John Mallinger,90,-.083,72,-6.00
2,T3,T3,Daniel Chopra,89,-.065,77,-5.00
3,T3,T3,Steve Stricker,81,-.065,62,-4.00
4,5,5,Scott Sterling,51,-.059,34,-2.00
5,6,6,Y.E. Yang,83,-.054,56,-3.00
6,7,7,Kent Jones,73,-.053,57,-3.00
7,8,8,Dean Wilson,81,-.046,65,-3.00
8,9,9,Camilo Villegas,76,-.045,44,-2.00
9,10,10,Matt Kuchar,82,-.044,68,-3.00
10,11,11,Matt Weibring,65,-.036,56,-2.00
11,12,12,Ernie Els,70,-.034,58,-2.00
12,13,13,Ryan Moore,89,-.031,65,-2.00
13,14,14,Ángel Cabrera,55,-.024,41,-1.00
14,T15,T15,Phil Mickelson,66,-.023,44,-1.00
15,T15,T15,Patrick Sheehan,51,-.023,43,-1.00
16,17,17,Jay Williamson,69,-.019,52,-1.00
17,T18,T18,Robert Allenby,71,-.018,57,-1.00
18,T18,T18,Colt Knost,71,-.018,57,-1.00
19,T18,T18,Bryce Molder,69,-.018,55,-1.00
20,21,21,Todd Hamilton,83,-.017,58,-1.00
21,22,22,Jim Furyk,86,-.016,62,-1.00
22,T23,T23,Zach Johnson,94,-.014,70,-1.00
23,T23,T23,Mark Wilson,99,-.014,70,-1.00
24,T25,T25,Lucas Glover,93,-.013,79,-1.00
25,T25,T25,Davis Love III,89,-.013,77,-1.00
26,T27,T27,Cameron Beckman,87,E,85,E
27,T27,T27,Bart Bryant,58,E,36,E
28,T27,T27,Robert Garrigus,83,E,52,E
29,T27,T27,Mathew Goggin,76,E,59,E
30,T27,T27,Retief Goosen,74,E,57,E
31,T27,T27,Bill Haas,91,E,66,E
32,T27,T27,J.J. Henry,97,E,68,E
33,T27,T27,Tim Herron,87,E,69,E
34,T27,T27,Charles Howell III,99,E,58,E
35,T27,T27,Matt Jones,56,E,49,E
36,T27,T27,Tom Lehman,55,E,35,E
37,T27,T27,Justin Leonard,95,E,79,E
38,T27,T27,Michael Letzig,96,E,87,E
39,T27,T27,Bill Lunde,83,E,71,E
40,T27,T27,Jeff Maggert,79,E,79,E
41,T27,T27,Steve Marino,98,E,61,E
42,T27,T27,George McNeill,82,E,73,E
43,T27,T27,Rod Pampling,72,E,58,E
44,T27,T27,Carl Pettersson,86,E,62,E
45,T27,T27,Ian Poulter,59,E,41,E
46,T27,T27,Brandt Snedeker,81,E,71,E
47,T27,T27,Kevin Stadler,65,E,59,E
48,T27,T27,Charles Warren,63,E,46,E
49,T27,T27,Bubba Watson,73,E,51,E
50,51,51,Tim Petrovic,97,+.010,97,+1.00
51,52,52,Jeff Overton,92,+.011,87,+1.00
52,T53,T53,Troy Matteson,95,+.013,77,+1.00
53,T53,T53,Kevin Na,91,+.013,75,+1.00
54,T53,T53,Nicholas Thompson,96,+.013,75,+1.00
55,T53,T53,D.J. Trahan,96,+.013,78,+1.00
56,T57,T57,Jerry Kelly,90,+.014,69,+1.00
57,T57,T57,Tom Pernice Jr.,82,+.014,71,+1.00
58,T59,T59,Jason Dufner,90,+.015,67,+1.00
59,T59,T59,Kevin Streelman,97,+.015,66,+1.00
60,T59,T59,Johnson Wagner,81,+.015,66,+1.00
61,62,62,David Mathis,82,+.016,64,+1.00
62,T63,T63,Kris Blanks,60,+.019,54,+1.00
63,T63,T63,Greg Chalmers,85,+.019,54,+1.00
64,65,65,Geoff Ogilvy,78,+.020,50,+1.00
65,66,66,Jarrod Lyle,65,+.021,48,+1.00
66,T67,T67,Aaron Baddeley,66,+.023,43,+1.00
67,T67,T67,Ben Crane,93,+.023,86,+2.00
68,69,69,Bob Heintz,59,+.024,41,+1.00
69,T70,T70,Hunter Mahan,94,+.026,76,+2.00
70,T70,T70,Joe Ogilvie,85,+.026,76,+2.00
71,T70,T70,Chris Riley,77,+.026,76,+2.00
72,73,73,Marc Leishman,91,+.027,74,+2.00
73,74,74,Darron Stiles,52,+.028,36,+1.00
74,75,75,Brad Adamonis,70,+.029,70,+2.00
75,76,76,Ryuji Imada,85,+.030,66,+2.00
76,T77,T77,Woody Austin,84,+.031,65,+2.00
