,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Jonathan Byrd,89,3,1,2
1,2,2,Greg Owen,97,14,8,6
2,3,3,John Senden,100,16,15,1
3,4,4,Hunter Mahan,94,26,7,19
4,5,5,Charles Warren,63,27,13,14
5,6,6,Tiger Woods,64,28,12,16
6,T7,T7,Robert Allenby,71,29,5,24
7,T7,T7,D.J. Trahan,96,29,22,7
8,9,9,Jason Bohn,88,30,22,8
9,T10,T10,Jeff Maggert,79,39,17,22
10,T10,T10,Kenny Perry,92,39,3,36
11,T12,T12,Heath Slocum,95,40,8,32
12,T12,T12,David Toms,98,40,20,20
13,T12,T12,Kirk Triplett,60,40,11,29
14,15,15,Jay Williamson,69,45,40,5
15,16,16,Steve Marino,98,51,30,21
16,17,17,Michael Allen,73,53,16,37
17,T18,T18,Joe Durant,62,55,52,3
18,T18,T18,Troy Matteson,95,55,37,18
19,20,20,Boo Weekley,79,57,5,52
20,21,21,Will MacKenzie,69,58,32,26
21,22,22,Bill Haas,91,61,27,34
22,23,23,Robert Garrigus,83,62,58,4
23,T24,T24,Steve Elkington,70,66,33,33
24,T24,T24,Nicholas Thompson,96,66,24,42
25,26,26,Tommy Armour III,58,68,24,44
26,27,27,Zach Johnson,94,72,44,28
27,28,28,Patrick Sheehan,51,73,58,15
28,29,29,Bo Van Pelt,100,75,21,54
29,30,30,Chris Stroud,88,82,70,12
30,T31,T31,Chad Campbell,90,84,75,9
31,T31,T31,Martin Laird,72,84,17,67
32,33,33,Ryan Moore,89,85,8,77
33,34,34,Bill Lunde,83,86,40,46
34,35,35,Jason Dufner,90,88,39,49
35,36,36,Kris Blanks,60,89,19,70
36,37,37,Lucas Glover,93,90,2,88
37,T38,T38,Tim Clark,81,91,43,48
38,T38,T38,Marc Leishman,91,91,52,39
39,T40,T40,Stephen Ames,77,92,62,30
40,T40,T40,Justin Leonard,95,92,47,45
41,T42,T42,J.J. Henry,97,93,69,24
42,T42,T42,Sean O'Hair,80,93,66,27
43,44,44,Scott Verplank,88,95,48,47
44,45,45,Billy Mayfair,83,98,30,68
45,T46,T46,Davis Love III,89,100,50,50
46,T46,T46,Ted Purdy,101,100,29,71
47,48,48,Mark Wilson,99,101,37,64
48,49,49,Briny Baird,89,104,94,10
49,50,50,Steve Stricker,81,107,50,57
50,T51,T51,Ernie Els,70,115,36,79
51,T51,T51,Charley Hoffman,97,115,62,53
52,T51,T51,Kevin Streelman,97,115,54,61
53,54,54,Scott McCarron,91,118,14,104
54,55,55,Mathew Goggin,76,119,26,93
55,56,56,Jason Gore,74,120,27,93
56,57,57,Jeff Klauk,97,121,55,66
57,58,58,Alex Cejka,82,125,62,63
58,59,59,Tom Lehman,55,127,117,10
59,60,60,Tag Ridings,50,131,66,65
60,61,61,Casey Wittenberg,71,134,103,31
61,T62,T62,Camilo Villegas,76,135,78,57
62,T62,T62,Nick Watney,86,135,57,78
63,64,64,John Rollins,92,137,3,134
64,T65,T65,Fred Couples,54,143,101,42
65,T65,T65,Sergio Garcia,59,143,48,95
66,T67,T67,Matt Jones,56,145,107,38
67,T67,T67,Vijay Singh,71,145,70,75
68,T67,T67,Matt Weibring,65,145,55,90
69,70,70,Scott Sterling,51,147,134,13
70,T71,T71,Ryan Palmer,78,149,45,104
71,T71,T71,Justin Rose,71,149,66,83
72,73,73,Dustin Johnson,85,150,70,80
73,T74,T74,Rich Beem,77,151,134,17
74,T74,T74,Darron Stiles,52,151,61,90
75,T76,T76,Colt Knost,71,153,80,73
76,T76,T76,Bryce Molder,69,153,113,40
77,T78,T78,Ben Crane,93,155,42,113
78,T78,T78,D.A. Points,99,155,84,71
79,T80,T80,John Merrick,91,156,45,111
80,T80,T80,Peter Tomasulo,61,156,35,121
81,T82,T82,Chez Reavie,81,158,75,83
82,T82,T82,Kevin Stadler,65,158,107,51
83,T84,T84,Ricky Barnes,67,159,136,23
84,T84,T84,Johnson Wagner,81,159,70,89
85,86,86,Scott Piercy,85,160,86,74
86,T87,T87,Kent Jones,73,161,65,96
87,T87,T87,Kevin Sutherland,96,161,107,54
88,T89,T89,Charles Howell III,99,169,128,41
89,T89,T89,Steve Lowery,83,169,34,135
90,91,91,Brendon de Jonge,90,174,117,57
91,92,92,Harrison Frazar,93,175,88,87
92,93,93,Glen Day,79,177,115,62
93,94,94,Jim Furyk,86,178,80,98
94,T95,T95,Rod Pampling,72,180,95,85
95,T95,T95,Charlie Wi,92,180,60,120
96,97,97,Nick O'Hern,90,182,128,54
97,98,98,Jason Day,61,187,70,117
98,99,99,K.J. Choi,65,192,111,81
99,100,100,Chris Riley,77,193,78,115
100,101,101,Gary Woodland,53,195,88,107
101,102,102,Tim Petrovic,97,199,97,102
102,103,103,Vaughn Taylor,88,201,91,110
103,104,104,Brian Davis,103,205,84,121
104,T105,T105,Michael Letzig,96,206,80,126
105,T105,T105,Y.E. Yang,83,206,130,76
106,107,107,Rick Price,54,208,139,69
107,108,108,Bob Estes,78,209,80,129
108,109,109,Steve Flesch,77,211,154,57
109,110,110,Spencer Levin,75,212,178,34
110,111,111,Bob Heintz,59,216,95,121
111,112,112,Bubba Watson,73,219,87,132
112,113,113,James Nitties,86,224,77,147
113,114,114,Rory Sabbatini,81,227,131,96
114,115,115,Woody Austin,84,228,122,106
115,116,116,John Mallinger,90,230,115,115
116,117,117,Phil Mickelson,66,234,107,127
117,118,118,Jerry Kelly,90,235,111,124
118,119,119,Rocco Mediate,79,236,146,90
119,120,120,Andres Romero,58,237,125,112
120,121,121,Brandt Snedeker,81,239,101,138
121,122,122,Brett Quigley,92,240,158,82
122,T123,T123,Cameron Beckman,87,241,143,98
123,T123,T123,Stewart Cink,79,241,97,144
124,T123,T123,Richard Johnson,85,241,138,103
125,T126,T126,Daniel Chopra,89,243,91,152
126,T126,T126,Brian Vranesh,51,243,103,140
127,128,128,Matt Kuchar,82,245,113,132
128,129,129,Greg Chalmers,85,247,147,100
129,T130,T130,Bart Bryant,58,253,90,163
130,T130,T130,Aron Price,89,253,167,86
131,T130,T130,Adam Scott,53,253,91,162
132,133,133,Mark Calcavecchia,72,256,156,100
133,T134,T134,Peter Lonard,86,257,143,114
134,T134,T134,Jarrod Lyle,65,257,149,108
135,T136,T136,Mark Brooks,55,259,122,137
136,T136,T136,George McNeill,82,259,117,142
137,138,138,Todd Hamilton,83,260,117,143
138,139,139,Chris DiMarco,97,265,140,125
139,T140,T140,Brian Gay,96,267,99,168
140,T140,T140,Anthony Kim,76,267,103,164
141,T142,T142,Ángel Cabrera,55,268,99,169
142,T142,T142,Pat Perez,74,268,117,151
143,144,144,Geoff Ogilvy,78,270,142,128
144,145,145,Tom Pernice Jr.,82,273,155,118
145,146,146,Paul Goydos,79,278,133,145
146,T147,T147,Tim Herron,87,279,141,138
147,T147,T147,J.B. Holmes,74,279,103,176
148,149,149,Dean Wilson,81,282,173,109
149,150,150,Corey Pavin,73,283,125,158
150,151,151,Brian Bateman,55,285,166,119
151,152,152,Matt Bettencourt,98,286,131,155
152,153,153,Ben Curtis,63,288,159,129
153,154,154,Kevin Na,91,291,160,131
154,155,155,Retief Goosen,74,292,122,170
155,156,156,Cliff Kresge,78,293,152,141
156,157,157,Jeff Quinney,78,295,149,146
157,158,158,Stuart Appleby,79,299,149,150
