,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Dustin Johnson,85,202.0,12927.1,64,217.8,172.8
1,2,2,Gary Woodland,53,201.7,6051.0,30,215.1,171.1
2,3,3,J.B. Holmes,74,201.1,10254.5,51,220.9,153.3
3,4,4,Bubba Watson,73,200.5,9625.0,48,217.4,161.8
4,5,5,Tag Ridings,50,198.9,8155.9,41,213.4,181.0
5,6,6,Robert Garrigus,83,198.4,11907.0,60,217.3,172.7
6,T7,T7,Charley Hoffman,97,198.0,15836.7,80,213.5,169.0
7,T7,T7,Tiger Woods,64,198.0,7920.7,40,210.6,176.5
8,9,9,Nick Watney,86,196.2,14322.8,73,216.8,173.9
9,10,10,Adam Scott,53,196.0,8426.1,43,212.5,149.0
10,11,11,Phil Mickelson,66,195.9,8421.7,43,211.4,175.9
11,12,12,Martin Laird,72,195.3,9567.7,49,211.4,171.1
12,13,13,Ángel Cabrera,55,194.7,7008.5,36,206.5,158.3
13,14,14,Bill Haas,91,194.0,15523.2,80,205.9,178.7
14,15,15,Marc Leishman,91,192.6,13672.1,71,205.4,159.4
15,16,16,George McNeill,82,192.2,14220.5,74,203.4,176.4
16,17,17,Davis Love III,89,191.7,12653.0,66,204.8,139.6
17,T18,T18,Troy Matteson,95,191.2,16247.8,85,208.3,163.7
18,T18,T18,John Senden,100,191.2,14910.6,78,200.7,170.6
19,20,20,Jimmy Walker,74,190.8,9540.4,50,204.4,164.9
20,21,21,Sergio Garcia,59,190.6,8004.8,42,202.8,152.7
21,22,22,Greg Owen,97,190.0,16149.3,85,205.2,171.3
22,23,23,Harrison Frazar,93,189.9,13670.9,72,200.9,166.1
23,T24,T24,Lucas Glover,93,189.7,13277.4,70,205.0,168.4
24,T24,T24,Leif Olson,51,189.7,7210.3,38,202.5,162.9
25,T26,T26,Charles Howell III,99,189.6,16117.2,85,209.0,169.5
26,T26,T26,Matt Jones,56,189.6,7393.9,39,202.7,162.1
27,28,28,Jason Day,61,189.3,9087.2,48,201.7,160.9
28,29,29,Andres Romero,58,189.0,9447.5,50,202.7,154.8
29,30,30,Daniel Chopra,89,188.8,16233.6,86,207.6,157.5
30,31,31,Aaron Baddeley,66,188.7,9055.7,48,209.2,165.7
31,32,32,Anthony Kim,76,188.5,10745.7,57,213.9,158.8
32,33,33,Kevin Streelman,97,188.2,15993.7,85,199.7,162.4
33,34,34,John Merrick,91,187.9,12964.4,69,202.0,156.9
34,35,35,Ricky Barnes,67,187.8,9013.0,48,204.1,142.6
35,36,36,Bo Van Pelt,100,187.5,13690.9,73,206.3,169.0
36,T37,T37,Jonathan Byrd,89,187.4,11616.2,62,201.5,153.2
37,T37,T37,David Duval,56,187.4,6558.7,35,199.2,149.2
38,39,39,Retief Goosen,74,187.3,10113.8,54,203.1,162.0
39,40,40,Fred Couples,54,186.9,7664.3,41,200.3,171.0
40,41,41,J.J. Henry,97,186.7,14935.3,80,222.8,148.5
41,T42,T42,Geoff Ogilvy,78,186.2,12478.7,67,199.4,145.2
42,T42,T42,Boo Weekley,79,186.2,13779.6,74,196.2,166.1
43,44,44,Scott Piercy,85,186.0,11345.9,61,199.4,156.5
44,45,45,Mathew Goggin,76,185.9,10409.4,56,198.4,173.4
45,46,46,Charles Warren,63,185.8,8733.7,47,198.2,169.1
46,T47,T47,Stewart Cink,79,185.5,11871.9,64,201.7,156.2
47,T47,T47,Ryan Palmer,78,185.5,12611.5,68,200.4,166.5
48,49,49,D.J. Trahan,96,185.3,14080.0,76,203.6,153.8
49,50,50,Steve Marino,98,185.1,15176.4,82,197.6,167.1
50,51,51,James Nitties,86,184.6,10337.5,56,200.4,157.1
51,52,52,Robert Allenby,71,184.2,10128.6,55,196.8,153.3
52,53,53,Vijay Singh,71,184.0,11037.8,60,197.2,163.3
53,54,54,Stephen Ames,77,183.9,11033.4,60,201.5,163.6
54,55,55,Brendon de Jonge,90,183.7,12308.3,67,196.5,166.0
55,56,56,Y.E. Yang,83,183.5,12293.6,67,198.5,161.4
56,57,57,Brett Quigley,92,183.3,12829.3,70,197.5,156.6
57,58,58,Will MacKenzie,69,183.2,11174.5,61,194.4,152.6
58,59,59,Kevin Sutherland,96,183.0,11710.6,64,209.6,128.5
59,T60,T60,Derek Fathauer,63,182.9,8228.3,45,195.1,171.6
60,T60,T60,Ted Purdy,101,182.9,14448.1,79,200.2,134.4
61,62,62,Pat Perez,74,182.8,11513.7,63,202.1,162.3
62,63,63,John Rollins,92,182.6,14245.4,78,206.9,165.3
63,64,64,Scott McCarron,91,182.4,13494.9,74,201.4,158.8
64,T65,T65,Stuart Appleby,79,182.2,11658.6,64,194.3,158.2
65,T65,T65,Matt Bettencourt,98,182.2,14757.9,81,198.2,140.9
66,T65,T65,Sean O'Hair,80,182.2,10387.1,57,197.4,139.2
67,T68,T68,Peter Tomasulo,61,182.1,7648.9,42,193.3,158.5
68,T68,T68,Brian Vranesh,51,182.1,6190.5,34,196.1,158.3
69,70,70,Chad Campbell,90,182.0,12921.3,71,198.4,160.0
70,71,71,Woody Austin,84,181.9,14366.6,79,193.4,162.8
71,72,72,Rory Sabbatini,81,181.6,12166.2,67,198.8,155.1
72,T73,T73,Jarrod Lyle,65,181.1,8692.2,48,193.3,158.8
73,T73,T73,Kevin Stadler,65,181.1,8148.7,45,197.8,160.4
74,75,75,Steve Lowery,83,181.0,13031.3,72,196.8,155.3
75,T76,T76,Joe Durant,62,180.9,7960.6,44,196.2,166.8
76,T76,T76,Michael Letzig,96,180.9,15195.8,84,196.5,126.6
77,T76,T76,Chris Stroud,88,180.9,10130.4,56,205.1,149.2
78,T76,T76,Camilo Villegas,76,180.9,9404.8,52,199.3,158.3
79,80,80,Brian Bateman,55,180.5,8665.2,48,192.0,160.3
80,T81,T81,Hunter Mahan,94,180.4,12084.8,67,208.9,157.4
81,T81,T81,Ryan Moore,89,180.4,12088.3,67,199.1,150.8
82,T83,T83,Kris Blanks,60,180.3,8112.5,45,197.4,152.5
83,T83,T83,Padraig Harrington,66,180.3,8295.9,46,199.3,153.4
84,85,85,Bill Lunde,83,180.2,13512.7,75,190.9,157.1
85,86,86,Nicholas Thompson,96,179.8,14381.5,80,195.5,152.2
86,87,87,Nathan Green,104,179.7,15274.3,85,197.7,151.1
87,88,88,Brad Adamonis,70,179.6,10058.7,56,194.6,154.4
88,T89,T89,Rich Beem,77,179.5,9333.9,52,192.8,157.2
89,T89,T89,Jason Gore,74,179.5,10232.4,57,194.3,160.5
90,T89,T89,Johnson Wagner,81,179.5,12925.2,72,191.8,157.9
91,92,92,Steve Stricker,81,179.3,12012.2,67,190.3,165.5
92,93,93,Michael Allen,73,179.0,8589.9,48,192.2,157.6
93,94,94,Tim Herron,87,178.5,14818.8,83,194.6,161.2
94,95,95,Bob Heintz,59,178.4,7672.1,43,191.4,153.0
95,96,96,Kenny Perry,92,178.2,13718.5,77,197.1,145.3
96,T97,T97,Todd Hamilton,83,178.0,10499.1,59,196.0,156.0
