,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,1,Bubba Watson,73,44.44,56.0,126,-0.38
1,2,2,Robert Garrigus,83,39.87,63.0,158,-0.25
2,3,3,Tag Ridings,50,32.95,29.0,88,-0.34
3,4,4,Nick Watney,86,32.24,49.0,152,-0.35
4,5,5,Ángel Cabrera,55,30.95,26.0,84,-0.15
5,6,6,Gary Woodland,53,30.23,26.0,86,-0.31
6,7,7,Dustin Johnson,85,29.73,44.0,148,-0.32
7,8,8,J.B. Holmes,74,29.55,39.0,132,-0.15
8,9,9,Phil Mickelson,66,23.64,26.0,110,-0.08
9,10,10,Tiger Woods,64,23.08,24.0,104,-0.58
10,11,11,Martin Laird,72,22.73,30.0,132,-0.30
11,12,12,Andres Romero,58,22.22,20.0,90,-0.30
12,13,13,Davis Love III,89,21.69,36.0,166,-0.33
13,14,14,Troy Matteson,95,19.23,35.0,182,-0.49
14,15,15,Harrison Frazar,93,18.54,33.0,178,-0.58
15,16,16,Charles Warren,63,17.54,20.0,114,-0.25
16,17,17,Scott Piercy,85,17.28,28.0,162,-0.50
17,18,18,Lucas Glover,93,17.24,30.0,174,-0.33
18,19,19,Sean O'Hair,80,17.19,22.0,128,-0.27
19,20,20,Adam Scott,53,17.05,15.0,88,+0.07
20,T21,T21,Marc Leishman,91,16.67,29.0,174,-0.17
21,T21,T21,Ryan Palmer,78,16.67,26.0,156,-0.31
22,23,23,Jonathan Byrd,89,16.47,28.0,170,-0.43
23,24,24,Kevin Streelman,97,16.13,30.0,186,-0.33
24,25,25,Rory Sabbatini,81,15.97,23.0,144,-0.30
25,26,26,Hunter Mahan,94,15.85,26.0,164,-0.46
26,27,27,Matt Jones,56,15.31,15.0,98,-0.33
27,28,28,Stewart Cink,79,15.08,19.0,126,-0.16
28,29,29,Bill Haas,91,14.94,26.0,174,-0.38
29,30,30,Vijay Singh,71,14.91,17.0,114,-0.29
30,31,31,Charley Hoffman,97,14.74,28.0,190,-0.25
31,32,32,Jeff Overton,92,14.29,24.0,168,-0.33
32,33,33,Anthony Kim,76,14.06,18.0,128,-0.39
33,34,34,Daniel Chopra,89,14.04,25.0,178,-0.12
34,35,35,David Duval,56,14.0,14.0,100,-0.21
35,36,36,John Rollins,92,13.64,24.0,176,-0.29
36,37,37,Robert Allenby,71,13.33,16.0,120,-0.38
37,38,38,Sergio Garcia,59,13.04,12.0,92,-0.33
38,39,39,John Merrick,91,12.99,20.0,154,-0.30
39,40,40,Padraig Harrington,66,12.73,14.0,110,E
40,41,41,Kenny Perry,92,12.66,20.0,158,-0.45
41,42,42,Fred Couples,54,12.5,13.0,104,-0.62
42,43,43,Ted Purdy,101,12.37,23.0,186,-0.39
43,44,44,Ryan Moore,89,12.35,20.0,162,-0.35
44,45,45,Camilo Villegas,76,12.3,15.0,122,-0.67
45,46,46,Jason Day,61,12.26,13.0,106,-0.38
46,47,47,Ernie Els,70,12.07,14.0,116,-0.29
47,48,48,Leif Olson,51,11.7,11.0,94,-0.27
48,49,49,James Nitties,86,11.25,18.0,160,-0.33
49,50,50,Kris Blanks,60,11.11,12.0,108,-0.58
50,51,51,J.J. Henry,97,10.99,20.0,182,-0.50
51,52,52,Jason Gore,74,10.87,15.0,138,-0.27
52,53,53,Kevin Stadler,65,10.53,12.0,114,-0.58
53,54,54,George McNeill,82,10.26,16.0,156,-0.31
54,55,55,Matt Bettencourt,98,10.11,19.0,188,-0.42
55,T56,T56,Ricky Barnes,67,10.0,11.0,110,-0.55
56,T56,T56,Pat Perez,74,10.0,14.0,140,-0.43
57,58,58,Tim Herron,87,9.77,17.0,174,-0.29
58,59,59,Rod Pampling,72,9.7,13.0,134,E
59,60,60,Geoff Ogilvy,78,9.68,12.0,124,-0.50
60,61,61,Steve Lowery,83,9.64,16.0,166,E
61,62,62,Carl Pettersson,86,9.62,15.0,156,-0.33
62,T63,T63,Brad Adamonis,70,9.56,13.0,136,-0.54
63,T63,T63,Jimmy Walker,74,9.56,13.0,136,-0.46
64,65,65,Retief Goosen,74,9.52,12.0,126,-0.33
65,66,66,Stephen Ames,77,9.23,12.0,130,-0.67
66,67,67,Y.E. Yang,83,9.09,14.0,154,-0.36
67,T68,T68,Joe Ogilvie,85,9.04,15.0,166,-0.27
68,T68,T68,Nicholas Thompson,96,9.04,17.0,188,-0.35
69,T70,T70,Charles Howell III,99,8.99,16.0,178,-0.56
70,T70,T70,Greg Owen,97,8.99,16.0,178,-0.19
71,72,72,Stuart Appleby,79,8.82,12.0,136,-0.42
72,73,73,Michael Allen,73,8.7,12.0,138,-0.42
73,74,74,Bill Lunde,83,8.64,14.0,162,-0.43
74,75,75,D.J. Trahan,96,8.52,15.0,176,-0.47
75,76,76,Peter Tomasulo,61,8.49,9.0,106,-0.56
76,77,77,Matt Weibring,65,8.47,10.0,118,-0.70
77,T78,T78,Chad Campbell,90,8.33,13.0,156,-0.46
78,T78,T78,Justin Rose,71,8.33,10.0,120,-0.30
79,80,80,John Senden,100,8.16,16.0,196,-0.50
80,81,81,Johnson Wagner,81,8.02,13.0,162,-0.38
81,82,82,Will MacKenzie,69,7.97,11.0,138,-0.09
82,83,83,Chris Stroud,88,7.93,13.0,164,-0.92
83,84,84,Michael Letzig,96,7.61,14.0,184,-0.36
84,85,85,Jeff Maggert,79,7.59,12.0,158,-0.25
85,86,86,Mathew Goggin,76,7.35,10.0,136,E
86,87,87,Brian Bateman,55,7.27,8.0,110,-0.38
87,88,88,Boo Weekley,79,7.25,10.0,138,-0.20
88,89,89,Kevin Sutherland,96,7.23,12.0,166,-0.50
89,90,90,Charlie Wi,92,7.22,13.0,180,-0.15
90,91,91,Steve Marino,98,6.67,12.0,180,-0.50
91,92,92,Aaron Baddeley,66,6.56,8.0,122,-0.38
92,93,93,Freddie Jacobson,83,6.49,10.0,154,-0.40
93,94,94,Steve Elkington,70,6.43,9.0,140,-0.11
94,95,95,Brendon de Jonge,90,6.4,11.0,172,-0.36
95,96,96,Brian Vranesh,51,6.38,6.0,94,-0.67
96,97,97,Billy Mayfair,83,6.16,9.0,146,-0.56
97,98,98,Bo Van Pelt,100,6.11,11.0,180,-0.36
98,99,99,Justin Leonard,95,6.02,10.0,166,-0.50
99,100,100,Rocco Mediate,79,5.97,8.0,134,-0.13
100,101,101,Brett Quigley,92,5.95,10.0,168,-0.60
101,102,102,Tim Clark,81,5.88,8.0,136,-0.25
102,103,103,Heath Slocum,95,5.62,10.0,178,-0.20
103,104,104,Brian Davis,103,5.56,11.0,198,-0.27
104,105,105,Nathan Green,104,5.5,11.0,200,-0.27
