,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Dustin Johnson,85,65.92,270898.5,410968
1,2,2,Andres Romero,58,65.32,180331.3,276069
2,3,3,Anthony Kim,76,65.19,250780.5,384687
3,4,4,Tag Ridings,50,65.17,167844.6,257530
4,5,5,Gary Woodland,53,65.1,151321.2,232429
5,6,6,J.B. Holmes,74,65.03,255533.1,392942
6,7,7,Robert Garrigus,83,64.74,294964.0,455632
7,8,8,Bubba Watson,73,64.64,234772.1,363194
8,9,9,Phil Mickelson,66,64.43,199393.9,309472
9,10,10,Nick Watney,86,64.14,279446.6,435685
10,11,11,Vijay Singh,71,63.95,208276.7,325668
11,12,12,Ángel Cabrera,55,63.93,156268.0,244449
12,13,13,Charley Hoffman,97,63.83,353051.8,553134
13,14,14,Martin Laird,72,63.76,251793.6,394906
14,15,15,Daniel Chopra,89,63.71,337817.9,530274
15,16,16,Harrison Frazar,93,63.7,338805.5,531857
16,17,17,Troy Matteson,95,63.65,354720.3,557259
17,18,18,Sean O'Hair,80,63.58,236643.1,372173
18,19,19,Charles Warren,63,63.46,214381.1,337829
19,20,20,Kevin Streelman,97,63.41,348142.4,549000
20,T21,T21,Fred Couples,54,63.38,169212.1,266982
21,T21,T21,Hunter Mahan,94,63.38,304146.9,479879
22,23,23,Marc Leishman,91,63.33,337897.5,533563
23,24,24,Davis Love III,89,63.31,312507.3,493610
24,25,25,Leif Olson,51,63.2,171387.6,271175
25,26,26,Sergio Garcia,59,63.18,177087.0,280282
26,T27,T27,Stewart Cink,79,63.16,237895.4,376633
27,T27,T27,Steve Marino,98,63.16,336670.5,533035
