,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Tim Clark,81,8.9,73,820,+0.07
1,T2,T2,Joe Durant,62,10.05,65,647,+0.32
2,T2,T2,Chez Reavie,81,10.05,98,975,+0.11
3,4,4,Patrick Sheehan,51,10.13,55,543,+0.20
4,5,5,Peter Tomasulo,61,10.16,64,630,+0.11
5,6,6,Nick O'Hern,90,10.45,122,1168,+0.09
6,7,7,K.J. Choi,65,10.57,74,700,+0.05
7,8,8,Tommy Armour III,58,10.75,77,716,E
8,9,9,Steve Flesch,77,10.88,94,864,+0.17
9,10,10,Richard Johnson,85,11.09,114,1028,+0.17
10,11,11,Steve Stricker,81,11.18,96,859,E
11,12,12,Robert Allenby,71,11.2,87,777,+0.09
12,13,13,Darron Stiles,52,11.21,65,580,+0.20
13,14,14,Jeff Klauk,97,11.24,137,1219,+0.07
14,15,15,Briny Baird,89,11.29,112,992,-0.01
15,16,16,Rod Pampling,72,11.3,100,885,+0.14
16,17,17,Jay Williamson,69,11.32,89,786,+0.01
17,18,18,Mathew Goggin,76,11.38,94,826,+0.17
18,19,19,Jason Bohn,88,11.43,129,1129,+0.15
19,20,20,John Senden,100,11.56,147,1272,+0.03
20,T21,T21,Michael Allen,73,11.57,93,804,+0.15
21,T21,T21,Bob Heintz,59,11.57,81,700,+0.20
22,T23,T23,Justin Leonard,95,11.64,122,1048,+0.03
23,T23,T23,Chris Riley,77,11.64,108,928,+0.12
24,25,25,Jason Gore,74,11.72,100,853,+0.22
25,26,26,Jim Furyk,86,11.76,106,901,-0.04
26,T27,T27,Jeff Maggert,79,11.78,118,1002,+0.09
27,T27,T27,Scott McCarron,91,11.78,132,1121,+0.11
28,29,29,Rick Price,54,11.82,67,567,+0.19
29,30,30,Charlie Wi,92,11.89,129,1085,+0.05
30,31,31,Bart Bryant,58,11.93,86,721,+0.24
31,32,32,Zach Johnson,94,11.96,132,1104,+0.08
32,33,33,Vaughn Taylor,88,12.01,131,1091,+0.10
33,T34,T34,John Mallinger,90,12.05,118,979,+0.14
34,T34,T34,David Toms,98,12.05,134,1112,+0.07
35,36,36,Jerry Kelly,90,12.06,129,1070,+0.07
36,37,37,Jonathan Byrd,89,12.15,132,1086,+0.05
37,38,38,Tom Lehman,55,12.16,59,485,+0.20
38,39,39,Kris Blanks,60,12.21,79,647,+0.06
39,T40,T40,Alex Cejka,82,12.27,121,986,+0.02
40,T40,T40,Matt Weibring,65,12.27,93,758,+0.10
41,42,42,Kenny Perry,92,12.29,125,1017,+0.15
42,43,43,Webb Simpson,94,12.33,146,1184,+0.10
43,44,44,Glen Day,79,12.36,109,882,+0.06
44,45,45,Steve Elkington,70,12.44,106,852,+0.08
45,46,46,Kirk Triplett,60,12.47,94,754,+0.16
46,T47,T47,Brian Davis,103,12.5,157,1256,+0.12
47,T47,T47,Heath Slocum,95,12.5,147,1176,+0.09
48,49,49,Dean Wilson,81,12.6,121,960,+0.08
49,50,50,Nicholas Thompson,96,12.65,151,1194,+0.08
50,51,51,Kevin Na,91,12.66,135,1066,+0.07
51,52,52,Boo Weekley,79,12.71,115,905,+0.02
52,53,53,Y.E. Yang,83,12.75,123,965,+0.07
53,54,54,Paul Goydos,79,12.93,117,905,+0.20
54,55,55,Greg Owen,97,12.95,147,1135,+0.06
55,56,56,Colt Knost,71,12.99,100,770,+0.20
56,57,57,Bill Haas,91,13.0,147,1131,-0.03
57,58,58,Brian Gay,96,13.02,149,1144,+0.15
58,59,59,Ryan Moore,89,13.05,134,1027,+0.10
59,60,60,Jeff Quinney,78,13.07,128,979,+0.16
60,61,61,Ben Crane,93,13.11,145,1106,+0.08
61,62,62,D.J. Trahan,96,13.13,146,1112,+0.10
62,63,63,Corey Pavin,73,13.17,98,744,+0.24
63,64,64,Scott Verplank,88,13.19,145,1099,+0.10
64,65,65,Kevin Sutherland,96,13.22,133,1006,+0.11
65,66,66,D.A. Points,99,13.27,158,1191,+0.03
66,T67,T67,John Rollins,92,13.29,145,1091,+0.06
67,T67,T67,Brandt Snedeker,81,13.29,120,903,+0.10
68,69,69,Tim Petrovic,97,13.33,158,1185,+0.02
69,70,70,Ben Curtis,63,13.39,88,657,+0.20
