,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Henrik Stenson,10,1081.0,62.0
1,2,2,Lee Westwood,8,637.0,138.0
2,3,3,Rory McIlroy,11,585.0,152.0
3,4,4,Ross Fisher,10,496.0,190.0
4,5,5,Graeme McDowell,11,405.0,50.0
5,6,6,Oliver Wilson,9,389.0,246.0
6,7,7,Martin Kaymer,11,339.0,90.0
7,8,8,Soren Hansen,8,331.0,90.0
8,9,9,Jeev Milkha Singh,13,331.0,168.0
9,10,10,Miguel Angel Jiménez,8,261.0,144.0
10,11,11,Søren Kjeldsen,7,256.0,117.0
11,12,12,Shingo Katayama,6,220.0,70.0
12,13,13,Danny Lee,12,210.0,17.0
13,14,14,Alvaro Quiros,9,196.0,136.0
14,15,15,Peter Hanson,5,194.0,97.0
15,16,16,Francesco Molinari,4,185.0,
16,17,17,Chris Wood,2,181.0,
17,18,18,Thomas Aiken,3,175.0,92.0
18,19,19,Robert Karlsson,6,132.0,61.0
19,20,20,Charl Schwartzel,6,129.0,47.0
20,21,21,Prayad Marksaeng,6,112.0,112.0
21,22,22,Darren Clarke,7,107.0,68.0
22,23,23,Thongchai Jaidee,4,97.0,10.0
23,24,24,Richard Sterne,8,93.0,24.0
24,25,25,James Kingston,2,89.0,48.0
25,26,26,Kevin Chappell,3,89.0,
26,27,27,Kyle Stanley,6,88.0,
27,28,28,Louis Oosthuizen,6,77.0,71.0
28,29,29,Thomas Levet,3,75.0,
29,30,30,Gonzalo Fernandez-Castaño,5,70.0,1.0
30,31,31,Michael Sim,2,70.0,
31,32,32,Tadd Fujikawa,4,70.0,
32,33,33,Chris Baryla,3,69.0,
33,34,34,Brendan Jones,2,66.0,23.0
34,35,35,Azuma Yano,4,66.0,1.0
35,36,36,Todd Fischer,3,61.0,
36,37,37,Johan Edfors,3,57.0,
37,38,38,Nick Dougherty,3,48.0,17.0
38,39,39,Anders Hansen,4,46.0,46.0
39,40,40,Kenichi Kuboya,1,41.0,
40,41,41,Anthony Kang,1,32.0,32.0
41,42,42,Hideto Tanihara,1,30.0,
42,43,43,José Manuel Lara,2,29.0,
43,44,44,Richard Finch,2,29.0,29.0
44,45,45,Martin Piller,1,28.0,
45,46,46,Derek Lamely,2,27.0,
46,47,47,Vance Veazey,1,27.0,
47,T48,T48,Branden Grace,1,27.0,
48,T48,T48,Paul McGinley,2,27.0,
49,T48,T48,Anthony Wall,2,27.0,
50,51,51,Wen-Tang Lin,3,26.0,26.0
51,52,52,Erik Compton,4,24.0,
52,T53,T53,Graham DeLaet,1,23.0,
53,T53,T53,Jamie Lovemark,3,23.0,
54,T55,T55,Mark Brown,2,22.0,22.0
55,T55,T55,Paul Lawrie,1,22.0,
56,T55,T55,Garth Mulroy,1,22.0,22.0
57,58,58,Bobby Gates,1,20.0,
58,T59,T59,Christian Cévaër,1,17.0,17.0
59,T59,T59,Matt Harmon,1,17.0,
60,T61,T61,Jean-Francois Lucquin,1,16.0,
61,T61,T61,Andrew McLardy,2,16.0,
62,T63,T63,David Howell,1,16.0,
63,T63,T63,Graeme Storm,1,16.0,
64,T63,T63,Steve Wheatcroft,1,16.0,
65,66,66,Alan Wagner,1,15.0,
66,67,67,José de Jesús Rodríguez,1,15.0,
67,68,68,Ryo Ishikawa,6,14.0,
68,T69,T69,Rich Barcelo,1,14.0,
69,T69,T69,Hiroyuki Fujita,1,14.0,
70,T71,T71,Jeff Brehaut,1,13.0,
71,T71,T71,Trevor Murphy,1,13.0,
72,T73,T73,Craig Barlow,4,12.0,
73,T73,T73,Fernando Mechereffe,1,12.0,
74,T75,T75,Felipe Aguilar,1,11.0,
75,T75,T75,Tano Goya,1,11.0,
76,T75,T75,Manuel Villegas,1,11.0,
77,T78,T78,Richard Green,2,10.0,
78,T78,T78,Mike Grob,1,10.0,
79,T80,T80,Paul Broadhurst,1,10.0,
80,T80,T80,David Drysdale,1,10.0,
81,82,82,Andres Gonzales,1,9.0,
82,83,83,Luke List,1,6.0,
83,84,84,Andy Matthews,1,6.0,
84,85,85,Fredrik Andersson Hed,1,5.0,
85,86,86,Lucas Lee,1,3.0,
86,87,87,David Smail,3,2.0,
87,88,88,Andrew Ruthkoski,2,2.0,
88,T89,T89,Esteban Toledo,2,2.0,
89,T89,T89,James Vargas,1,2.0,
90,T91,T91,John Ellis,1,1.0,
91,T91,T91,Chris Kirk,2,1.0,
92,93,93,Daniel Gaunt,1,1.0,
93,T94,T94,Gregory Bisconti,1,1.0,
94,T94,T94,Matthew Loving,1,1.0,
95,96,96,Grégory Havret,1,1.0,1.0
96,97,97,Chih-Bing Lam,1,1.0,1.0
97,T98,T98,Shane Lowry,1,1.0,1.0
98,T98,T98,Grant Sturgeon,1,1.0,
99,T100,T100,Yuji Igarashi,1,1.0,1.0
100,T100,T100,Junpei Takayama,1,1.0,
101,T102,T102,Alastair Forsyth,1,1.0,
102,T102,T102,Pablo Larrazabal,3,1.0,1.0
103,104,104,Cortland Lowe,2,1.0,
104,105,105,Ryan Helminen,1,,
