,Last_5_Events_-_Scoring_RANK THIS WEEK,Last_5_Events_-_Scoring_RANK LAST WEEK,Last_5_Events_-_Scoring_PLAYER NAME,Last_5_Events_-_Scoring_EVENTS,Last_5_Events_-_Scoring_RATING
0,1,1,George McNeill,2,9.1
1,T2,T2,Miguel Angel Jiménez,1,9.0
2,T2,T2,Jimmy Walker,2,9.0
3,T2,T2,Tiger Woods,4,9.0
4,T5,T5,Todd Hamilton,1,8.9
5,T5,T5,Leif Olson,1,8.9
6,T7,T7,Todd Fischer,1,8.8
7,T7,T7,Padraig Harrington,3,8.8
8,T7,T7,Greg Kraft,1,8.8
9,T7,T7,Sean O'Hair,2,8.8
10,T7,T7,Omar Uresti,1,8.8
11,T12,T12,Mathias Grönberg,2,8.7
12,T12,T12,Jeff Maggert,1,8.7
13,T14,T14,Michael Allen,2,8.6
14,T14,T14,Stephen Ames,4,8.6
15,T14,T14,Chris Baryla,1,8.6
16,T14,T14,Matt Kuchar,3,8.6
17,T14,T14,Shigeki Maruyama,1,8.6
18,T14,T14,Tim Petrovic,3,8.6
19,T14,T14,Justin Rose,5,8.6
20,T14,T14,Lee Westwood,1,8.6
21,T22,T22,Jim Furyk,4,8.5
22,T22,T22,Bill Haas,4,8.5
23,T22,T22,Jamie Lovemark,2,8.5
24,T22,T22,Arron Oberholser,2,8.5
25,T22,T22,Oliver Wilson,1,8.5
26,T27,T27,Thomas Aiken,1,8.4
27,T27,T27,Wil Collins,1,8.4
28,T27,T27,Lee Janzen,1,8.4
29,T27,T27,Zach Johnson,3,8.4
30,T27,T27,Jonathan Kaye,2,8.4
31,T27,T27,Neal Lancaster,1,8.4
32,T27,T27,Joe Ogilvie,1,8.4
33,T27,T27,Jeff Sluman,1,8.4
34,T27,T27,Kevin Stadler,3,8.4
35,T36,T36,Scott Gutschewski,2,8.3
36,T36,T36,J.P. Hayes,3,8.3
37,T36,T36,Scott Hoch,1,8.3
38,T36,T36,Brandt Jobe,3,8.3
39,T36,T36,John Merrick,1,8.3
40,T36,T36,Ryan Moore,3,8.3
41,T36,T36,Ryan Palmer,3,8.3
42,T36,T36,Scott Piercy,3,8.3
43,T36,T36,D.A. Points,5,8.3
44,T36,T36,Rory Sabbatini,2,8.3
45,T36,T36,Charl Schwartzel,2,8.3
46,T36,T36,Hideto Tanihara,1,8.3
47,T36,T36,Nicholas Thompson,3,8.3
48,T36,T36,Scott Verplank,4,8.3
49,T36,T36,Matt Weibring,3,8.3
50,T51,T52,Aaron Baddeley,2,8.2
51,T51,T67,Chad Campbell,3,8.2
52,T51,T52,Tim Clark,3,8.2
53,T51,T52,Marco Dawson,1,8.2
54,T51,T52,Rickie Fowler,3,8.2
55,T51,T52,Robert Garrigus,3,8.2
56,T51,T52,James Kingston,1,8.2
57,T51,T52,Martin Laird,4,8.2
58,T51,T52,Bill Lunde,3,8.2
59,T51,T52,Shaun Micheel,1,8.2
60,T51,T52,Francesco Molinari,1,8.2
61,T51,T52,Nick O'Hern,4,8.2
62,T51,T52,Bubba Watson,2,8.2
63,T51,T52,Tim Wilkinson,1,8.2
64,T51,T52,Garrett Willis,3,8.2
65,T66,T67,Tom Byrum,1,8.1
66,T66,T67,Chris Couch,2,8.1
67,T66,T67,Graham DeLaet,1,8.1
68,T66,T67,Sergio Garcia,3,8.1
69,T66,T67,John Huston,2,8.1
70,T66,T36,Justin Leonard,3,8.1
71,T66,T67,Will MacKenzie,2,8.1
72,T66,T67,Scott McCarron,3,8.1
73,T66,T67,Rocco Mediate,2,8.1
74,T66,T67,Phil Mickelson,4,8.1
75,T66,T67,Rod Pampling,3,8.1
76,T66,T67,Pat Perez,3,8.1
