,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Ian Poulter,59,45.83,132,288
1,2,2,Parker McLachlin,71,45.56,205,450
2,3,3,Brad Faxon,59,43.72,181,414
3,T4,T4,Joe Ogilvie,85,43.25,218,504
4,T4,T4,Charlie Wi,92,43.25,218,504
5,6,6,Bob Estes,78,43.24,179,414
6,7,7,Aaron Baddeley,66,43.18,171,396
7,8,8,Luke Donald,79,43.06,155,360
8,9,9,Mike Weir,85,43.0,178,414
9,10,10,Pat Perez,74,42.86,162,378
10,11,11,Jerry Kelly,90,42.74,200,468
11,12,12,Padraig Harrington,66,42.4,145,342
12,13,13,Vaughn Taylor,88,42.06,212,504
13,14,14,Ryuji Imada,85,42.0,189,450
14,15,15,Retief Goosen,74,41.81,143,342
15,16,16,Brian Gay,96,41.77,203,486
16,T17,T17,Bob Heintz,59,41.67,150,360
17,T17,T17,Johnson Wagner,81,41.67,195,468
18,19,19,Justin Leonard,95,41.56,187,450
19,20,20,Daniel Chopra,89,41.47,209,504
20,21,21,Tom Pernice Jr.,82,41.45,194,468
21,22,22,Paul Goydos,79,41.33,186,450
22,23,23,Anthony Kim,76,41.27,156,378
23,24,24,Tim Herron,87,41.15,200,486
24,25,25,Tiger Woods,64,40.97,118,288
25,26,26,Steve Lowery,83,40.95,199,486
26,27,27,Nathan Green,104,40.93,221,540
27,28,28,Rod Pampling,72,40.91,162,396
28,29,29,Phil Mickelson,66,40.85,125,306
29,30,30,Y.E. Yang,83,40.82,169,414
30,31,31,Scott McCarron,91,40.81,191,468
31,32,32,Ben Crane,93,40.74,198,486
32,33,33,Sergio Garcia,59,40.63,117,288
33,34,34,Webb Simpson,94,40.56,219,540
34,35,35,Matt Kuchar,82,40.51,175,432
35,T36,T36,Ángel Cabrera,55,40.28,116,288
36,T36,T36,Michael Letzig,96,40.28,203,504
37,T36,T36,Hunter Mahan,94,40.28,174,432
38,39,39,Justin Rose,71,40.21,152,378
39,40,40,Tim Petrovic,97,40.14,224,558
40,41,41,John Rollins,92,40.12,195,486
41,T42,T42,Lucas Glover,93,39.96,187,468
42,T42,T42,George McNeill,82,39.96,187,468
43,44,44,Mark Wilson,99,39.88,201,504
44,45,45,Brian Davis,103,39.76,229,576
45,T46,T46,Kevin Na,91,39.74,186,468
46,T46,T46,Kevin Sutherland,96,39.74,186,468
47,T48,T48,Stewart Cink,79,39.68,150,378
48,T48,T48,Steve Stricker,81,39.68,150,378
49,50,50,Jim Furyk,86,39.65,157,396
50,51,51,Bubba Watson,73,39.61,164,414
51,52,52,Chris DiMarco,97,39.46,206,522
52,T53,T53,Stephen Ames,77,39.39,156,396
53,T53,T53,David Duval,56,39.39,156,396
54,55,55,Kenny Perry,92,39.37,163,414
55,T56,T56,Ken Duke,87,39.27,205,522
56,T56,T56,Dean Wilson,81,39.27,205,522
57,T58,T58,Geoff Ogilvy,78,39.18,134,342
58,T58,T58,Andres Romero,58,39.18,134,342
59,60,60,Tim Clark,81,39.15,148,378
60,T61,T61,Woody Austin,84,39.12,169,432
61,T61,T61,Dustin Johnson,85,39.12,169,432
62,63,63,James Nitties,86,39.09,190,486
63,64,64,Matt Bettencourt,98,39.07,218,558
64,T65,T65,Steve Marino,98,38.89,203,522
65,T65,T65,Sean O'Hair,80,38.89,154,396
66,T65,T65,Kirk Triplett,60,38.89,140,360
67,T68,T68,Eric Axley,71,38.7,209,540
68,T68,T68,Jeff Klauk,97,38.7,202,522
69,T70,T70,Harrison Frazar,93,38.69,195,504
70,T70,T70,Chris Stroud,88,38.69,195,504
71,72,72,Steve Flesch,77,38.68,181,468
72,73,73,Freddie Jacobson,83,38.67,174,450
73,T74,T74,Bart Bryant,58,38.56,118,306
74,T74,T74,Ben Curtis,63,38.56,118,306
75,76,76,Camilo Villegas,76,38.33,138,360
76,77,77,Brandt Snedeker,81,38.25,179,468
77,78,78,Jonathan Byrd,89,38.22,172,450
78,79,79,Mark Calcavecchia,72,38.16,158,414
79,T80,T80,Ted Purdy,101,38.15,206,540
80,T80,T80,Bo Van Pelt,100,38.15,206,540
81,82,82,Jeff Overton,92,38.1,192,504
82,83,83,Nick O'Hern,90,38.07,185,486
83,84,84,Greg Chalmers,85,38.03,178,468
84,85,85,Nick Watney,86,37.96,164,432
85,86,86,Steve Elkington,70,37.92,157,414
86,87,87,Michael Allen,73,37.88,150,396
87,88,88,Mathew Goggin,76,37.78,170,450
88,89,89,Jimmy Walker,74,37.73,163,432
89,90,90,Jeff Quinney,78,37.61,176,468
90,91,91,Martin Laird,72,37.5,162,432
91,92,92,Jason Dufner,90,37.39,175,468
92,93,93,Colt Knost,71,37.27,161,432
93,94,94,Jason Day,61,37.25,114,306
94,95,95,Vijay Singh,71,37.22,134,360
95,T96,T96,Brian Bateman,55,37.2,154,414
96,T96,T96,Lee Janzen,74,37.2,154,414
97,T98,T98,Peter Lonard,86,37.04,200,540
98,T98,T98,David Toms,98,37.04,180,486
99,100,100,D.A. Points,99,36.97,193,522
100,101,101,Bill Lunde,83,36.83,179,486
101,T102,T102,Fred Couples,54,36.81,106,288
102,T102,T102,Scott Verplank,88,36.81,159,432
103,104,104,Todd Hamilton,83,36.78,192,522
104,T105,T105,Jason Bohn,88,36.67,165,450
105,T105,T105,J.B. Holmes,74,36.67,165,450
106,107,107,Kevin Streelman,97,36.59,191,522
107,108,108,Jeff Maggert,79,36.51,184,504
108,109,109,Heath Slocum,95,36.48,197,540
109,110,110,John Mallinger,90,36.42,177,486
110,T111,T111,Brad Adamonis,70,36.34,157,432
111,T111,T111,Stuart Appleby,79,36.34,157,432
112,T113,T113,Troy Matteson,95,36.3,196,540
113,T113,T113,Greg Owen,97,36.3,196,540
114,115,115,Boo Weekley,79,36.24,137,378
115,116,116,Zach Johnson,94,36.22,163,450
116,117,117,John Senden,100,36.21,189,522
117,T118,T118,Kent Jones,73,36.11,156,432
118,T118,T118,Cliff Kresge,78,36.11,182,504
119,T118,T118,Chris Riley,77,36.11,143,396
120,T121,T121,Carl Pettersson,86,36.02,188,522
121,T121,T121,Nicholas Thompson,96,36.02,201,558
122,123,123,Spencer Levin,75,36.0,162,450
123,124,124,Brett Quigley,92,35.91,181,504
124,125,125,Kris Blanks,60,35.83,129,360
125,126,126,Ryan Moore,89,35.8,174,486
126,127,127,Marc Leishman,91,35.71,180,504
127,128,128,Richard Johnson,85,35.68,167,468
128,129,129,Robert Garrigus,83,35.56,160,450
129,130,130,Ryan Palmer,78,35.47,166,468
130,T131,T131,Bryce Molder,69,35.45,134,378
131,T131,T131,Leif Olson,51,35.45,134,378
132,133,133,Corey Pavin,73,35.27,146,414
133,134,134,Davis Love III,89,35.26,165,468
134,135,135,David Mathis,82,35.19,171,486
135,136,136,Briny Baird,89,35.12,177,504
136,137,137,Matt Weibring,65,35.1,139,396
137,138,138,Cameron Beckman,87,34.83,163,468
138,139,139,D.J. Trahan,96,34.81,188,540
139,T140,T140,K.J. Choi,65,34.66,131,378
140,T140,T140,Greg Kraft,51,34.66,131,378
141,142,142,Aron Price,89,34.57,168,486
142,143,143,John Merrick,91,34.52,174,504
143,144,144,Derek Fathauer,63,34.44,155,450
144,145,145,Chez Reavie,81,34.36,167,486
145,T146,T146,Jason Gore,74,34.26,148,432
146,T146,T146,Adam Scott,53,34.26,111,324
147,148,148,Jarrod Lyle,65,34.13,129,378
148,149,149,Charles Howell III,99,34.1,178,522
149,150,150,Rich Beem,77,33.97,159,468
150,151,151,Brendon de Jonge,90,33.91,177,522
151,152,152,Rick Price,54,33.86,128,378
152,T153,T153,Will MacKenzie,69,33.8,146,432
153,T153,T153,Rory Sabbatini,81,33.8,146,432
154,155,155,Charley Hoffman,97,33.74,164,486
155,156,156,Ernie Els,70,33.64,109,324
156,157,157,Darron Stiles,52,33.61,121,360
157,158,158,Rocco Mediate,79,33.59,133,396
158,159,159,Casey Wittenberg,71,33.56,151,450
159,160,160,Chad Campbell,90,33.55,157,468
160,161,161,Billy Mayfair,83,33.53,169,504
161,162,162,Charles Warren,63,33.33,120,360
162,163,163,Tommy Armour III,58,33.02,107,324
163,164,164,Alex Cejka,82,32.89,148,450
164,165,165,Robert Allenby,71,32.78,118,360
165,166,166,Bill Haas,91,32.76,171,522
166,167,167,J.J. Henry,97,32.74,165,504
167,T168,T168,Mark Brooks,55,32.68,100,306
168,T168,T168,Matt Jones,56,32.68,100,306
169,170,170,Scott Sterling,51,32.64,94,288
170,171,171,Scott Piercy,85,32.54,164,504
