,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Tiger Woods,64,23.23,23,99
1,2,2,K.J. Choi,65,21.62,16,74
2,3,3,Bubba Watson,73,21.24,24,113
3,4,4,Camilo Villegas,76,21.15,22,104
4,5,5,Jonathan Byrd,89,21.14,26,123
5,6,6,Harrison Frazar,93,20.93,45,215
6,7,7,Ángel Cabrera,55,20.65,19,92
7,8,8,Bill Haas,91,20.59,28,136
8,9,9,Hunter Mahan,94,20.53,31,151
9,10,10,Boo Weekley,79,20.2,20,99
10,11,11,Martin Laird,72,20.16,26,129
11,12,12,Nick Watney,86,20.0,25,125
12,13,13,Brendon de Jonge,90,19.62,31,158
13,14,14,Jason Day,61,19.32,17,88
14,15,15,Charles Warren,63,19.28,16,83
15,16,16,Dustin Johnson,85,19.15,27,141
16,17,17,Kris Blanks,60,19.12,13,68
17,T18,T18,Nick O'Hern,90,19.05,20,105
18,T18,T18,Joe Ogilvie,85,19.05,28,147
19,20,20,D.A. Points,99,18.84,26,138
20,21,21,Daniel Chopra,89,18.83,29,154
21,22,22,Sergio Garcia,59,18.82,16,85
22,23,23,Jason Dufner,90,18.8,25,133
23,24,24,Rich Beem,77,18.52,20,108
24,25,25,Carl Pettersson,86,18.46,24,130
25,26,26,David Toms,98,18.42,21,114
26,27,27,Woody Austin,84,18.33,22,120
27,28,28,Adam Scott,53,18.29,15,82
28,29,29,Sean O'Hair,80,18.27,19,104
29,30,30,Justin Leonard,95,18.18,20,110
30,31,31,James Nitties,86,17.96,30,167
31,32,32,Peter Tomasulo,61,17.91,12,67
32,33,33,Rocco Mediate,79,17.89,22,123
33,34,34,Jim Furyk,86,17.86,15,84
34,35,35,Briny Baird,89,17.82,18,101
35,T36,T36,Geoff Ogilvy,78,17.65,21,119
36,T36,T36,Pat Perez,74,17.65,18,102
37,38,38,Troy Matteson,95,17.62,34,193
38,39,39,Ted Purdy,101,17.58,29,165
39,40,40,Greg Chalmers,85,17.57,26,148
40,41,41,Tim Petrovic,97,17.53,27,154
41,42,42,John Rollins,92,17.46,22,126
42,T43,T43,Michael Letzig,96,17.39,32,184
43,T43,T43,Andres Romero,58,17.39,16,92
44,45,45,Scott Piercy,85,17.35,34,196
45,T46,T46,Aaron Baddeley,66,17.24,25,145
46,T46,T46,Tim Herron,87,17.24,30,174
47,48,48,Charley Hoffman,97,17.18,28,163
48,T49,T49,Nathan Green,104,17.16,29,169
49,T49,T49,Kevin Streelman,97,17.16,29,169
50,51,51,John Senden,100,17.14,24,140
51,52,52,Steve Flesch,77,17.07,14,82
52,53,53,Brian Davis,103,17.01,25,147
53,T54,T54,Jimmy Walker,74,16.85,31,184
54,T54,T54,Jay Williamson,69,16.85,15,89
55,56,56,Brandt Snedeker,81,16.83,17,101
56,T57,T57,Ben Crane,93,16.81,20,119
57,T57,T57,Jerry Kelly,90,16.81,20,119
58,59,59,Nicholas Thompson,96,16.79,23,137
59,60,60,Marc Leishman,91,16.74,36,215
60,T61,T61,Kent Jones,73,16.67,18,108
61,T61,T61,Brian Vranesh,51,16.67,15,90
62,63,63,Tom Pernice Jr.,82,16.54,21,127
63,64,64,Charlie Wi,92,16.52,19,115
64,65,65,Marc Turnesa,77,16.38,19,116
65,66,66,Vaughn Taylor,88,16.35,17,104
66,67,67,Anthony Kim,76,16.31,23,141
67,68,68,Stuart Appleby,79,16.24,19,117
68,T69,T69,Tommy Armour III,58,16.18,11,68
69,T69,T69,Tim Clark,81,16.18,11,68
70,71,71,Kevin Na,91,16.13,20,124
71,72,72,Rod Pampling,72,16.0,16,100
72,73,73,Glen Day,79,15.96,15,94
73,74,74,Stephen Ames,77,15.79,15,95
74,75,75,Steve Elkington,70,15.69,16,102
75,76,76,Robert Garrigus,83,15.56,28,180
76,77,77,Ernie Els,70,15.53,16,103
77,78,78,Matt Kuchar,82,15.52,18,116
78,79,79,John Merrick,91,15.49,22,142
79,80,80,Steve Stricker,81,15.48,13,84
80,T81,T81,Stewart Cink,79,15.38,20,130
81,T81,T81,David Duval,56,15.38,12,78
82,83,83,Mark Calcavecchia,72,15.27,20,131
83,84,84,Gary Woodland,53,15.22,14,92
84,85,85,Scott McCarron,91,15.15,20,132
85,86,86,Tag Ridings,50,15.05,14,93
