,First_Tee_Late_Round_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_5_Scoring_Average_AVG,First_Tee_Late_Round_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,T1,T1,John Merrick,67.0,67,1
1,T1,T1,Mike Weir,67.0,67,1
2,T3,T3,Tim Clark,69.0,69,1
3,T3,T3,Pat Perez,69.0,69,1
4,T3,T3,Tom Pernice Jr.,69.0,69,1
5,T3,T3,Webb Simpson,69.0,69,1
6,T7,T7,Richard Johnson,70.0,70,1
7,T7,T7,D.J. Trahan,70.0,70,1
8,T9,T9,Rich Beem,71.0,71,1
9,T9,T9,Mathew Goggin,71.0,71,1
10,T9,T9,John Mallinger,71.0,71,1
11,T9,T9,Chris Stroud,71.0,71,1
12,13,13,Robert Garrigus,73.0,73,1
13,14,14,Bubba Watson,75.0,75,1
14,15,15,Vaughn Taylor,76.0,76,1
15,16,16,Steve Stricker,77.0,77,1
